,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTRCLCK,ARTRLPC,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,PRSPLB,PRPSLOPE,RPMSCOR,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,WRTPOSPR
s002,0.573372373,0.16202585949999998,1.5726974638999998,1.2,20.2608695652,0.23333333329999997,13.0,0.1333333333,0.1375382386,-0.9524165540999999,3.5855180282999997,0.4124352772,2.5803095714,-0.9055816709,,,3.5486469685000004,0.2581997434,1.6383915519999999,0.1666666667,0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,0.1387440396,0.4324047369,8.0,10.3,1.3594727049000002,0.5246505314000001,2.1637587702000003,-0.6697542221,0.19444444440000003,-1.5989929845000002,0.4673868411,0.33223158610000003,4.6556717651,1.7864763515000002,0.13775392120000002,2.192205495,-1.0705413209999999,3.8243251091,111.0,6.0,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,-2.7483841522350163,-1.8444397271102144,-3.6646748864517766,-0.584279326,0.5692003757999999,,2.0803572586000003,-0.3979924265,,,,,,,,0.5320132074,4.0,,,2.3359150848,0.3888598356,1.438974108,-0.8750798462,351.5,4.8,6.1,291.3333333333,2.6108379966,0.42422170859999997,0.3134113552455739,292.5,323.6666666667,2.0992172172,0.3715494777,1.4824532261,31.1666666667,144.295201474,2.8547524039,0.34325044409999994,2.3244381013,-0.7884515314,1795.1016666667,8.0,8.0,3727.25,-0.3787668885,-0.1665709303,-0.7465350711000001,0.8172749921,0.1922162034
s005,0.6635929051,0.2818232663,1.3890501791,1.65,36.3636363636,0.2666666667,30.5,0.33333333330000003,0.17011719760000002,-0.8389830115000001,4.2844422541,0.3275184639,2.4900672825,-0.41375132729999997,-7.550218850975167,-5.481183503598905,4.7040725482,0.28725824240000003,1.9028176862,0.8333333333,0.1666666667,13.416666666700001,0.275,3.0,,-2.9166666667000003,13.041666666700001,,3.0,,-3.7905236907999997,0.2518581217,1.2169609029000001,9.2,8.0,0.8474481393000001,0.5089351473,1.4717836351,-1.4198283722,0.1666666667,0.9318442495,1.1970522589,-0.3884511935,3.7790742791,2.6185919005,0.2799343372,1.295100293,-0.5306698657,2.9584098130000003,174.0,6.0,0.7475608826000001,0.0009119887,0.9208297729000001,0.001067059,0.5555555556,-3.6646748864517766,-3.6646748864517766,-2.7483841522350163,-0.7554895545999999,2.3417026132,0.4492996749,1.9871717159,-0.5636870621,344.1666666667,2.8249107145999997,0.3394884549,1.2529410483,7.0,114.0,,0.6320956121,14.0,0.4711779449,0.044557573200000006,3.3509071093,0.27608638879999997,2.1076138392,-0.0989273666,302.5,6.5,5.1,432.6666666667,2.908043329,0.30644690150000004,0.5508501142268036,249.6666666667,302.5,3.2693191491,0.36606309950000004,1.5028245455000002,52.8333333333,61.561054330299996,4.2134838962,0.2966262591,2.4387390367,-0.6726384962999999,1915.6111111111,19.0,7.0,2585.75,0.9175886746999999,0.1199460686,1.382557588,0.8868519986000001,0.4059011843
s006,0.5496025616,0.055058244000000006,1.6522087035,1.4,43.3333333333,0.4,32.7083333333,0.2,-0.5834505985,-1.4397448436000002,2.4467469808,0.33995204240000004,1.4720349722,-1.1436992995,-11.856486769763578,-9.598280444532225,1.4332205633000001,0.2418126441,1.2897925055,0.1666666667,,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,-0.0113190347,-0.012737079299999999,8.5,8.5,1.2886084482,0.4125290966,1.5695198060000002,-0.8845918892,1.0,-2.0322565071,-1.7263773157000002,-0.6556403265,2.6602601534,1.6298417325999999,0.011281321799999999,2.0597882857,-0.7717910818000001,3.4406522452,139.0,0.0,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,,,,-1.0121666734,1.3915172501,0.3855031062,1.7102455298,-0.8786262369000001,,,,,,,,0.40319981950000006,4.0,0.4894179894,0.021283661699999998,1.5450707006000002,0.2788880821,1.6143591768,-0.4395076913,341.5,5.3,4.9,,,,,335.1666666667,386.6666666667,1.3207650656,,1.926642011,51.5,-25.1598562444,2.1416499825999997,0.29026021550000003,2.2008849446000003,-0.7587804569000001,2209.1783333333,21.0,4.0,3224.1666666666997,-0.2542114541,0.2555168105,-0.35795538619999995,0.8338361601000001,0.4540214179
s007,,,,,19.0769230769,0.1333333333,14.8,0.1666666667,0.0047290234,-0.6733023105,1.9500949718,0.3590835264,1.8368913776,-0.2848811577,-7.460938276749331,-7.073805258836397,2.0765141584,,2.4761369041999997,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,0.42950206399999996,0.5991357069000001,9.6,6.4,,,,,0.3611111111,-0.6449345740000001,-0.7457286672,-0.5694639092,2.4879073189,1.5322814696,0.009798414699999999,2.3697605601,-0.7539398562999999,2.6397773564,98.0,9.0,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,-2.7483841522350163,-2.7483841522350163,-3.6646748864517766,-1.7081305488,0.8617789788,0.42574906409999996,1.5392307487999999,-0.0300081863,,,,,,,8.6329234757,0.5112262406,10.0,0.3291457286,0.006016204000000001,3.0384822489,0.3414773032,1.4940112603,-0.5693838981,,5.1,5.4,395.8333333333,1.6832786946,,0.3846122475140101,357.1666666667,439.0,1.888534086,0.3970673044,1.4482817089,81.8333333333,26.4811435343,1.8112550137,0.5129959328,1.9950677886,-0.4901610475,2282.5555555555998,-5.0,8.0,6112.166666666701,,,,0.8621573749,0.6821860019
s009,1.9883285815,0.2241630042,1.2330959174,2.7,28.2608695652,0.23333333329999997,19.1304347826,0.23333333329999997,0.0912012872,0.15554409360000002,3.2284639389,0.2912637817,1.7435089531,-0.6690333365000001,-7.572314613963326,-6.219230716275969,3.1196218302,0.2594844294,1.1914647647,0.8333333333,0.0,13.708333333299999,,2.0,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,0.1593423691,1.1747285803,6.8,4.8,2.3086839046,0.4381288624,1.8532857143,0.3771976474,0.7222222222,-3.6707443695,-1.4927404147999999,-0.5814270014,3.3843972360000003,2.6983076286000003,0.1880223673,1.2217538387,-0.7017421781000001,4.5619233948,222.0,9.0,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,-5.553730190361736,-7.824046010856294,-4.625581180301964,-1.6469901619999998,2.2433868665,0.3887696397,1.9158310355,0.1507719457,199.3333333333,2.5267279363,0.3402680377,1.6478796467,-8.5,73.0,-8.3796570593,0.6676807246,6.0,0.6073170732000001,0.14624492279999998,5.0199184652,0.2507924655,1.5285602334000001,-0.1658358786,268.0,6.8,6.4,225.1666666667,1.2695079303,0.3611292825,0.40837229966200544,186.5,206.5,3.2894483917,0.3155818365,2.6820509767000003,20.0,-35.1317225628,2.8264074008,0.35743850479999995,2.5559469076,-0.6794243176000001,1251.3159722222001,5.0,11.0,3222.6666666666997,-0.6435174488000001,0.0394239411,-0.3137889166,0.1779068063,0.45563800509999997
s011,1.4253440599,0.0978741043,1.4619348641,3.2,40.5555555556,0.4,18.3333333333,0.30000000000000004,-0.700689397,-1.2782697974,3.5196755942,0.35540836060000003,1.8635809602,-1.1622238367,,-5.277150160908597,4.5629505163,0.2586246971,1.3810722521,0.33333333330000003,0.33333333330000003,5.3333333333,0.05833333330000001,1.0,-0.0026666666999999996,-1.75,6.9130434783000005,0.130866426,3.0,-0.0025487365,-3.7931923672,0.1939300298,0.9515309845,7.9,9.8,2.0717821324,0.32532873290000003,2.3181630622,-0.9942570939,0.0,-4.4964556458,-3.012029045,-0.7548590440999999,3.8104168489999997,3.4639053116000005,0.2190919588,1.5206972825999998,-0.7625664513,3.9332268227,265.0,4.0,0.7708899498,0.0016033788,0.8675750731999999,0.0018161934,0.5833333333,,,,-0.984787275,2.6630503307,0.35890995929999997,2.5143663982,-0.5438780121,259.5,3.7725624931,0.30403297879999996,1.6769782830000002,-8.0,84.0,1.0782063195,0.23254980949999998,12.0,0.539408867,0.09170397109999999,3.5545957308999996,0.3210065287,1.1843114218000002,-1.7454960286,316.0,5.7,6.3,193.3333333333,3.6768421447,0.35196703310000005,0.7545072663975783,240.0,247.6666666667,3.8479070762,0.3188281885,1.9510649154,7.666666666699999,96.79178747379999,2.9398078441,0.3475919807,1.7720113605,-1.8728252546000002,1371.7153679654,11.0,8.0,2094.9166666667,-0.0971392062,-0.7702822997000001,-0.46043421,0.1925341667,0.24043603789999998
s012,2.1509404241,0.31763262340000004,1.4813446575,3.25,44.1578947368,0.3666666667,24.565217391300003,0.23333333329999997,-0.7186759967,-0.9244523244,3.1902150053,0.29696467649999997,2.2669682671999998,-1.5542373585,-6.744992504217036,-4.591199630247491,3.1035290135,0.26203010730000004,1.4837677499000002,0.8333333333,0.1666666667,5.666666666699999,0.05833333330000001,2.0,-0.0086666667,-2.9166666667000003,3.9583333332999997,0.1687969925,3.0,-0.0115213033,-1.9323308271000001,-0.3553490939,0.7137797811000001,8.4,8.6,2.0129321102,0.496689285,1.8949999522999998,-0.3479591439,0.1666666667,0.06923670200000001,0.328520978,0.0,5.320134937200001,3.7215204017000003,0.0728082362,,-1.0820225484000001,2.8201893119,190.0,8.0,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,,-2.7483841522350163,-2.7483841522350163,-0.5519929379999999,1.4573186674,0.3634229911,1.922432757,-0.4300543601,347.1666666667,2.427774568,0.28629746289999997,1.4905294027,-7.5,81.0,27.3376402867,0.6264483411999999,15.0,0.46172839509999997,0.0590870111,2.4054947908,0.2855460284,1.5318907575999998,-0.645312953,338.0,5.9,6.0,303.0,3.2151756817000003,0.3157473373,0.3255934695459176,275.6666666667,295.6666666667,2.180703734,0.3163378834,1.4139934062000001,20.0,20.8802469136,2.3018726285,0.36856104729999994,2.2912410586000003,-0.9376955070999999,2230.165,3.0,8.0,4731.5,-0.0689407825,-0.09441173289999999,-0.024400672400000004,0.2365442544,0.18606252350000002
s017,1.0588154048,0.027260408200000003,1.702296554,2.0,37.5,0.2666666667,21.3333333333,0.1,-1.0075827825,-0.3813672997,3.5417213473,0.3300562374,2.0712023537,-1.7003002151,-9.09292629326493,-8.534186767792809,5.6023091889,0.24026548609999998,2.3192611662,0.6666666667000001,0.1666666667,9.7083333333,0.1041666667,3.0,-0.0111666667,-2.125,7.958333333300001,0.1894025605,3.0,-0.0077980085,-1.8536882747,0.1836432283,1.3700064956,9.3,7.6,2.3399696883,0.4436613535,1.9918853593,-0.5563779153,0.8333333333,-0.2349888642,0.0197882203,-0.7548590440999999,3.8104168489999997,1.8219814719999998,0.12757492210000002,2.3680311513,-0.7625664513,3.9332268227,246.0,3.0,0.767848587,0.0024491452000000003,0.98984375,0.0027049545,0.5833333333,-8.511264302067357,-8.511264302067357,-8.511264302067357,-0.8760684076999999,1.68033755,0.4360882633,1.9047949189,-0.34525844780000003,282.6666666667,3.0159767225,0.21372571850000002,2.273194648,-14.5,160.0,,0.58484855,10.0,0.4513715711,0.0676643665,3.3696920588,0.2917217844,1.690350244,-0.3921117735,310.0,6.5,5.6,251.0,3.7716733935000004,0.2964284721,0.9995052122896124,246.8333333333,295.0,3.0422580439,0.3318205987,1.6601816180000002,48.1666666667,98.0324196876,2.4584754899,0.4145092125,1.8242209877000002,-1.7565219099,1481.6893939394001,1.0,10.0,3958.5,1.066565377,-0.0314158177,0.8092273634999999,0.185612246,0.17430210710000002
s020,0.8325705165999999,0.1060314191,1.475899059,1.85,26.6666666667,0.2,12.962962962999999,0.1,0.0765338044,-1.0371985301,2.4112699852,0.31087083200000004,1.7762313389000002,0.0371045354,-8.358821575145171,-4.6702557367190725,1.8863535628,0.2581520746,1.6589826637,0.6666666667000001,0.33333333330000003,9.8333333333,,1.0,-0.006,-1.9166666666999999,7.291666666699999,0.0038725986,0.0,-0.0009140546,-0.8612740142,-0.0335462443,0.6750894226,7.5,5.2,1.3462713625999998,0.4549053158,2.2177629993,-0.397534523,0.0,-1.9628362688999998,0.8254724883000001,-0.1448413667,3.3579238220999996,2.1983108832,0.2006186644,1.6192928586000002,-0.6807759697,4.096807786,122.0,7.0,0.6603252411,0.0017003689000000002,0.7410667895999999,0.0015159825,0.4722222222,-3.6646748864517766,-2.7483841522350163,-2.7483841522350163,-1.3689605501,1.5182371191,0.4217150914,1.7693547378999999,0.0264506833,,,,,,,3.7318341441000005,0.6229103774,8.0,0.4334975369,0.0501444983,2.4299306398,0.32327287660000004,2.1440846849,0.2053430439,381.5,6.3,5.7,253.3333333333,1.8213622315,0.401770512,0.2647471528249238,245.0,364.3333333333,2.0999298678,0.3298641583,1.5377523972999998,119.3333333333,12.8482783357,1.824566678,0.2886907396,1.7803827327,-0.9427942954,2750.9476190476003,12.0,6.0,3479.3333333333003,-0.7270158357000001,0.0267573253,-0.4318122063,0.1805794197,0.3909019375
s026,1.1576128028,0.2347738661,1.0820151264,2.0,11.375,0.2,21.2083333333,0.2,-0.0394966831,-0.351349295,3.9621271298000003,0.32664628219999997,2.098554197,-0.5725341731,-8.686370710790165,-6.9050505400884115,5.849742410299999,0.2919027274,1.3769413581999999,0.6666666667000001,0.1666666667,13.25,0.025,1.0,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.00025937830000000004,-0.07395498390000001,-0.2888881723,0.9523625263,9.8,7.1,2.0694380565,0.4060394997,2.0085298754,-0.2635139225,0.8888888889000001,-0.4862791778,-0.422916715,0.1910395678,4.9380558016,4.8871865524,0.40850865049999996,3.8720566814999997,-0.6433888409,3.1838477633999998,206.0,8.0,0.5657946467,0.0019503945999999998,1.0,0.0027379267999999997,0.44444444439999997,-7.365900695568905,-7.365900695568905,-6.449609932071973,-0.9450062173999999,2.0628584146,0.37358903439999996,1.6017991322,-0.0714849358,,,,,,,1.9133373883000002,0.57614781,13.0,0.47911547909999996,0.042180781900000006,4.1398172336000005,0.2808321975,1.3078855003,-1.1785478429,272.5,6.1,4.5,324.1666666667,3.5693322923000004,0.3222169065,0.08125492393473666,191.1666666667,237.6666666667,3.2878728156,0.3371380567,1.4515614096,46.5,27.385520763899997,2.8654981875,0.3203652454,1.7970362138999998,-0.5866037638,1949.3041666667002,15.0,7.0,2732.1666666667,0.22471474739999997,-0.0464100058,0.2726061429,0.1857878768,0.1482208463
