,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGBIAS,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s001,,,,,24.25,0.33333333330000003,446,17.0909090909,0.2666666667,357,-0.8236447309999999,-0.6044389956,2.6348375404,0.34837849190000003,1.8572400219999998,-0.7304887059999999,0.0017730443,0.1365273438,0.1463964844,2.5333333333000003,2.6785714286,3.3,2.5,2.75,3.6,1.8571428571000002,53,2.5066586064000003,0.28935072100000003,1.949172979,0.1666666667,0.1666666667,17.9166666667,0.15,0,0.0033333333,0.1666666667,8.1666666667,0.1357052897,1.0,-0.011360201499999998,-1.260495382,1.0833333333,2.0,0.08847345940000001,0.8013012034999999,6.3,5.9,1.5405111018000002,0.4870622292,1.6957710936000001,-1.5776049941999999,0.055555555599999994,2.5,3.0,1.6666666666999999,4.0,4.1666666667,4.1666666667,4.5,4.8333333333,4.6666666667,2.8333333332999997,2.8333333332999997,3.6666666667,2.8333333332999997,5.0,4.5,-2.3476223446,-2.9069190532999998,-0.6596704795,2.2968937812,1.5926767413,0.0439519524,2.0917167451,5.5555555556,0.0,18.5185185185,4.0,4.0,4.125,4.125,3.25,2.5714285714000003,4.125,52,-0.6331575077,2.7534345291,38,216.0,7,1.1875,1.5333333333,,,,,,0.25,0.06403124240000001,0.158113883,3,-0.4539460492,0.5069918239,0.1883280194,1.8773878012,0.1169314089,6.0,,,,,,,44,,,0.5881390185,2,0.7053769904,0.0910523801,2.2895935119999997,-0.0090256561,,,,,101.5,0.0,0.6000000000000001,0.8,1.0,1.3541097419,0.033286612,2.4386589988000003,-1.0559490016,0.4,0.0217595581,2.454096526,0.2656602712,1.6750321485000002,-0.2557950203,338.0,3.6,4.4,337.8333333333,1.7975901198000002,0.1110045889,2.263607525,284.8333333333,271.5,2.116835129,0.3868890248,1.7340564216999999,-13.333333333299999,91.99084148729999,1.6138153667,0.34257540470000003,1.6919611757,-0.8420462098,4.5,5.5,6.0,3.5,6.0,37,0.421430375,-0.48072098909999994,0.45896475509999995,0.0289579942,1.8226980618,-0.1969367877,0.3146028066,3.2307692308,2.7,3.5555555556,2.1111111111,3.3333333332999997,2824.1761904761997,24,4,3134.4166666666997,,,,1.5,1.9090909091,1.5833333333,2.1428571429,3.4166666667000003,0.2017943997,0.1896494268
s002,0.5734093977,0.1618587471,1.5742761925000002,1.2,20.2608695652,0.23333333329999997,453,13.0,0.1333333333,325,0.1473355136,-0.9433491803,3.6090648591,0.4108134582,2.6066018069,-0.9116643636,0.029923370100000006,0.1478212891,0.0556884766,5.0,3.9642857143,5.466666666699999,3.0,3.25,3.4,1.5714285713999998,33,3.5599313005,0.25781991239999996,1.6466789774,0.1666666667,0.1666666667,11.75,-0.0666666667,0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,1.0833333333,1.3636363636000002,0.1387440396,0.4324047369,8.0,10.3,1.3654253839,0.5249137853,2.1663259678,-0.6752429154,0.19444444440000003,2.0,1.0,1.6666666666999999,1.6666666666999999,3.3333333332999997,4.6666666667,6.5,4.5,3.6666666667,1.8333333333,2.1666666667,1.0,2.6666666667000003,3.6666666667,5.666666666699999,-1.591691541,0.4715954648,0.33223158610000003,4.6556717651,1.7817347268000001,0.1383928396,2.1856944542,16.6666666667,77.7777777778,70.3703703704,5.833333333300001,1.75,3.875,4.0,4.125,3.1428571429,4.0,49,-1.0705413209999999,3.8243251091,28,111.0,6,1.6875,1.4666666667,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,0.06403124240000001,0.158113883,0.0256124969,4,-0.5809404849,0.5719399862,0.040554272,2.0802664527,-0.4005923925,4.0666666667,,,,,,,38,,,0.5320132074,4,1.2020413495,0.6337390090999999,1.9269963344999999,-0.5107766152000001,,,,,122.0,0.2,0.2,0.6000000000000001,0.1,2.6841791942,0.4946692539,1.7969407563000002,-1.7684131355000001,,,2.3359383281,0.3890685506,1.4371241125999998,-0.8706499593000001,351.5,4.8,6.1,291.3333333333,2.6075538548,0.42420748630000005,1.3671602568,292.5,323.6666666667,2.0973037874,0.3717135239,1.4800449526,31.1666666667,144.295201474,2.8703755577999996,0.34185949619999995,2.3431712881,-0.7925474569000001,6.0,4.0,6.0,5.0,6.5,38,-0.08595851630000001,-0.6730666979000001,0.6643966325999999,0.099582649,2.44422533,-0.4738907653,-0.0051187098,2.8461538462,2.8,4.5555555556,3.0,4.1333333332999995,1795.1016666667,8,8,3727.25,-0.3938309089,-0.122940215,-0.8956231894000001,1.5,2.0909090909,3.0,3.2857142857,3.0833333332999997,0.8172749921,0.1922162034
s003,0.7548505829000001,0.0142039904,1.4222820016,1.45,13.08,0.1666666667,319,10.0869565217,0.23333333329999997,217,-0.8783138585,-0.9067397596,2.1442928877000003,0.3250437261,1.5905090609,-0.3540446211,0.0002216143,0.0007892875999999999,0.0018320313,4.2666666667,3.5714285714000003,4.7666666667,3.0,2.75,3.2,2.2857142857,40,3.1605218794,0.1999968207,1.6591456578000001,0.6666666667000001,0.33333333330000003,16.25,-0.0166666667,1,-0.0003333333,-1.5833333333,5.3333333333,0.031863979800000004,1.0,-0.0031998321,-3.1404282116,1.3333333333,1.5454545455000002,0.4673459605,-0.046718460100000005,6.9,3.1,0.5970265124,0.038220993599999996,1.8380422237,0.5498734959,0.8888888889000001,4.1666666667,3.1666666667000003,1.8333333333,3.5,3.8333333332999997,4.3333333333,4.0,4.6666666667,3.5,3.8333333332999997,3.8333333332999997,2.1666666667,2.6666666667000003,2.8333333332999997,4.8333333333,,,,,0.5798026814,0.0060037605,1.36146377,50.0,11.1111111111,14.8148148148,3.6666666667,4.75,3.0,2.75,2.75,2.5714285714000003,2.875,52,-0.5132470021000001,1.8358498131999998,23,105.0,4,1.625,1.4,0.5886491417999999,0.0013858486999999999,0.8592735291,0.0019867858,0.4166666667,0.0002011893,0.0002011893,0.0002011893,6,-2.025378014,1.7405980565,0.3263163243,1.1301070639,-0.0385032644,3.3333333332999997,332.6666666667,2.7079834659,0.30273343080000004,1.1806813667,29.0,46.5,45,,,0.3953975333,3,0.6394679766,0.2246279765,1.8872144719,0.37968956229999995,0.1666666667,0.5833333333,0.5,0.5833333333,102.5,0.6000000000000001,0.5,1.0,0.7000000000000001,1.7392510852,0.3304878614,1.4978057947,-1.4908260046,0.31940298510000004,0.0199135456,1.5920207309,0.2506875028,1.2353655222,0.2342610434,396.5,6.6,5.2,402.1666666667,2.8098610643,0.2854889704,1.4173190804,,,,,,,,2.6239078884,0.26369833670000004,1.952204629,-0.8909377589,5.5,5.5,5.0,4.5,5.0,37,-0.3447235742,-0.4339133979,0.8236742129000001,0.103598588,1.9051890865999999,-0.6016940918,-0.2116561545,3.5384615385000004,3.4,3.4444444444,3.1111111111,3.2,1718.2111904762,12,5,3925.5454545455,,,,2.4,2.3636363636,3.0,2.7857142857,2.8333333332999997,0.4123381903,0.2319574599
s004,0.9826061541,0.027791494000000003,1.9540848972999998,2.35,13.4642857143,0.0666666667,366,8.9285714286,0.0666666667,239,-0.41606888630000005,-0.7813126454000001,4.8072688142,0.36492723299999996,3.4500613262999997,-1.0908525925,0.00033947169999999996,0.0020826111,0.0805605469,2.3333333333,2.9285714286,4.4666666667,2.75,2.25,3.6,1.7142857143,64,6.656137048,0.3208990496,1.7941088618,0.6666666667000001,0.1666666667,5.375,0.0375,2,-0.0055000000000000005,-1.2083333333,8.2916666667,0.0354738155,2.0,-0.006064837900000001,-2.2755610973,1.0,1.5454545455000002,-0.33844394409999995,0.30778027950000003,8.7,6.9,2.8034832701,0.46000931,2.0540918451,-0.7203529259999999,0.055555555599999994,2.0,2.8333333332999997,1.0,1.6666666666999999,3.0,4.1666666667,2.8333333332999997,3.6666666667,3.3333333332999997,1.1666666667,1.3333333333,3.6666666667,2.0,2.0,5.0,0.661893956,2.3394122962,0.0,5.320134937200001,3.4511656107,0.19294184,2.4052043079,66.6666666667,0.0,25.925925925900003,5.3333333333,3.5,5.0,4.25,4.875,3.7142857143,3.75,38,-0.5402436899,4.8849203713,34,185.0,7,1.0,1.2666666667,0.86980896,0.0019608739,0.8949951172,0.0023698618000000003,0.7222222222,0.009797959,0.06403124240000001,0.06403124240000001,3,-0.5390584178,1.8523971577,0.4835069419,2.1187525584999998,-0.2443152606,5.6,231.8333333333,2.7207093137,0.2670477378,2.1257278546,-8.5,343.0,47,7.2530358813,-4.9340587202999995,0.49854901380000005,9,1.9441876025,0.5533892894,2.2027295941,-0.5640470074,0.5,0.8333333333,1.0,0.9166666667,133.0,0.1,0.5,0.2,0.0,3.28052595,0.4772817347,1.9375672472,-2.7839037497000003,0.4170731707,-0.0257901547,4.9063294416000005,0.2997327428,1.5383434637,-2.1110470955,304.0,6.4,5.6,282.0,4.384579028,0.2330259937,4.3997916013000005,248.0,281.5,4.9480837913,0.3131077284,4.1433905678,33.5,85.3694095769,3.8670581935,0.3784595578,3.0398554017,-0.8987738581999999,6.5,7.0,7.0,3.0,4.0,38,-0.42668675219999996,-0.9164195454,2.1841776937,0.3332225224,1.6162054094999998,-0.1995492357,0.7582972598000001,3.6923076923,2.1,4.1111111111000005,2.0,2.6666666667000003,2051.79375,8,7,3805.75,-0.4174538686,-0.0833700656,-0.5915115293000001,1.5,1.6363636363999998,1.5833333333,1.1428571429,1.9166666666999999,0.8881223547,0.2568828541
s005,0.6637438923,0.28178486210000003,1.3888890175,1.65,36.3636363636,0.2666666667,750,30.5,0.33333333330000003,580,0.17713461530000002,-0.8452322823,4.2982510247,0.3269808588,2.5019636849,-0.40853555049999996,0.000525995,0.0041643982,0.0276582031,3.5333333333,3.5,3.6333333333,3.0,3.25,3.8,2.2857142857,41,4.7876162751,0.28340359670000004,1.9756074238999999,0.8333333333,0.1666666667,13.416666666700001,0.275,3,-0.030666666699999998,-2.9166666667000003,13.041666666700001,0.4185577722,3.0,-0.0250756442,-3.7905236907999997,1.0,1.7272727273,0.2518581217,1.2169609029000001,9.2,8.0,0.8412292065000001,0.5102424409,1.4594931294,-1.4258834258000002,0.1666666667,2.0,2.6666666667000003,1.0,2.0,3.5,5.5,6.166666666699999,6.0,6.166666666699999,4.0,1.6666666666999999,1.5,2.6666666667000003,1.5,4.6666666667,0.9245779259,1.1554154531,-0.3884511935,3.7790742791,2.620467908,0.2802973392,1.2925511890999999,27.7777777778,0.0,40.740740740700005,4.8333333333,5.0,4.5,3.875,2.875,4.2857142857,4.625,46,-0.5306698657,2.9584098130000003,28,174.0,6,1.25,1.4,0.7475608826000001,0.0009119887,0.9208297729000001,0.001067059,0.5555555556,0.0256124969,0.0256124969,0.06403124240000001,4,-0.7658338022000001,2.3394964203999997,0.4494830139,1.9849710175,-0.5649557885000001,5.0666666667,344.1666666667,2.8349930143,0.3394424244,1.2554769375,7.0,114.0,43,,,0.6320956121,14,1.8372339624,0.4907072147,1.9105311047,-0.5901437045,0.6666666667000001,0.75,,0.8333333333,131.0,0.0,0.7000000000000001,0.7000000000000001,0.4,3.6455408338999997,0.2963843162,4.8382904081,-0.7843358855,0.4711779449,0.044557573200000006,3.3831508142,0.273849088,2.1417765441,-0.0984132106,302.5,6.5,5.1,432.6666666667,2.9123977341000002,0.3067143612,1.7357916946,249.6666666667,302.5,3.2723815443,0.3661173744,1.50304455,52.8333333333,61.561054330299996,4.2648957817,0.2929294722,2.5001774394,-0.6715502429000001,6.0,5.0,7.0,3.0,6.0,33,-0.0766649737,0.18620881530000002,1.4077135869,0.347773861,1.4301597075999999,-0.857491415,-0.8591499678000001,3.8461538462,3.1,3.3333333332999997,2.2222222222,3.2666666667000004,1915.6111111111,19,7,2585.75,0.6655376583,0.1035568902,1.3551677415999999,1.7000000000000002,1.3636363636000002,1.75,1.0,2.8333333332999997,0.8868519986000001,0.4059011843
s006,0.5506725513,0.0546989978,1.6520157986000001,1.4,43.3333333333,0.4,736,32.7083333333,0.2,750,-0.591725299,-1.4433889722,2.4367881833,0.339961681,1.4682672939,-1.1517663832,7.0924e-06,6.784529999999999e-05,29.632732421900002,3.4666666667,5.3571428570999995,4.7333333333,3.25,4.0,4.0,3.0,34,1.4335351859999999,0.2415196635,1.2907114893,0.1666666667,0.8333333333,19.5833333333,-0.0166666667,1,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,1.75,1.6363636363999998,-0.0113190347,-0.012737079299999999,8.5,8.5,1.2866223177,0.4148739243,1.5536974038,-0.9000976928000001,1.0,1.0,1.0,1.0,1.5,1.5,7.0,7.0,7.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,-2.0199207994,-1.7033532629,-0.6556403265,2.6602601534,1.6295996553999998,0.0101826208,2.0650118813,33.3333333333,0.0,0.0,4.3333333333,5.25,4.75,2.5,4.875,1.0,1.75,53,-0.7717910818000001,3.4406522452,28,139.0,0,1.8125,1.5333333333,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,0.25,0.25,0.25,5,-1.0158049313,1.3951524537,0.38536330729999996,1.7101669940000002,-0.8683102897,3.8,,,,,,,44,,,0.40319981950000006,4,0.8919405939,0.5159024695000001,1.8889681553,-0.005742605699999999,,0.1666666667,0.6666666667000001,0.5833333333,111.5,0.6000000000000001,0.6000000000000001,,0.4,2.1798071231000002,0.3999979857,1.7546701328,-0.39867421020000005,0.4894179894,0.021283661699999998,1.5438496693,0.2781165845,1.6196999575,-0.4438961472,341.5,5.3,4.9,,,,,335.1666666667,386.6666666667,1.3213878791,0.1187680948,1.9273757452000002,51.5,-25.1598562444,2.1480158271,0.28824155170000004,2.2173512959,-0.7562233922,7.0,7.0,7.0,7.0,7.0,42,0.045548007,-0.1671188448,1.0588653382,0.17483792829999997,1.9964223032,-0.2308286211,0.0425650834,3.7692307692,4.1,3.8888888889,3.2222222222,4.1333333332999995,2209.1783333333,21,4,3224.1666666666997,-0.1769210307,0.21205835899999997,-0.4500278035,1.8,2.1818181818,2.9166666667000003,2.7142857143,2.75,0.8338361601000001,0.4540214179
s007,,,,,19.0769230769,0.1333333333,470,14.8,0.1666666667,340,0.0156109463,-0.6714649294,1.9498804363999998,0.358997491,1.836360871,-0.2813302198,0.0005751163,0.0008470039,0.0081005859,4.8,3.7857142857,4.7333333333,3.25,2.75,3.6,3.4285714286,49,2.142853805,0.026883375499999997,2.5820098554,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,1.1666666667,1.6363636363999998,0.42950206399999996,0.5991357069000001,9.6,6.4,,,,,0.3611111111,2.6666666667000003,5.5,1.6666666666999999,3.3333333332999997,4.1666666667,4.3333333333,5.5,5.3333333333,5.5,2.1666666667,2.1666666667,5.1666666667,3.5,5.1666666667,6.166666666699999,-0.6682403506,-0.7688752296,-0.5694639092,2.4879073189,1.5343341806000002,0.0082418699,2.3788857773,61.111111111099994,11.1111111111,33.3333333333,5.3333333333,5.25,3.25,2.875,3.0,3.5714285714000003,3.25,50,-0.7539398562999999,2.6397773564,22,98.0,9,1.375,1.5333333333,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,0.06403124240000001,0.06403124240000001,0.0256124969,2,-1.7103020264,0.8656174562000001,0.42609196810000005,1.5371717136,-0.0334770874,3.8,,,,,,,43,8.6329234757,-8.637205744700001,0.5112262406,10,1.0797823901999999,0.6264593541,2.31640242,-0.5028083642,0.5,0.5833333333,0.5,0.9166666667,110.5,0.6000000000000001,0.4,0.6000000000000001,1.0,2.0130581786,0.5197994952,1.7603439311000002,-1.5438851786,0.3291457286,0.006016204000000001,3.0494445625999997,0.34167877760000004,1.4960301399,-0.5597528127,517.0,5.1,5.4,395.8333333333,1.6817419026,0.5385869391,1.4709292218,357.1666666667,439.0,1.8870422387,0.3970181411,1.4477640321,81.8333333333,26.4811435343,1.8103334028,0.5146235908,1.9865258903999998,-0.4931136499,4.5,6.0,3.5,3.0,4.5,48,-0.088467905,0.0060007829,0.301653603,0.0126594072,2.0244779397999997,-0.458790474,-0.7320709654,3.7692307692,4.0,3.2222222222,3.3333333332999997,3.4666666667,2282.5555555555998,-5,8,6112.166666666701,,,,2.2,2.0909090909,3.1666666667000003,2.2142857143,3.0,0.8621573749,0.6821860019
s008,0.9654123981999999,0.0759810999,1.3787485855000001,1.4,27.2916666667,0.2,628,17.5,0.0666666667,470,-0.22717352789999998,-1.0854222409999998,2.8749929,0.4007759995,1.4331577163,-0.7146464975,0.0005160176999999999,0.0046499634,0.051495117199999996,3.9333333333,3.8571428571,5.8666666667000005,2.0,1.5,3.4,3.4285714286,32,1.8957237274,0.2175591663,1.2410488904,0.6666666667000001,0.1666666667,16.7083333333,0.2375,3,-0.0048333333,-2.625,15.0,0.3832153691,3.0,-0.007389282099999999,-3.0165824065,1.25,1.4545454544999998,0.0509474165,0.050034244000000005,7.9,7.4,0.743796487,0.1350652061,1.9784057769,-0.2003418504,0.25,3.3333333332999997,2.5,2.3333333333,1.3333333333,4.6666666667,4.1666666667,4.6666666667,4.6666666667,4.3333333333,2.5,4.0,1.8333333333,4.5,1.3333333333,5.833333333300001,-1.4348401462,0.5517160261999999,0.1954308362,4.9292732649,2.4406353028,0.06298058599999999,2.4620430083,0.0,100.0,77.7777777778,3.6666666667,4.25,2.75,2.625,3.0,2.0,2.0,22,-0.5306698657,2.9584098130000003,28,230.0,7,1.1875,1.0,0.6793907165999999,0.0020733036,0.8077308655000001,0.001848518,0.5555555556,0.009797959,0.009797959,0.0256124969,2,-1.695946942,1.2922269534,0.3360348535,1.2843537165,0.23004865239999997,2.8666666667,,,,,,,45,,,0.2881595819,10,1.1143147356,0.4101118573,1.6407370329000002,0.9121141971,0.4166666667,0.6666666667000001,0.6666666667000001,0.6666666667000001,78.0,0.30000000000000004,0.2,0.2,0.2,2.7013116548,0.38912975270000005,1.3114617472,-1.974975494,0.34526854220000003,0.0551701192,2.5127008743,0.26612266809999996,1.2921781453,-0.7239086322,351.0,7.5,5.5,361.1666666667,2.1685421433000003,0.32028976270000004,1.1250293526000001,309.8333333333,362.6666666667,1.6139090476,0.2823813216,1.2100656565,52.8333333333,91.42600795370001,1.6342361047999998,0.30717999090000003,1.6270634465,-1.3062056647,2.0,4.5,1.5,3.0,3.5,48,-0.47313523520000006,-0.0315759625,0.7404821394000001,0.0317546644,1.8068684325,-0.22703189199999999,-0.18795652989999997,3.5384615385000004,3.8,2.5555555556,3.1111111111,2.7333333332999996,1888.6402777778,9,10,3792.25,-0.2893727689,-0.6226293107,-0.4392581724,2.6,2.1818181818,2.6666666667000003,2.2142857143,1.9166666666999999,0.1564823131,0.15071143369999998
s009,1.9895588854,0.2242027768,1.2340701131999998,2.7,28.2608695652,0.23333333329999997,615,19.1304347826,0.23333333329999997,420,0.09614615539999999,0.1661122639,3.2169531069,0.29193537810000003,1.7331687031999998,-0.6810456142,0.0005145001999999999,0.0019907760999999997,0.0101464844,4.9333333333,4.8214285714,5.3,2.5,3.0,3.2,2.8571428571,29,3.112219713,0.2596531976,1.1868709315,0.8333333333,0.0,13.708333333299999,0.4208333333,2,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,1.3333333333,1.0909090909,0.1593423691,1.1747285803,6.8,4.8,2.3161896864,0.4384622518,1.8495264622,0.37779844450000005,0.7222222222,3.5,2.5,2.1666666667,2.1666666667,3.8333333332999997,3.0,4.3333333333,3.5,3.0,2.0,2.3333333333,1.6666666666999999,3.5,2.3333333333,4.8333333333,-3.5935735532999997,-1.4556070322,-0.5814270014,3.3843972360000003,2.6982958249,0.18805145239999999,1.2210564755,66.6666666667,44.4444444444,62.962962963,5.1666666667,4.75,2.875,2.5,3.875,3.0,3.125,33,-0.7017421781000001,4.5619233948,17,222.0,9,1.1875,1.2666666667,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,0.0038729833,0.0004,0.009797959,2,-1.6436625571,2.2435304897,0.3896657914,1.9117252277,0.13971811450000002,4.0,199.3333333333,2.5289557432,0.3402501925,1.6475580328,-8.5,73.0,32,-8.3796570589,14.6540357529,0.6676807246,6,1.2397800442,0.48748752009999996,1.9744760756,-0.8654508662,0.0833333333,0.1666666667,0.5833333333,0.1666666667,71.0,0.7000000000000001,1.0,0.8,0.30000000000000004,3.4215017121,0.35038781350000003,1.7382138013,-1.5277328843,0.6073170732000001,0.14624492279999998,5.0941463269,0.25010103370000003,1.5534274983,-0.1473807524,268.0,6.8,6.4,225.1666666667,1.2680246263,0.3612428754,1.5029189144,186.5,206.5,3.3110626754,0.3143905696,2.7065303667,20.0,-35.1317225628,2.8565535645,0.3530935146,2.6059317691,-0.695124473,3.5,4.0,3.5,2.0,5.0,67,-0.8357497370000001,-0.5951905821,1.9700975841,0.3189726311,1.5997180928,-0.3985436703,-0.2503301707,3.3076923077,3.0,3.7777777778,3.0,3.5333333333,1251.3159722222001,5,11,3222.6666666666997,-0.8205932872,0.12936111420000002,-0.4664523296,2.7,2.7272727273000004,3.0,3.0,2.3333333333,0.1779068063,0.45563800509999997
s010,1.3632880034,0.09521756880000001,1.7005351225999998,3.75,43.1578947368,0.3666666667,769,23.1111111111,0.4,394,-0.4340950775,-0.7150326840000001,3.9111148043,0.31765400829999996,2.507626916,-0.836633823,0.0024217909,0.0040831299,0.030631835899999998,4.1333333332999995,4.0,3.8,3.0,2.75,3.8,2.2857142857,39,2.9628928175,0.025812772,3.3929528688999997,0.8333333333,0.1666666667,8.625,0.1375,3,-0.0098333333,-2.375,7.5,0.1920833333,3.0,-0.0077833333,-2.6541666666999997,1.0,1.9090909091,-0.0795726653,0.5786209861,7.3,4.9,1.8464751866999998,0.437007016,1.80233263,-1.0113629574,0.1388888889,3.0,5.1666666667,2.5,3.8333333332999997,4.6666666667,4.0,5.0,5.0,4.8333333333,3.3333333332999997,3.6666666667,6.5,3.8333333332999997,3.8333333332999997,5.0,-1.1398062296,-0.9286857493,-0.3719338943,3.8121088774,2.4822009976,0.109921067,2.7715907663,66.6666666667,33.3333333333,22.2222222222,5.5,4.75,3.625,3.5,3.25,3.1428571429,3.25,46,-1.0437196498999999,2.8967951088999997,26,129.0,10,1.0,1.5333333333,0.6569755554000001,0.001814584,0.948046875,0.0022854762,0.4722222222,0.0636371852,0.06403124240000001,0.06403124240000001,1,-1.1750403538,1.9870825727,0.3625586804,1.8615022313,-0.31479261140000003,3.2666666667000004,402.5,3.3423393272000004,0.199036398,2.4124674381,76.0,12.0,47,77.0936888722,-65.0831765259,0.6504249145000001,13,1.4640384212,0.2993233001,2.5954772944,-0.2652413685,0.33333333330000003,0.9166666667,0.75,1.0,123.0,0.30000000000000004,0.7000000000000001,0.2,0.8,2.5951200436,0.4239075888,2.264731522,-0.7661191801999999,0.4074074074,0.024761780499999997,3.1148402444,0.203561903,1.9846207266999998,-0.2201330413,334.0,7.8,6.3,333.1666666667,3.6413754801,0.29981228260000004,3.1111858536000003,,,,,,,,2.4461138306,0.3781489851,1.6249974543,-1.9775470079,5.0,6.0,6.5,4.5,3.5,36,-0.4983070963,0.0086306786,1.16719428,0.07980058200000001,2.3229740953,0.2739630314,-0.060989849299999996,3.3846153846,3.0,4.0,2.0,3.4666666667,1588.0909090909,7,10,2708.75,,,,1.8,2.0909090909,1.9166666666999999,2.4285714286,2.75,0.9126913795,0.1322771081
