,adaptive_n_back_mturk.hddm_drift,adaptive_n_back_mturk.hddm_non_decision,adaptive_n_back_mturk.hddm_thresh,adaptive_n_back_mturk.mean_load,angling_risk_task_always_sunny_mturk.keep_adjusted_clicks,angling_risk_task_always_sunny_mturk.keep_loss_percent,angling_risk_task_always_sunny_mturk.release_adjusted_clicks,angling_risk_task_always_sunny_mturk.release_loss_percent,attention_network_task_mturk.alerting_hddm_drift,attention_network_task_mturk.conflict_hddm_drift,attention_network_task_mturk.hddm_drift,attention_network_task_mturk.hddm_non_decision,attention_network_task_mturk.hddm_thresh,attention_network_task_mturk.orienting_hddm_drift,bickel_titrator_mturk.auc_large,bickel_titrator_mturk.auc_medium.logTr,bickel_titrator_mturk.auc_small.logTr,bickel_titrator_mturk.hyp_discount_rate_large.logTr,bickel_titrator_mturk.hyp_discount_rate_medium.logTr,choice_reaction_time_mturk.hddm_drift,choice_reaction_time_mturk.hddm_non_decision,choice_reaction_time_mturk.hddm_thresh,cognitive_reflection_survey_mturk.correct_proportion,cognitive_reflection_survey_mturk.intuitive_proportion,columbia_card_task_cold_mturk.avg_cards_chosen,columbia_card_task_cold_mturk.gain_sensitivity,columbia_card_task_cold_mturk.information_use,columbia_card_task_cold_mturk.loss_sensitivity,columbia_card_task_cold_mturk.probability_sensitivity,columbia_card_task_hot_mturk.avg_cards_chosen,columbia_card_task_hot_mturk.gain_sensitivity,columbia_card_task_hot_mturk.information_use,columbia_card_task_hot_mturk.loss_sensitivity,columbia_card_task_hot_mturk.probability_sensitivity,dietary_decision_mturk.health_sensitivity,dietary_decision_mturk.prop_healthy_choice,dietary_decision_mturk.taste_sensitivity,digit_span_mturk.forward_span,digit_span_mturk.reverse_span,directed_forgetting_mturk.hddm_drift,directed_forgetting_mturk.hddm_non_decision,directed_forgetting_mturk.hddm_thresh,directed_forgetting_mturk.proactive_interference_hddm_drift,discount_titrate_mturk.hyp_discount_rate_glm.logTr,discount_titrate_mturk.hyp_discount_rate_nm,discount_titrate_mturk.percent_patient,dot_pattern_expectancy_mturk.AY-BY_hddm_drift,dot_pattern_expectancy_mturk.AY_errors,dot_pattern_expectancy_mturk.BX-BY_hddm_drift,dot_pattern_expectancy_mturk.BY_errors,dot_pattern_expectancy_mturk.bias,dot_pattern_expectancy_mturk.hddm_drift,dot_pattern_expectancy_mturk.hddm_non_decision,dot_pattern_expectancy_mturk.hddm_thresh,go_nogo_mturk.bias,go_nogo_mturk.commission_errors,go_nogo_mturk.dprime,hierarchical_rule_mturk.score,holt_laury_survey_mturk.beta,holt_laury_survey_mturk.risk_aversion,holt_laury_survey_mturk.safe_choices,information_sampling_task_mturk.Decreasing_Win_P_correct,information_sampling_task_mturk.Decreasing_Win_motivation,information_sampling_task_mturk.Fixed_Win_P_correct,information_sampling_task_mturk.Fixed_Win_motivation,keep_track_mturk.score,kirby_mturk.percent_patient,local_global_letter_mturk.conflict_hddm_drift,local_global_letter_mturk.global_error_cost,local_global_letter_mturk.global_incongruent_errors,local_global_letter_mturk.hddm_drift,local_global_letter_mturk.hddm_non_decision,local_global_letter_mturk.hddm_thresh,local_global_letter_mturk.local_error_cost,local_global_letter_mturk.local_incongruent_errors,local_global_letter_mturk.switch_cost_hddm_drift,motor_selective_stop_signal_mturk.SSRT,motor_selective_stop_signal_mturk.hddm_drift,motor_selective_stop_signal_mturk.hddm_non_decision,motor_selective_stop_signal_mturk.hddm_thresh,motor_selective_stop_signal_mturk.reactive_control,motor_selective_stop_signal_mturk.selective_proactive_control,probabilistic_selection_mturk.positive_learning_bias,psychological_refractory_period_two_choices_mturk.PRP_slope,ravens_mturk.score,recent_probes_mturk.hddm_drift,recent_probes_mturk.hddm_non_decision,recent_probes_mturk.hddm_thresh,recent_probes_mturk.proactive_interference_hddm_drift,shape_matching_mturk.hddm_drift,shape_matching_mturk.hddm_non_decision,shape_matching_mturk.hddm_thresh,shape_matching_mturk.negative_priming,shape_matching_mturk.prime_trials,shape_matching_mturk.stimulus_interference_hddm_drift,shift_task_mturk.conceptual_responses,shift_task_mturk.learning_rate,shift_task_mturk.learning_to_learn,shift_task_mturk.num_cat_achieved.ReflogTr,shift_task_mturk.perseverative_errors,shift_task_mturk.perseverative_responses,shift_task_mturk.trials_pre_first_cat,simon_mturk.hddm_drift,simon_mturk.hddm_non_decision,simon_mturk.hddm_thresh,simon_mturk.simon_hddm_drift,spatial_span_mturk.forward_span,spatial_span_mturk.reverse_span,stim_selective_stop_signal_mturk.SSRT,stim_selective_stop_signal_mturk.hddm_drift,stim_selective_stop_signal_mturk.hddm_non_decision,stim_selective_stop_signal_mturk.hddm_thresh.logTr,stop_signal_mturk.SSRT,stop_signal_mturk.commission_errors,stop_signal_mturk.hddm_drift,stop_signal_mturk.hddm_non_decision,stop_signal_mturk.hddm_thresh,stop_signal_mturk.inhibition_slope,stop_signal_mturk.omission_errors,stop_signal_mturk.proactive_SSRT_speeding,stop_signal_mturk.proactive_slowing,stroop_mturk.congruent_errors,stroop_mturk.hddm_drift,stroop_mturk.hddm_non_decision,stroop_mturk.hddm_thresh,stroop_mturk.stroop_hddm_drift,threebytwo_mturk.cue_switch_cost_hddm_drift_100.0,threebytwo_mturk.cue_switch_cost_hddm_drift_900.0,threebytwo_mturk.hddm_drift,threebytwo_mturk.hddm_non_decision,threebytwo_mturk.hddm_thresh,threebytwo_mturk.task_switch_cost_hddm_drift_100.0,threebytwo_mturk.task_switch_cost_hddm_drift_900.0,tower_of_london_mturk.avg_move_time,tower_of_london_mturk.num_extra_moves,tower_of_london_mturk.num_optimal_solutions,tower_of_london_mturk.planning_time,two_stage_decision_mturk.model_based,two_stage_decision_mturk.model_free,two_stage_decision_mturk.perseverance,writing_task_mturk.neutral_probability,writing_task_mturk.positive_probability
s001,0.806646393099,0.13791715751300004,1.6117169366219997,1.6075000000000008,24.25,0.33333333330000003,17.0909090909,0.2666666667,-0.8100491151000001,-0.5985896881,2.6315921764,0.3487566957,1.8522615219999998,-0.7329822260000001,0.1585864726,-3.29866706624537,-3.4239894036695864,-6.335057266302602,-4.478855387076456,2.5105714530000003,0.2892049245,1.9507978976,0.1666666667,0.1666666667,17.9166666667,0.15,0.0,0.0033333333,0.1666666667,8.1666666667,0.1357052897,1.0,-0.011360201499999998,-1.260495382,0.08847345940000001,0.25,0.8013012034999999,6.3,5.9,1.5424323001,0.4865644547,1.6977750293,-1.5724720061000002,-1.9378543495448337,-0.0081645002,0.055555555599999994,-2.3459488243,2.0,-2.9046059891,0.0,-0.6596704795,1.5895781367,0.0442694405,2.0900701609,-0.6331575077,0.2285714286,2.7534345291,216.0,7.6113128603,0.37525354829999996,7.0,0.7120215412340001,0.0014193427009999999,0.7726269606320001,0.0016203610180000002,0.5130555555559997,0.11111111109999999,-0.46065623149999996,6.5,0.5333333333,0.5034799057,0.18845254239999998,1.8753349598,-43.5,0.2,0.11316838859999999,364.6200000000041,2.4348941670450013,0.3241136234799999,1.6496442098780006,27.42,69.465,3.1671784592019985,0.5881390185,2.0,0.7056778867,0.477507747862,2.2875751452,-0.00041496379999999997,1.3528437045,0.40708588113899996,2.4392366328999997,64.5,0.111969112,-1.0588910855,90.0,0.0217595581,0.15196078429999998,1.0986122886681098,88.0,150.0,18.0,2.4536027107,0.26535604160000004,1.6756086875,-0.2614519154,3.6,4.4,337.8333333333,1.7975220397,0.32345488280699997,0.8174306265616709,278.1666666667,0.5166666667,2.1167245174000002,0.3869456203,1.7341809435000002,0.006261180799999999,0.0619047619,-13.333333333299999,91.99084148729999,0.97,1.6166489447,0.34253282189999995,1.6952814263999998,-0.8372857412000001,0.421430375,-0.48072098909999994,0.45896475509999995,0.0289579942,1.8226980618,-0.1969367877,0.3146028066,2824.1761904761997,24.0,4.0,3134.4166666666997,-0.3836722534229999,0.05360454556899999,-0.424824204479,0.2017943997,0.1896494268
s002,0.5753689147000001,0.1623151196,1.5714315799,1.2,20.2608695652,0.23333333329999997,13.0,0.1333333333,0.1456185123,-0.9520852612,3.6052045823000003,0.4108458003,2.605057776,-0.9107105419,0.0408578767,-3.3455812531997773,-2.772451746021452,-6.791677180445287,-4.7989051517058465,3.5636229684,0.257586457,1.649391626,0.1666666667,0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,0.1387440396,0.1632653061,0.4324047369,8.0,10.3,1.3598659108000002,0.5242702770000001,2.1675543058,-0.6691998665000001,-2.3472301236380546,-0.0237735184,0.19444444440000003,-1.6016223208000002,3.0,0.4529148208,0.0,0.33223158610000003,1.7820589082,0.1379162196,2.1867970774,-1.0705413209999999,0.2,3.8243251091,111.0,59.8991114415,0.8568707964000001,6.0,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,0.22222222219999999,-0.5844817306,10.0,0.0714285714,0.5696335455,0.42011305960799983,2.0806193644,-72.0,0.189087369042,-0.406745087,343.0816666666741,2.6038491255680003,0.3345151651000002,1.5734501759789996,23.68,52.84,-2.223144939813,0.5320132074,4.0,1.2033069709,0.6335189918999999,1.9307776677,-0.5105313486,2.6790546319999997,0.4949047581,1.7920679181,15.0,0.1254480287,-1.7635253859,96.2,0.041309148481,0.028190147829,0.3940515728963885,93.25,140.0,20.05,2.3337467052000003,0.3891310366,1.4364178651,-0.8772996628,4.8,6.1,291.3333333333,2.6041435327,0.4241900848,0.3123994881735765,308.0833333333,0.5277777778,2.0952450690999997,0.371694807,1.4796775197999998,0.006093401500000001,0.0714285714,31.1666666667,144.295201474,1.0,2.8753714898,0.3414668107,2.3468279645,-0.7957855209,-0.08595851630000001,-0.6730666979000001,0.6643966325999999,0.099582649,2.44422533,-0.4738907653,-0.0051187098,1795.1016666667,8.0,8.0,3727.25,-0.3938309089,-0.122940215,-0.8956231894000001,0.8172749921,0.1922162034
s003,0.7529985907000001,0.014057543799999999,1.422164369,1.45,13.08,0.1666666667,10.0869565217,0.23333333329999997,-0.8837040099000001,-0.9089620873,2.1462204634,0.3249231851,1.5910623026,-0.3499940787,0.32619606160000003,-1.4090443414128346,-2.2969534409086663,-8.414572074487241,-7.144379791496216,3.1717869276,0.1996071944,1.6658743130000002,0.6666666667000001,0.33333333330000003,16.25,-0.0166666667,1.0,-0.0003333333,-1.5833333333,5.3333333333,0.031863979800000004,1.0,-0.0031998321,-3.1404282116,0.4673459605,0.23255813949999998,-0.046718460100000005,6.9,3.1,0.5949038226000001,0.3479897526980002,1.8386007934,0.5540901826,-4.5788563346287265,-0.0065487591,0.8888888889000001,-2.1645137086690007,3.84,-1.057855435136999,0.0,-0.477675650322,0.5806492885,0.006078540800000001,1.3601626260000002,-0.5132470021000001,0.34285714289999997,1.8358498131999998,105.0,1.2928725743,0.043806033099999996,4.0,0.5886491417999999,0.0013858486999999999,0.8592735291,0.0019867858,0.4166666667,0.9259259259,-2.0315638542,-36.0,0.410132690057,1.7434596203,0.326391639,1.129675453,34.0,0.05882352940000001,-0.0454640588,332.6666666667,2.7075876993,0.30279333540000003,1.181184704,29.0,46.5,3.5523182157579987,0.3953975333,3.0,0.6412079402,0.22523653829999998,1.8876123872,0.383151757,1.7392722155000002,0.33055847380000003,1.4975897031999998,-8.0,0.1010830325,-1.4868834743000001,25.0,0.0199135456,-0.5176470588000001,0.4264887815450416,62.0,103.0,15.0,1.5970153994999998,0.2508942474,1.2352767233,0.2279889372,6.6,5.2,402.1666666667,2.8091145993,0.28539162490000003,0.3501242370420786,283.730416666669,0.5320555555599998,2.2726496008170005,0.3037389079380001,1.5564327851799995,0.0075538509719999996,0.09254761905100002,21.998333333334003,19.599918965389996,0.0,2.6209573681,0.2636616294,1.9513101774000001,-0.8861847897,-0.3447235742,-0.4339133979,0.8236742129000001,0.103598588,1.9051890865999999,-0.6016940918,-0.2116561545,1718.2111904762,12.0,5.0,3925.5454545455,-0.4797540728699997,0.04765550666000001,-0.3868416334680001,0.4123381903,0.2319574599
s004,0.982630606,0.0278206318,1.9534331534,2.35,13.4642857143,0.0666666667,8.9285714286,0.0666666667,-0.4238989103,-0.7802182559,4.8287006005,0.3633738057,3.4797944464999997,-1.0916398824,0.4853416096,-1.3663540856505965,-2.6655911907438328,-7.988119972319218,-6.174132836006566,6.6657597989,0.320742152,1.7979323416000002,0.6666666667000001,0.1666666667,5.375,0.0375,2.0,-0.0055000000000000005,-1.2083333333,8.2916666667,0.0354738155,2.0,-0.006064837900000001,-2.2755610973,-0.33844394409999995,0.1836734694,0.30778027950000003,8.7,6.9,2.7987017920999997,0.46040420000000004,2.048839357,-0.7340791579000001,-1.0460166291612998,-0.023775118900000003,0.055555555599999994,0.6843066812999999,0.0,2.3570397418,0.0,0.0,3.4500359856,0.1932816119,2.400052815,-0.5402436899,0.028571428599999997,4.8849203713,185.0,7.6113128603,0.37525354829999996,7.0,0.86980896,0.0019608739,0.8949951172,0.0023698618000000003,0.7222222222,0.2962962963,-0.5357549970000001,-143.445,0.0769230769,1.8532400300999998,0.4837546197,2.119695819,-180.45,0.0,-0.2437135033,231.8333333333,2.7277744319,0.2667295187,2.131793175,-8.5,90.96,7.2530358813,0.49854901380000005,9.0,1.9400631911,0.5533946864,2.20120582,-0.5713475067,3.2909754475,0.4766418899,1.9471802588,-62.5,0.0714285714,-2.7847725705,111.0,-0.0257901547,0.0192982456,0.0,84.0,129.0,21.0,4.9146632668,0.2994421112,1.5445219591,-2.1141822958,6.4,5.6,282.0,4.3961861159,0.2306638975,0.8346730651582219,264.75,0.5333333333,4.9470538416,0.31279936129999997,2.0882706471200008,0.0093957975,0.0023809524,33.5,85.3694095769,0.0,3.8642316975,0.3784592364,3.0387663228,-0.8984636672,-0.42668675219999996,-0.9164195454,2.1841776937,0.3332225224,1.6162054094999998,-0.1995492357,0.7582972598000001,2051.79375,8.0,7.0,3805.75,-0.4174538686,-0.0833700656,-0.5915115293000001,0.8881223547,0.2568828541
s005,0.6653063958000001,0.281757109,1.3886569479,1.65,36.3636363636,0.2666666667,30.5,0.33333333330000003,0.1868631866,-0.8447480288,4.3007563094,0.32605159289999996,2.5133083069,-0.4119993112,0.326817637,-1.8449001791425639,-2.092957124674146,-7.550218850975167,-5.481183503598905,4.783398593899999,0.2839007625,1.9674996434999998,0.8333333333,0.1666666667,13.416666666700001,0.275,3.0,-0.007868333334000001,-2.9166666667000003,13.041666666700001,0.14189033520700006,3.0,-0.005611561875,-3.7905236907999997,0.2518581217,0.1956521739,1.2169609029000001,9.2,8.0,0.8437032059,0.5099937987000001,1.459672553,-1.4349785779,-3.3784262031127383,0.024579341,0.1666666667,0.9299937891,1.0,1.1662367012000001,0.0,-0.3884511935,2.6189092242000003,0.2805207939,1.2907180806999998,-0.5306698657,0.1714285714,2.9584098130000003,174.0,59.8991114415,0.8568707964000001,6.0,0.7475608826000001,0.0009119887,0.9208297729000001,0.001067059,0.5555555556,0.2962962963,-0.7578950213000001,-587.0,0.1,2.3398975334,0.4493564582,1.9887343705,-132.76,0.0,-0.5649681888,344.1666666667,2.8315244151,0.3394881524,1.2548215133,7.0,114.0,1.724402293144,0.6320956121,14.0,1.8394285041999998,0.4911390304,1.9105228738,-0.594270272,3.6491933737,0.2962728677,2.0973970102620005,-14.5,0.0902527076,-0.7827853239,138.0,0.044557573200000006,-0.1403508772,0.0,77.0,123.0,24.0,3.3829594947,0.2737740259,2.1431400564,-0.1008525638,6.5,5.1,432.6666666667,2.9020265183999996,0.30676765489999996,0.5483459936931716,276.0833333333,0.5222222222,3.2716055237,0.3660444007,1.5034064744,0.007089115100000001,0.0476190476,52.8333333333,61.561054330299996,0.0,4.2647972817,0.29370612300000004,2.4911224911,-0.6674632347999999,-0.0766649737,0.18620881530000002,1.4077135869,0.347773861,1.4301597075999999,-0.857491415,-0.8591499678000001,1915.6111111111,19.0,7.0,2585.75,0.6655376583,0.1035568902,1.3551677415999999,0.8868519986000001,0.4059011843
s006,0.5510036822000001,0.0549481441,1.6526773942,1.4,43.3333333333,0.4,32.7083333333,0.2,-0.5850184814,-1.43707165,2.4339283601,0.340187234,1.4672662478999998,-1.1468909436,0.8762517123000001,-0.3226647468128008,-3.4607619924263666,-11.856486769763578,-9.598280444532225,1.4297334391,0.24163443539999999,1.2888315011,0.1666666667,0.3566666666709999,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,-0.0113190347,0.0,-0.012737079299999999,8.5,8.5,1.2892460479999999,0.41433888979999994,1.5571984859,-0.8960378347,-7.957177197859483,-0.0094265084,1.0,-2.0363274603,4.0,-1.7144752895000002,0.0,-0.6556403265,1.6249959772,0.0101508746,2.0615379368999998,-0.7717910818000001,0.1714285714,3.4406522452,139.0,-31.14061609,0.2733471749,0.0,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,0.037037037,-1.006554073,93.0,0.2631578947,1.3971665269,0.3857020753,1.7092558430000002,53.5,0.15789473680000002,-0.8695039882000001,369.090000000006,2.235788635376001,0.309715128285,1.5411388171289997,13.85,74.27,3.503471859737,0.40319981950000006,4.0,0.8948743734000001,0.5157135214,1.8894545493000001,-0.0113510196,2.1805278263,0.4000011627,1.754862914,-24.5,0.11636363640000001,-0.400931662,151.0,0.021283661699999998,-0.1225490196,1.0986122886681098,101.0,165.0,15.0,1.5433956665000002,0.2783575438,1.6203032287,-0.439842057,5.3,4.9,348.45833333332894,2.249710230821999,0.3160643351770001,0.5379996566727597,360.9166666667,0.5361111111139999,1.3208519077,0.2784761638519999,1.9269266044,0.0037227143,0.099214285715,51.5,-25.1598562444,1.0,2.1524072126,0.2882248296,2.2199964638,-0.7517680687999999,0.045548007,-0.1671188448,1.0588653382,0.17483792829999997,1.9964223032,-0.2308286211,0.0425650834,2209.1783333333,21.0,4.0,3224.1666666666997,-0.1769210307,0.21205835899999997,-0.4500278035,0.8338361601000001,0.4540214179
s007,0.9033743346400002,0.128103760843,1.6881007225620008,1.719833333333,19.0769230769,0.1333333333,14.8,0.1666666667,0.0237196834,-0.6736436204,1.9474079284,0.35915335119999997,1.8328115313,-0.28184724170000003,0.3999657534,-0.8186638107432009,-2.389397237104591,-7.460938276749331,-7.073805258836397,2.1429858502,0.2876502103190001,2.5812498919,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,0.42950206399999996,0.1875,0.5991357069000001,9.6,6.4,1.3251020302629999,0.4628479297020001,2.006238565102,-0.8260435364709999,-2.158990179759191,0.0117891706,0.3611111111,-0.6662286096000001,2.0,-0.7598136294000001,0.0,-0.5694639092,1.5361547088999998,0.008225743800000001,2.3809208540999998,-0.7539398562999999,0.2857142857,2.6397773564,98.0,25.7627506452,0.3968411315,9.0,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,0.2592592593,-1.7058438721,-316.5,0.7692307692,0.8669088671999999,0.42570367509999996,1.5383093675,-91.0,0.380952381,-0.0316890764,388.6250000000071,2.1927377123830007,0.3293931069939999,1.5004605618189997,22.685,56.375,8.6329234757,0.5112262406,10.0,1.0800232668,0.6263703069000001,2.3159294187,-0.49998699399999996,2.0157643227,0.5196551655,1.7611968985000002,27.5,0.1146953405,-1.5334381938,86.0,0.006016204000000001,-0.1228070175,0.6931471805599453,69.0,89.0,17.0,3.0508488857,0.34146928,1.4971291503000002,-0.5583740731,5.1,5.4,395.8333333333,1.6834343328,0.3648606234610002,0.3856776571448236,398.0833333333,0.5555555556,1.8882726173,0.3970941033,1.4467723666999999,0.0041042882,0.1142857143,81.8333333333,26.4811435343,2.0,1.8115134241,0.5147782752000001,1.9867070723,-0.4969583752,-0.088467905,0.0060007829,0.301653603,0.0126594072,2.0244779397999997,-0.458790474,-0.7320709654,2282.5555555555998,-5.0,8.0,6112.166666666701,-0.21114279763900007,-0.058958298378999976,-0.23035709763,0.8621573749,0.6821860019
s008,0.9628848676,0.07575435450000001,1.3790185474,1.4,27.2916666667,0.2,17.5,0.0666666667,-0.2344423827,-1.0870288285,2.8822094658,0.4005063317,1.4363589215,-0.716289728,0.5187517123000001,-2.8469285437915746,-2.6934737373218,-7.569369490745442,-5.37089593038159,1.8960146165,0.2174677389,1.2428876341,0.6666666667000001,0.1666666667,16.7083333333,0.2375,3.0,-0.0048333333,-2.625,15.0,0.3832153691,3.0,-0.007389282099999999,-3.0165824065,0.0509474165,0.0,0.050034244000000005,7.9,7.4,0.7450524727000001,0.3976834404129999,1.9789611421,-0.2011294369,-3.17735255789696,0.0255655659,0.25,-1.4374997025999998,3.0,0.5490064559000001,0.0,0.1954308362,2.4434278422999998,0.0626484104,2.4644809819,-0.5306698657,0.1714285714,2.9584098130000003,230.0,7.6113128603,0.37525354829999996,7.0,0.6793907165999999,0.0020733036,0.8077308655000001,0.001848518,0.5555555556,0.4074074074,-1.6932558827000002,-3.0,0.6666666667000001,1.2908873323999999,0.3363074454,1.2832959784,5.0,0.23076923079999997,0.2190558712,358.75333333333504,2.3637265567670007,0.292746383882,1.4160991641320002,31.7,55.375,3.8314140477759997,0.2881595819,10.0,1.115117201,0.4099123158,1.6424894291,0.9162543309,2.704124985,0.389238945,1.3115936347,-13.0,0.1071428571,-1.9748626816,76.0,0.0551701192,-0.0385964912,0.0,94.0,121.0,20.0,2.5118455539,0.266043959,1.2945844083,-0.7199977451,7.5,5.5,361.1666666667,2.1655466569,0.32022769170000004,0.11823867716935495,336.25,0.55,1.6173132319,0.2823859687,1.2100970187,0.0055219714,0.1571428571,52.8333333333,91.42600795370001,1.0,1.6323308834,0.30700174550000003,1.6261917055,-1.3047128223,-0.47313523520000006,-0.0315759625,0.7404821394000001,0.0317546644,1.8068684325,-0.22703189199999999,-0.18795652989999997,1888.6402777778,9.0,10.0,3792.25,-0.2893727689,-0.6226293107,-0.4392581724,0.1564823131,0.15071143369999998
s009,1.9901749109,0.2242162629,1.2333973452,2.7,28.2608695652,0.23333333329999997,19.1304347826,0.23333333329999997,0.0891006032,0.1646508999,3.2147234963,0.2917885545,1.7338164211000002,-0.6642422242,0.4287517123,-1.3655386559898504,-2.8745911085088065,-7.572314613963326,-6.219230716275969,3.1102526697000004,0.2596551036,1.186642605,0.8333333333,0.0,13.708333333299999,0.04900000000100003,2.0,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,0.1593423691,0.17021276600000002,1.1747285803,6.8,4.8,2.3121865143,0.439073927,1.8449419609,0.3697397748,-5.311440924966616,0.0043246982,0.7222222222,-3.6095942218,3.0,-1.4628204507,0.0,-0.5814270014,2.6939304603,0.1881113751,1.2191268298,-0.7017421781000001,0.0571428571,4.5619233948,222.0,25.7627506452,0.3968411315,9.0,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,0.5925925926,-1.6418432991999998,-10.5,0.0714285714,2.2392002651,0.3894841872,1.9120875126,-190.905,0.0,0.1393476949,199.3333333333,2.5254188887,0.3402057771,1.6468474244,-8.5,73.0,-8.3796570589,0.6676807246,6.0,1.2412154845,0.4875572938,1.9769911230000001,-0.8730556530000001,3.42628039,0.3502389307,1.7412488376000002,-8.0,0.0964285714,-1.5210155634,209.0,0.14624492279999998,-0.098245614,0.0,83.0,145.0,24.0,5.1025279855,0.25009025100000004,1.5537084505,-0.1518606417,6.8,6.4,225.1666666667,1.2679696939,0.3611774483,0.407056284581844,196.5,0.5277777778,3.3043643963,0.3146146522,2.7011088355,0.0088475104,0.019047619,20.0,-35.1317225628,0.0,2.8559236878,0.35362031250000003,2.606645235,-0.6891327459000001,-0.8357497370000001,-0.5951905821,1.9700975841,0.3189726311,1.5997180928,-0.3985436703,-0.2503301707,1251.3159722222001,5.0,11.0,3222.6666666666997,-0.8205932872,0.12936111420000002,-0.4664523296,0.1779068063,0.45563800509999997
s010,1.3650889093,0.09500197519999999,1.7015064036,3.75,43.1578947368,0.3666666667,23.1111111111,0.4,-0.4286037299,-0.7196800504,3.9065963581,0.3178112766,2.5072158273,-0.8356933287999999,0.1174417808,-1.365501759304347,-2.9933891308581937,-6.023247971186786,-5.500891452308752,2.9545037211,0.262410520071,1.6810240946709991,0.8333333333,0.1666666667,8.625,0.1375,3.0,-0.0098333333,-2.375,7.5,0.1920833333,3.0,-0.0077833333,-2.6541666666999997,-0.0795726653,0.1458333333,0.5786209861,7.3,4.9,1.8444642447,0.4369899892,1.8014135952,-1.0114128018000001,-2.422911247262057,-0.0184769591,0.1388888889,-1.1402263271,0.0,-0.9283660403,0.0,-0.3719338943,2.4825058956,0.1093772968,2.7750912965000003,-1.0437196498999999,0.34285714289999997,2.8967951088999997,129.0,46.062695462700006,0.8291899447000001,10.0,0.6569755554000001,0.001814584,0.948046875,0.0022854762,0.4722222222,0.22222222219999999,-1.1820715364,-373.5,0.1764705882,1.9926301615,0.3625545947,1.8635255846,-153.0,0.05,-0.3131090179,402.5,3.3377460107,0.1992154448,2.4078757057,76.0,12.0,5.073933093627999,0.6504249145000001,13.0,1.4660259799000002,0.29936639930000003,2.5945555405,-0.26669045080000003,2.586025942,0.42464009979999995,2.2540304953,-70.5,0.07526881719999999,-0.7705742726,100.0,0.024761780499999997,0.0736842105,0.0,87.0,141.0,16.0,3.1123042036,0.2034656559,1.9852065889,-0.221519903,7.8,6.3,333.1666666667,3.6247552594999997,0.3012671496,1.1281018770581202,279.85000000000196,0.5214444444509997,3.2045409694320006,0.31168436639200003,1.7195773564839996,0.009279755311,0.039428571431,20.908333333332006,24.783107679295,0.0,2.447774288,0.378075556,1.6259986456000002,-1.9829022752,-0.4983070963,0.0086306786,1.16719428,0.07980058200000001,2.3229740953,0.2739630314,-0.060989849299999996,1588.0909090909,7.0,10.0,2708.75,0.11105212074600004,-0.010222844085,0.10502826560700004,0.9126913795,0.1322771081
