worker	ten_item_personality_survey_3	ten_item_personality_survey_4	ten_item_personality_survey_5	ten_item_personality_survey_6	ten_item_personality_survey_7	ten_item_personality_survey_8	ten_item_personality_survey_9	ten_item_personality_survey_10	ten_item_personality_survey_11	ten_item_personality_survey_12
s002	7.0	6.0	5.0	5.0	6.0	3.0	6.0	3.0	7.0	7.0
s005	4.0	7.0	5.0	7.0	6.0	2.0	5.0	5.0	7.0	6.0
s006	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
s007	4.0	2.0	6.0	2.0	4.0	2.0	7.0	6.0	5.0	5.0
s009	2.0	3.0	5.0	2.0	5.0	2.0	4.0	3.0	5.0	5.0
s011	7.0	7.0	6.0	5.0	5.0	7.0	7.0	3.0	4.0	7.0
s012	2.0	5.0	6.0	4.0	3.0	3.0	2.0	5.0	4.0	3.0
s017	3.0	7.0	7.0	3.0	5.0	1.0	7.0	7.0	6.0	4.0
s020	6.0	6.0	6.0	7.0	6.0	5.0	5.0	6.0	6.0	3.0
s026	3.0	6.0	6.0	7.0	4.0	5.0	5.0	6.0	7.0	4.0
s027	2.0	7.0	6.0	4.0	6.0	2.0	6.0	4.0	6.0	5.0
s028	3.0	6.0	5.0	4.0	5.0	3.0	6.0	7.0	4.0	6.0
s029	2.0	3.0	6.0	3.0	6.0	2.0	2.0	3.0	4.0	5.0
s032	3.0	6.0	7.0	7.0	5.0	3.0	6.0	7.0	7.0	4.0
s034	5.0	7.0	5.0	7.0	5.0	2.0	7.0	5.0	7.0	5.0
s042	3.0	7.0	5.0	4.0	5.0	3.0	5.0	4.0	6.0	3.0
s047	6.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	6.0	5.0
s049	6.0	6.0	6.0	6.0	6.0	3.0	7.0	7.0	7.0	4.0
s056	1.0	6.0	7.0	5.0	2.0	1.0	7.0	7.0	7.0	2.0
s060	1.0	6.0	7.0	6.0	5.0	3.0	5.0	7.0	6.0	3.0
s062	4.0	7.0	7.0	2.0	6.0	2.0	7.0	7.0	6.0	6.0
s063	5.0	7.0	5.0	3.0	5.0	3.0	7.0	3.0	3.0	6.0
s065	1.0	3.0	5.0	3.0	7.0	3.0	6.0	5.0	2.0	1.0
s066	5.0	7.0	5.0	7.0	5.0	3.0	7.0	7.0	7.0	6.0
s071	5.0	6.0	6.0	6.0	6.0	3.0	6.0	6.0	6.0	6.0
s077	4.0	6.0	6.0	7.0	6.0	4.0	4.0	6.0	7.0	6.0
s081	1.0	6.0	6.0	3.0	5.0	2.0	4.0	7.0	4.0	5.0
s082	1.0	7.0	6.0	3.0	1.0	1.0	3.0	6.0	6.0	2.0
s083	6.0	6.0	5.0	7.0	5.0	3.0	7.0	1.0	6.0	5.0
s084	5.0	5.0	5.0	6.0	5.0	3.0	7.0	7.0	7.0	3.0
s085	2.0	6.0	5.0	6.0	5.0	2.0	4.0	7.0	5.0	7.0
s086	2.0	5.0	5.0	6.0	5.0	2.0	5.0	5.0	6.0	4.0
s089	2.0	7.0	6.0	6.0	3.0	2.0	6.0	5.0	7.0	5.0
s091	4.0	6.0	6.0	3.0	4.0	3.0	7.0	5.0	6.0	4.0
s092	1.0	7.0	5.0	1.0	3.0	1.0	6.0	6.0	3.0	3.0
s093	2.0	6.0	6.0	5.0	6.0	1.0	7.0	5.0	5.0	6.0
s094	6.0	6.0	6.0	7.0	6.0	5.0	7.0	6.0	7.0	5.0
s096	5.0	3.0	2.0	5.0	5.0	4.0	2.0	4.0	4.0	5.0
s097	1.0	6.0	7.0	3.0	7.0	1.0	6.0	6.0	6.0	1.0
s098	1.0	7.0	7.0	7.0	7.0	1.0	7.0	3.0	7.0	4.0
s099	2.0	7.0	6.0	3.0	6.0	1.0	4.0	5.0	4.0	6.0
s102	2.0	6.0	5.0	1.0	4.0	2.0	6.0	5.0	3.0	7.0
s103	1.0	3.0	3.0	2.0	7.0	1.0	6.0	1.0	2.0	7.0
s105	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
s106	1.0	3.0	7.0	1.0	1.0	1.0	7.0	7.0	7.0	3.0
s107	3.0	5.0	6.0	6.0	7.0	3.0	7.0	4.0	5.0	1.0
s108	1.0	5.0	4.0	1.0	5.0	1.0	5.0	3.0	2.0	4.0
s109	2.0	7.0	6.0	7.0	5.0	2.0	6.0	5.0	5.0	2.0
s110	1.0	3.0	6.0	1.0	2.0	1.0	6.0	5.0	4.0	2.0
s111	7.0	5.0	3.0	3.0	7.0	7.0	6.0	3.0	3.0	7.0
s112	3.0	6.0	6.0	6.0	5.0	2.0	6.0	6.0	7.0	3.0
s114	4.0	6.0	5.0	7.0	4.0	4.0	4.0	6.0	6.0	5.0
s123	2.0	3.0	5.0	3.0	3.0	2.0	5.0	5.0	5.0	2.0
s128	2.0	5.0	3.0	2.0	3.0	2.0	6.0	3.0	3.0	3.0
s129	2.0	3.0	4.0	5.0	5.0	2.0	5.0	3.0	5.0	7.0
s131	1.0	7.0	7.0	6.0	1.0	1.0	1.0	7.0	6.0	5.0
s135	6.0	6.0	7.0	7.0	5.0	2.0	5.0	7.0	7.0	6.0
s140	2.0	6.0	6.0	6.0	6.0	2.0	6.0	5.0	6.0	5.0
s142	7.0	6.0	3.0	7.0	7.0	7.0	6.0	3.0	3.0	7.0
s145	1.0	6.0	4.0	1.0	2.0	1.0	7.0	7.0	3.0	7.0
s149	2.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	3.0	5.0
s155	1.0	4.0	7.0	7.0	7.0	1.0	1.0	7.0	7.0	7.0
s156	2.0	4.0	7.0	7.0	6.0	2.0	5.0	7.0	7.0	6.0
s161	1.0	7.0	6.0	3.0	3.0	1.0	6.0	6.0	3.0	6.0
s163	2.0	7.0	6.0	7.0	6.0	3.0	5.0	5.0	7.0	3.0
s165	2.0	7.0	6.0	7.0	3.0	1.0	6.0	7.0	7.0	2.0
s168	1.0	5.0	5.0	5.0	5.0	1.0	2.0	6.0	6.0	6.0
s170	2.0	7.0	6.0	7.0	6.0	2.0	4.0	6.0	6.0	7.0
s173	2.0	4.0	5.0	7.0	6.0	1.0	6.0	5.0	7.0	2.0
s179	1.0	3.0	6.0	1.0	4.0	1.0	6.0	5.0	2.0	3.0
s180	3.0	3.0	7.0	4.0	6.0	4.0	3.0	6.0	5.0	6.0
s182	2.0	6.0	3.0	5.0	5.0	1.0	5.0	2.0	6.0	5.0
s184	6.0	6.0	6.0	6.0	6.0	5.0	6.0	5.0	6.0	5.0
s186	5.0	7.0	6.0	7.0	6.0	4.0	6.0	5.0	6.0	7.0
s187	5.0	5.0	2.0	3.0	5.0	4.0	5.0	3.0	3.0	6.0
s188	2.0	5.0	6.0	7.0	5.0	1.0	3.0	7.0	7.0	5.0
s190	2.0	7.0	7.0	3.0	2.0	1.0	7.0	7.0	4.0	2.0
s192	3.0	6.0	5.0	6.0	5.0	2.0	7.0	6.0	6.0	5.0
s196	6.0	6.0	6.0	4.0	6.0	6.0	3.0	7.0	5.0	5.0
s198	6.0	6.0	6.0	6.0	5.0	3.0	6.0	6.0	6.0	6.0
s202	7.0	6.0	7.0	7.0	7.0	7.0	2.0	6.0	5.0	7.0
s205	2.0	6.0	6.0	5.0	3.0	2.0	6.0	6.0	6.0	5.0
s206	6.0	7.0	7.0	7.0	5.0	7.0	6.0	7.0	7.0	3.0
s207	1.0	7.0	7.0	5.0	2.0	1.0	7.0	7.0	4.0	3.0
s208	1.0	6.0	2.0	2.0	4.0	1.0	5.0	1.0	3.0	4.0
s209	3.0	7.0	7.0	6.0	3.0	2.0	6.0	7.0	6.0	5.0
s210	6.0	7.0	6.0	7.0	6.0	7.0	5.0	7.0	6.0	7.0
s212	4.0	6.0	6.0	6.0	6.0	2.0	4.0	6.0	6.0	6.0
s216	1.0	7.0	7.0	1.0	1.0	1.0	6.0	7.0	2.0	2.0
s218	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0
s226	6.0	7.0	6.0	7.0	7.0	3.0	6.0	6.0	7.0	7.0
s228	1.0	2.0	3.0	1.0	1.0	1.0	3.0	5.0	2.0	1.0
s233	1.0	2.0	4.0	1.0	2.0	3.0	3.0	6.0	1.0	5.0
s237	3.0	3.0	4.0	4.0	6.0	2.0	6.0	4.0	4.0	2.0
s238	6.0	6.0	6.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0
s244	2.0	3.0	6.0	2.0	5.0	2.0	3.0	6.0	2.0	6.0
s246	5.0	3.0	1.0	3.0	3.0	4.0	5.0	2.0	5.0	1.0
s249	5.0	7.0	7.0	5.0	5.0	6.0	6.0	7.0	7.0	5.0
s252	2.0	5.0	6.0	5.0	5.0	1.0	5.0	7.0	5.0	6.0
s254	5.0	7.0	6.0	3.0	3.0	6.0	7.0	5.0	3.0	6.0
s259	6.0	7.0	7.0	7.0	7.0	3.0	7.0	5.0	7.0	7.0
s262	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	4.0
s264	5.0	6.0	5.0	6.0	3.0	3.0	5.0	6.0	5.0	6.0
s265	3.0	7.0	5.0	6.0	7.0	5.0	2.0	6.0	7.0	7.0
s269	6.0	3.0	6.0	3.0	6.0	3.0	5.0	6.0	6.0	4.0
s273	4.0	6.0	6.0	7.0	5.0	2.0	4.0	7.0	7.0	5.0
s275	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0
s277	5.0	7.0	5.0	3.0	5.0	2.0	5.0	7.0	5.0	7.0
s284	1.0	6.0	6.0	6.0	5.0	2.0	5.0	6.0	5.0	3.0
