	Age	HighestEducation	HeightInches	WeightPounds	DivorceCount	LongestRelationship	RelationshipNumber	ChildrenNumber	HouseholdIncome	RetirementAccount	RetirementPercentStocks	MortgageDebt	CarDebt	EducationDebt	CreditCardDebt	CoffeeCupsPerDay	TeaCupsPerDay	CaffienatedSodaCansPerDay	CaffieneOtherSourcesDayMG	TrafficTicketsLastYearCount	TrafficAccidentsLifeCount	ArrestedChargedLifeCount	OtherDebtAmount
s002	35	2	72	240	0	216	1	3	19500	0.0		1.0	1.0	6.0	5.0	3	0	0	0	0.0	3.0	0.0	
s005	36	3	76	175	0	18	5	0	36000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	3.0	5.0	
s006	33	5	60	130	0	144	3	3	100000	0.0		1.0	1.0	1.0	1.0	1	0	0	0	0.0	0.0	0.0	1.0
s007	32	3	64	130	0	84	3	3	98000	0.0		1.0	1.0	1.0	3.0	0	0	0	0	0.0	3.0	0.0	
s009	26	4	72	244	0	17	3	0	8000	0.0		1.0	1.0	4.0	1.0	1	2	0	0	0.0	0.0	0.0	1.0
s011	27	3	72	320	1	65	3	0	25000	0.0	0			4.0	1.0	0	0	2	160	0.0	0.0	0.0	5.0
s012	36	3	68	268	0	144	4	4	40000	0.0		1.0	1.0	4.0	1.0	1	0	0	200	0.0	2.0	0.0	
s017	31	4	69	180	0	36	5	0	45000	1.0	90	1.0	4.0	1.0	1.0	3	1	0	0	0.0	0.0	0.0	
s020	25	4	75	315	0	4	2	0	45000	0.0		5.0	1.0	7.0	2.0	2	0	2	200	0.0	0.0	0.0	1.0
s026	38	4	71	195	0	48	5	0	30000	0.0	0	1.0	7.0	1.0	1.0	0	0	0	0	0.0	2.0	0.0	1.0
s027	30	3	73	210	0	60	2	0	15000	0.0		1.0	1.0	1.0	1.0	2	1	0	0	0.0	2.0	0.0	1.0
s028	31	4	66	20	0	48	5	4	35000	1.0		1.0	4.0	4.0	3.0	2	0	0	0	0.0	2.0	0.0	
s029	22	4	65	120	0	2	1	0	40000	0.0						0	0	0	0	0.0	0.0	0.0	
s032	38	3	73	240	1	146	6	1	78000	1.0	25	7.0	1.0	1.0	1.0	2	0	2	0	0.0	2.0	0.0	
s034	28	3	61	199	0	88	5	1	35000	1.0	0	1.0	1.0	3.0	1.0	1	0	0	0	0.0	1.0	0.0	
s042	28	4	65	125	0	36	2	0	49000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	1.0	0.0	2.0
s047	26	4	70	150	0	60	3	0	45000	0.0		1.0	4.0	1.0	2.0	0	0	0	0	1.0	0.0	0.0	
s049	59	2	66	175	0	300	1	2	98000	0.0			4.0	1.0	2.0	2	0	1	0	0.0	0.0	0.0	
s056	48	3	76	200	0	120	5	0	48000	1.0	70	1.0	1.0	1.0	4.0	0	0	1	0	0.0	2.0	0.0	1.0
s060	49	4	64	145	0	24	3	0	25000	0.0		1.0	1.0	1.0	2.0	0	4	1	0	0.0	2.0	0.0	
s062	26	6	66	132	0	12	2	0	70000	0.0		1.0	1.0	8.0	2.0	2	2	4	0	0.0	0.0	0.0	
s063	40	3	63	190	0	48	3	4	28000	0.0		1.0	1.0	3.0	2.0	1	1	1	0	0.0	2.0	0.0	
s065	28	4	50	114	0	0	0	0	50000	0.0		1.0	1.0	4.0	1.0	1	0	2	0	0.0	0.0	0.0	
s066	27	4	66	167	0	65	3	2	66000	1.0	3	2.0	6.0	4.0	2.0	0	0	0	0	0.0	2.0	0.0	
s071	40	3	64	200	1	140	5	1	99000	1.0	30	6.0	1.0	1.0	1.0	5	1	0	0	1.0	1.0	0.0	6.0
s077	30	4	71	170	0	36	4	0	48000	0.0						0	0	0	0	0.0	0.0	0.0	
s081	42	4	69	180	0	36	3	0	43800	0.0		1.0	3.0	1.0	2.0	0	0	6	0	0.0	0.0	0.0	
s082	29	2	70	220	0	0	0	0	30000	0.0		1.0	1.0	1.0	1.0	0	0	2	0	0.0	0.0	0.0	1.0
s083	50	3	68	265	0	36	6	0	14000	0.0		1.0	1.0	1.0	1.0	0	0	5	0	0.0	5.0	4.0	
s084	46	3	72	280	0	216	4	3	79000	1.0	20	2.0	1.0	1.0	1.0	2	1	3	0	0.0	1.0	0.0	
s085	36	4	65	135	0	6	3	0	65000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	3.0	0.0	
s086	24	4	67	145	0	27	2	0	75000	0.0			1.0	5.0	1.0	0	1	0	0	0.0	0.0	0.0	
s089	32	3	62	125	0	180	1	2	35000	0.0		7.0	1.0	1.0	5.0	0	0	0	0	0.0	2.0	1.0	
s091	30	4	67	135	0	127	2	0	80000	0.0		1.0	3.0	3.0	2.0	3	0	0	0	0.0	0.0	0.0	
s092	33	3	66	150	0	144	3	3	80000	1.0	0	1.0	7.0	8.0	3.0	0	0	2	35	0.0	1.0	0.0	
s093	37	3	71	300	0	60	6	1	69999	0.0		3.0	1.0	1.0	2.0	0	5	0	0	1.0	2.0	0.0	
s094	40	4	71	220	0	48	4	0	25000	0.0						0	0	4	0	0.0	2.0	3.0	
s096	39	4	63	140	0	24	5	0	80000	0.0						0	4	1	0	0.0	1.0	0.0	
s097	33	4	63	155	0	62	4	0	62000	0.0		1.0	1.0	6.0	2.0	4	1	0	0	0.0	0.0	0.0	
s098	26	5	68	140	0	122	6	0	27000	0.0		1.0	1.0	3.0	1.0	2	0	1	250	0.0	0.0	0.0	3.0
s099	26	4	69	140	0	75	5	1	155000	1.0		7.0	1.0	1.0	1.0	1	1	0	0	0.0	0.0	0.0	
s102	21	3	66	171	0	65	2	0	25000	0.0		1.0		5.0	1.0	2	1	0	0	0.0	0.0	0.0	
s103	31	3	66	141	0	159	4	2	12500	0.0		1.0	1.0	1.0	1.0	4	3	0	200	0.0	2.0	0.0	1.0
s105	25	1	64	165	0	12	3	0	35000	0.0		1.0	1.0	1.0	2.0	0	5	0	0	0.0	0.0	0.0	3.0
s106	35	4	69	146	0	26	4	1	25000	0.0		1.0	1.0	1.0	1.0	0	0	1	40	0.0	0.0	0.0	
s107	35	3	74	195	1	150	1	2	45000	0.0		1.0	3.0	1.0	3.0	0	0	0	300	1.0	3.0	1.0	1.0
s108	43	3	70	198	0	240	5	1	50000	1.0	70		1.0	1.0	4.0	2	0	-1	-4	0.0	1.0	0.0	
