worker	dospert_rp_survey_2	dospert_rp_survey_3	dospert_rp_survey_4	dospert_rp_survey_5	dospert_rp_survey_6	dospert_rp_survey_7	dospert_rp_survey_8	dospert_rp_survey_9	dospert_rp_survey_10	dospert_rp_survey_11	dospert_rp_survey_12	dospert_rp_survey_13	dospert_rp_survey_14	dospert_rp_survey_15	dospert_rp_survey_16	dospert_rp_survey_17	dospert_rp_survey_18	dospert_rp_survey_19	dospert_rp_survey_20	dospert_rp_survey_21	dospert_rp_survey_22	dospert_rp_survey_23	dospert_rp_survey_24	dospert_rp_survey_25	dospert_rp_survey_26	dospert_rp_survey_27	dospert_rp_survey_28	dospert_rp_survey_29	dospert_rp_survey_30	dospert_rp_survey_31
s002	1.0	5.0	7.0	7.0	6.0	7.0	3.0	6.0	7.0	4.0	4.0	6.0	3.0	7.0	3.0	1.0	6.0	6.0	3.0	5.0	2.0	2.0	1.0	3.0	4.0	6.0	1.0	2.0	7.0	2.0
s005	1.0	3.0	7.0	5.0	6.0	7.0	5.0	7.0	6.0	5.0	7.0	5.0	6.0	7.0	7.0	5.0	7.0	6.0	7.0	7.0	4.0	5.0	3.0	7.0	7.0	6.0	4.0	5.0	7.0	3.0
s006	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
s007	1.0	5.0	7.0	5.0	6.0	5.0	2.0	5.0	6.0	5.0	6.0	5.0	6.0	6.0	4.0	2.0	5.0	5.0	5.0	7.0	2.0	1.0	3.0	5.0	6.0	7.0	3.0	4.0	7.0	1.0
s009	1.0	2.0	5.0	2.0	2.0	4.0	3.0	5.0	3.0	6.0	4.0	4.0	5.0	5.0	3.0	2.0	4.0	5.0	3.0	7.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0
s011	1.0	6.0	7.0	1.0	4.0	5.0	1.0	7.0	7.0	5.0	6.0	6.0	6.0	7.0	5.0	2.0	5.0	7.0	7.0	6.0	4.0	1.0	5.0	7.0	5.0	2.0	1.0	1.0	5.0	1.0
s012	2.0	4.0	5.0	3.0	6.0	6.0	4.0	5.0	5.0	5.0	7.0	6.0	5.0	5.0	6.0	2.0	5.0	5.0	4.0	7.0	3.0	4.0	2.0	4.0	6.0	5.0	3.0	4.0	5.0	1.0
s017	1.0	2.0	6.0	5.0	2.0	4.0	5.0	6.0	4.0	4.0	6.0	5.0	4.0	6.0	4.0	2.0	4.0	5.0	4.0	4.0	2.0	2.0	3.0	4.0	2.0	4.0	2.0	1.0	2.0	1.0
s020	1.0	2.0	6.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	6.0	3.0	3.0	3.0	6.0	4.0	7.0	3.0	5.0	7.0	2.0	3.0	4.0	5.0	5.0	4.0	4.0	3.0	5.0	3.0
s026	1.0	2.0	4.0	4.0	4.0	5.0	3.0	4.0	6.0	6.0	7.0	4.0	6.0	4.0	5.0	5.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	6.0	5.0	3.0	3.0	5.0	1.0
s027	2.0	3.0	4.0	3.0	6.0	6.0	4.0	4.0	6.0	6.0	6.0	5.0	5.0	4.0	7.0	6.0	7.0	4.0	4.0	7.0	3.0	4.0	6.0	6.0	4.0	6.0	1.0	2.0	6.0	3.0
s028	2.0	2.0	5.0	4.0	4.0	5.0	3.0	5.0	4.0	4.0	4.0	3.0	5.0	4.0	5.0	2.0	5.0	4.0	4.0	4.0	3.0	3.0	4.0	5.0	3.0	3.0	2.0	3.0	5.0	2.0
s029	2.0	3.0	7.0	1.0	5.0	3.0	3.0	7.0	7.0	6.0	5.0	3.0	6.0	7.0	7.0	5.0	6.0	5.0	4.0	5.0	7.0	6.0	7.0	5.0	6.0	6.0	5.0	6.0	7.0	2.0
s032	1.0	3.0	5.0	2.0	7.0	7.0	3.0	5.0	5.0	7.0	7.0	4.0	7.0	5.0	7.0	6.0	4.0	5.0	7.0	7.0	6.0	3.0	6.0	7.0	6.0	5.0	3.0	5.0	6.0	1.0
s034	1.0	3.0	7.0	7.0	1.0	6.0	2.0	6.0	6.0	6.0	5.0	7.0	5.0	7.0	5.0	6.0	6.0	7.0	2.0	5.0	2.0	3.0	4.0	2.0	5.0	6.0	3.0	3.0	7.0	6.0
s042	2.0	3.0	3.0	4.0	5.0	6.0	3.0	3.0	5.0	5.0	5.0	4.0	2.0	3.0	7.0	6.0	6.0	6.0	4.0	7.0	4.0	5.0	5.0	2.0	4.0	5.0	2.0	3.0	5.0	2.0
s047	1.0	2.0	4.0	3.0	6.0	5.0	1.0	6.0	6.0	7.0	3.0	6.0	4.0	3.0	3.0	5.0	4.0	5.0	1.0	4.0	5.0	2.0	3.0	1.0	2.0	3.0	1.0	3.0	5.0	1.0
s049	1.0	1.0	6.0	5.0	5.0	5.0	3.0	7.0	7.0	6.0	5.0	3.0	5.0	7.0	6.0	3.0	4.0	2.0	3.0	7.0	2.0	1.0	2.0	3.0	6.0	4.0	2.0	1.0	7.0	4.0
s056	3.0	2.0	6.0	3.0	6.0	3.0	3.0	6.0	7.0	7.0	7.0	6.0	4.0	6.0	7.0	4.0	6.0	6.0	2.0	7.0	2.0	2.0	5.0	6.0	3.0	4.0	1.0	2.0	5.0	1.0
s060	2.0	5.0	4.0	2.0	6.0	5.0	3.0	4.0	5.0	5.0	7.0	7.0	6.0	4.0	5.0	3.0	4.0	6.0	6.0	5.0	4.0	6.0	3.0	6.0	7.0	7.0	2.0	4.0	6.0	2.0
s062	2.0	6.0	6.0	4.0	3.0	4.0	7.0	5.0	6.0	7.0	6.0	6.0	6.0	4.0	7.0	3.0	7.0	6.0	6.0	7.0	3.0	7.0	5.0	7.0	7.0	7.0	2.0	5.0	7.0	1.0
s063	2.0	2.0	7.0	2.0	7.0	4.0	5.0	7.0	7.0	6.0	7.0	2.0	2.0	7.0	4.0	4.0	7.0	3.0	7.0	7.0	3.0	3.0	5.0	7.0	7.0	5.0	2.0	2.0	6.0	3.0
s065	2.0	4.0	5.0	4.0	3.0	7.0	4.0	5.0	6.0	3.0	7.0	6.0	6.0	6.0	7.0	4.0	7.0	6.0	4.0	7.0	5.0	3.0	4.0	5.0	6.0	5.0	2.0	2.0	5.0	2.0
s066	1.0	6.0	7.0	5.0	7.0	7.0	3.0	7.0	6.0	7.0	7.0	5.0	7.0	7.0	5.0	2.0	5.0	4.0	5.0	7.0	4.0	1.0	5.0	7.0	5.0	6.0	1.0	2.0	7.0	2.0
s071	2.0	2.0	4.0	3.0	4.0	5.0	4.0	4.0	6.0	4.0	3.0	3.0	3.0	4.0	6.0	3.0	5.0	3.0	5.0	6.0	2.0	2.0	5.0	5.0	3.0	3.0	2.0	2.0	6.0	4.0
s077	1.0	2.0	4.0	4.0	4.0	5.0	3.0	3.0	5.0	5.0	5.0	3.0	4.0	3.0	6.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	4.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0
s081	1.0	4.0	7.0	6.0	5.0	7.0	3.0	7.0	4.0	5.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	7.0	2.0	6.0	3.0	2.0	6.0	2.0	4.0	6.0	3.0	2.0	7.0	1.0
s082	2.0	2.0	4.0	3.0	6.0	5.0	3.0	4.0	5.0	6.0	7.0	7.0	4.0	5.0	5.0	6.0	7.0	5.0	5.0	7.0	4.0	3.0	3.0	4.0	3.0	2.0	1.0	4.0	5.0	1.0
s083	1.0	2.0	2.0	5.0	7.0	5.0	1.0	3.0	7.0	7.0	7.0	5.0	7.0	3.0	6.0	7.0	5.0	6.0	7.0	7.0	4.0	2.0	6.0	7.0	7.0	3.0	6.0	5.0	7.0	2.0
s084	1.0	1.0	4.0	4.0	2.0	7.0	1.0	3.0	7.0	7.0	5.0	4.0	2.0	3.0	7.0	6.0	6.0	3.0	4.0	7.0	2.0	2.0	2.0	3.0	6.0	7.0	3.0	3.0	7.0	2.0
s085	1.0	3.0	5.0	2.0	5.0	4.0	2.0	5.0	5.0	4.0	5.0	3.0	6.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	6.0	5.0	5.0	6.0	2.0	2.0	5.0	2.0
s086	2.0	5.0	5.0	3.0	3.0	2.0	3.0	6.0	5.0	6.0	4.0	5.0	3.0	5.0	3.0	3.0	4.0	3.0	3.0	5.0	4.0	3.0	3.0	5.0	4.0	6.0	3.0	4.0	5.0	2.0
s089	2.0	3.0	7.0	5.0	5.0	6.0	4.0	7.0	7.0	5.0	6.0	6.0	5.0	7.0	7.0	7.0	7.0	7.0	4.0	7.0	5.0	5.0	7.0	7.0	7.0	6.0	6.0	6.0	7.0	3.0
s091	1.0	4.0	3.0	3.0	3.0	5.0	3.0	3.0	6.0	5.0	6.0	4.0	6.0	3.0	6.0	5.0	5.0	3.0	5.0	6.0	1.0	2.0	3.0	6.0	6.0	6.0	2.0	2.0	6.0	1.0
s092	1.0	2.0	6.0	2.0	5.0	4.0	2.0	5.0	6.0	4.0	5.0	5.0	5.0	6.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	3.0	1.0
s093	2.0	2.0	5.0	4.0	2.0	3.0	5.0	6.0	4.0	4.0	3.0	6.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	6.0	5.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0	4.0	2.0
s094	1.0	2.0	7.0	3.0	5.0	7.0	3.0	5.0	3.0	6.0	7.0	7.0	3.0	7.0	4.0	3.0	6.0	7.0	5.0	6.0	2.0	2.0	3.0	5.0	4.0	5.0	2.0	2.0	7.0	3.0
s096	1.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	4.0	4.0	4.0	2.0	3.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	5.0	2.0
