worker	eating_survey_2	eating_survey_3	eating_survey_4	eating_survey_5	eating_survey_6	eating_survey_7	eating_survey_8	eating_survey_9	eating_survey_10	eating_survey_11	eating_survey_12	eating_survey_13	eating_survey_14	eating_survey_15	eating_survey_16	eating_survey_17	eating_survey_18	eating_survey_19
s002	3.0	1.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	1.0	2.0	4.0	4.0	1.0	2.0	1.0	2.0
s005	2.0	1.0	1.0	3.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	3.0	2.0	2.0	3.0
s006	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0
s007	3.0	3.0	2.0	1.0	3.0	1.0	2.0	3.0	2.0	1.0	3.0	3.0	1.0	2.0	2.0	4.0	1.0	2.0
s009	4.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	1.0	2.0	4.0	2.0	2.0	3.0
s011	3.0	2.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	1.0	2.0
s012	3.0	1.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	3.0	2.0
s017	2.0	1.0	3.0	2.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0
s020	3.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	1.0	3.0	2.0	2.0
s026	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	3.0	3.0
s027	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	2.0	3.0
s028	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0
s029	2.0	3.0	2.0	2.0	3.0	4.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
s032	3.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0
s034	4.0	3.0	2.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	3.0	1.0	3.0	3.0	3.0	4.0	2.0	3.0
s042	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0
s047	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s049	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0
s056	1.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	3.0
s060	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	3.0
s062	1.0	3.0	3.0	2.0	2.0	3.0	2.0	1.0	1.0	3.0	3.0	3.0	1.0	3.0	2.0	3.0	2.0	2.0
s063	2.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0
s065	2.0	1.0	4.0	4.0	2.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0	2.0	3.0	2.0	3.0	3.0
s066	3.0	4.0	2.0	1.0	4.0	2.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0
s071	3.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	4.0	2.0	3.0
