worker	leisure_time_activity_survey_2
s002	4.0
s005	4.0
s006	5.0
s007	2.0
s009	2.0
s011	2.0
s012	2.0
s017	5.0
s020	1.0
s026	6.0
s027	4.0
s028	3.0
s029	2.0
s032	2.0
s034	2.0
s042	3.0
s047	3.0
s049	3.0
s056	4.0
s060	2.0
s062	3.0
s063	2.0
s065	1.0
s066	2.0
s071	2.0
s077	2.0
s081	4.0
s082	1.0
s083	2.0
s084	1.0
s085	3.0
s086	2.0
s089	2.0
s091	3.0
s092	2.0
s093	3.0
s094	1.0
s096	3.0
s097	5.0
s098	1.0
s099	4.0
s102	4.0
s103	2.0
s105	4.0
s106	3.0
s107	2.0
s108	1.0
s109	5.0
s110	4.0
s111	3.0
s112	2.0
s114	1.0
s123	6.0
s128	3.0
s129	2.0
s131	3.0
s135	6.0
s140	2.0
s142	4.0
s145	1.0
s149	2.0
s155	4.0
s156	5.0
s161	4.0
s163	3.0
s165	5.0
s168	2.0
s170	6.0
s173	2.0
s179	2.0
s180	3.0
s182	1.0
s184	3.0
s186	3.0
s187	5.0
s188	2.0
s190	3.0
s192	2.0
s196	3.0
s198	3.0
s202	6.0
s205	2.0
s206	4.0
s207	2.0
s208	2.0
s209	2.0
s210	4.0
s212	2.0
s216	2.0
s218	6.0
s226	2.0
s228	5.0
s233	2.0
s237	1.0
s238	3.0
s244	3.0
s246	2.0
s249	2.0
s252	3.0
s254	1.0
s259	4.0
s262	4.0
s264	3.0
s265	4.0
s269	5.0
s273	4.0
s275	5.0
s277	2.0
s284	3.0
s285	2.0
s286	2.0
s290	2.0
s291	5.0
s293	2.0
s294	2.0
s295	3.0
s297	2.0
s301	3.0
s303	5.0
s305	2.0
s307	5.0
s309	5.0
s313	4.0
s314	2.0
s316	4.0
s326	3.0
s327	3.0
s328	5.0
s329	2.0
s332	3.0
s333	1.0
s334	3.0
s336	1.0
s339	3.0
s343	3.0
s346	4.0
s351	4.0
s352	2.0
s357	3.0
s359	2.0
s365	2.0
s368	1.0
s369	3.0
s372	2.0
s373	2.0
s376	2.0
s380	3.0
s383	2.0
s388	3.0
s391	2.0
s396	2.0
s397	3.0
s402	1.0
s403	1.0
s408	1.0
s409	2.0
s411	3.0
s420	2.0
s425	1.0
s427	5.0
s429	1.0
s430	2.0
s434	2.0
s441	1.0
s446	4.0
s449	4.0
s450	2.0
s451	3.0
s453	2.0
s456	6.0
s459	2.0
s461	4.0
s462	2.0
s467	1.0
s468	3.0
s469	2.0
s471	4.0
s473	2.0
s475	2.0
s477	3.0
s481	3.0
s483	4.0
s484	4.0
s488	1.0
s489	3.0
s490	3.0
s491	4.0
s492	2.0
s500	4.0
s501	3.0
s502	1.0
s503	3.0
s504	5.0
s505	2.0
s506	4.0
s507	3.0
s508	2.0
s509	2.0
s510	5.0
s511	3.0
