bis11_survey_10	bis10	I concentrate easily.
bis11_survey_11	bis11	I save regularly.
bis11_survey_12	bis12	I squirm at plays or lectures.
bis11_survey_13	bis13	I am a careful thinker.
bis11_survey_14	bis14	I plan for job security.
bis11_survey_15	bis15	I say things without thinking.
bis11_survey_16	bis16	I like to think about complex problems.
bis11_survey_17	bis17	I change jobs.
bis11_survey_18	bis18	I act on impulse.
bis11_survey_19	bis19	I get easily bored when solving thought problems.
bis11_survey_2	bis02	I plan tasks carefully.
bis11_survey_20	bis20	I act on the spur of the moment.
bis11_survey_21	bis21	I am a steady thinker.
bis11_survey_22	bis22	I change residences.
bis11_survey_23	bis23	I buy things on impulse.
bis11_survey_24	bis24	I can only think about one thing at a time.
bis11_survey_25	bis25	I change hobbies.
bis11_survey_26	bis26	I spend or charge more than I earn.
bis11_survey_27	bis27	I often have extraneous thoughts when thinking.
bis11_survey_28	bis28	I am more interested in the present than the future.
bis11_survey_29	bis29	I am restless at the theater or lectures.
bis11_survey_3	bis03	I do things without thinking.
bis11_survey_30	bis30	I like puzzles.
bis11_survey_31	bis31	I am future oriented.
bis11_survey_4	bis04	I make-up my mind quickly.
bis11_survey_5	bis05	I am happy-go-lucky.
bis11_survey_6	bis06	I dont pay attention.
bis11_survey_7	bis07	I have racing thoughts.
bis11_survey_8	bis08	I plan trips well ahead of time.
bis11_survey_9	bis09	I am self controlled.
bis_bas_survey_10	bisbas10	When I want something I usually go all-out to get it.
bis_bas_survey_11	bisbas11	I will often do things for no other reason than that they might be fun.
bis_bas_survey_12	bisbas12	It is hard for me to find the time to do things such as get a haircut.
bis_bas_survey_13	bisbas13	If I see a chance to get something I want I move on it right away.
bis_bas_survey_14	bisbas14	I feel pretty worried or upset when I think or know somebody is angry at me.
bis_bas_survey_15	bisbas15	When I see an opportunity for something I like I get excited right away.
bis_bas_survey_16	bisbas16	I often act on the spur of the moment.
bis_bas_survey_17	bisbas17	If I think something unpleasant is going to happen I usually get pretty worked up.
bis_bas_survey_18	bisbas18	I often wonder why people act the way they do.
bis_bas_survey_19	bisbas19	When good things happen to me, it affects me strongly.
bis_bas_survey_2	bisbas02	A persons family is the most important thing in life.
bis_bas_survey_20	bisbas20	I feel worried when I think I have done poorly at something important.
bis_bas_survey_21	bisbas21	I crave excitement and new sensations.
bis_bas_survey_22	bisbas22	When I go after something I use a no holds barred approach.
bis_bas_survey_23	bisbas23	I have very few fears compared to my friends.
bis_bas_survey_24	bisbas24	It would excite me to win a contest.
bis_bas_survey_25	bisbas25	I worry about making mistakes.
bis_bas_survey_3	bisbas03	Even if something bad is about to happen to me, I rarely experience fear or nervousness.
bis_bas_survey_4	bisbas04	I go out of my way to get things I want.
bis_bas_survey_5	bisbas05	When I am doing well at something I love to keep at it.
bis_bas_survey_6	bisbas06	I am always willing to try something new if I think it will be fun.
bis_bas_survey_7	bisbas07	How I dress is important to me.
bis_bas_survey_8	bisbas08	When I get something I want, I feel excited and energized.
bis_bas_survey_9	bisbas09	Criticism or scolding hurts me quite a bit.
brief_self_control_survey_10	brisel10	Pleasure and fun sometimes keep me from getting work done.
brief_self_control_survey_11	brisel11	I have trouble concentrating.
brief_self_control_survey_12	brisel12	I am able to work effectively toward long-term goals.
brief_self_control_survey_13	brisel13	Sometimes I cant stop myself from doing something, even if I know it is wrong.
brief_self_control_survey_14	brisel14	I often act without thinking through all the alternatives.
brief_self_control_survey_2	brisel02	I am good at resisting temptation.
brief_self_control_survey_3	brisel03	I have a hard time breaking bad habits.
brief_self_control_survey_4	brisel04	I am lazy.
brief_self_control_survey_5	brisel05	I say inappropriate things.
brief_self_control_survey_6	brisel06	I do certain things that are bad for me, if they are fun.
brief_self_control_survey_7	brisel07	I refuse things that are bad for me.
brief_self_control_survey_8	brisel08	I wish I had more self-discipline.
brief_self_control_survey_9	brisel09	People would say that I have iron self-discipline.
dickman_survey_10	dickma10	I often say and do things without considering the consequences.
dickman_survey_11	dickma11	I frequently make appointments without thinking about whether I will be able to keep them.
dickman_survey_12	dickma12	I am uncomfortable when l have to make up my mind rapidly.
dickman_survey_13	dickma13	I dont like to do things quickly, even when I am doing something that is not very difficult.
dickman_survey_14	dickma14	I frequently buy things without thinking about whether or not I can really afford them.
dickman_survey_15	dickma15	I am good at careful reasoning.
dickman_survey_16	dickma16	I like to take part in really fast-paced conversations, where you dont have much time to think before you speak.
dickman_survey_17	dickma17	I like sports and games in which you have to choose your next move very quickly.
dickman_survey_18	dickma18	Many times the plans I make dont work out because I havent gone over them carefully enough in advance.
dickman_survey_19	dickma19	I often get into trouble because I dont think before I act.
dickman_survey_2	dickma02	Often, I dont spend enough time thinking over a situation before I act.
dickman_survey_20	dickma20	Most of the time, I can put my thoughts into words very rapidly.
dickman_survey_21	dickma21	People have admired me because I can think quickly.
dickman_survey_22	dickma22	I will often say whatever comes into my head without thinking first.
dickman_survey_23	dickma23	Before making any important decision, I carefully weigh the pros and cons.
dickman_survey_24	dickma24	I rarely get involved in projects without first considering the potential problems.
dickman_survey_3	dickma03	I try to avoid activities where you have to act without much time to think first.
dickman_survey_4	dickma04	I dont like to make decisions quickly, even simple decisions, such as choosing what to wear, or what to have for dinner.
dickman_survey_5	dickma05	I enjoy working out problems slowly and carefully.
dickman_survey_6	dickma06	I am good at taking advantage of unexpected opportunities,where you have to do something immediately or lose your chance.
