,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large,bickel_titrator.hyp_discount_rate_medium,bickel_titrator.hyp_discount_rate_small,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s002,0.5712701516,0.1621938155,1.5730745119,1.2,20.2608695652,0.2333333333,453,13.0,0.1333333333,325,0.1401858535,-0.9478212637000001,3.5831755014,0.4128545154,2.5737866818,-0.8991810028,0.029923370100000003,0.1478212891,0.0556884766,3.5552052504000002,0.2580467346,1.6426174667,0.1666666667,0.1666666667,11.75,-0.0666666667,0,-7.285838599000001e-17,-2.25,8.0833333333,0.037762384600000004,0,-0.001822838,0.33501259450000004,0.1387440396,0.43240473690000003,8.0,10.3,1.3626340942000001,0.5238585958,2.1685823133,-0.6671225919,0.1944444444,-1.6156604112,0.4593529804,0.33223158610000003,4.6556717651,1.7832471408,0.1379104692,2.1889267071,-1.070541321,3.8243251091,111.0,6,0.7541481018,0.0017554871,0.7393355608000001,0.0013716979000000002,0.5277777778,0.06403124240000001,0.158113883,0.0256124969,-0.5806546664000001,0.570050099,0.040068323600000004,2.0784452252,-0.40243863820000003,,,,,,,,,0.5320132074,4,1.2130533725000001,0.6332942519,1.9334107569,-0.512861364,2.6801339361,0.4948921113,1.7929218874,-1.7590164270000002,,,2.3349500998,0.3892866602,1.4343357679,-0.8775044472,351.5,4.8,6.1,291.3333333333,2.6119744777,0.42429942930000003,1.3674026511,292.5,323.6666666667,2.0992621161,0.37161858010000004,1.48178766,31.1666666667,144.295201474,2.8568342119,0.3429662936,2.3223998001,-0.7909941789,-0.0852257823,-0.6736285488,0.6661035587,0.0993610674,2.4464336672,-0.2060751347,0.2975702542,1795.1016666667,8,8,3727.25,-0.3787240395,-0.1665670064,-0.7464676255,0.8172749921,0.1922162034
s005,0.6630672305,0.28168869620000003,1.388587778,1.65,36.3636363636,0.2666666667,750,30.5,0.33333333330000003,580,0.1736354183,-0.8398634648000001,4.274070484,0.32842459690000003,2.4757484774,-0.4151775948,0.000525995,0.0041643982,0.0276582031,4.7208250912,0.2865621718,1.915177778,0.8333333333,0.1666666667,13.4166666667,0.275,3,-0.0306666667,-2.9166666667000003,13.0416666667,0.4185577722,3,-0.0250756442,-3.7905236908,0.2518581217,1.2169609029,9.2,8.0,0.8457870737000001,0.509063008,1.4707170289,-1.4243843442,0.1666666667,0.9562681803,1.2103337894,-0.3884511935,3.7790742791,2.6161558711,0.2803226387,1.2915862761999999,-0.5306698657,2.9584098130000003,174.0,6,0.7475608826,0.0009119887,0.920829773,0.001067059,0.5555555556,0.0256124969,0.0256124969,0.06403124240000001,-0.7602665152,2.3358809507,0.4500174776,1.9791042021,-0.5701117907000001,344.1666666667,2.8224900007000002,0.33968801120000003,1.2498091219,7.0,114.0,,,0.6320956121,14,1.8177465875,0.49146328170000003,1.9014971956000002,-0.5818197018,3.6881692599,0.2887087148,4.9501136564,-0.7690707709,0.47117794490000003,0.0445575732,3.3539254968,0.2757725273,2.1127638172,-0.1119490846,302.5,6.5,5.1,432.6666666667,2.9083051710000003,0.30640716900000003,1.7372898232,249.6666666667,302.5,3.2659445208,0.3660754725,1.5028345281000002,52.8333333333,61.5610543303,4.2183595754,0.2965980105,2.4416469704,-0.6603527174,-0.0842616565,0.19158656770000002,1.4092583540999999,0.34780014340000004,1.4308947549,-0.7137060233,-0.937028335,1915.6111111111,19,7,2585.75,0.5128273787000001,0.6455417923,0.5295053167,0.8868519986000001,0.4059011843
s006,0.547658178,0.0550406013,1.6500146548,1.4,43.3333333333,0.4,736,32.7083333333,0.2,750,-0.5860555491,-1.4429177719,2.445383636,0.3398474141,1.4728107623,-1.1494266789,7.0924e-06,6.78453e-05,29.6327324219,1.430340274,0.24183192650000002,1.2891048037,0.1666666667,0.8333333333,19.5833333333,-0.0166666667,1,0.0006666667,1.0,28.2173913043,-0.18391812870000002,2,0.0043567251,-2.6725146199000003,-0.011319034700000001,-0.0127370793,8.5,8.5,1.2939932558,0.41302954070000003,1.5685024535,-0.8929610464000001,1.0,-2.0230354468,-1.7076059965,-0.6556403265,2.6602601534,1.6251250919,0.011364408500000001,2.0537921357,-0.7717910818,3.4406522452,139.0,0,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,0.25,0.25,0.25,-1.0159541794,1.391867589,0.3857685113,1.7095748517,-0.8765296786000001,,,,,,,,,0.4031998195,4,0.906749636,0.5161502901,1.8906701386,-0.2652909298,2.176863355,0.3998073364,1.7551769627,-0.3916834617,0.48941798940000003,0.0212836617,1.5479003891,0.27875876380000003,1.616065269,-0.4447160779,341.5,5.3,4.9,,,,,335.1666666667,386.6666666667,1.3201339027,0.1186910447,1.9247527612000002,51.5,-25.1598562444,2.1426722719,0.2902288163,2.202267954,-0.7494648660000001,0.045509697200000004,-0.1704809143,1.0572685446,0.1749148904,1.9957483317,-0.19241429240000002,0.25468463210000003,2209.1783333333,21,4,3224.1666666667,0.1916563782,-0.5517807559,-0.3212645532,0.8338361601000001,0.4540214179
s007,,,,,19.0769230769,0.1333333333,470,14.8,0.1666666667,340,0.0116666293,-0.6702107948,1.9478889204,0.3590556327,1.8351283496000002,-0.2817672905,0.0005751163,0.0008470039,0.0081005859,2.071746037,0.032201083900000003,2.4717705278,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0,0.0013333333,-0.4166666667,13.0416666667,0.2115478865,1,-0.0035254237,0.8082499489,0.429502064,0.5991357069000001,9.6,6.4,,,,,0.3611111111,-0.6664064314,-0.7579315750000001,-0.5694639092,2.4879073189,1.53209669,0.009768867300000001,2.3688536677,-0.7539398563,2.6397773563999998,98.0,9,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,0.06403124240000001,0.06403124240000001,0.0256124969,-1.7153898098,0.8641445205,0.4255798364,1.5385093007,-0.0317324863,,,,,,,8.6329234757,-8.6372057447,0.5112262406,10,1.0889337815,0.6266461155,2.3168364273,-0.5060997922,2.0157451513,0.5196181885,1.7631433859,-1.5276228643,0.3291457286,0.006016204000000001,3.041420483,0.3412821036,1.4972626134,-0.5634665938,517.0,5.1,5.4,395.8333333333,1.6831368845,0.5387616536000001,1.4711833178,357.1666666667,439.0,1.8894901934,0.39698253450000004,1.4477539101,81.8333333333,26.4811435343,1.8109622976000002,0.5133435006,1.9921471771,-0.4896303322,-0.08191306670000001,-0.0017136235,0.3021698987,0.0125838653,2.0262141482,-0.2741368863,-0.6517488877000001,2282.5555555556,-5,8,6112.1666666667,,,,0.8621573749,0.6821860019
s009,1.9915966024,0.2241891011,1.2338333989,2.7,28.2608695652,0.2333333333,615,19.1304347826,0.2333333333,420,0.0941407882,0.1667766072,3.2224950687,0.2914354572,1.7395971981,-0.6716770881,0.0005145003,0.0019907761,0.010146484400000001,3.1164330624,0.25953710950000003,1.1899758532,0.8333333333,0.0,13.7083333333,0.4208333333,2,-0.0118333333,-6.4583333333,5.25,0.11418439720000001,2,-0.0049527187,-2.4048463357,0.1593423691,1.1747285803,6.8,4.8,2.3089864224,0.43780069650000003,1.8561269344,0.3787189228,0.7222222222,-3.6713782384,-1.4954145812,-0.5814270014,3.384397236,2.6987609531,0.1879368152,1.2220698796,-0.7017421781000001,4.5619233948,222.0,9,0.6171309948,0.0017705286000000002,0.985546875,0.0028862039000000003,0.7222222222,0.0038729833,0.0004,0.009797959,-1.6516987109999999,2.2457913339,0.3889209675,1.9141523943,0.1422124675,199.3333333333,2.5195609505,0.3408588032,1.6407381389,-8.5,73.0,-8.3796570593,14.6540357536,0.6676807246,6,1.2450059033,0.4880291275,1.9752896776000002,-0.8469276122,3.4265347152,0.3500585042,1.7425079698000001,-1.5019633344,0.6073170732000001,0.1462449228,5.0329446156,0.2506646245,1.5324753029,-0.1616734606,268.0,6.8,6.4,225.1666666667,1.2709005817999999,0.3612157533,1.5025030422999999,186.5,206.5,3.2885530084,0.315442539,2.6821047248000003,20.0,-35.1317225628,2.8386431617000003,0.3561020667,2.5702693727,-0.6838553683,-0.8257412538000001,-0.5887965686000001,1.9715431588999999,0.3189941309,1.6001149849,-0.0111460177,0.23427507320000002,1251.3159722222,5,11,3222.6666666667,0.5294149194000001,0.5189847837,0.9256970761000001,0.1779068063,0.4556380051
s011,1.4240068382,0.0978098481,1.4622629271,3.2,40.5555555556,0.4,690,18.3333333333,0.30000000000000004,365,-0.7122582715,-1.2742012565,3.5197511372,0.3552308507,1.8670506050000002,-1.1694769843,0.044047226,0.0051069641,0.00015283200000000002,4.575212461,0.258545739,1.3857403313,0.33333333330000003,0.33333333330000003,5.3333333333,0.058333333300000005,1,-0.0026666667,-1.75,6.9130434783,0.130866426,3,-0.0025487365,-3.7931923672,0.19393002980000001,0.9515309845000001,7.9,9.8,2.0733206699,0.32429878370000004,2.323286103,-0.9958567841,0.0,-4.4769155956,-3.0021748503,-0.7548590441,3.810416849,3.462170709,0.2191187508,1.5202133764,-0.7625664513,3.9332268227,265.0,4,0.7708899498,0.0016033788,0.8675750732,0.0018161934000000002,0.5833333333,0.25,0.25,0.25,-0.9945698512000001,2.6609177540999998,0.3586355597,2.5120231081,-0.5353396467,259.5,3.7657680815,0.304321702,1.6727303678,-8.0,84.0,1.0782063195,6.9911453835,0.2325498095,12,1.655660716,0.3783466802,2.4086699719,-0.707936247,3.3546203471,0.4238843588,1.569601609,-2.4907348695,0.539408867,0.0917039711,3.5569020222,0.3210798569,1.1839138589,-1.7510987158,316.0,5.7,6.3,193.3333333333,3.6722208023,0.35209210890000003,2.1242119303,240.0,247.6666666667,3.8425186047,0.31907907100000005,1.9467390234000002,7.6666666667,96.7917874738,2.9509526677,0.34750727740000004,1.7773899463,-1.8671287033000001,0.0114280122,0.0142259181,2.743917261,0.34780088670000003,1.2977915477,-0.5843106090000001,-0.36540776010000003,1371.7153679654,11,8,2094.9166666667,0.014736787000000001,-0.2498852396,0.104189765,0.1925341667,0.2404360379
s012,2.1512452193,0.3177004149,1.480294715,3.25,44.1578947368,0.36666666670000003,796,24.5652173913,0.2333333333,527,-0.7274706574,-0.9224729599,3.1867975759,0.2972843415,2.2645322764999998,-1.5502732773,0.0011767575,0.010140686000000001,0.0590556641,3.1016575634,0.2620982501,1.4815932678000001,0.8333333333,0.1666666667,5.6666666667,0.058333333300000005,2,-0.0086666667,-2.9166666667000003,3.9583333333,0.1687969925,3,-0.0115213033,-1.9323308271,-0.3553490939,0.7137797811000001,8.4,8.6,2.0218222936,0.49673849400000003,1.9002256624,-0.3497859799,0.1666666667,0.060584792000000005,0.327222479,0.0,5.3201349372,3.7154890121,0.07359046600000001,5.633665534,-1.0820225484,2.8201893119,190.0,8,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,0.25,0.06403124240000001,0.06403124240000001,-0.5531499565,1.4581477389,0.3636113669,1.9235393317,-0.4299344129,347.1666666667,2.4210716979,0.2866223914,1.4872434068,-7.5,81.0,27.3376402867,-25.2123453648,0.6264483412,15,1.5337002857000002,0.5096314379,1.5459120339,-0.1972093573,2.9236855875,0.3955379368,2.3459513255,-1.4659989103,0.4617283951,0.0590870111,2.4004841813,0.2856009653,1.5303040397,-0.643773024,338.0,5.9,6.0,303.0,3.2102440923,0.3160617995,1.3808268262,275.6666666667,295.6666666667,2.1816338992,0.31618804110000004,1.4157381604000001,20.0,20.8802469136,2.3033175999999997,0.36804985700000004,2.2956569071,-0.946256646,0.4562365694,0.1969662715,1.9706909848,0.3138143188,1.6123030919999999,-0.7609683460000001,0.09039296940000001,2230.165,3,8,4731.5,0.8933164481,0.3707267791,1.4211630369,0.23654425440000001,0.1860625235
s017,1.0597460578,0.027299116300000002,1.702803408,2.0,37.5,0.2666666667,789,21.3333333333,0.1,550,-1.0047617529,-0.371521885,3.5451032303,0.3297510581,2.0741798743,-1.6970441213,0.00011245850000000001,0.00019663,0.0006987305,5.6092695629,0.24009797130000002,2.324270717,0.6666666667000001,0.1666666667,9.7083333333,0.10416666670000001,3,-0.011166666700000001,-2.125,7.9583333333,0.1894025605,3,-0.0077980085,-1.8536882747,0.18364322830000002,1.3700064956,9.3,7.6,2.3409059888,0.44384759220000003,1.9929958924000002,-0.5638885573,0.8333333333,-0.23179337360000002,0.022437273900000002,-0.7548590441,3.810416849,1.8175994954,0.1267913075,2.3725924197,-0.7625664513,3.9332268227,246.0,3,0.767848587,0.0024491452000000003,0.98984375,0.0027049544,0.5833333333,0.0002011893,0.0002011893,0.0002011893,-0.8771694074,1.6809474825000001,0.43662566150000004,1.9013444792,-0.34019802320000003,282.6666666667,2.9972767212,0.2140393149,2.2584767223,-14.5,160.0,,,0.58484855,10,2.0378086715,0.5234728045,2.00398015,-0.585441607,2.7825534188,0.42339590060000004,1.6576074747,-2.002802842,0.45137157110000004,0.0676643665,3.3705523638,0.291538936,1.6926872452000001,-0.3884601981,310.0,6.5,5.6,251.0,3.770401944,0.2962578873,2.7193575467,246.8333333333,295.0,3.0377723943,0.332018576,1.6571574241,48.1666666667,98.0324196876,2.4533195935,0.4145161235,1.8243467323,-1.7540511890000001,-0.0805825178,0.5861670546000001,2.0679751767,0.3404233527,1.7919270562,-0.5504259919,-0.47681566400000003,1481.6893939394,1,10,3958.5,-0.6070100313,0.7297049831,-0.1443694844,0.185612246,0.17430210710000002
s020,0.8329257969,0.10593534110000001,1.4753170296,1.85,26.6666666667,0.2,610,12.962962963,0.1,340,0.0785396136,-1.0357060622,2.4114682047000002,0.3106732651,1.7773522756,0.045343634800000004,0.00023432030000000001,0.009369873,0.0126279297,1.8859170490000001,0.2585962084,1.6548223577,0.6666666667000001,0.33333333330000003,9.8333333333,0.4,1,-0.006,-1.9166666667,7.2916666667,0.0038725986000000003,0,-0.0009140546000000001,-0.8612740142,-0.0335462443,0.6750894226,7.5,5.2,1.3458484388,0.45485368600000003,2.2160017077,-0.3968333645,0.0,-1.9358140574,0.8531933060000001,-0.1448413667,3.3579238221,2.1952317751,0.20061453270000001,1.6184324147,-0.6807759697,4.096807786,122.0,7,0.6603252411,0.0017003689000000002,0.7410667896,0.0015159826000000001,0.47222222220000004,0.0256124969,0.06403124240000001,0.06403124240000001,-1.3712673831,1.5150429285,0.42153542380000003,1.7685734382,0.0225326523,286.1666666667,2.4724696172,0.3272544446,1.8447288832000002,-33.0,36.5,3.7318341441,-3.4417341323,0.6229103774,8,1.0264797416,0.4119567988,1.8970007368,-0.3440701599,2.6203600886,0.41111931560000003,1.4098292079,-1.459553438,0.43349753690000004,0.0501444983,2.4306755324,0.3234963985,2.1420544773,0.2041495553,381.5,6.3,5.7,253.3333333333,1.8198637712,0.4016219683,1.3032921921,245.0,364.3333333333,2.1001512452,0.3298276772,1.538075992,119.3333333333,12.8482783357,1.8260387571,0.28838839780000003,1.7843225731999999,-0.9449049843,-0.0535607098,-0.059128090800000005,1.0598445363,0.21846256500000003,1.9730270896,-0.3064581535,0.0424120532,2750.9476190476,12,6,3479.3333333333,-0.18448606080000002,0.3794586578,-0.2798471656,0.1805794197,0.3909019375
s026,1.1545119704,0.23480577060000002,1.0826855584,2.0,11.375,0.2,263,21.2083333333,0.2,489,-0.043967711900000005,-0.347504441,3.9719526418,0.3261299844,2.1089545265,-0.5648322136,0.0001688719,0.0010027084,0.023130859400000002,5.8687396333,0.29188355720000003,1.3798299371,0.6666666667000001,0.1666666667,13.25,0.025,1,0.001,-2.75,10.0833333333,0.0009003215,0,-0.0002593783,-0.07395498390000001,-0.2888881723,0.9523625263000001,9.8,7.1,2.0626972973,0.4063809094,2.0025071701,-0.26801439590000004,0.8888888889000001,-0.5049729073,-0.4492284143,0.1910395678,4.9380558016,4.8915044495,0.4082787135,3.878032789,-0.6433888409,3.1838477634,206.0,8,0.5657946467,0.0019503946,1.0,0.0027379268,0.4444444444,0.0006324555,0.0006324555,0.0015811388,-0.9478364333,2.070415313,0.3737850002,1.6023029892,-0.06896531830000001,,,,,,,1.9133373883,-1.6080014509,0.57614781,13,1.2841653688,0.48233550880000003,1.7038649713,-0.1963540083,2.4828006899,0.42743701030000003,2.0310728935,-1.7396539844,0.4791154791,0.0421807819,4.147494115,0.2808010601,1.3085842322,-1.162466217,272.5,6.1,4.5,324.1666666667,3.5674499935,0.3222487901,1.0837656673,191.1666666667,237.6666666667,3.2883823063,0.337141807,1.4506614652,46.5,27.3855207639,2.8589710812,0.3205430575,1.7929377598,-0.5723567780000001,-0.0998080626,-0.44747688010000003,1.4821805622,0.33101467970000004,1.6520461525,-0.7683992597,-0.5126992236,1949.3041666667,15,7,2732.1666666667,0.0781589613,0.1250095916,-0.044868012400000004,0.1857878768,0.14822084630000001
