,NBZD,NBZN,NBZT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTZD,ANTZN,ANTZT,ANTALTZD,ANTALTZN,ANTALTZT,ANTCONZD,ANTCONZN,ANTCONZT,ANTORTZD,ANTORTZN,ANTORTZT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTZD,CRTZN,CRTZT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFZD,DRFZN,DRFZT,DRFPINZD,DRFPINZN,DRFPINZT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBZD,DPEAYBZN,DPEAYBZT,DPEBXBZD,DPEBXBZN,DPEBXBZT,DPEZD,DPEZN,DPEZT,DPBIAS,DPEDPRIM,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGBIAS,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,LOGZTD,LOGZN,LOGZT,LOGCONZD,LOGCONZN,LOGCONZT,LOGSWCZD,LOGSWCZN,LOGSWCZT,MAASMIND,MOSZD,MOSZN,MOSZT,MOSSSRT,MOSREC,MOSSPC,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SHFTAC,SHFTLR,SIMZD,SIMZN,SIMZT,SIMSIMZD,SIMSIMZN,SIMSIMZT,SRTAVRT,SPSFORWD,SPSREVRS,STSZD,STSZN,STSZT,STSSSRT,SSZD,SSZN,SSZT,SSSSRTHI,SSSSRTLO,SSPASS,SSPAS,STRZD,STRZN,STRZT,STRSTRZD,STRSTRZN,STRSTRZT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s002,0.607578112,0.37081285159999994,1.1408363252,1.2,20.2608695652,0.23333333329999997,453,13.0,0.1333333333,325,3.3801493008,0.5527969423,1.4682323734,0.2311574933,0.004668069600000001,-0.0909714501,0.1499205969,0.1433510831,-0.2738213178,-1.0592872434,-0.0158805817,0.1852421272,0.029923370100000006,0.1478212891,0.0556884766,5.0,3.9642857143,5.466666666699999,3.0,3.25,3.4,1.5714285713999998,33,3.2669251098000003,0.30647212560000003,1.1912793123,0.1666666667,0.1666666667,11.75,-0.0666666667,0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0,-0.0018228379999999998,0.33501259450000004,1.0833333333,1.3636363636000002,0.1387440396,0.4324047369,8.0,10.3,1.5577685503,0.7436091854000001,1.6366007456,-0.6864930228,0.1260754967,-0.5661847945,0.19444444440000003,2.0,1.0,1.6666666666999999,1.6666666666999999,3.3333333332999997,4.6666666667,6.5,4.5,3.6666666667,1.8333333333,2.1666666667,1.0,2.6666666667000003,3.6666666667,5.666666666699999,-0.5590401924,0.33019953290000004,0.07965046519999999,0.4466930392,-0.07111836690000001,0.4421659005,1.9807714772999998,0.3529547113,1.5165964932,0.33223158610000003,4.6556717651,16.6666666667,77.7777777778,70.3703703704,5.833333333300001,1.75,3.875,4.0,4.125,3.1428571429,4.0,49,-1.0705413209999999,3.8243251091,28,111.0,6,1.6875,1.4666666667,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,0.06403124240000001,0.158113883,0.0256124969,4,0.6977049797,0.487837742,1.4057936830000002,-0.8687231637,0.0835557056,-0.2537372869,-0.5962640861999999,0.0038262248,0.053985293100000005,4.0666666667,,,,,,,38,,,0.5320132074,4,,,,,122.0,0.2,0.2,0.6000000000000001,0.1,,,2.5022007854,0.473477721,1.0337656991,-0.8318035737999999,0.0505957604,-0.0487697328,351.5,4.8,6.1,2.6246687304,0.4639697253,1.1195979994,291.3333333333,2.1243416333000003,0.4286330571,1.2233676865,292.5,323.6666666667,31.1666666667,144.295201474,2.894666758,0.47348163579999997,1.5695398338,0.4931077289,0.15388574700000002,-0.009120298,6.0,4.0,6.0,5.0,6.5,38,2.8461538462,2.8,4.5555555556,3.0,4.1333333332999995,1795.1016666667,8,8,3727.25,-0.3787668885,-0.1665709303,-0.7465350711000001,1.5,2.0909090909,3.0,3.2857142857,3.0833333332999997,0.8172749921,0.1922162034
s005,0.7301820711,0.384326483,1.1070429207999999,1.65,36.3636363636,0.2666666667,750,30.5,0.33333333330000003,580,3.6252607151,0.4011207325,1.5611241951,0.6686228614,0.0740324395,-0.299919392,0.5109337468,0.10276401269999999,-0.1726451705,0.6570420222000001,0.06361500760000001,-0.17763791420000002,0.000525995,0.0041643982,0.0276582031,3.5333333333,3.5,3.6333333333,3.0,3.25,3.8,2.2857142857,41,4.1862612625,0.3264181089,1.3617027738999998,0.8333333333,0.1666666667,13.416666666700001,0.275,3,-0.030666666699999998,-2.9166666667000003,13.041666666700001,0.4185577722,3,-0.0250756442,-3.7905236907999997,1.0,1.7272727273,0.2518581217,1.2169609029000001,9.2,8.0,0.92204337,0.6077561907,1.1125864225,-2.3407985669999998,0.0056198749,-0.0805551927,0.1666666667,2.0,2.6666666667000003,1.0,2.0,3.5,5.5,6.166666666699999,6.0,6.166666666699999,4.0,1.6666666666999999,1.5,2.6666666667000003,1.5,4.6666666667,1.6296780714,0.044630175099999995,-0.06458916590000001,1.1700228704,-0.0477052463,0.1207386116,2.6269724275999997,0.2854960696,1.216070294,-0.3884511935,3.7790742791,27.7777777778,0.0,40.740740740700005,4.8333333333,5.0,4.5,3.875,2.875,4.2857142857,4.625,46,-0.5306698657,2.9584098130000003,28,174.0,6,1.25,1.4,0.7475608826000001,0.0009119887,0.9208297729000001,0.001067059,0.5555555556,0.0256124969,0.0256124969,0.06403124240000001,4,2.6267020518,0.5205055444,1.7296574536000002,-0.05986401190000001,0.1493600214,-0.2450502821,-0.5768968482,0.0082608214,0.0583509337,5.0666666667,3.0139742749000002,0.38087214049999996,1.0564086735,344.1666666667,7.0,114.0,43,,,0.6320956121,14,0.6666666667000001,0.75,,0.8333333333,131.0,0.0,0.7000000000000001,0.7000000000000001,0.4,0.4711779449,0.044557573200000006,3.2530755775,0.34118390159999995,1.6271693352,0.1345777374,0.0250703839,-0.0642712312,302.5,6.5,5.1,3.2071295065,0.43792398509999997,0.9946240966,432.6666666667,3.459198513,0.44994910979999997,0.9691283125,249.6666666667,302.5,52.8333333333,61.561054330299996,4.0805670823,0.41982251649999996,1.2871430177,-0.7589610778,-0.011894123700000002,0.21586493899999998,6.0,5.0,7.0,3.0,6.0,33,3.8461538462,3.1,3.3333333332999997,2.2222222222,3.2666666667000004,1915.6111111111,19,7,2585.75,0.9175886746999999,0.1199460686,1.382557588,1.7000000000000002,1.3636363636000002,1.75,1.0,2.8333333332999997,0.8868519986000001,0.4059011843
s006,0.6484442229999999,0.3132448781,1.1294231142,1.4,43.3333333333,0.4,736,32.7083333333,0.2,750,2.590621616,0.4335703392,1.045328343,-0.8727808548999999,0.0342385215,-0.1425265717,-1.6182929192,0.06934676969999999,-0.208023536,-0.3891166276,0.162144948,-0.6235961741,7.0924e-06,6.784529999999999e-05,29.632732421900002,3.4666666667,5.3571428570999995,4.7333333333,3.25,4.0,4.0,3.0,34,1.3521995353,0.2296939048,1.2788342749,0.1666666667,0.8333333333,19.5833333333,-0.0166666667,1,0.0006666667,1.0,28.217391304299998,-0.1839181287,2,0.0043567251,-2.6725146199000003,1.75,1.6363636363999998,-0.0113190347,-0.012737079299999999,8.5,8.5,1.2613667976,0.4173738726,1.5040192816999998,-0.7289555987,0.1151445038,0.3263369323,1.0,1.0,1.0,1.0,1.5,1.5,7.0,7.0,7.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,-0.7520794705,0.4872429780000001,-0.3837050717,-0.9015341779,0.0750535915,-0.2220249331,1.9119931273,0.2646773517,1.2728149075,-0.6556403265,2.6602601534,33.3333333333,0.0,0.0,4.3333333333,5.25,4.75,2.5,4.875,1.0,1.75,53,-0.7717910818000001,3.4406522452,28,139.0,0,1.8125,1.5333333333,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,0.25,0.25,0.25,5,1.5590428586000002,0.5419091801,1.311545717,-0.8864888820000001,0.2321508041,-0.5100051457,-1.305744198,0.15742505480000002,-0.6977471868,3.8,,,,,,,44,,,0.40319981950000006,4,,0.1666666667,0.6666666667000001,0.5833333333,111.5,0.6000000000000001,0.6000000000000001,,0.4,0.4894179894,0.021283661699999998,1.5543843357,0.3619169458,1.3843179925,-0.35030491810000003,0.1159905185,-0.2845902876,341.5,5.3,4.9,,,,,1.6243739486000002,0.40366204060000005,1.1569474885,335.1666666667,386.6666666667,51.5,-25.1598562444,2.2807609111000002,0.46737103,1.4912555565,-0.2068472451,0.1659670313,-0.1844576625,7.0,7.0,7.0,7.0,7.0,42,3.7692307692,4.1,3.8888888889,3.2222222222,4.1333333332999995,2209.1783333333,21,4,3224.1666666666997,-0.2542114541,0.2555168105,-0.35795538619999995,1.8,2.1818181818,2.9166666667000003,2.7142857143,2.75,0.8338361601000001,0.4540214179
s007,,,,,19.0769230769,0.1333333333,470,14.8,0.1666666667,340,1.9376790078,0.423512355,1.6106359227,0.5616734284,-0.0039020713,0.4613568198,-0.4938527447,0.2304743796,-0.8141511462000001,-0.13960221450000002,0.08448389440000001,-0.2434555077,0.0005751163,0.0008470039,0.0081005859,4.8,3.7857142857,4.7333333333,3.25,2.75,3.6,3.4285714286,49,2.2562299499000003,0.2863412876,1.4962480105000002,0.1666666667,0.6666666667000001,4.8333333333,0.033333333300000004,0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1,-0.0035254237,0.8082499489,1.1666666667,1.6363636363999998,0.42950206399999996,0.5991357069000001,9.6,6.4,,,,,,,0.3611111111,2.6666666667000003,5.5,1.6666666666999999,3.3333333332999997,4.1666666667,4.3333333333,5.5,5.3333333333,5.5,2.1666666667,2.1666666667,5.1666666667,3.5,5.1666666667,6.166666666699999,0.44227162049999996,0.5237516474,-0.33970771580000003,-0.4547290357,0.1337230452,-0.2242393044,1.9298557762,0.38316987090000004,1.2700457351999999,-0.5694639092,2.4879073189,61.111111111099994,11.1111111111,33.3333333333,5.3333333333,5.25,3.25,2.875,3.0,3.5714285714000003,3.25,50,-0.7539398562999999,2.6397773564,22,98.0,9,1.375,1.5333333333,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,0.06403124240000001,0.06403124240000001,0.0256124969,2,0.9330505281999999,0.5670925545000001,1.1928625433,-1.9501111169999998,0.11627512359999999,-0.15918228580000002,0.1006856852,0.0268631529,-0.12833193410000002,3.8,,,,,,,43,8.6329234757,-8.637205744700001,0.5112262406,10,0.5,0.5833333333,0.5,0.9166666667,110.5,0.6000000000000001,0.4,0.6000000000000001,1.0,0.3291457286,0.006016204000000001,3.0101722538,0.37265304439999997,1.2928895658,-0.4532499486,0.0516990615,-0.2787292872,517.0,5.1,5.4,1.9230937277000002,0.6524028355,1.0780399826,395.8333333333,2.0539005018000003,0.4862316359,1.1370438411,357.1666666667,439.0,81.8333333333,26.4811435343,2.0464350572,0.7204457015000001,1.2837354058,-0.3206557853,0.08116559129999999,-0.1934057975,4.5,6.0,3.5,3.0,4.5,48,3.7692307692,4.0,3.2222222222,3.3333333332999997,3.4666666667,2282.5555555555998,-5,8,6112.166666666701,,,,2.2,2.0909090909,3.1666666667000003,2.2142857143,3.0,0.8621573749,0.6821860019
s009,2.653791954,0.3279918381,0.8343435257999999,2.7,28.2608695652,0.23333333329999997,615,19.1304347826,0.23333333329999997,420,3.1160119774,0.36245568159999997,1.2356010277,0.7368431145000001,0.0156005681,0.1814614278,1.1130010018,0.07924913559999999,-0.2228354216,0.7226654199,0.0868946285,-0.02962558,0.0005145001999999999,0.0019907760999999997,0.0101464844,4.9333333333,4.8214285714,5.3,2.5,3.0,3.2,2.8571428571,29,3.0214530050999997,0.2742326392,1.0518296412,0.8333333333,0.0,13.708333333299999,0.4208333333,2,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2,-0.0049527187,-2.4048463357,1.3333333333,1.0909090909,0.1593423691,1.1747285803,6.8,4.8,2.5441747015,0.5408353615,1.3974465115999999,0.4128447795,-0.0571306892,0.44259056259999996,0.7222222222,3.5,2.5,2.1666666667,2.1666666667,3.8333333332999997,3.0,4.3333333333,3.5,3.0,2.0,2.3333333333,1.6666666666999999,3.5,2.3333333333,4.8333333333,-0.6139352066,0.3178252284,-0.1780965173,-0.3562871328,0.027162522400000003,-0.1223938335,2.7687677565,0.216103767,1.0728290441,-0.5814270014,3.3843972360000003,66.6666666667,44.4444444444,62.962962963,5.1666666667,4.75,2.875,2.5,3.875,3.0,3.125,33,-0.7017421781000001,4.5619233948,17,222.0,9,1.1875,1.2666666667,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,0.0038729833,0.0004,0.009797959,2,2.4120585071,0.4096045840000001,1.8879628658,-1.421829071,0.0925644814,0.4131665936,0.3858124084,0.0182510311,-0.0027277943,4.0,2.4993333955000003,0.36568180899999997,1.4978411286000002,199.3333333333,-8.5,73.0,32,-8.3796570593,14.654035753599999,0.6676807246,6,0.0833333333,0.1666666667,0.5833333333,0.1666666667,71.0,0.7000000000000001,1.0,0.8,0.30000000000000004,0.6073170732000001,0.14624492279999998,5.2090800025,0.3121417017,0.8821365476999999,0.0501260595,0.0124607721,-0.1473261803,268.0,6.8,6.4,1.3755793139,0.4922835313,1.1602492681,225.1666666667,3.0597313701999997,0.4836979943,1.4418211611000002,186.5,206.5,20.0,-35.1317225628,2.7616945820999996,0.46614891909999995,1.8941662307,0.0309585393,0.10746099619999999,-0.0197046138,3.5,4.0,3.5,2.0,5.0,67,3.3076923077,3.0,3.7777777778,3.0,3.5333333333,1251.3159722222001,5,11,3222.6666666666997,-0.6435174488000001,0.0394239411,-0.3137889166,2.7,2.7272727273000004,3.0,3.0,2.3333333333,0.1779068063,0.45563800509999997
s011,2.0950808131,0.3068188303,0.7947224533,3.2,40.5555555556,0.4,690,18.3333333333,0.30000000000000004,365,3.5365816660000005,0.4475033814,1.2053107434,-0.2893126035,0.0329516105,0.0992133268,-0.30175293870000003,0.0972683255,-0.0976923301,-0.5435405983,0.08121125679999999,-0.25430712510000003,0.044047225999999995,0.0051069641,0.00015283200000000002,2.7333333332999996,2.6785714286,3.8,1.25,2.25,2.6,2.5714285714000003,54,4.1801455157,0.2855306784,1.0296447999,0.33333333330000003,0.33333333330000003,5.3333333333,0.05833333330000001,1,-0.0026666666999999996,-1.75,6.9130434783000005,0.130866426,3,-0.0025487365,-3.7931923672,1.0,1.0,0.1939300298,0.9515309845,7.9,9.8,2.1694242949,0.3617839496,2.2811397024,-0.5752336305,0.1881684641,0.3939934455,0.0,3.8333333332999997,5.5,2.0,2.3333333333,5.0,4.1666666667,5.833333333300001,4.5,6.166666666699999,1.5,2.0,1.0,3.0,1.0,7.0,-1.5210903241,0.1874260046,0.2691307214,-1.5212444127000002,-0.0112196585,0.0436962478,3.603082707,0.28060386449999997,1.0329125306,-0.7548590440999999,3.8104168489999997,44.4444444444,55.5555555556,40.740740740700005,6.0,2.0,5.0,4.875,4.25,3.1428571429,2.875,57,-0.7625664513,3.9332268227,40,265.0,4,1.0,1.0666666667,0.7708899498,0.0016033788,0.8675750731999999,0.0018161934,0.5833333333,0.25,0.25,0.25,2,2.9424817606,0.5111702926,1.7849807936000002,0.1170774815,0.1985121555,-0.0621142863,-0.043122747999999995,0.0981351114,0.023925428,5.8,3.8905165249,0.3722215905,1.1537379011,259.5,-8.0,84.0,48,1.0782063195,6.9911453835,0.23254980949999998,12,0.75,0.9166666667,0.8333333333,0.9166666667,142.0,0.5,0.5,0.7000000000000001,0.1,0.539408867,0.09170397109999999,3.6974187879,0.3394663061,1.0525776282,-0.6567248643,0.07130019209999999,-0.19782328719999998,316.0,5.7,6.3,3.6177900349,0.46704461729999996,1.2407122377,193.3333333333,3.6335333507999996,0.3927249792,1.2782023586,240.0,247.6666666667,7.666666666699999,96.79178747379999,3.0255260709,0.3962188654,1.5051520909,-1.5091109383,0.038430123999999996,0.34089215500000003,7.0,4.5,4.5,7.0,6.0,24,4.2307692308,1.9,2.1111111111,1.4444444444,2.8666666667,1371.7153679654,11,8,2094.9166666667,-0.0971392062,-0.7702822997000001,-0.46043421,1.7000000000000002,2.0909090909,2.0,2.0714285714,2.1666666667,0.1925341667,0.24043603789999998
s012,2.9736689273000003,0.4072876537,1.1547980923,3.25,44.1578947368,0.3666666667,796,24.565217391300003,0.23333333329999997,527,3.2102157212,0.4430767047,1.3278484212,-0.1524016013,0.0758663981,0.052989533000000005,0.1874795858,0.15439145210000002,-0.29517710540000003,0.17271166579999997,0.2163106654,-0.522191729,0.0011767575,0.010140686,0.0590556641,4.4,3.3214285714000003,4.4,2.75,1.75,3.4,2.5714285714000003,44,2.8838479142,0.2433456746,1.492472981,0.8333333333,0.1666666667,5.666666666699999,0.05833333330000001,2,-0.0086666667,-2.9166666667000003,3.9583333332999997,0.1687969925,3,-0.0115213033,-1.9323308271000001,1.0,1.4545454544999998,-0.3553490939,0.7137797811000001,8.4,8.6,2.1673689896,0.6182668799000001,1.4399465118,-0.3151752325,0.014650667,0.17798736899999998,0.1666666667,3.3333333332999997,4.0,1.5,2.1666666667,4.6666666667,4.0,4.8333333333,5.1666666667,5.0,3.3333333332999997,3.6666666667,2.0,2.6666666667000003,1.8333333333,4.8333333333,0.17552293579999997,-0.0648641009,0.2037747684,1.2348079781,0.005570790700000001,-0.1966374686,2.9495707744,0.5124006,1.8705951877000002,0.0,5.320134937200001,27.7777777778,33.3333333333,66.6666666667,2.0,5.25,4.0,3.125,4.125,3.0,1.25,32,-1.0820225484000001,2.8201893119,21,190.0,8,1.0625,1.0,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,0.25,0.06403124240000001,0.06403124240000001,2,1.8311868563999998,0.6175016238000001,1.2326009828,-0.3025234361,0.15872328530000002,-0.32208327870000003,0.1131522311,0.17741584850000003,-0.0834490921,3.4,2.7529438143,0.399536901,0.9542806958,347.1666666667,-7.5,81.0,43,27.3376402867,-25.2123453648,0.6264483411999999,15,0.5833333333,0.33333333330000003,1.0,0.8333333333,114.0,0.5,0.7000000000000001,0.6000000000000001,0.2,0.46172839509999997,0.0590870111,2.1486273856,0.1938674177,1.8113053590000001,-0.599145241,0.0113921407,-0.15960194830000002,338.0,5.9,6.0,3.1359721382999997,0.3363470711,1.206703844,303.0,2.3228019748,0.3821839217,1.1306259472,275.6666666667,295.6666666667,20.0,20.8802469136,2.4584903844999997,0.5750352134000001,1.3834495359999999,-0.2862451841,0.1667914888,-0.13759684630000002,3.5,5.5,4.0,2.5,3.0,32,4.3846153846,2.6,2.3333333333,1.5555555556,1.9333333333000002,2230.165,3,8,4731.5,-0.0689407825,-0.09441173289999999,-0.024400672400000004,1.9,1.4545454544999998,2.3333333333,2.0,1.3333333333,0.2365442544,0.18606252350000002
s017,1.4522057193,0.31369892920000003,0.9719010629000001,2.0,37.5,0.2666666667,789,21.3333333333,0.1,550,3.3175667433,0.3956196205,1.4959290993,-0.8048841303000001,0.0065418297000000005,0.3265745915,1.5062475666,0.1636449472,-0.3424806125,-0.5681572224,0.045046801,0.3601575267,0.0001124585,0.00019663,0.0006987305,5.8,3.7142857143,3.6,3.0,2.25,3.8,3.5714285714000003,49,4.8788924506,0.32638577900000004,1.1683888569,0.6666666667000001,0.1666666667,9.7083333333,0.1041666667,3,-0.0111666667,-2.125,7.958333333300001,0.1894025605,3,-0.0077980085,-1.8536882747,1.0,1.2727272726999999,0.1836432283,1.3700064956,9.3,7.6,2.3161067258,0.4668553563,1.8281137296,-0.6599386237,-0.07672318759999999,0.4509392257,0.8333333333,3.3333333332999997,3.0,2.0,3.0,2.5,2.8333333332999997,5.5,3.5,3.6666666667,2.1666666667,2.1666666667,2.1666666667,2.1666666667,3.0,3.8333333332999997,1.1299346645000001,0.46133738329999996,-0.40542564659999997,0.0867177216,0.0573368911,-0.09825897869999999,2.0366838940000003,0.3509130371,1.6780840138,-0.7548590440999999,3.8104168489999997,44.4444444444,66.6666666667,48.148148148100006,4.5,5.5,2.375,2.75,3.75,3.2857142857,2.75,46,-0.7625664513,3.9332268227,22,246.0,3,1.1875,1.4666666667,0.767848587,0.0024491452000000003,0.98984375,0.0027049545,0.5833333333,0.0002011893,0.0002011893,0.0002011893,5,1.8726284756,0.5413704418,1.6626444325999998,-0.6131467667,0.2357663649,-0.5494486493,0.0405512019,0.142883708,-0.08566024119999999,3.5333333333,3.0898931538,0.3848967252,1.2246991872,282.6666666667,-14.5,160.0,43,,,0.58484855,10,0.6666666667000001,0.6666666667000001,0.9166666667,0.8333333333,130.0,0.1,0.8,0.4,0.7000000000000001,0.4513715711,0.0676643665,3.4872548848,0.3502633637,1.317689702,-0.0971372085,0.037465013000000005,-0.17198658309999998,310.0,6.5,5.6,3.6878270118,0.4974554742,1.1056748136,251.0,3.1690796431,0.4206202608,1.1401959902,246.8333333333,295.0,48.1666666667,98.0324196876,2.5546142836000003,0.48570631560000005,1.5029479547,-0.4576298781,0.1546567356,0.2049719249,7.0,7.0,4.5,2.0,4.5,53,4.5384615385,3.5,4.3333333333,2.3333333333,2.4666666666999997,1481.6893939394001,1,10,3958.5,1.066565377,-0.0314158177,0.8092273634999999,2.1,1.0,1.6666666666999999,1.3571428571000002,3.0,0.185612246,0.17430210710000002
s020,1.0467637215999999,0.2798229245,0.965028542,1.85,26.6666666667,0.2,610,12.962962962999999,0.1,340,2.4629520004,0.3595216898,1.548565541,-0.0808346947,0.0097934089,-0.2521411626,-0.6000474297,0.1009980971,-0.2266842247,0.0447023337,0.0193443944,-0.00030131099999999996,0.0002343203,0.009369873,0.0126279297,3.4666666667,3.7857142857,4.3333333333,3.5,3.25,3.6,2.4285714286,41,1.9643596184,0.2938986662,1.5213934129,0.6666666667000001,0.33333333330000003,9.8333333333,0.4,1,-0.006,-1.9166666666999999,7.291666666699999,0.0038725986,0,-0.0009140546,-0.8612740142,1.0833333333,1.5454545455000002,-0.0335462443,0.6750894226,7.5,5.2,1.6690553662999998,0.7678584113,1.5367670894999998,-0.2214329504,0.17708321850000003,-0.5529243307,0.0,2.0,2.1666666667,1.8333333333,1.8333333333,3.8333333332999997,3.8333333332999997,3.8333333332999997,5.3333333333,4.3333333333,2.6666666667000003,2.3333333333,2.5,2.0,2.3333333333,3.5,-0.3706378458,0.33528229600000004,-0.2060512598,0.42025757090000004,-0.0122611573,-0.2282399704,2.3277741412,0.2810750476,1.2905165597,-0.1448413667,3.3579238220999996,38.8888888889,44.4444444444,55.5555555556,5.0,3.75,3.625,3.5,3.25,3.0,2.875,46,-0.6807759697,4.096807786,30,122.0,7,1.5,1.2,0.6603252411,0.0017003689000000002,0.7410667895999999,0.0015159825,0.4722222222,0.0256124969,0.06403124240000001,0.06403124240000001,1,1.6857302594999999,0.5490196185,1.4880418341,-1.020375258,0.3552326975,-0.6368582744,0.35952270700000005,0.123867743,-0.3166955777,3.9333333333,,,,,,,43,3.7318341441000005,-3.4417341323,0.6229103774,8,0.5833333333,0.8333333333,0.5833333333,0.5833333333,100.5,0.4,0.8,0.5,0.2,0.4334975369,0.0501444983,2.5065120466,0.39464240939999995,1.8332725974,0.1314835648,-0.0449439957,0.1951713343,381.5,6.3,5.7,1.7535298762,0.4113871578,1.2423697331,253.3333333333,2.2225308225,0.42074241149999997,1.1635147995,245.0,364.3333333333,119.3333333333,12.8482783357,1.9724961069999998,0.43660518719999997,1.2775680321,-0.6902682734000001,0.1002728539,-0.056711574400000006,5.5,6.0,6.5,5.5,4.5,46,2.7692307692,2.3,3.7777777778,2.7777777778,3.4666666667,2750.9476190476003,12,6,3479.3333333333003,-0.7270158357000001,0.0267573253,-0.4318122063,1.9,1.9090909091,2.1666666667,2.5,2.3333333333,0.1805794197,0.3909019375
s026,1.3532832002000001,0.30656323399999996,0.8853084720000001,2.0,11.375,0.2,263,21.2083333333,0.2,489,3.9162577558,0.4472176032,1.0884574364,0.5078781189,0.0301630871,-0.13290839840000002,-0.2462020669,0.0024388254,0.0690025554,0.3314814533,0.05852383200000001,-0.0904618739,0.00016887180000000002,0.0010027083999999999,0.0231308594,3.1333333333,3.0714285714,4.4666666667,2.75,2.0,3.6,2.7142857143,51,5.823449102300001,0.3477041037,0.6683015907000001,0.6666666667000001,0.1666666667,13.25,0.025,1,0.001,-2.75,10.0833333333,0.0009003215,0,-0.00025937830000000004,-0.07395498390000001,1.0,1.0909090909,-0.2888881723,0.9523625263,9.8,7.1,2.3375502709,0.585254947,1.3413590522,-0.6358558036,0.0013906377,0.21856809359999999,0.8888888889000001,2.6666666667000003,4.0,1.5,2.0,2.5,4.6666666667,4.0,4.0,4.5,2.5,1.8333333333,1.5,1.8333333333,1.1666666667,4.0,-0.9071945084,0.0110591848,0.23332658969999998,-2.7554975797,-0.0903508526,0.6536209339,4.478564518,0.6750587083,1.081638339,0.1910395678,4.9380558016,33.3333333333,33.3333333333,22.2222222222,5.0,6.0,4.0,3.75,4.875,2.8571428571,2.5,36,-0.6433888409,3.1838477633999998,29,206.0,8,1.0,1.0,0.5657946467,0.0019503945999999998,1.0,0.0027379267999999997,0.44444444439999997,0.0006324555,0.0006324555,0.0015811388,6,2.2661840839,0.4578005296,1.2803115222,-0.4441788268,0.2194540216,-0.6712886789,0.3739333213,0.1253453632,-0.4355106342,4.7333333333,,,,,,,46,1.9133373883000002,-1.6080014509,0.57614781,13,0.6666666667000001,0.9166666667,0.8333333333,0.8333333333,142.0,0.2,0.2,0.2,0.0,0.47911547909999996,0.042180781900000006,4.2012129081,0.3241816748,0.9263563602,-0.6956335336,0.044289688,-0.18527898469999998,272.5,6.1,4.5,4.0075229288,0.3754242367,0.7069737078,324.1666666667,3.4442207552999995,0.4052158636,1.0238485786,191.1666666667,237.6666666667,46.5,27.385520763899997,2.9901532276,0.4125566274,1.2876087975,-0.08819973340000001,0.0408950665,0.0372582181,5.5,6.0,7.0,4.0,4.0,49,3.8461538462,2.1,3.8888888889,1.7777777778,2.6,1949.3041666667002,15,7,2732.1666666667,0.22471474739999997,-0.0464100058,0.2726061429,1.9,1.5454545455000002,1.75,1.3571428571000002,1.5,0.1857878768,0.1482208463
