adaptive_n_back.EZ_drift,adaptive_n_back.EZ_non_decision,adaptive_n_back.EZ_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.EZ_drift_neutral,attention_network_task.EZ_non_decision_neutral,attention_network_task.EZ_thresh_neutral,attention_network_task.conflict_EZ_drift,attention_network_task.conflict_EZ_non_decision,attention_network_task.conflict_EZ_thresh,choice_reaction_time.EZ_drift,choice_reaction_time.EZ_non_decision,choice_reaction_time.EZ_thresh,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.EZ_drift_pos,directed_forgetting.EZ_non_decision_pos,directed_forgetting.EZ_thresh_pos,directed_forgetting.proactive_interference_EZ_drift,directed_forgetting.proactive_interference_EZ_non_decision,directed_forgetting.proactive_interference_EZ_thresh,discount_titrate.percent_patient,dot_pattern_expectancy.AY.BY_EZ_drift,dot_pattern_expectancy.AY.BY_EZ_non_decision,dot_pattern_expectancy.AY.BY_EZ_thresh,dot_pattern_expectancy.BX.BY_EZ_drift,dot_pattern_expectancy.BX.BY_EZ_non_decision,dot_pattern_expectancy.BX.BY_EZ_thresh,dot_pattern_expectancy.EZ_drift_AX,dot_pattern_expectancy.EZ_non_decision_AY,dot_pattern_expectancy.EZ_thresh_AX,dot_pattern_expectancy.dprime,go_nogo.dprime,hierarchical_rule.score,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.percent_patient,local_global_letter.EZ_drift_neutral,local_global_letter.EZ_non_decision_neutral,local_global_letter.EZ_thresh_neutral,local_global_letter.conflict_EZ_drift,local_global_letter.conflict_EZ_non_decision,local_global_letter.conflict_EZ_thresh,local_global_letter.switch_cost_EZ_drift,local_global_letter.switch_cost_EZ_non_decision,local_global_letter.switch_cost_EZ_thresh,motor_selective_stop_signal.EZ_drift,motor_selective_stop_signal.EZ_non_decision,motor_selective_stop_signal.EZ_thresh,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.reg_positive_learning_bias,probabilistic_selection.reg_value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,psychological_refractory_period_two_choices.PRP_slowing,ravens.score,recent_probes.EZ_drift_xrec,recent_probes.EZ_non_decision_xrec,recent_probes.EZ_thresh_xrec,recent_probes.proactive_interference_EZ_drift,recent_probes.proactive_interference_EZ_non_decision,recent_probes.proactive_interference_EZ_thresh,shift_task.learning_rate,simon.EZ_drift_congruent,simon.EZ_non_decision_congruent,simon.EZ_thresh_congruent,simon.simon_EZ_drift,simon.simon_EZ_non_decision,simon.simon_EZ_thresh,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.EZ_drift,stim_selective_stop_signal.EZ_non_decision,stim_selective_stop_signal.EZ_thresh,stim_selective_stop_signal.SSRT,stop_signal.EZ_drift,stop_signal.EZ_non_decision,stop_signal.EZ_thresh,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.EZ_drift_congruent,stroop.EZ_non_decision_congruent,stroop.EZ_thresh_congruent,stroop.stroop_EZ_drift,stroop.stroop_EZ_non_decision,stroop.stroop_EZ_thresh,threebytwo.EZ_drift_cue_stay,threebytwo.EZ_non_decision_cue_stay,threebytwo.EZ_thresh_cue_stay,threebytwo.cue_switch_cost_EZ_drift,threebytwo.cue_switch_cost_EZ_non_decision,threebytwo.cue_switch_cost_EZ_thresh,threebytwo.task_inhibition,threebytwo.task_switch_cost_EZ_drift,threebytwo.task_switch_cost_EZ_non_decision,threebytwo.task_switch_cost_EZ_thresh,tower_of_london.avg_move_time,tower_of_london.num_correct,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,tower_of_london.total_moves,two_stage_decision.model_based,two_stage_decision.model_free,writing_task.neutral_probability,writing_task.positive_probability
s002,0.607578112,-0.3708128516,1.1408363252,1.2,-0.2333333333,453,-0.1333333333,325,3.4366837378,-0.5393568259,1.3250788373,0.1499205969,0.1433510831,-0.2738213178,3.2669251098,-0.3064721256,1.1912793123,11.75,-0.0666666667,0,-7.285838599e-17,-2.25,8.0833333333,0.0377623846,0,-0.001822838,0.3350125945,0.1387440396,-0.4324047369,8,10.3,1.607552419,-0.7248624401,1.743868721,-0.6864930228,0.1260754967,-0.5661847945,0.1944444444,-0.5590401924,0.3301995329,0.0796504652,0.4466930392,-0.0711183669,0.4421659005,2.2768182362,-0.608088968,1.6468174826,0.9770114943,0.8,111,0.7541481018,15.2,0.0017554871,0.7393355608,9.9,0.0013716979,0.5277777778,0.2222222222,0.4081114075,-0.4855396284,1.3712328978,-0.738855287,0.0756234753,-0.1893332528,-0.5933835666,0.0001450961,0.009237325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5320132074,358,4,1.2643041066,-0.8708362581,1.4171902629,-0.9674501132,-0.1059488209,-0.0205144321,NA,3.0250920992,-0.4557912947,1.0505643221,-0.8318035738,0.0505957604,-0.0487697328,4.8,6.1,2.6246687304,-0.4639697253,1.1195979994,-294.8333333333,2.1243416333,-0.4286330571,1.2233676865,-307,-332.6666666667,25.6666666667,149.2652777778,2.6691375375,-0.4215569675,1.4424687928,0.4931077289,0.153885747,-0.009120298,1.6069028785,-0.4062490112,2.0031551801,-0.3416956077,0.1612020183,-0.2665033065,109.5,-0.1701747691,0.0259260269,-0.0532735934,611,10,8,3032,54,-0.1648688222,0.2389767943,0.8172749921,0.1922162034
s005,0.7301820711,-0.384326483,1.1070429208,1.65,-0.2666666667,750,-0.3333333333,580,3.0874806825,-0.3760749258,1.4749491122,0.5109337468,0.1027640127,-0.1726451705,NA,NA,NA,13.4166666667,0.275,3,NA,-2.9166666667,13.0416666667,0.4185577722,3,NA,-3.7905236908,0.2518581217,-1.2169609029,9.2,8,0.7269600109,-0.5784818183,0.9534873585,-2.340798567,0.0056198749,-0.0805551927,0.1666666667,1.6296780714,0.0446301751,-0.0645891659,1.1700228704,-0.0477052463,0.1207386116,3.2849800124,-0.4092529161,1.3594932395,0.921969697,0.8063492063,174,0.7475608826,10,0.0009119887,0.920829773,16.7,0.001067059,0.5555555556,0.2962962963,2.8168492273,-0.5152780375,1.5327366732,-0.0598640119,0.1493600214,-0.2450502821,-0.5768968482,0.0082608214,0.0583509337,3.0139742749,-0.3808721405,1.0564086735,-295.6666666667,-7,114,NA,NA,NA,0.6320956121,512.5,14,1.8571420586,-0.5638438108,1.4929330309,0.0262427956,0.1359982413,-0.3254283939,0.0445575732,3.0353332478,-0.342011838,1.5138765582,0.1345777374,0.0250703839,-0.0642712312,6.5,5.1,3.2071295065,-0.4379239851,0.9946240966,-379.1666666667,3.459198513,-0.4499491098,0.9691283125,-250.1666666667,-309,58.8333333333,50.9333333333,4.3988105461,-0.440089973,1.0352518809,-0.7589610778,-0.0118941237,0.215864939,2.4961490137,-0.4451980465,1.2196877755,-0.0912387918,-0.0078255258,0.0118886447,-3.1666666667,-0.8712592036,0.0667722513,-0.1958522846,675,9,7,2468.5,65,-1.2107524913,1.5888186252,0.8868519986,0.4059011843
s006,0.648444223,-0.3132448781,1.1294231142,1.4,-0.4,736,-0.2,750,3.6953826693,-0.4209448436,1.2323153782,-1.6182929192,0.0693467697,-0.208023536,1.3521995353,-0.2296939048,1.2788342749,19.5833333333,-0.0166666667,1,0.0006666667,1,28.2173913043,-0.1839181287,2,0.0043567251,-2.6725146199,-0.0113190347,0.0127370793,8.5,8.5,1.4635587809,-0.404558859,1.3991189627,-0.7289555987,0.1151445038,0.3263369323,1,-0.7520794705,0.487242978,-0.3837050717,-0.9015341779,0.0750535915,-0.2220249331,2.6702683571,-0.5644620396,1.3952505625,0.7264705882,0.8222222222,139,0.527438736,3.1,0.0017382296,0.7636162281,11,0.0020427238,0.5,0.037037037,1.8040537407,-0.5080132341,1.4217699282,-0.886488882,0.2321508041,-0.5100051457,-1.305744198,0.1574250548,-0.6977471868,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4031998195,270,4,0.9322779193,NA,2.5390750602,-0.1591843915,NA,-1.3867791674,0.0212836617,1.7513326776,-0.3049686753,1.5462797192,-0.3503049181,0.1159905185,-0.2845902876,5.3,4.9,NA,NA,NA,NA,1.6243739486,-0.4036620406,1.1569474885,-336.1666666667,-303.1666666667,-33,69.3263888889,2.4611039411,-0.4016387713,1.5556601786,-0.2068472451,0.1659670313,-0.1844576625,1.333374934,-0.5007865926,1.1918892163,-0.0680084704,-0.0258248556,0.0800252518,30.3333333333,0.1587036468,0.0490877039,-0.0866486599,711.5,10,4,2997,67,-0.4553857187,1.0327010837,0.8338361601,0.4540214179
s007,NA,NA,NA,1.05,-0.1333333333,470,-0.1666666667,340,2.0924735558,-0.3945213477,1.8399982122,-0.4938527447,0.2304743796,-0.8141511462,2.2562299499,-0.2863412876,1.4962480105,4.8333333333,0.0333333333,0,0.0013333333,-0.4166666667,13.0416666667,0.2115478865,1,-0.0035254237,0.8082499489,0.429502064,-0.5991357069,9.6,6.4,-0.440002338,-0.8119166448,1.3775740519,-1.2562010023,0.1642748049,-0.1550644684,0.3611111111,0.4422716205,0.5237516474,-0.3397077158,-0.4547290357,0.1337230452,-0.2242393044,2.5498715474,-0.6562196661,1.3021159135,0.7151162791,0.6952380952,98,0.8018417358,11.9,0.0007886168,0.8767990112,15.7,0.0012070223,0.7777777778,0.2592592593,1.6366009165,-0.5539616394,1.543277056,-1.950111117,0.1162751236,-0.1591822858,0.1251794513,0.0170274428,-0.124468358,NA,NA,NA,NA,NA,NA,1.7142857143,-2.3008930289,1.5540518588,0.5112262406,287,10,1.4964169609,-0.8657334906,1.8733818542,-0.3524616967,0.0207209047,0.5223421623,0.006016204,3.2080525053,-0.3475188061,1.4323705246,-0.4532499486,0.0516990615,-0.2787292872,5.1,5.4,1.9230937277,-0.6524028355,1.0780399826,-416.3333333333,2.0539005018,-0.4862316359,1.1370438411,-343.1666666667,-437,93.8333333333,-0.0875,2.2252213831,-0.6825390516,1.3890943512,-0.3206557853,0.0811655913,-0.1934057975,1.0575673154,-0.4419746964,1.2841957806,0.0166003983,0.0206481844,0.0063795583,110.5,-0.892355109,0.0794754869,0.0075705376,905.5,9,8,5822,41,NA,NA,0.8621573749,0.6821860019
s009,2.653791954,-0.3279918381,0.8343435258,2.7,-0.2333333333,615,-0.2333333333,420,3.0735302147,-0.3755447508,1.020160531,1.1130010018,0.0792491356,-0.2228354216,3.0214530051,-0.2742326392,1.0518296412,13.7083333333,NA,2,-0.0118333333,-6.4583333333,5.25,0.1141843972,2,-0.0049527187,-2.4048463357,0.1593423691,-1.1747285803,6.8,4.8,2.957167458,-0.5342113651,1.4414739569,0.4128447795,-0.0571306892,0.4425905626,0.7222222222,-0.5400025347,0.3845147625,-0.2817230541,-0.3621395503,0.0469676202,-0.1495965686,3.8560195374,-0.4459035065,1.1551672011,0.8551724138,0.9428571429,222,0.6171309948,3.6,0.0017705286,0.985546875,20,0.0028862039,0.7222222222,0.5925925926,2.483891219,-0.4220920876,1.7691793912,-1.421829071,0.0925644814,0.4131665936,0.3858124084,0.0182510311,-0.0027277943,2.4993333955,-0.365681809,1.4978411286,-228.3333333333,8.5,73,0.875,-16.728030384,21.3130545978,0.6676807246,502,6,1.4289092607,-0.6145561285,1.4330461001,-0.7312197938,0.1799509775,-0.1784777185,0.1462449228,5.0341955662,-0.3083150479,0.912781355,0.0501260595,0.0124607721,-0.1473261803,6.8,6.4,1.3755793139,-0.4922835313,1.1602492681,-247.6666666667,3.0597313702,-0.4836979943,1.4418211611,-204.5,-225,20.5,-33.0472222222,2.6531438635,-0.4402138369,1.7083881336,0.0309585393,0.1074609962,-0.0197046138,2.9401416856,-0.4182966949,1.2281441844,-0.3057655795,-0.087068549,0.6813925403,30.1666666667,-0.5063248716,0.1058305956,-0.9311889545,473.5,12,11,3184.5,51,0.6258949536,-0.1528096578,0.1779068063,0.4556380051
s011,2.0950808131,-0.3068188303,0.7947224533,3.2,-0.4,690,-0.3,365,3.4611126584,-0.4266553953,1.112401699,-0.3017529387,0.0972683255,-0.0976923301,4.1801455157,-0.2855306784,1.0296447999,5.3333333333,0.0583333333,1,-0.0026666667,-1.75,6.9130434783,0.130866426,3,-0.0025487365,-3.7931923672,0.1939300298,-0.9515309845,7.9,9.8,2.1174880936,-0.3247737375,2.0130832801,-0.5752336305,0.1881684641,0.3939934455,0,-1.5210903241,0.1874260046,0.2691307214,-1.5212444127,-0.0112196585,0.0436962478,4.8807740103,-0.4555721189,1.0581899435,0.875,0.8825396825,265,0.7708899498,6.9,0.0016033788,0.8675750732,14,0.0018161934,0.5833333333,0,2.5925021887,-0.4737548595,1.6332123163,0.1170774815,0.1985121555,-0.0621142863,-0.043122748,0.0981351114,0.023925428,3.8905165249,-0.3722215905,1.1537379011,-262.5,8,84,0.96875,-2.8238165613,6.297844058,0.2325498095,183,12,2.1740556185,-0.5861182065,1.6082879995,-0.282621863,0.2000026339,0.1986060298,0.0917039711,4.0930233218,-0.3119783858,1.1226713089,-0.6567248643,0.0713001921,-0.1978232872,5.7,6.3,3.6177900349,-0.4670446173,1.2407122377,-226.3333333333,3.6335333508,-0.3927249792,1.2782023586,-241,-247.6666666667,6.6666666667,96.3097222222,4.2209058493,-0.4334223761,1.0788861572,-1.5091109383,0.038430124,0.340892155,2.8526160854,-0.3553043188,1.2797579948,0.8599145425,0.011730637,0.0164425858,-2.5,-1.316832846,0.0150774077,-0.2372555215,574.5,11,8,1863,57,-0.4356487044,-0.3646431136,0.1925341667,0.2404360379
s012,2.9736689273,-0.4072876537,1.1547980923,3.25,-0.3666666667,796,-0.2333333333,527,3.5392747464,-0.4515526197,1.0878351859,0.1874795858,0.1543914521,-0.2951771054,2.8838479142,-0.2433456746,1.492472981,5.6666666667,0.0583333333,2,-0.0086666667,-2.9166666667,3.9583333333,0.1687969925,3,-0.0115213033,-1.9323308271,-0.3553490939,-0.7137797811,8.4,8.6,1.7959072169,-0.5596318314,1.3180656506,-0.3151752325,0.014650667,0.177987369,0.1666666667,0.1755229358,-0.0648641009,0.2037747684,1.2348079781,0.0055707907,-0.1966374686,2.7786235684,-0.649048278,1.8504354512,1,0.6222222222,190,0.6499261856,6.9,0.0010140799,1,25,0.0020015881,0.6666666667,0.1851851852,2.2476648075,-0.5683442518,1.5419273778,-0.3025234361,0.1587232853,-0.3220832787,0.1131522311,0.1774158485,-0.0834490921,2.7529438143,-0.399536901,0.9542806958,-331.6666666667,7.5,81,NA,22.3961352776,-17.3977445461,0.6264483412,489,15,1.4925545622,-0.616032713,1.03208625,0.0637974771,0.0195185864,-0.0105002511,0.0590870111,2.4569393701,-0.1951641119,1.8702618005,-0.599145241,0.0113921407,-0.1596019483,5.9,6,3.1359721383,-0.3363470711,1.206703844,-301,2.3228019748,-0.3821839217,1.1306259472,-263.1666666667,-286.6666666667,23.5,9.8805555556,2.7405379834,-0.5174401246,1.3970400774,-0.2862451841,0.1667914888,-0.1375968463,2.1132804067,-0.388757398,1.3849271458,0.2510154685,0.0207181071,-0.2256644442,18.1666666667,-0.3130985361,0.011467618,0.1743408038,835.5,10,8,3591,49,-0.6838735438,0.501551987,0.2365442544,0.1860625235
s017,1.4522057193,-0.3136989292,0.9719010629,2,-0.2666666667,789,-0.1,550,3.1781090058,-0.3733279412,1.432888829,1.5062475666,0.1636449472,-0.3424806125,NA,NA,NA,9.7083333333,0.1041666667,3,-0.0111666667,-2.125,7.9583333333,0.1894025605,3,-0.0077980085,-1.8536882747,0.1836432283,-1.3700064956,9.3,7.6,2.1445519874,-0.4652045925,1.6578511887,-0.6599386237,-0.0767231876,0.4509392257,0.8333333333,1.1299346645,0.4613373833,-0.4054256466,0.0867177216,0.0573368911,-0.0982589787,2.4366903966,-0.6177941932,2.110101293,0.875,0.8825396825,246,0.767848587,9.7,0.0024491452,0.98984375,22.7,0.0027049544,0.5833333333,0.962962963,2.056560586,-0.4889910275,1.6697719619,-0.6131467667,0.2357663649,-0.5494486493,0.0405512019,0.142883708,-0.0856602412,3.0898931538,-0.3848967252,1.2246991872,-293.1666666667,14.5,160,NA,NA,NA,0.58484855,411,10,2.3136454661,-0.6811942905,1.4842322451,-0.2317974511,0.1100638695,0.2146564598,0.0676643665,3.4296911372,-0.3369419442,1.3398057336,-0.0971372085,0.037465013,-0.1719865831,6.5,5.6,3.6878270118,-0.4974554742,1.1056748136,-268.5,3.1690796431,-0.4206202608,1.1401959902,-250.3333333333,-295,44.6666666667,98.025,3.1135494813,-0.4662897654,1.2365782606,-0.4576298781,0.1546567356,0.2049719249,2.1636958716,-0.4353596856,1.3728428771,0.337166071,-0.0063929658,0.0971705648,-53.5,-0.4584740844,-0.0234047467,0.1333082439,564,11,10,3871.5,47,-3.1094480307,2.7572274371,0.185612246,0.1743021071
s020,1.0467637216,-0.2798229245,0.965028542,1.85,-0.2,610,-0.1,340,2.3740983796,-0.3102921951,1.6126717534,-0.6000474297,0.1009980971,-0.2266842247,1.949121302,-0.2828068354,1.5369655396,9.8333333333,NA,1,-0.006,-1.9166666667,7.2916666667,0.0038725986,0,-0.0009140546,-0.8612740142,-0.0335462443,-0.6750894226,7.5,5.2,1.5149431884,-0.6936926052,1.5828285121,-0.2214329504,0.1770832185,-0.5529243307,0,-0.3706378458,0.335282296,-0.2060512598,0.4202575709,-0.0122611573,-0.2282399704,2.8068247923,-0.5241797958,1.1913956927,0.9034090909,0.9111111111,122,0.6603252411,7.8,0.0017003689,0.7410667896,9.9,0.0015159826,0.4722222222,0.2592592593,2.3000679492,-0.5351278317,1.6920457934,-1.1163670066,0.248205672,-0.4995598343,0.359522707,0.123867743,-0.3166955777,2.4643207729,-0.414017699,1.3617281665,-285.6666666667,33,36.5,1,7.5589484363,-6.9972845251,0.6229103774,477.5,8,1.1136799138,-0.5701888717,1.5784229344,-0.5562101417,0.1008975523,-0.1813600858,0.0501444983,2.3620018362,-0.427101689,1.6476787776,0.1314835648,-0.0449439957,0.1951713343,6.3,5.7,1.7535298762,-0.4113871578,1.2423697331,-286.3333333333,2.2225308225,-0.4207424115,1.1635147995,-240,-361.3333333333,121.3333333333,18.3513888889,2.422889341,-0.4036034231,1.2850423074,-0.6902682734,0.1002728539,-0.0567115744,1.2937192247,-0.4410564782,1.368694247,0.0542584892,0.0457642798,-0.1040234185,7.1666666667,-0.0591224359,0.0282935245,0.0843062314,972,7,6,2947,58,0.594460772,-0.1424756482,0.1805794197,0.3909019375
s026,1.3532832002,-0.306563234,0.885308472,2,-0.2,263,-0.2,489,3.6382980694,-0.4396521266,0.8618024571,-0.2462020669,0.0024388254,0.0690025554,5.8234491023,-0.3477041037,0.6683015907,13.25,0.025,1,0.001,-2.75,10.0833333333,0.0009003215,0,-0.0002593783,-0.0739549839,-0.2888881723,-0.9523625263,9.8,7.1,1.8964309416,-0.4851009906,1.2644253056,-0.6358558036,0.0013906377,0.2185680936,0.8888888889,-0.9071945084,0.0110591848,0.2333265897,-2.7554975797,-0.0903508526,0.6536209339,4.5921719238,-0.7591510405,0.9725045562,0.9886363636,0.8158730159,206,0.5657946467,2.1,0.0019503946,1,24.5,0.0027379268,0.4444444444,0.7407407407,2.5412516559,-0.5079266711,1.1148889318,-0.4441788268,0.2194540216,-0.6712886789,0.3739333213,0.1253453632,-0.4355106342,NA,NA,NA,NA,NA,NA,1.0253968254,0.1370712978,0.3193661589,0.57614781,469,13,1.5365707728,-0.596058094,1.3326381574,-0.0603564483,0.0110469059,0.0527891713,0.0421807819,4.5628126969,-0.3052697219,1.0070805346,-0.6956335336,0.044289688,-0.1852789847,6.1,4.5,4.0075229288,-0.3754242367,0.7069737078,-314.6666666667,3.4442207553,-0.4052158636,1.0238485786,-189.6666666667,-236.6666666667,47,26.9041666667,3.0634092401,-0.3959453012,1.256817911,-0.0881997334,0.0408950665,0.0372582181,2.3141535742,-0.3339836565,1.7394488143,0.1049920872,0.0181206695,0.214707107,-31.1666666667,-0.9860407507,0.1475854622,-0.8834242295,836.5,8,7,2254,61,-1.0122824975,0.9634923334,0.1857878768,0.1482208463
