,1.0
NBZN,-0.99
NBZT,1.0
NBAC,1.0
NBAVRT,-1.0
NBAVRTE,1.0
NBMEANLD,1.0
NBMSPRC,-1.0
NBPES,1.0
NBDRT,1.0
NBDRTE,1.0
ARTKCLCK,-1.0
ARTKLPC,-1.0
ARTKSCOR,1.0
ARTRCLCK,-1.0
ARTRLPC,-1.0
ARTRSCOR,1.0
ANTCGZD,1.0
ANTINCZD,1.0
ANTNTRZD,1.0
ANTCGZN,-1.0
ANTINCZN,-1.0
ANTNTRZN,-1.0
ANTCGZT,1.0
ANTINCZT,1.0
ANTNTRZT,1.0
ANTAC,1.0
ANTALTAC,1.0
ANTALTRT,1.0
ANTAVRT,-1.0
ANTAVRTE,1.0
ANTCONZD,1.0
ANTCONZN,1.0
ANTCONZT,1.0
ANTCONAC,1.0
ANTCONRT,-1.0
ANTCGSAC,1.0
ANTCGSRT,1.0
ANTMSPRC,-1.0
ANTORTAC,1.0
ANTORTRT,1.0
ANTPES,1.0
ANTDRT,1.0
ANTDRTE,1.0
BISATTII,-1.0
BISMOTII,-1.0
BISNPLII,-1.0
BISATTNI,-1.0
BISCGCXI,-1.0
BISCGSTI,-1.0
BISMOTOI,-1.0
BISPERSI,-1.0
bis11_survey.first_order_self_control,-1.0
BBASDRIV,1.0
BBASFUNS,1.0
BBASRWRD,1.0
BBASBIS,1.0
BSCSSCON,1.0
CRTZD,1.0
CRTZN,-1.0
CRTZT,1.0
CRTAC,1.0
CRTAVRT,-1.0
CRTAVRTE,1.0
CRTMSPRC,-1.0
CRTPES,1.0
CRTDRT,1.0
CRTDRTE,1.0
CGRSCRP,1.0
CGRSINTP,-1.0
CCTCAVCC,1.0
CCTCGAIN,1.0
CCTCINFO,1.0
CCTCLOSS,1.0
CCTCPROB,1.0
CCTHAVCC,1.0
CCTHGAIN,1.0
CCTHINFO,1.0
CCTHLOSS,1.0
CCTHPROB,1.0
DEMBMI,-1.0
DEMAGE,1.0
DEMARST,-1.0
DEMCAFF,1.0
DEMCARDT,1.0
DEMKIDS,1.0
DEMCCDT,1.0
DEMDIVR,1.0
DEMEDUC,1.0
DEMEDUDT,1.0
DEMGAMB,-1.0
DEMHEIG,1.0
DEMHISP,1.0
DEMHOME,1.0
DEMINCOM,1.0
DEMRELLG,1.0
DEMMORDT,1.0
DEMMTMV,1.0
DEMOTMV,1.0
DEMOTDT,1.0
DEMPRIS,1.0
DEMRACE,1.0
DEMRELCT,1.0
DEMRELST,1.0
DEMRETAC,1.0
DEMSEX,1.0
DEMTRACC,-1.0
DEMTRTX,-1.0
DEMWEIG,1.0
DIIDYSF,-1.0
DIIFUNC,1.0
DDTHEALT,1.0
DDTTASTE,-1.0
DGSFORWD,1.0
DGSREVRS,1.0
DRFCTLZD,1.0
DRFNGZD,1.0
DRFPSZD,1.0
DRFCTLZN,-0.95
DRFNGZN,-0.97
DRFPSZN,-0.97
DRFCTLZT,1.0
DRFNGZT,1.0
DRFPSZT,1.0
DRFAC,1.0
DRFAVRT,-0.97
DRFAVRTE,1.0
DRFMSPRC,-0.97
DRFPES,1.0
DRFPINZD,1.0
DRFPINZN,1.0
DRFPINZT,1.0
DRFPINAC,1.0
DRFPINRT,-0.97
DRFDRT,1.0
DRFDRTE,1.0
DSTGLM,-1.0
DSTGLMNN,-1.0
DSTGLMN,-1.0
DSTNM,-1.0
DSTNMNN,-1.0
DSTNMN,-1.0
DSTPCTP,1.0
DPTEEB,1.0
DPTFEB,1.0
dospert_eb_survey.health_safety,1.0
DPTREB,1.0
DPTSEB,1.0
DPTERP,1.0
DPTFRP,1.0
dospert_rp_survey.health_safety,1.0
DPTRRP,1.0
DPTSRP,1.0
DPTERT,1.0
DPTFRT,1.0
dospert_rt_survey.health_safety,1.0
DPTRRT,1.0
DPTSRT,1.0
DPEAYBZD,1.0
DPEAYBZN,1.0
DPEAYBZT,1.0
DPEAYBAC,1.0
DPEAYBRT,1.0
DPEBXBZD,1.0
DPEBXBZN,1.0
DPEBXBZT,1.0
DPEBXBAC,1.0
DPEBXBRT,1.0
DPEAXZD,1.0
DPEAYZD,1.0
DPEBXZD,1.0
DPEBYZD,1.0
