,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTALTHD,ANTALTHT,ANTCONHD,ANTCONHT,ANTNTRHD,ANTNTRHT,ANTORTHD,ANTORTHT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFPSHD,DRFPSHT,DRFPINHD,DRFPINHT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEAYBHT,DPEBXBHD,DPEBXBHT,DPEDPRIM,DPEAXHD,DPEAXHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPXHD,REPXHT,REPPINHD,REPPINHT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHDSNN,SMHTSNN,SMSIHD,SMSIHT,SHFTLR,SIMCGHD,SIMCGHT,SIMSIMHD,SIMSIMHT,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRCGHD,STRCGHT,STRSTRHD,STRSTRHT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,TXTCSCHD,TXTCSCHT,TXTCSTHD,TXTCSTHT,TXTTAIOR,TXTTSCHD,TXTTSCHT,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s002,0.5682802054,0.1612039916,1.5751211120000002,1.2,-386.5652173913,-0.23333333329999997,453.0,-817.1923076923,-0.1333333333,325.0,0.3001963847,0.0866661943,-0.5268185341,0.35293063010000003,3.7384890681,2.2199683856,-1.4384257119,-0.4802339255,-0.029923370100000006,-0.1478212891,-0.0556884766,-18.0,-21.0,-25.0,9.0,9.0,13.0,9.0,33.0,3.4425542267,0.2389035657,1.7613151533000002,0.1666666667,-0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,-12.0,13.0,0.1387440396,-0.4324047369,8.0,10.3,1.3739174987,2.1130335184,-0.9826339931,-0.4071452049,0.19444444440000003,10.0,5.0,9.0,6.0,18.0,21.0,32.0,21.0,17.0,10.0,12.0,5.0,15.0,16.0,28.0,-0.97287257,0.4596200978,0.31533539590000004,0.0131393812,0.9770114943000001,2.2392414246,2.6782927681,11.1111111111,-44.4444444444,-59.2592592593,5.8,1.6666666666999999,28.0,28.0,29.0,19.0,28.0,49.0,0.8,28.0,111.0,6.0,-25.0,20.0,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,-0.06403124240000001,-0.158113883,-0.0256124969,4.0,4.0666666667,,,,,,,38.0,,,0.5320132074,4.0,1.2448376026,1.7920384231000002,-0.6671421114,-0.3682579759,,,,,122.0,0.22222222219999999,0.22222222219999999,0.6666666667000001,0.11111111109999999,5.2092007774,2.6789914646,-3.4585891062000003,-1.0976834572,,2.7747697586,1.3952503649,-0.6810933753,0.1180595042,351.5,4.8,6.1,-294.8333333333,2.6179322958,0.4082753837,1.4648238538999998,-307.0,-332.6666666667,2.101009039,0.3717191853,1.4807273254,25.6666666667,149.2652777778,2.8268998374,1.8581753177000002,0.3767858624,1.0062478707,6.0,3.0,7.0,3.0,7.0,-38.0,-0.2716076112,0.0774723997,1.0759035974,1.913218334,109.5,-0.012976628999999998,-0.176061992,2.9090909091,2.6666666667000003,4.625,3.125,4.1428571429000005,1795.1016666667,-8.0,8.0,3727.25,-0.1648688222,0.2389767943,-14.0,-21.0,-34.0,-42.0,-34.0,0.8172749921,0.1922162034
s005,0.659604651,0.28137483879999997,1.3894732954,1.65,-677.1363636364,-0.2666666667,750.0,-1597.05,-0.33333333330000003,580.0,0.4572112852,0.1503803057,0.0325879877,0.5616135164,3.611964005,1.8737639813999998,0.7629986751000001,0.5595127049,-0.000525995,-0.0041643982,-0.0276582031,-8.0,-18.0,-15.0,9.0,10.0,15.0,13.0,41.0,4.6066431913,0.2947011061,1.7300902509,0.8333333333,-0.1666666667,13.416666666700001,0.275,3.0,-0.030666666699999998,-2.9166666667000003,13.041666666700001,0.4185577722,3.0,-0.0250756442,-3.7905236907999997,-11.0,17.0,0.2518581217,-1.2169609029000001,9.2,8.0,0.6686681922000001,1.2891273909999998,-2.7688949204,-0.9610909353,0.1666666667,10.0,15.0,5.0,8.0,18.0,26.0,30.0,30.0,34.0,23.0,9.0,8.0,12.0,6.0,23.0,1.4854633843,0.3668635407,0.949824772,-0.1675182332,0.921969697,3.6749123437,1.4249237885,22.2222222222,11.1111111111,-33.3333333333,4.8,4.3333333333,32.0,27.0,20.0,25.0,33.0,46.0,0.8063492063000001,28.0,174.0,6.0,-18.0,19.0,0.7475608826000001,0.0009119887,0.920829773,0.001067059,0.5555555556,-0.0256124969,-0.0256124969,-0.06403124240000001,4.0,5.0666666667,-295.6666666667,2.8172811288,0.3393746977,1.2536541408,-7.0,114.0,43.0,,,0.6320956121,14.0,1.7011470935,1.7891184205000001,-0.6032658295000001,0.1310060526,0.6363636364,0.8181818181999999,1.0,0.8181818181999999,131.0,0.0,0.7777777778,0.7777777778,0.44444444439999997,2.7150969523,2.0532967315,1.1293091258,1.6938832763,0.044557573200000006,3.1241677656999998,1.8809775457,0.2578210039,0.2142591539,302.5,6.5,5.1,-379.1666666667,2.7799227942,0.2980390743,1.6707608225,-250.1666666667,-309.0,3.2722022439,0.3658788363,1.5056125178,58.8333333333,50.9333333333,4.700986981000001,2.4608586543,-1.2487910304,-0.3703083798,5.0,5.0,7.0,2.0,6.0,-33.0,0.1358111427,0.08366337930000001,1.8579732187,1.4610762308,-3.1666666667000003,-0.8359315186,-0.0907953692,3.9090909091,3.0,3.375,2.0,3.2142857143,1915.6111111111,-19.0,7.0,2585.75,-1.2107524912999998,1.5888186252,-16.0,-13.0,-19.0,-13.0,-31.0,0.8868519986000001,0.4059011843
s006,0.5516364565999999,0.053659248900000005,1.657621515,1.4,-1455.0555555556,-0.4,736.0,-455.4166666667,-0.2,750.0,-1.1264348196,-0.3021865503,-1.7025611823,-0.2133578038,4.0039945098,2.084873496,-0.7550916787,0.0947970273,-7.0924e-06,-6.784529999999999e-05,-29.632732421900002,-11.0,-23.0,-23.0,11.0,12.0,16.0,17.0,34.0,1.4344179794999998,0.2396902318,1.3295953071,0.1666666667,-0.8333333333,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,-19.0,16.0,-0.0113190347,0.012737079299999999,8.5,8.5,1.449390675,1.4674542875,-0.9339294429999999,0.1940799269,1.0,5.0,5.0,5.0,5.0,5.0,35.0,35.0,35.0,35.0,35.0,5.0,5.0,5.0,5.0,5.0,-1.6598983975,0.1036728791,-1.6508768150000002,-0.4191342124,0.7264705881999999,2.9575914755,3.2132628649,27.7777777778,11.1111111111,3.7037037037,4.4,5.666666666699999,33.0,19.0,34.0,6.0,13.0,53.0,0.8222222222000001,28.0,139.0,0.0,-27.0,22.0,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,-0.25,-0.25,-0.25,5.0,3.8,,,,,,,44.0,,,0.40319981950000006,4.0,1.2252413999,1.9736913383,-0.0909909499,-0.0513010987,0.33333333330000003,0.1818181818,0.7272727273,0.5454545454999999,111.5,0.5555555556,0.6666666667000001,0.75,0.44444444439999997,2.1936060493,1.6117262422,-0.32574897210000003,-0.0362582989,0.021283661699999998,1.8866786143,1.7109005855,-0.5569097386,-0.1413436126,341.5,5.3,4.9,,,,,-336.1666666667,-303.1666666667,1.3204932747,0.1182634506,1.9284677738,-33.0,69.3263888889,2.36106471,1.9505874544,-0.2290444045,0.5547873830000001,7.0,7.0,7.0,7.0,7.0,-42.0,-0.034614994600000004,0.0594276825,1.1885098072,1.6695454256,30.3333333333,0.0148815929,-0.1195366029,3.7272727273000004,4.0,4.0,3.0,4.0714285714,2209.1783333333,-21.0,4.0,3224.1666666666997,-0.4553857187,1.0327010837000001,-17.0,-22.0,-32.0,-35.0,-30.0,0.8338361601000001,0.4540214179
s007,,,,,-782.9230769231,-0.1333333333,470.0,-244.16,-0.1666666667,340.0,0.7284696447,0.7318770336,-0.8422581098999999,-0.1683715093,2.0566842907,1.8871087122,-0.07664668200000001,0.1099782616,-0.0005751163,-0.0008470039,-0.0081005859,-13.0,-18.0,-22.0,10.0,8.0,14.0,20.0,49.0,2.1396863404,0.0234853529,2.6138900432,0.1666666667,-0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,-13.0,16.0,0.42950206399999996,-0.5991357069000001,9.6,6.4,,,,,0.3611111111,13.0,28.0,9.0,17.0,24.0,21.0,26.0,26.0,28.0,12.0,10.0,26.0,20.0,25.0,33.0,0.0669608089,1.0785958495,-0.3040716343,0.4363279033,0.7151162791,2.5253823306000003,3.432305667,44.4444444444,11.1111111111,-22.2222222222,5.4,4.6666666667,22.0,21.0,21.0,21.0,23.0,50.0,0.6952380951999999,22.0,98.0,9.0,-21.0,21.0,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,-0.06403124240000001,-0.06403124240000001,-0.0256124969,2.0,3.8,,,,,,,43.0,8.6329234757,-8.637205744700001,0.5112262406,10.0,1.2554385797,2.2870692979,-0.5444157964999999,0.1293061885,0.45454545450000006,0.5454545454999999,0.5454545454999999,0.9090909091,110.5,0.6666666667000001,0.44444444439999997,0.5555555556,1.0,2.8096303704000003,1.6464868136000002,-1.2728395370999999,0.08892250460000001,0.006016204000000001,3.6273748811,1.6384719177,-0.9955151637,-0.23377410829999998,517.0,5.1,5.4,-416.3333333333,1.5940607767,0.5408676974000001,1.4515651844000002,-343.1666666667,-437.0,1.8915844536,0.3968761154,1.4502027456,93.8333333333,-0.08750000000000001,2.2123020443,2.1355882534,-0.6110364829,-0.1652441443,7.0,6.0,5.0,2.0,5.0,-48.0,0.1309583316,0.3764393216,0.5809027386,1.7727970321000002,110.5,-0.5850045853,-0.2861615051,3.7272727273000004,4.0,3.125,3.25,3.5,2282.5555555555998,5.0,8.0,6112.166666666701,,,-19.0,-21.0,-35.0,-29.0,-33.0,0.8621573749,0.6821860019
s009,1.9761025032,0.2242860998,1.2300693454,2.7,-1156.5652173913,-0.23333333329999997,615.0,-501.0434782609,-0.23333333329999997,420.0,0.8158960321000001,0.4180771128,1.2403400837,0.6084356329,3.0424073772000004,1.4981671013999998,1.4728014668,1.1358218937,-0.0005145003,-0.0019907760999999997,-0.0101464844,-14.0,-23.0,-24.0,7.0,9.0,13.0,18.0,29.0,3.142096278,0.2591312336,1.2217778934,0.8333333333,-0.0,13.708333333299999,0.4208333333,2.0,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,-15.0,11.0,0.1593423691,-1.1747285803,6.8,4.8,2.8454319345999997,2.0402266824,0.7150332339000001,0.3140520473,0.7222222222,18.0,13.0,11.0,8.0,21.0,14.0,21.0,19.0,16.0,11.0,13.0,9.0,14.0,11.0,24.0,-1.3772521811000003,0.5628256700000001,-1.0692512243,-0.1985188839,0.8551724138000001,4.7979838922,3.7391719964999997,50.0,-22.2222222222,-48.148148148100006,5.2,4.6666666667,21.0,18.0,27.0,18.0,23.0,33.0,0.9428571429000001,17.0,222.0,9.0,-18.0,18.0,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,-0.0038729833,-0.0004,-0.009797959,2.0,4.0,-228.3333333333,2.5164391852000003,0.3403405357,1.6448777819999998,8.5,73.0,32.0,-8.3796570593,14.654035753599999,0.6676807246,6.0,1.2577577277,1.8545750478,-0.7855831901000001,0.085396156,0.0909090909,0.1818181818,0.5454545454999999,0.1818181818,71.0,0.6666666667000001,1.0,0.8888888889000001,0.33333333330000003,3.4354996932,1.2884415313,-0.4995308879,0.4425899612,0.14624492279999998,4.701403248,1.4135964022999998,0.1997902948,0.09714064509999999,268.0,6.8,6.4,-247.6666666667,1.2634277796,0.3631549507,1.5239650797,-204.5,-225.0,3.2815879443,0.3157472255,2.6756822255,20.5,-33.0472222222,2.8980135739999997,2.1965970005,-0.18725292829999998,0.4446962145,4.0,3.0,5.0,2.0,5.0,-67.0,-0.4881866522,0.0015208603,2.7073339849,1.6644858421000002,30.1666666667,-0.2989217979,-0.2789548827,3.4545454545,3.1111111111,3.625,3.25,3.4285714286,1251.3159722222001,-5.0,11.0,3222.6666666666997,0.6258949536,-0.1528096578,-24.0,-28.0,-33.0,-39.0,-25.0,0.1779068063,0.45563800509999997
s011,1.4228958997999999,0.09768831509999999,1.4633174938,3.2,-697.2222222222,-0.4,690.0,-1437.5714285714002,-0.30000000000000004,365.0,0.08729246869999999,0.539912289,-0.4590464608,0.5619020764,3.6951965848,1.6643701881,-0.4024531089,0.2980493896,-0.044047225999999995,-0.0051069641,-0.00015283200000000002,-9.0,-13.0,-17.0,3.0,6.0,10.0,15.0,54.0,4.5350948018,0.2596776182,1.3801410496000002,0.33333333330000003,-0.33333333330000003,5.3333333333,0.05833333330000001,1.0,-0.0026666666999999996,-1.75,6.9130434783000005,0.130866426,3.0,-0.0025487365,-3.7931923672,-11.0,10.0,0.1939300298,-0.9515309845,7.9,9.8,2.1511635144,1.8697209595,-1.1296766674,0.2456449064,0.0,16.0,28.0,11.0,9.0,25.0,20.0,28.0,23.0,31.0,8.0,11.0,5.0,17.0,5.0,35.0,-1.6451956775,1.0910479561,-2.1533066892,-0.1173521994,0.875,7.120532876,2.6771084888999996,33.3333333333,-22.2222222222,-29.6296296296,6.0,2.0,35.0,34.0,29.0,18.0,21.0,57.0,0.8825396825,40.0,265.0,4.0,-15.0,15.0,0.7708899498,0.0016033788,0.8675750731999999,0.0018161934,0.5833333333,-0.25,-0.25,-0.25,2.0,5.8,-262.5,3.7543310968,0.30497062280000004,1.6610650288,8.0,84.0,48.0,1.0782063195,6.9911453835,0.23254980949999998,12.0,1.7473824985,2.1795877957,-0.6477849553,0.25292137,0.7272727273,0.9090909091,0.8181818181999999,0.9090909091,142.0,0.44444444439999997,0.44444444439999997,0.6666666667000001,0.11111111109999999,4.4234066402,1.2165978108,-1.5514461841999998,0.32282315429999997,0.09170397109999999,4.3849777831,1.1238209757,-1.1954309979,0.1987261495,316.0,5.7,6.3,-226.3333333333,2.7520073106,0.2898156072,1.6713791232,-241.0,-247.6666666667,3.8448343339999997,0.3189085197,1.9491450456000001,6.666666666699999,96.3097222222,4.5275836605,2.0712768618,-2.1041020452000003,-0.154567579,7.0,3.0,4.0,7.0,7.0,-24.0,0.5812736529,0.0641552393,2.8316611491000003,1.3718552336,-2.5,-1.1430858191,-0.1703105382,4.2727272727,1.8888888889,2.25,1.5,2.7857142857,1371.7153679654,-11.0,8.0,2094.9166666667,-0.4356487044,-0.3646431136,-15.0,-20.0,-22.0,-27.0,-24.0,0.1925341667,0.24043603789999998
s012,2.1501438791,0.3177146196,1.4837537236000002,3.25,-1377.6315789474,-0.3666666667,796.0,-466.13043478260005,-0.23333333329999997,527.0,0.28820220820000003,0.945755393,0.0227479562,0.7497979117,3.4543450225,2.0251622266,-0.1510534191,0.7505014921000001,-0.0011767575,-0.010140686,-0.0590556641,-14.0,-15.0,-21.0,8.0,5.0,14.0,16.0,44.0,3.1869481947,0.2538774109,1.5373093811,0.8333333333,-0.1666666667,5.666666666699999,0.05833333330000001,2.0,-0.0086666667,-2.9166666667000003,3.9583333332999997,0.1687969925,3.0,-0.0115213033,-1.9323308271000001,-11.0,15.0,-0.3553490939,-0.7137797811000001,8.4,8.6,1.7225971625,1.510376479,-0.6034055163,-0.1087602976,0.1666666667,18.0,20.0,8.0,9.0,22.0,18.0,24.0,25.0,26.0,18.0,20.0,10.0,14.0,6.0,23.0,0.4888466357,0.6005102935000001,1.2242128906,1.2952549157,1.0,3.1599675296,4.0436540260000005,22.2222222222,-11.1111111111,-55.5555555556,2.2,5.0,27.0,22.0,29.0,18.0,9.0,32.0,0.6222222222,21.0,190.0,8.0,-16.0,14.0,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,-0.25,-0.06403124240000001,-0.06403124240000001,2.0,3.4,-331.6666666667,2.4192777687,0.2866308274,1.4857498524,7.5,81.0,43.0,27.3376402867,-25.2123453648,0.6264483411999999,15.0,1.3153786351,1.481038338,-0.2140170708,-0.0368489595,0.5454545454999999,0.3636363636,1.0,0.8181818181999999,114.0,0.44444444439999997,0.6666666667000001,0.6666666667000001,0.22222222219999999,4.0208457922,2.5901153731,-1.358950979,0.17808686850000002,0.0590870111,2.7920568472000005,1.5690992234,-0.6281475868,-0.0133983326,338.0,5.9,6.0,-301.0,2.0699801771,0.321098533,1.2405272902,-263.1666666667,-286.6666666667,2.1849659329,0.3159373044,1.4185210722,23.5,9.880555555599999,2.6975989746,2.1164658377000003,-0.5270483035,0.4381283525,2.0,5.0,4.0,3.0,3.0,-32.0,0.08048067710000001,-0.1387451446,1.9278097718,1.7553681822,18.1666666667,0.0143375227,0.26521473900000003,4.2727272727,2.5555555556,2.5,1.5,1.9285714286,2230.165,-3.0,8.0,4731.5,-0.6838735438,0.501551987,-17.0,-14.0,-26.0,-26.0,-14.0,0.2365442544,0.18606252350000002
s017,1.0598479342,0.0264207454,1.7066536341999998,2.0,-1219.9090909091,-0.2666666667,789.0,-432.6296296296,-0.1,550.0,0.15344643619999998,0.8970098501,1.6027545153,1.2822854274,3.4214716741,1.6841153491,0.2048596355,0.947448325,-0.0001124585,-0.00019663,-0.0006987305,-19.0,-17.0,-18.0,8.0,6.0,15.0,21.0,49.0,5.6081713592,0.2354064236,2.4041329638,0.6666666667000001,-0.1666666667,9.7083333333,0.1041666667,3.0,-0.0111666667,-2.125,7.958333333300001,0.1894025605,3.0,-0.0077980085,-1.8536882747,-11.0,13.0,0.1836432283,-1.3700064956,9.3,7.6,2.094395624,1.7040359557,-0.8852307355000001,-0.16365504690000002,0.8333333333,15.0,17.0,9.0,15.0,14.0,13.0,27.0,19.0,20.0,12.0,11.0,12.0,8.0,12.0,17.0,0.5384248946,1.1601669904,0.0022852392,0.047219654400000005,0.875,2.5376552716000003,3.2512394881,38.8888888889,-33.3333333333,-40.740740740700005,4.4,5.3333333333,18.0,19.0,26.0,20.0,20.0,46.0,0.8825396825,22.0,246.0,3.0,-18.0,20.0,0.767848587,0.0024491452000000003,0.98984375,0.0027049544,0.5833333333,-0.0002011893,-0.0002011893,-0.0002011893,5.0,3.5333333333,-293.1666666667,3.0033766581,0.2136794909,2.2660288436,14.5,160.0,43.0,,,0.58484855,10.0,2.0297835638,1.6552615943,-0.5865970054999999,0.0729770406,0.6363636364,0.6363636364,0.9090909091,0.8181818181999999,130.0,0.11111111109999999,0.7777777778,0.44444444439999997,0.6666666667000001,3.5135741635000004,1.2905313233,-0.8155649042,0.6463365932999999,0.0676643665,3.6693143333,1.7345466477,-0.6313779924,-0.1467780873,310.0,6.5,5.6,-268.5,3.168603197,0.31302137080000003,2.1281255797,-250.3333333333,-295.0,3.0435879183999996,0.3318148757,1.6612169677000002,44.6666666667,98.025,3.4184645502,1.7269896005,-1.118030149,0.5086322650999999,7.0,7.0,6.0,1.0,4.0,-53.0,0.3043806778,0.06948405540000001,1.9543124303,1.6721388378,-53.5,-0.43230627,-0.07644748850000001,4.5454545455,3.3333333332999997,4.25,2.375,2.2857142857,1481.6893939394001,-1.0,10.0,3958.5,-3.1094480307,2.7572274370999996,-19.0,-10.0,-18.0,-18.0,-33.0,0.185612246,0.17430210710000002
s020,0.8303718331000001,0.1058851533,1.47588895,1.85,-564.7083333333001,-0.2,610.0,-1060.7777777777999,-0.1,340.0,-0.0498402924,-0.1534882717,-0.7882085132000001,0.2502084583,2.6910724299,1.7620218828,0.359424697,0.1498580749,-0.0002343203,-0.009369873,-0.0126279297,-11.0,-20.0,-21.0,11.0,10.0,14.0,14.0,41.0,1.511968653,0.0021341845,2.1647492543999998,0.6666666667000001,-0.33333333330000003,9.8333333333,0.4,1.0,-0.006,-1.9166666666999999,7.291666666699999,0.0038725986,0.0,-0.0009140546,-0.8612740142,-12.0,16.0,-0.0335462443,-0.6750894226,7.5,5.2,1.2564009675,1.9900066743,-0.588130273,-0.209927015,0.0,11.0,9.0,8.0,6.0,18.0,19.0,17.0,28.0,24.0,15.0,12.0,11.0,8.0,9.0,16.0,-1.2459280417,0.5878655671,-0.2839030902,-0.4644809224,0.9034090909,2.9950931668000003,1.9205653276,27.7777777778,-11.1111111111,-44.4444444444,5.4,3.3333333332999997,25.0,24.0,22.0,17.0,20.0,46.0,0.9111111111,30.0,122.0,7.0,-22.0,17.0,0.6603252411,0.0017003689000000002,0.7410667895999999,0.0015159826,0.4722222222,-0.0256124969,-0.06403124240000001,-0.06403124240000001,1.0,3.9333333333,-285.6666666667,2.4743559656,0.3275462818,1.8441498218,33.0,36.5,43.0,3.7318341441000005,-3.4417341323,0.6229103774,8.0,1.0478939934,1.8666527974,-0.4668906788,-0.0464169085,0.6363636364,0.8181818181999999,0.5454545454999999,0.5454545454999999,100.5,0.44444444439999997,0.7777777778,0.44444444439999997,0.22222222219999999,3.1819739901,1.5267567434,-1.4530449864,-0.0119805352,0.0501444983,2.167372962,1.9175668061000002,0.4488220118,0.2068367924,381.5,6.3,5.7,-286.3333333333,1.7635570878,0.4026530865,1.2935327968,-240.0,-361.3333333333,2.1041941843000003,0.32973710430000003,1.5394030657000002,121.3333333333,18.3513888889,2.4896061618000003,1.8795318372999998,-0.9580803433,-0.016917099799999998,5.0,6.0,6.0,5.0,3.0,-46.0,-0.0004550711,0.0831207458,1.1572838419,1.9221674938999997,7.166666666699999,-0.1002074169,0.0451925596,3.0,2.3333333333,3.75,2.875,3.4285714286,2750.9476190476003,-12.0,6.0,3479.3333333333003,0.594460772,-0.1424756482,-18.0,-19.0,-24.0,-32.0,-24.0,0.1805794197,0.3909019375
s026,1.1527034397,0.2346783859,1.0821430412000002,2.0,-874.0833333333001,-0.2,263.0,-333.875,-0.2,489.0,0.9898355952,0.5502971320000001,0.0531375841,0.2508317712,3.6068987802,1.7545055121000002,0.8636807562000001,0.7344988217,-0.0001688719,-0.0010027083999999999,-0.0231308594,-11.0,-15.0,-20.0,8.0,6.0,14.0,17.0,51.0,5.3331711194,0.2923551145,1.3387660253,0.6666666667000001,-0.1666666667,13.25,0.025,1.0,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.00025937830000000004,-0.07395498390000001,-11.0,11.0,-0.2888881723,-0.9523625263,9.8,7.1,1.8101509829,1.4565857968,-0.6041503145,-0.17408408670000003,0.8888888889000001,11.0,20.0,7.0,8.0,14.0,23.0,20.0,20.0,25.0,14.0,9.0,8.0,10.0,5.0,18.0,0.7231442984,0.8929073497000001,-0.1845889767,0.1357690588,0.9886363636,4.5426905092,3.354144237,27.7777777778,-11.1111111111,-14.8148148148,5.0,6.0,28.0,26.0,34.0,17.0,19.0,36.0,0.8158730159,29.0,206.0,8.0,-15.0,14.0,0.5657946467,0.0019503945999999998,1.0,0.0027379267999999997,0.44444444439999997,-0.0006324555,-0.0006324555,-0.0015811388,6.0,4.7333333333,,,,,,,46.0,1.9133373883000002,-1.6080014509,0.57614781,13.0,1.3752661158,1.7197054781,-0.2334711516,0.0373985844,0.6363636364,0.9090909091,0.9090909091,0.8181818181999999,142.0,0.22222222219999999,0.22222222219999999,0.22222222219999999,0.0,2.8601248367000003,1.3387559392,-0.1657855885,1.0048919225,0.042180781900000006,4.9080308687,1.3811665303999998,-1.2890988968,-0.0475824938,272.5,6.1,4.5,-314.6666666667,3.4136299095999996,0.3227269236,1.0430395436,-189.6666666667,-236.6666666667,3.2899265493,0.3371352309,1.4520593088,47.0,26.9041666667,3.086524756,1.7483366994,-0.2568009311,0.2150356614,5.0,6.0,7.0,5.0,4.0,-49.0,0.536662141,0.5273567104,1.8094563383000002,1.5693481876000002,-31.1666666667,-1.1929006999,-0.5096136500999999,4.090909090899999,2.1111111111,3.875,1.875,2.5,1949.3041666667002,-15.0,7.0,2732.1666666667,-1.0122824975,0.9634923334,-17.0,-15.0,-20.0,-18.0,-16.0,0.1857878768,0.1482208463
