,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEBXBHD,DPEDPRIM,DPEHD,DPEHN,DPEHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s002,0.5681626473,0.1612414963,1.5775189091,1.2,-20.2608695652,-0.23333333329999997,453.0,-13.0,-0.1333333333,325.0,0.1681686618,-0.9379857243,3.5830481751999996,0.4126672752,2.5766055635000003,-0.8962324193000001,-0.001293602347,-0.012305629547000005,-0.0556884766,-5.0,-3.9642857143,-5.466666666699999,3.0,3.25,3.4,1.5714285713999998,33.0,3.5583054533999996,0.2578606338,1.6460411948,0.1666666667,-0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,-1.0833333333,1.3636363636000002,0.1387440396,-0.4324047369,8.0,10.3,1.3599951841,0.5270923430000001,2.1557217422,-0.6518791445000001,0.19444444440000003,2.0,1.0,1.6666666666999999,1.6666666666999999,3.3333333332999997,4.6666666667,6.5,4.5,3.6666666667,1.8333333333,2.1666666667,1.0,2.6666666667000003,3.6666666667,5.666666666699999,-1.6100705076,0.4533400085,0.9770114943000001,1.7835928617,0.1377871278,2.1893931345,16.6666666667,-77.7777777778,-70.3703703704,5.833333333300001,1.75,3.875,4.0,4.125,3.1428571429,4.0,49.0,0.8,28.0,111.0,6.0,-1.6875,1.4666666667,0.7541481018,0.0017554870999999998,0.7393355608000001,0.0013716979000000002,0.5277777778,-0.06403124240000001,-0.158113883,-0.0256124969,4.0,-0.4904622188,0.5080250895,0.42538011466799996,1.9723215565,-0.3922064298,4.0666666667,-334.82833333333815,2.4399377826690003,0.326470942447,1.5012497277929997,-14.545,60.74,38.0,0.4060617088340001,0.21736764809200004,0.5320132074,4.0,1.2152431326000002,0.6346664636,1.9260925579,-0.5084992809000001,0.5425000000010002,0.5066666666669998,0.6250000000029999,0.7616666666630003,122.0,0.2,0.2,0.6000000000000001,0.1,2.6788969071,0.4946092079,1.7968244473,-1.75866754,0.41839938481100003,0.04344748632300001,2.3270161166,0.39064457909999994,1.425443292,-0.8641288076000001,351.5,4.8,6.1,-307.0,-332.6666666667,2.0984494571,0.3715670953,1.4813434319,25.6666666667,149.2652777778,2.8558661337,0.3427528533,2.3266773021,-0.7758017285000001,6.0,4.0,6.0,5.0,6.5,-38.0,-0.0823206553,-0.6617675395,0.6675442259000001,0.09891057550000001,2.4497757569,-0.21340784920000003,0.28871109570000003,2.8,4.6666666667,3.0,4.1333333332999995,1795.1016666667,-8.0,8.0,3727.25,0.1648688222,0.2389767943,-1.5,-2.0909090909,-3.0,-3.2857142857,-3.0833333332999997,0.8172749921,0.1922162034
s005,0.6623567043,0.2816895074,1.3901295563999998,1.65,-36.3636363636,-0.2666666667,750.0,-30.5,-0.33333333330000003,580.0,0.1819934948,-0.844647597,4.2941832144,0.32735749410000003,2.4940898886,-0.4119953748,-0.000525995,-0.0041643982,-0.0276582031,-3.5333333333,-3.5,-3.6333333333,3.0,3.25,3.8,2.2857142857,41.0,4.7307153888,0.2858358778,1.9264919816,0.8333333333,-0.1666666667,13.416666666700001,0.275,3.0,-0.008775000001999999,-2.9166666667000003,13.041666666700001,0.09555940442500002,3.0,-0.006845973713999999,-3.7905236907999997,-1.0,1.7272727273,0.2518581217,-1.2169609029000001,9.2,8.0,0.8478804368,0.5097075219,1.4713708691,-1.4198883832,0.1666666667,2.0,2.6666666667000003,1.0,2.0,3.5,5.5,6.166666666699999,6.0,6.166666666699999,4.0,1.6666666666999999,1.5,2.6666666667000003,1.5,4.6666666667,0.9468926255,1.1945025262,0.921969697,2.6128702791,0.28046378559999996,1.2911299014,27.7777777778,-0.0,-40.740740740700005,4.8333333333,5.0,4.5,3.875,2.875,4.2857142857,4.625,46.0,0.8063492063000001,28.0,174.0,6.0,-1.25,1.4,0.7475608826000001,0.0009119887,0.920829773,0.001067059,0.5555555556,-0.0256124969,-0.0256124969,-0.06403124240000001,4.0,-0.7538856785,2.3423260502,0.44858709840000005,1.9921247239,-0.57400217,5.0666666667,-295.6666666667,2.820349381,0.33944137539999997,1.2530601279,-7.0,114.0,43.0,3.7443814145669987,0.1200211505430004,0.6320956121,14.0,1.8160414978,0.4909660831,1.9023892781,-0.600604464,0.6666666667000001,0.75,0.7358333333330002,0.8333333333,131.0,0.0,0.7000000000000001,0.7000000000000001,0.4,3.7171250945999996,0.2813550434,1.9177587439100003,-0.7692248629999999,0.4711779449,0.044557573200000006,3.3832291362,0.27178498510000004,2.157113368,-0.1115917268,302.5,6.5,5.1,-250.1666666667,-309.0,3.2705872182999998,0.36615494049999997,1.5031378177,58.8333333333,50.9333333333,4.2339817928,0.2958254616,2.4535467332,-0.6577946324,6.0,5.0,7.0,3.0,6.0,-33.0,-0.0768335383,0.2033831157,1.4097368322,0.34775544469999997,1.431355648,-0.7205918633,-0.945607767,3.1,3.3333333332999997,2.2222222222,3.2666666667000004,1915.6111111111,-19.0,7.0,2585.75,1.2107524912999998,1.5888186252,-1.7000000000000002,-1.3636363636000002,-1.75,-1.0,-2.8333333332999997,0.8868519986000001,0.4059011843
s006,0.5457175407,0.053517791200000005,1.6580185176,1.4,-43.3333333333,-0.4,736.0,-32.7083333333,-0.2,750.0,-0.5965644043,-1.4443683778999998,2.4457905924000003,0.34018442020000006,1.4711870644999998,-1.1372227422,-7.0924e-06,-6.784529999999999e-05,-0.07633227631600004,-3.4666666667,-5.3571428570999995,-4.7333333333,3.25,4.0,4.0,3.0,34.0,1.4269169026,0.2414270971,1.2896888051,0.1666666667,-0.8333333333,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,-1.1549999999949998,1.6363636363999998,-0.0113190347,0.012737079299999999,8.5,8.5,1.2887274819,0.4119464781,1.5702866776,-0.8917183445999999,1.0,1.0,1.0,1.0,1.5,1.5,7.0,7.0,7.0,7.0,3.506666666666,2.0,1.0,2.0,1.0,1.0,-2.028620064,-1.7127461267,0.7264705881999999,1.6331406216,0.0057800805000000005,2.0894711979,33.3333333333,-0.0,-0.0,4.3333333333,5.25,4.75,2.5,4.875,3.0414285714290004,1.75,53.0,0.8222222222000001,28.0,139.0,0.0,-1.410625,1.5333333333,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,-0.05696806912600001,-0.044839433182,-0.072650013857,5.0,-1.0033810212999998,1.3925176175999998,0.38581987799999995,1.7096857263,-0.8735715060000001,3.8,-313.471666666668,2.292519316845001,0.301327282072,1.5219566674059992,2.125,75.435,44.0,4.90363212051,-3.484385639659004,0.40319981950000006,4.0,0.907749327,0.5170080099000001,1.8895964021,-0.267199938,0.5908333333269998,0.1666666667,0.6666666667000001,0.5833333333,111.5,0.6000000000000001,0.6000000000000001,0.6030000000000002,0.4,2.1745128467,0.3997000972,1.7541038538999998,-0.39489208299999995,0.4894179894,0.021283661699999998,1.5501132826,0.27766481309999996,1.622802211,-0.4609487197,341.5,5.3,4.9,-336.1666666667,-303.1666666667,1.3202859527,0.2991273633109999,1.9273922413,-33.0,69.3263888889,2.1424354364,0.2904992131,2.2022489472,-0.7545329829999999,7.0,7.0,7.0,7.0,7.0,-42.0,0.031397877000000005,-0.1673888017,1.056717187,0.174848846,1.9968874195,-0.1805481196,0.2562514012,4.1,4.1111111111000005,3.2222222222,4.1333333332999995,2209.1783333333,-21.0,4.0,3224.1666666666997,0.4553857187,1.0327010837000001,-1.8,-2.1818181818,-2.9166666667000003,-2.7142857143,-2.75,0.8338361601000001,0.4540214179
s007,0.8464676584170001,0.12868221140700006,1.6612987814340008,1.7045000000000008,-19.0769230769,-0.1333333333,470.0,-14.8,-0.1666666667,340.0,0.0028961285999999998,-0.6745254233,1.9499016191,0.3592570772,1.8334261418,-0.2793508369,-0.0005751163,-0.0008470039,-0.0081005859,-4.8,-3.7857142857,-4.7333333333,3.25,2.75,3.6,3.4285714286,49.0,2.1397915873,0.2786744934500001,2.5943903937,0.1666666667,-0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,-1.1666666667,1.6363636363999998,0.42950206399999996,-0.5991357069000001,9.6,6.4,1.3886787871370003,0.45035561685500025,1.961901219257,-0.4541282712390001,0.3611111111,2.6666666667000003,5.5,1.6666666666999999,3.3333333332999997,4.1666666667,4.3333333333,5.5,5.3333333333,5.5,2.1666666667,2.1666666667,5.1666666667,3.5,5.1666666667,6.166666666699999,-0.6406903234,-0.7375077015000001,0.7151162791,1.5400683418,0.0048134926,2.4009208683,61.111111111099994,-11.1111111111,-33.3333333333,5.3333333333,5.25,3.25,2.875,3.0,3.5714285714000003,3.25,50.0,0.6952380951999999,22.0,98.0,9.0,-1.375,1.5333333333,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,-0.06403124240000001,-0.06403124240000001,-0.0256124969,2.0,-1.7166064037000002,0.8651731159,0.425643656,1.5408215216,-0.0398948655,3.8,-332.92666666667304,2.1698721316489995,0.3268944928069999,1.551474894941,-9.72,39.675,43.0,8.6329234757,-8.637205744700001,0.5112262406,10.0,1.0843141467,0.6285177372,2.3131696134,-0.5097237008000001,0.5,0.5833333333,0.5,0.9166666667,110.5,0.6000000000000001,0.4,0.6000000000000001,1.0,2.0133938183,0.519768204,1.7597514905,-1.5164746831,0.3291457286,0.006016204000000001,3.0260418267,0.3434345427,1.4760661168,-0.5758163889,361.865,5.1,5.4,-343.1666666667,-437.0,1.889908946,0.3972417391,1.4466376067,93.8333333333,-0.08750000000000001,1.8140244818,0.5127708842,1.9975012206,-0.4798660457,4.5,6.0,3.5,3.0,4.5,-48.0,-0.0699422527,-0.0367698867,0.2947363543,0.0003527095,1.9679859441,-0.2631121863,-0.6002859697,4.0,3.2222222222,3.3333333332999997,3.4666666667,2282.5555555555998,5.0,8.0,6112.166666666701,0.034026001530000016,0.6164771759670001,-2.2,-2.0909090909,-3.1666666667000003,-2.2142857143,-3.0,0.8621573749,0.6821860019
s009,1.9767925061000002,0.224314106,1.2303739359,2.7,-28.2608695652,-0.23333333329999997,615.0,-19.1304347826,-0.23333333329999997,420.0,0.0965099483,0.16074397810000002,3.2270323927,0.2911228594,1.7423721971000001,-0.6701498234000001,-0.0005145003,-0.0019907760999999997,-0.0101464844,-4.9333333333,-4.8214285714,-5.3,2.5,3.0,3.2,2.8571428571,29.0,3.1174129186000004,0.2595647263,1.1888843587,0.8333333333,-0.0,13.708333333299999,0.03650000000000003,2.0,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,-1.3333333333,1.0909090909,0.1593423691,-1.1747285803,6.8,4.8,2.3124178288999997,0.4377414739,1.8569237705000001,0.38582080189999995,0.7222222222,3.5,2.5,2.1666666667,2.1666666667,3.8333333332999997,3.0,4.3333333333,3.5,3.0,2.0,2.3333333333,1.6666666666999999,3.5,2.3333333333,4.8333333333,-2.4745055773,-1.18512531,0.8551724138000001,2.1897152909,0.0005480519999999999,1.8626464308000001,66.6666666667,-44.4444444444,-62.962962963,5.1666666667,4.75,2.875,2.5,3.875,3.0,3.125,33.0,0.9428571429000001,17.0,222.0,9.0,-1.1875,1.2666666667,0.6171309948,0.0017705286000000004,0.985546875,0.0028862039000000003,0.7222222222,-0.0038729833,-0.0004,-0.009797959,2.0,-1.6426004115,2.2523104287,0.3874413634,1.9291376504,0.14638446119999998,4.0,-228.3333333333,2.5162013361,0.34047275549999995,1.6426902819999998,8.5,73.0,40.29,-8.3796570593,14.654035753599999,0.6676807246,6.0,1.2434679584,0.4881342804,1.9717254207,-0.8500109634999999,0.0833333333,0.1666666667,0.5833333333,0.1666666667,71.0,0.7000000000000001,1.0,0.8,0.30000000000000004,3.4322252908,0.349534481,1.7499897124,-1.5092611015000001,0.6073170732000001,0.14624492279999998,5.0626741798,0.2494334521,1.5539128878,-0.1498307203,268.0,6.8,6.4,-204.5,-225.0,3.2826198882999997,0.3156484782,2.6775357682000003,20.5,-33.0472222222,2.8228051197000004,0.3578848174,2.5458239044,-0.6962106531000001,3.5,4.0,3.5,2.0,5.0,-67.0,-0.8094577109000001,-0.5917920116000001,1.9718861344,0.3189158516,1.6027852883000002,-0.0369492601,0.2436283483,3.0,3.7777777778,3.0,3.5333333333,1251.3159722222001,-5.0,11.0,3222.6666666666997,-0.6258949536,-0.1528096578,-2.7,-2.7272727273000004,-3.0,-3.0,-2.3333333333,0.1779068063,0.45563800509999997
s011,1.4238347941999998,0.09766155609999999,1.4633919046000001,3.2,-40.5555555556,-0.4,690.0,-18.3333333333,-0.30000000000000004,365.0,-0.7071551587999999,-1.2822796811,3.52292155,0.3550657953,1.8684960544,-1.1710488959999998,-0.0013880372440000005,-0.0051069641,-0.00015283200000000002,-2.7333333332999996,-2.6785714286,-3.8,1.25,2.25,2.6,2.5714285714000003,54.0,4.578487078,0.2584908855,1.3865397419999999,0.33333333330000003,-0.33333333330000003,5.3333333333,0.05833333330000001,1.0,-0.0026666666999999996,-1.75,6.9130434783000005,0.130866426,3.0,-0.0025487365,-3.7931923672,-1.0,1.0,0.1939300298,-0.9515309845,7.9,9.8,2.0819963609,0.31876564500000004,2.3580530745,-0.9772531437,0.0,3.8333333332999997,5.5,2.0,2.3333333333,5.0,4.1666666667,5.833333333300001,4.5,6.166666666699999,1.5,2.0,1.0,3.0,1.0,7.0,-4.3719199519,-2.8965298502,0.875,3.4742885699,0.21899768809999998,1.5240483888,44.4444444444,-55.5555555556,-40.740740740700005,6.0,2.0,5.0,4.875,4.25,3.1428571429,2.875,57.0,0.8825396825,40.0,265.0,4.0,-1.0,1.0666666667,0.7708899498,0.0016033788,0.8675750731999999,0.0018161934,0.5833333333,-0.062071957781999997,-0.059340321882999994,-0.07788165152199998,2.0,-0.9936139626,2.6836340825,0.3545454256,2.5617672054,-0.5314288825,5.8,-262.5,3.7655805883,0.3041961376,1.6737538375999998,8.0,84.0,48.0,1.0782063195,6.9911453835,0.23254980949999998,12.0,1.6589422669,0.3770923368,2.4148694596999998,-0.6921263868,0.75,0.9166666667,0.8333333333,0.9166666667,142.0,0.5,0.5,0.7000000000000001,0.1,3.3515220296,0.4240212111,1.567283455,-2.4997240863,0.539408867,0.09170397109999999,3.5432004764,0.32149429300000004,1.1791437276999999,-1.7559407717000002,316.0,5.7,6.3,-241.0,-247.6666666667,3.8405580079000003,0.31937095130000004,1.9427486643,6.666666666699999,96.3097222222,2.9379950866000004,0.3479103224,1.7672720559000001,-1.8897039219999998,7.0,4.5,4.5,7.0,6.0,-24.0,0.0176229769,0.0230328255,2.7396411904000004,0.3479047585,1.2961429034,-0.5843811923000001,-0.3771145021,1.9,2.4444444444,1.4444444444,2.8666666667,1371.7153679654,-11.0,8.0,2094.9166666667,0.4356487044,-0.3646431136,-1.7000000000000002,-2.0909090909,-2.0,-2.0714285714,-2.1666666667,0.1925341667,0.24043603789999998
s012,2.1365996277,0.3183583726,1.4761638247,3.25,-44.1578947368,-0.3666666667,796.0,-24.565217391300003,-0.23333333329999997,527.0,-0.7087768709000001,-0.9189969014,3.1904631176,0.2955094696,2.2806951473,-1.5604372052000002,-0.0011767575,-0.010140686,-0.0590556641,-4.4,-3.3214285714000003,-4.4,2.75,1.75,3.4,2.5714285714000003,44.0,3.0960433250999997,0.2621787906,1.4795206792,0.8333333333,-0.1666666667,5.666666666699999,0.05833333330000001,2.0,-0.0086666667,-2.9166666667000003,3.9583333332999997,0.1687969925,3.0,-0.0115213033,-1.9323308271000001,-1.0,1.4545454544999998,-0.3553490939,-0.7137797811000001,8.4,8.6,2.0158939941,0.49800534049999995,1.8880477739,-0.3555896776,0.1666666667,3.3333333332999997,4.0,1.5,2.1666666667,4.6666666667,4.0,4.8333333333,5.1666666667,5.0,3.3333333332999997,3.6666666667,2.0,2.6666666667000003,1.8333333333,4.8333333333,0.0718670446,0.3237975636,1.0,3.7944784187000002,0.046987728000000006,2.153094386104,27.7777777778,-33.3333333333,-66.6666666667,2.0,5.25,4.0,3.125,4.125,3.0,1.25,32.0,0.6222222222,21.0,190.0,8.0,-1.0625,1.0,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,-0.043956623558,-0.06403124240000001,-0.06403124240000001,2.0,-0.5545149550999999,1.4604564244999998,0.36346181899999996,1.9226422634,-0.430092377,3.4,-331.6666666667,2.4219571213999997,0.28659041900000004,1.4859088028999998,7.5,81.0,43.0,27.3376402867,-25.2123453648,0.6264483411999999,15.0,1.5370876801,0.5097285729000001,1.5475737522,-0.1923851387,0.5833333333,0.33333333330000003,1.0,0.8333333333,114.0,0.5,0.7000000000000001,0.6000000000000001,0.2,2.9242042947000004,0.3957168108,2.3441953140000003,-1.4690575019,0.46172839509999997,0.0590870111,2.4015128127,0.2842527804,1.5396948505,-0.6280659336000001,338.0,5.9,6.0,-263.1666666667,-286.6666666667,2.1835615991,0.3163960099,1.414653303,23.5,9.880555555599999,2.3007752515,0.3686424111,2.291475075,-0.9498375553,3.5,5.5,4.0,2.5,3.0,-32.0,0.4338864359,0.19345080679999999,1.9705245863999998,0.31382306,1.6115055666,-0.7488903936,0.08824048520000001,2.6,2.5555555556,1.5555555556,1.9333333333000002,2230.165,-3.0,8.0,4731.5,0.6838735438,0.501551987,-1.9,-1.4545454544999998,-2.3333333333,-2.0,-1.3333333333,0.2365442544,0.18606252350000002
s017,1.0608998429,0.0264727595,1.7066945503,2.0,-37.5,-0.2666666667,789.0,-21.3333333333,-0.1,550.0,-1.0116862662000001,-0.3814599111,3.5452793395,0.3293810136,2.080949281,-1.7147151713,-0.0001124585,-0.00019663,-0.0006987305,-5.8,-3.7142857143,-3.6,3.0,2.25,3.8,3.5714285714000003,49.0,5.6714859189,0.2374292505,2.3796840578,0.6666666667000001,-0.1666666667,9.7083333333,0.1041666667,3.0,-0.0111666667,-2.125,7.958333333300001,0.1894025605,3.0,-0.0077980085,-1.8536882747,-1.0,1.2727272726999999,0.1836432283,-1.3700064956,9.3,7.6,2.3393246255,0.4442272518,1.990706682,-0.5587603106,0.8333333333,3.3333333332999997,3.0,2.0,3.0,2.5,2.8333333332999997,5.5,3.5,3.6666666667,2.1666666667,2.1666666667,2.1666666667,2.1666666667,3.0,3.8333333332999997,-0.23594545400000005,0.003995276,0.875,1.8151275216999998,0.12571540949999999,2.3773073049,44.4444444444,-66.6666666667,-48.148148148100006,4.5,5.5,2.375,2.75,3.75,3.2857142857,2.75,46.0,0.8825396825,22.0,246.0,3.0,-1.1875,1.4666666667,0.767848587,0.0024491452000000003,0.98984375,0.0027049544,0.5833333333,-0.0002011893,-0.0002011893,-0.0002011893,5.0,-0.5568621052,1.3506626030000002,0.43363502677599997,2.7449484742,-0.3316778164,3.5333333333,-293.1666666667,3.0096657547000003,0.2138585598,2.26934579,14.5,160.0,43.0,4.777519863802,-0.4469936382149997,0.58484855,10.0,2.035845279,0.5232991017999999,2.0035137957,-0.5556741657000001,0.6666666667000001,0.6666666667000001,0.9166666667,0.8333333333,130.0,0.1,0.8,0.4,0.7000000000000001,2.7859679473,0.4232624909,1.6601841353,-2.0130477613999997,0.4513715711,0.0676643665,3.3822377798,0.2906407888,1.7024411637,-0.3893313264,310.0,6.5,5.6,-250.3333333333,-295.0,3.0407176241000005,0.3319055735,1.65915852,44.6666666667,98.025,2.4519337078,0.4147724664,1.8252693622,-1.7509108396000002,7.0,7.0,4.5,2.0,4.5,-53.0,-0.091802353,0.5829432328999999,2.0699160452000003,0.34034174619999996,1.7935096706,-0.541395862,-0.4737439507,3.5,4.3333333333,2.3333333333,2.4666666666999997,1481.6893939394001,-1.0,10.0,3958.5,3.1094480307,2.7572274370999996,-2.1,-1.0,-1.6666666666999999,-1.3571428571000002,-3.0,0.185612246,0.17430210710000002
s020,0.8309025945999999,0.10581975,1.477320589,1.85,-26.6666666667,-0.2,610.0,-12.962962962999999,-0.1,340.0,0.09930798019999999,-1.0342656952,2.4076655333000003,0.31020129700000004,1.7777535575999999,0.0424033843,-0.0002343203,-0.009369873,-0.0126279297,-3.4666666667,-3.7857142857,-4.3333333333,3.5,3.25,3.6,2.4285714286,41.0,1.4817932415,0.2725534222930001,2.1203653749,0.6666666667000001,-0.33333333330000003,9.8333333333,0.03995833333300002,1.0,-0.006,-1.9166666666999999,7.291666666699999,0.0038725986,0.0,-0.0009140546,-0.8612740142,-1.0833333333,1.5454545455000002,-0.0335462443,-0.6750894226,7.5,5.2,1.3509337197,0.4548418377,2.2191402730000003,-0.4078006545,0.0,2.0,2.1666666667,1.8333333333,1.8333333333,3.8333333332999997,3.8333333332999997,3.8333333332999997,5.3333333333,4.3333333333,2.6666666667000003,2.3333333333,2.5,2.0,2.3333333333,3.5,-1.9309570176,0.8370845067,0.9034090909,2.1916549639,0.2009366377,1.6182558075,38.8888888889,-44.4444444444,-55.5555555556,5.0,3.75,3.625,3.5,3.25,3.0,2.875,46.0,0.9111111111,30.0,122.0,7.0,-1.5,1.2,0.6603252411,0.0017003689000000002,0.7410667895999999,0.0015159826,0.4722222222,-0.0256124969,-0.06403124240000001,-0.06403124240000001,1.0,-0.7851481243,1.1170387166,0.3962751661620002,2.3312327997,0.0292680352,3.9333333333,-285.6666666667,2.4729553,0.32743206329999996,1.8450594612,33.0,36.5,43.0,3.7318341441000005,-3.4417341323,0.6229103774,8.0,1.0226824795,0.4099330439,1.9006423949,-0.3655588324,0.5833333333,0.8333333333,0.5833333333,0.5833333333,100.5,0.4,0.8,0.5,0.2,2.621847452,0.41116575689999996,1.4099074042,-1.4711778816999999,0.4334975369,0.0501444983,2.4258825554,0.3251771171,2.1301355743,0.2099064631,381.5,6.3,5.7,-240.0,-361.3333333333,2.1003668565,0.3298079902,1.5389389474,121.3333333333,18.3513888889,1.8187948523,0.2887721856,1.7809611195,-0.945274521,5.5,6.0,6.5,5.5,4.5,-46.0,-0.0350680274,-0.0488132095,1.0599103375,0.2183538957,1.9727286242,-0.3307977849,0.0265820009,2.3,3.7777777778,2.7777777778,3.4666666667,2750.9476190476003,-12.0,6.0,3479.3333333333003,-0.594460772,-0.1424756482,-1.9,-1.9090909091,-2.1666666667,-2.5,-2.3333333333,0.1805794197,0.3909019375
s026,1.1499243285,0.23480288649999997,1.0829413784,2.0,-11.375,-0.2,263.0,-21.2083333333,-0.2,489.0,-0.0351487146,-0.3357999528,3.9657583505000003,0.3261310264,2.1045574436,-0.5624588500000001,-0.0001688719,-0.0010027083999999999,-0.0231308594,-3.1333333333,-3.0714285714,-4.4666666667,2.75,2.0,3.6,2.7142857143,51.0,5.8734675703,0.29187217520000003,1.3807838421,0.6666666667000001,-0.1666666667,13.25,0.025,1.0,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.00025937830000000004,-0.07395498390000001,-1.0,1.0909090909,-0.2888881723,-0.9523625263,9.8,7.1,2.0725500455000003,0.4055762608,2.0109804169,-0.2718879429,0.8888888889000001,2.6666666667000003,4.0,1.5,2.0,2.5,4.6666666667,4.0,4.0,4.5,2.5,1.8333333333,1.5,1.8333333333,1.1666666667,4.0,-0.4712379241,-0.4114487461,0.9886363636,4.9093619635,0.4090124569,3.8783519333,33.3333333333,-33.3333333333,-22.2222222222,5.0,6.0,4.0,3.75,4.875,2.8571428571,2.5,36.0,0.8158730159,29.0,206.0,8.0,-1.0,1.0,0.5657946467,0.0019503945999999998,1.0,0.0027379267999999997,0.44444444439999997,-0.0006324555,-0.0006324555,-0.0015811388,6.0,-0.9337507684999999,2.0669041185,0.3734749853,1.6023596566,-0.0781066233,4.7333333333,-304.24833333333197,2.9877720532930017,0.30229583087999995,1.535672166988,-2.76,83.71,46.0,1.9133373883000002,-1.6080014509,0.57614781,13.0,1.2868001055,0.4825025222,1.7030745625,-0.194549804,0.6666666667000001,0.9166666667,0.8333333333,0.8333333333,142.0,0.2,0.2,0.2,0.0,2.4836590844999997,0.4276328791,2.030597659,-1.7390952391999999,0.47911547909999996,0.042180781900000006,4.1490193342,0.28052706520000004,1.3133242496,-1.1737868168,272.5,6.1,4.5,-189.6666666667,-236.6666666667,3.2880933407999997,0.33714222369999997,1.4502065796999999,47.0,26.9041666667,2.8593042469,0.3204110807,1.7952017299,-0.5876468469,5.5,6.0,7.0,4.0,4.0,-49.0,-0.1029764599,-0.4276929381,1.4824806956,0.3307407663,1.6550674303,-0.7661459974,-0.5338438422,2.1,3.8888888889,1.7777777778,2.6,1949.3041666667002,-15.0,7.0,2732.1666666667,1.0122824975,0.9634923334,-1.9,-1.5454545455000002,-1.75,-1.3571428571000002,-1.5,0.1857878768,0.1482208463
