,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large,bickel_titrator.hyp_discount_rate_medium,bickel_titrator.hyp_discount_rate_small,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stop_signal.SSRT_high,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,writing_task.neutral_probability,writing_task.positive_probability
s002,0.5681626473,0.1612414963,1.5775189091000001,1.2,-20.2608695652,-0.2333333333,453.0,-13.0,-0.1333333333,325.0,0.1681686618,-0.9379857243,3.5830481752,0.4126672752,2.5766055635000003,-0.8962324193000001,-0.0011338099729999997,-0.012489884674000008,-0.0556884766,3.5583054534,0.2578606338,1.6460411948,0.1666666667,-0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.037762384600000004,0.0,-0.001822838,0.33501259450000004,0.1387440396,-0.43240473690000003,8.0,10.3,1.3599951841,0.5270923430000001,2.1557217422,-0.6518791445000001,0.1944444444,-1.6100705076000001,0.4533400085,0.9770114943,1.7835928616999999,0.1377871278,2.1893931345,0.8,111.0,6.0,0.7541481018,0.0017554871,0.7393355608000001,0.0013716979000000002,0.5277777778,-0.06403124240000001,-0.158113883,-0.0256124969,-0.4904622188,0.5080250895,0.452571674412,1.9723215565,-0.39220642980000003,-335.683333333339,2.5628264283640005,0.32597344200100004,1.5445351278910004,-17.115,64.69,-0.1279112519439992,0.6231335321220002,0.5320132074,4.0,1.2152431326,0.6346664636,1.9260925579000001,-0.5084992809000001,2.6788969071,0.4946092079,1.7968244473000001,-1.75866754,0.4352739471280001,0.042809985072999976,2.3270161166,0.3906445791,1.425443292,-0.8641288076,351.5,4.8,6.1,-307.0,2.0984494571,0.37156709530000004,1.4813434319,2.8558661337,0.3427528533,2.3266773021000002,-0.7758017285000001,-0.0823206553,-0.6617675395,0.6675442259000001,0.0989105755,2.4497757569,-0.2134078492,0.28871109570000003,1795.1016666667,-8.0,8.0,3727.25,0.16486882220000001,0.23897679430000002,0.8172749921,0.1922162034
s005,0.6623567043,0.2816895074,1.3901295564,1.65,-36.3636363636,-0.2666666667,750.0,-30.5,-0.33333333330000003,580.0,0.18199349480000002,-0.844647597,4.2941832144,0.32735749410000003,2.4940898886,-0.41199537480000004,-0.000525995,-0.0041643982,-0.0276582031,4.7307153888,0.2858358778,1.9264919816,0.8333333333,-0.1666666667,13.4166666667,0.275,3.0,-0.007940000001,-2.9166666667000003,13.0416666667,0.08614039964300002,3.0,-0.005987219985000002,-3.7905236908,0.2518581217,-1.2169609029,9.2,8.0,0.8478804368,0.5097075219,1.4713708691,-1.4198883832,0.1666666667,0.9468926255000001,1.1945025262,0.9219696970000001,2.6128702791,0.2804637856,1.2911299014,0.8063492063000001,174.0,6.0,0.7475608826,0.0009119887,0.920829773,0.001067059,0.5555555556,-0.0256124969,-0.0256124969,-0.06403124240000001,-0.7538856785,2.3423260502,0.4485870984,1.9921247239,-0.57400217,-295.6666666667,2.820349381,0.3394413754,1.2530601279,-7.0,114.0,3.5914944929849986,-0.16013093802399983,0.6320956121,14.0,1.8160414978000001,0.4909660831,1.9023892781,-0.600604464,3.7171250946,0.2813550434,1.9596174675869995,-0.769224863,0.47117794490000003,0.0445575732,3.3832291361999998,0.2717849851,2.157113368,-0.1115917268,302.5,6.5,5.1,-250.1666666667,3.2705872183,0.3661549405,1.5031378176999999,4.2339817928,0.2958254616,2.4535467332,-0.6577946324,-0.0768335383,0.2033831157,1.4097368322000001,0.3477554447,1.431355648,-0.7205918633,-0.945607767,1915.6111111111,-19.0,7.0,2585.75,1.2107524913,1.5888186252,0.8868519986000001,0.4059011843
s006,0.5457175407,0.053517791200000005,1.6580185176,1.4,-43.3333333333,-0.4,736.0,-32.7083333333,-0.2,750.0,-0.5965644043,-1.4443683779,2.4457905924,0.3401844202,1.4711870645,-1.1372227422,-7.0924e-06,-6.78453e-05,-0.057029531561,1.4269169026,0.24142709710000002,1.2896888051,0.1666666667,-0.8333333333,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.2173913043,-0.18391812870000002,2.0,0.0043567251,-2.6725146199000003,-0.011319034700000001,0.0127370793,8.5,8.5,1.2887274819,0.4119464781,1.5702866776,-0.8917183446,1.0,-2.028620064,-1.7127461267,0.7264705882,1.6331406216,0.0057800805000000005,2.0894711979,0.8222222222000001,139.0,0.0,0.527438736,0.0017382296,0.7636162281000001,0.0020427238,0.5,-0.046825708142000017,-0.05354633322899999,-0.063573340634,-1.0033810213,1.3925176176,0.385819878,1.7096857263,-0.8735715060000001,-316.6200000000031,2.3380712345020003,0.3019280445909999,1.5884634326890006,1.215,76.075,5.7639321114349995,-1.9530625696500004,0.4031998195,4.0,0.9077493270000001,0.5170080099000001,1.8895964021,-0.267199938,2.1745128467,0.3997000972,1.7541038539,-0.394892083,0.48941798940000003,0.0212836617,1.5501132826,0.2776648131,1.622802211,-0.4609487197,341.5,5.3,4.9,-336.1666666667,1.3202859527,0.29617921106899997,1.9273922413000002,2.1424354364,0.2904992131,2.2022489472,-0.754532983,0.031397877000000005,-0.1673888017,1.056717187,0.174848846,1.9968874195000001,-0.1805481196,0.2562514012,2209.1783333333,-21.0,4.0,3224.1666666667,0.4553857187,1.0327010837,0.8338361601000001,0.4540214179
s007,0.7943626211070002,0.13565393227000003,1.7151158549419991,1.7060000000000002,-19.0769230769,-0.1333333333,470.0,-14.8,-0.1666666667,340.0,0.0028961286,-0.6745254233,1.9499016191,0.3592570772,1.8334261418,-0.2793508369,-0.0005751163,-0.0008470039,-0.0081005859,2.1397915873,0.2801008619419999,2.5943903937,0.1666666667,-0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333333,-0.4166666667,13.0416666667,0.2115478865,1.0,-0.0035254237,0.8082499489,0.429502064,-0.5991357069000001,9.6,6.4,1.327142998907,0.47125210529500017,1.986140586164,-0.454942751127,0.3611111111,-0.6406903234,-0.7375077015,0.7151162791,1.5400683418,0.0048134926,2.4009208683,0.6952380952,98.0,9.0,0.8018417358000001,0.0007886168000000001,0.8767990112,0.0012070223,0.7777777778,-0.06403124240000001,-0.06403124240000001,-0.0256124969,-1.7166064037000002,0.8651731159,0.42564365600000004,1.5408215215999999,-0.0398948655,-329.24500000001115,2.337966272366001,0.3359260424309998,1.5278075061679999,-14.965,38.375,8.6329234757,-8.6372057447,0.5112262406,10.0,1.0843141467,0.6285177372,2.3131696134,-0.5097237008000001,2.0133938183,0.519768204,1.7597514905,-1.5164746831,0.3291457286,0.006016204000000001,3.0260418267,0.3434345427,1.4760661168,-0.5758163889,367.895,5.1,5.4,-343.1666666667,1.889908946,0.3972417391,1.4466376067,1.8140244818,0.5127708842,1.9975012206,-0.4798660457,-0.0699422527,-0.036769886700000004,0.2947363543,0.0003527095,1.9679859441,-0.2631121863,-0.6002859697,2282.5555555556,5.0,8.0,6112.1666666667,0.18926928134700002,0.44512329813100004,0.8621573749,0.6821860019
s009,1.9767925061,0.224314106,1.2303739359,2.7,-28.2608695652,-0.2333333333,615.0,-19.1304347826,-0.2333333333,420.0,0.09650994830000001,0.16074397810000002,3.2270323927,0.2911228594,1.7423721971,-0.6701498234000001,-0.0005145003,-0.0019907761,-0.010146484400000001,3.1174129186,0.2595647263,1.1888843587,0.8333333333,-0.0,13.7083333333,0.048208333336000025,2.0,-0.0118333333,-6.4583333333,5.25,0.11418439720000001,2.0,-0.0049527187,-2.4048463357,0.1593423691,-1.1747285803,6.8,4.8,2.3124178289,0.4377414739,1.8569237705,0.3858208019,0.7222222222,-2.4745055773,-1.18512531,0.8551724138000001,2.1897152909,0.000548052,1.8626464308,0.9428571429,222.0,9.0,0.6171309948,0.0017705286000000002,0.985546875,0.0028862039000000003,0.7222222222,-0.0038729833,-0.0004,-0.009797959,-1.6426004115000001,2.2523104287,0.3874413634,1.9291376504,0.1463844612,-228.3333333333,2.5162013361,0.3404727555,1.642690282,8.5,73.0,-8.3796570593,14.6540357536,0.6676807246,6.0,1.2434679584000001,0.4881342804,1.9717254207,-0.8500109635,3.4322252908,0.349534481,1.7499897124000001,-1.5092611015,0.6073170732000001,0.1462449228,5.0626741798,0.2494334521,1.5539128878000001,-0.1498307203,268.0,6.8,6.4,-204.5,3.2826198883,0.3156484782,2.6775357682000003,2.8228051197,0.3578848174,2.5458239044,-0.6962106531000001,-0.8094577109000001,-0.5917920116000001,1.9718861344,0.3189158516,1.6027852883,-0.0369492601,0.24362834830000002,1251.3159722222,-5.0,11.0,3222.6666666667,-0.6258949536,-0.1528096578,0.1779068063,0.4556380051
s011,1.4238347942,0.0976615561,1.4633919046,3.2,-40.5555555556,-0.4,690.0,-18.3333333333,-0.30000000000000004,365.0,-0.7071551588,-1.2822796811,3.52292155,0.3550657953,1.8684960544,-1.171048896,-0.0014649428150000005,-0.0051069641,-0.00015283200000000002,4.578487078,0.2584908855,1.386539742,0.33333333330000003,-0.33333333330000003,5.3333333333,0.058333333300000005,1.0,-0.0026666667,-1.75,6.9130434783,0.130866426,3.0,-0.0025487365,-3.7931923672,0.19393002980000001,-0.9515309845000001,7.9,9.8,2.0819963609,0.31876564500000004,2.3580530745,-0.9772531437,0.0,-4.3719199519,-2.8965298502,0.875,3.4742885699,0.2189976881,1.5240483888,0.8825396825,265.0,4.0,0.7708899498,0.0016033788,0.8675750732,0.0018161934000000002,0.5833333333,-0.07237149432400006,-0.069006020126,-0.076719421244,-0.9936139626,2.6836340825000002,0.3545454256,2.5617672054,-0.5314288825,-262.5,3.7655805882999998,0.3041961376,1.6737538376,8.0,84.0,1.0782063195,6.9911453835,0.2325498095,12.0,1.6589422669,0.37709233680000004,2.4148694597,-0.6921263868,3.3515220296,0.4240212111,1.567283455,-2.4997240863,0.539408867,0.0917039711,3.5432004764,0.32149429300000004,1.1791437277,-1.7559407717000002,316.0,5.7,6.3,-241.0,3.8405580079,0.31937095130000004,1.9427486643,2.9379950866,0.3479103224,1.7672720559,-1.889703922,0.0176229769,0.0230328255,2.7396411904,0.3479047585,1.2961429034,-0.5843811923000001,-0.3771145021,1371.7153679654,-11.0,8.0,2094.9166666667,0.43564870440000003,-0.3646431136,0.1925341667,0.2404360379
s012,2.1365996277,0.3183583726,1.4761638247,3.25,-44.1578947368,-0.36666666670000003,796.0,-24.5652173913,-0.2333333333,527.0,-0.7087768709000001,-0.9189969014,3.1904631176000002,0.2955094696,2.2806951473,-1.5604372052,-0.0011767575,-0.010140686000000001,-0.0590556641,3.0960433251,0.2621787906,1.4795206792,0.8333333333,-0.1666666667,5.6666666667,0.058333333300000005,2.0,-0.0086666667,-2.9166666667000003,3.9583333333,0.1687969925,3.0,-0.0115213033,-1.9323308271,-0.3553490939,-0.7137797811000001,8.4,8.6,2.0158939941,0.4980053405,1.8880477739,-0.3555896776,0.1666666667,0.0718670446,0.3237975636,1.0,3.7944784187,0.046987728000000006,2.327886479458,0.6222222222,190.0,8.0,0.6499261856,0.0010140799,1.0,0.0020015881,0.6666666667000001,-0.043407747083000006,-0.06403124240000001,-0.06403124240000001,-0.5545149551,1.4604564245,0.363461819,1.9226422634,-0.430092377,-331.6666666667,2.4219571214,0.28659041900000004,1.4859088029,7.5,81.0,27.3376402867,-25.2123453648,0.6264483412,15.0,1.5370876801,0.5097285729000001,1.5475737522,-0.1923851387,2.9242042947,0.39571681080000004,2.3441953140000003,-1.4690575019,0.4617283951,0.0590870111,2.4015128127,0.2842527804,1.5396948505,-0.6280659336000001,338.0,5.9,6.0,-263.1666666667,2.1835615991,0.3163960099,1.4146533030000001,2.3007752515,0.3686424111,2.291475075,-0.9498375553,0.43388643590000003,0.1934508068,1.9705245864,0.31382306,1.6115055666,-0.7488903936,0.08824048520000001,2230.165,-3.0,8.0,4731.5,0.6838735438,0.501551987,0.23654425440000001,0.1860625235
s017,1.0608998429,0.0264727595,1.7066945503,2.0,-37.5,-0.2666666667,789.0,-21.3333333333,-0.1,550.0,-1.0116862662,-0.3814599111,3.5452793395,0.3293810136,2.080949281,-1.7147151713,-0.00011245850000000001,-0.00019663,-0.0006987305,5.6714859189,0.23742925050000002,2.3796840578,0.6666666667000001,-0.1666666667,9.7083333333,0.10416666670000001,3.0,-0.011166666700000001,-2.125,7.9583333333,0.1894025605,3.0,-0.0077980085,-1.8536882747,0.18364322830000002,-1.3700064956,9.3,7.6,2.3393246255,0.4442272518,1.9907066820000001,-0.5587603106,0.8333333333,-0.23594545400000003,0.003995276,0.875,1.8151275217,0.1257154095,2.3773073049,0.8825396825,246.0,3.0,0.767848587,0.0024491452000000003,0.98984375,0.0027049544,0.5833333333,-0.0002011893,-0.0002011893,-0.0002011893,-0.5568621052,1.350662603,0.4287362301739999,2.7449484742,-0.3316778164,-293.1666666667,3.0096657547,0.21385855980000001,2.26934579,14.5,160.0,3.457474636001998,1.8530813034719997,0.58484855,10.0,2.035845279,0.5232991018,2.0035137957,-0.5556741657000001,2.7859679473,0.4232624909,1.6601841353,-2.0130477614,0.45137157110000004,0.0676643665,3.3822377798,0.2906407888,1.7024411637,-0.3893313264,310.0,6.5,5.6,-250.3333333333,3.0407176241,0.3319055735,1.65915852,2.4519337078,0.41477246640000004,1.8252693622,-1.7509108396,-0.091802353,0.5829432329,2.0699160452,0.3403417462,1.7935096706,-0.541395862,-0.4737439507,1481.6893939394,-1.0,10.0,3958.5,3.1094480307,2.7572274371,0.185612246,0.17430210710000002
s020,0.8309025946,0.10581975,1.477320589,1.85,-26.6666666667,-0.2,610.0,-12.962962963,-0.1,340.0,0.0993079802,-1.0342656952,2.4076655333,0.31020129700000004,1.7777535576,0.0424033843,-0.00023432030000000001,-0.009369873,-0.0126279297,1.4817932415000001,0.2648838339690001,2.1203653749,0.6666666667000001,-0.33333333330000003,9.8333333333,0.054375000002000025,1.0,-0.006,-1.9166666667,7.2916666667,0.0038725986000000003,0.0,-0.0009140546000000001,-0.8612740142,-0.0335462443,-0.6750894226,7.5,5.2,1.3509337197,0.45484183770000003,2.219140273,-0.4078006545,0.0,-1.9309570176,0.8370845067,0.9034090909,2.1916549639,0.2009366377,1.6182558075,0.9111111111,122.0,7.0,0.6603252411,0.0017003689000000002,0.7410667896,0.0015159826000000001,0.47222222220000004,-0.0256124969,-0.06403124240000001,-0.06403124240000001,-0.7851481243,1.1170387166,0.40007928463700004,2.3312327997,0.0292680352,-285.6666666667,2.4729552999999997,0.3274320633,1.8450594612,33.0,36.5,3.7318341441,-3.4417341323,0.6229103774,8.0,1.0226824795,0.4099330439,1.9006423949000002,-0.36555883240000003,2.621847452,0.4111657569,1.4099074042,-1.4711778817,0.43349753690000004,0.0501444983,2.4258825554,0.3251771171,2.1301355743,0.2099064631,381.5,6.3,5.7,-240.0,2.1003668565,0.3298079902,1.5389389474000001,1.8187948523,0.2887721856,1.7809611195000001,-0.9452745210000001,-0.0350680274,-0.0488132095,1.0599103375,0.2183538957,1.9727286242000002,-0.3307977849,0.0265820009,2750.9476190476,-12.0,6.0,3479.3333333333,-0.594460772,-0.1424756482,0.1805794197,0.3909019375
s026,1.1499243285,0.2348028865,1.0829413784,2.0,-11.375,-0.2,263.0,-21.2083333333,-0.2,489.0,-0.0351487146,-0.3357999528,3.9657583505,0.3261310264,2.1045574436,-0.5624588500000001,-0.0001688719,-0.0010027084,-0.023130859400000002,5.8734675703,0.29187217520000003,1.3807838421,0.6666666667000001,-0.1666666667,13.25,0.025,1.0,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.0002593783,-0.07395498390000001,-0.2888881723,-0.9523625263000001,9.8,7.1,2.0725500455,0.40557626080000003,2.0109804169,-0.2718879429,0.8888888889000001,-0.47123792410000004,-0.41144874610000004,0.9886363636000001,4.9093619635,0.4090124569,3.8783519333000003,0.8158730159,206.0,8.0,0.5657946467,0.0019503946,1.0,0.0027379268,0.4444444444,-0.0006324555,-0.0006324555,-0.0015811388,-0.9337507685,2.0669041185,0.3734749853,1.6023596566,-0.0781066233,-290.4833333333289,3.0632930645360004,0.3070054283910001,1.4711749119409996,-7.56,85.575,1.9133373883,-1.6080014509,0.57614781,13.0,1.2868001055,0.4825025222,1.7030745624999999,-0.19454980400000002,2.4836590845,0.42763287910000003,2.030597659,-1.7390952392,0.4791154791,0.0421807819,4.1490193342,0.28052706520000004,1.3133242496,-1.1737868168,272.5,6.1,4.5,-189.6666666667,3.2880933408,0.3371422237,1.4502065797,2.8593042469,0.3204110807,1.7952017299,-0.5876468469,-0.1029764599,-0.42769293810000003,1.4824806956,0.3307407663,1.6550674303,-0.7661459974,-0.5338438422,1949.3041666667,-15.0,7.0,2732.1666666667,1.0122824975,0.9634923334000001,0.1857878768,0.14822084630000001
