,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther
45eac06d-58ff-4f06-8a7f-c583b3906b68,1,26,White,,0,4,63,117,3,0,60,3,0,40000,1.0,10,0,1.0,3.0,5.0,2.0,NA,1.0,3,0,0,0,0,0,0,0,tasks are fun,
s491,1,23, Middle Eastern or North African,,0,5,63,155,1,0,3,1,0,12000,0.0,,0,1.0,1.0,1.0,1.0,,,1,1,0,0,0,0,0,0,tasks are fun,
s495,0,23,Other,Central Asian (I think US Census bureau should reconsider the racial background division),0,4,65,108,1,0,0,0,0,28800,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,1,0,tasks are fun,
s497,1,29, Asian Indian,,0,5,62,112,2,0,60,2,0,100000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,1,0,0,1,0,0,2,0,money,
s499,1,22, Asian Indian,,0,5,67,148,3,0,60,3,0,0,0.0,,0,1.0,1.0,5.0,1.0,,,1,0,0,0,0,0,0,0,tasks are fun,
s512,1,23,White,,0,4,64,120,3,0,24,1,0,57,0.0,,0,1.0,1.0,4.0,1.0,,1.0,2,3,0,0,0,0,0,0,want to contribute to research,
s524,1,23,White,,0,4,63,111,1,0,4,3,0,50000,0.0,,0,1.0,1.0,6.0,1.0,,,0,1,0,0,0,0,1,0,want to contribute to research,
s526,1,28,White,,0,4,63,118,1,0,18,5,0,0,0.0,,0,1.0,1.0,3.0,1.0,,,0,0,0,0,0,0,1,0,tasks are fun,I think that MRI's are really cool - I enjoy the whole process of the scan. I also have been having fun with the tasks!
s546,0,18, Black or African American,,0,3,70,135,1,0,0,0,0,100000,0.0,,1,,,,,,,0,0,0,-8,0,3,0,0,money,
s548,0,24,Other,Armenian ,0,6,67,160,3,0,75,1,0,13,0.0,,0,,,,,,,0,0,0,0,0,0,2,0,money,
s549,1,40,White,,0,5,65,140,1,0,60,5,0,119999,1.0,20,0,1.0,1.0,1.0,1.0,,1.0,0,1,0,0,0,0,1,1,want to contribute to research,
e46e0ced-87d8-46f8-a0f8-d03f94ae6d3d,1,23,Chinese,,0,4,62,115,1,0,0,0,0,16000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,2,0,want to contribute to research,
f7d45887-6c97-4e22-a43f-a67a9190e234,1,23,Chinese,,1,3,61,125,3,0,24,1,0,100000,0.0,,0,1.0,1.0,5.0,1.0,piano loan,3.0,3,0,0,0,0,0,2,0,tasks are fun,
fdaefc41-f088-4cf5-93ad-2e19fd517f71,1,34,Chinese,,0,4,65,140,2,0,157,3,0,190000,1.0,,0,1.0,1.0,1.0,1.0,,,1,1,0,0,0,0,1,0,want to contribute to research,
s130,1,29, American Indian or Alaska Native,Chinese,0,4,63,72,1,0,0,0,0,57500,1.0,15,0,1.0,1.0,3.0,1.0,,,1,-1,3,0,0,0,3,0,tasks are fun,money and contribute to research
s251,1,19, Asian Indian,,0,3,71,136,1,0,0,0,0,500000,0.0,,0,,,1.0,,,,0,0,0,0,0,0,1,0,tasks are fun,
s445,1,21, Black or African American,,0,2,64,130,3,0,24,3,0,45000,0.0,0,0,,1.0,1.0,1.0,i don't have any debt,1.0,0,0,0,0,0,0,0,1,money,
s465,0,23,Chinese,,0,4,74,166,1,0,0,0,0,0,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,0,0,want to contribute to research,
s471,0,22, Vietnamese,,0,3,68,130,3,0,5,1,0,30000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,1,1,3,0,0,0,0,0,want to contribute to research,
s483,1,20,White,,0,3,66,125,1,0,0,0,0,99983,0.0,,1,,,,,I'm a student and don't have these kinds of financial responsibilities,,3,1,0,0,0,0,0,1,money,
