,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
00ba1df4-4e82-44d6-b132-3cbab2b55792,23,4,67,126,0,3,1,0,55000,0.0,,6.0,1.0,2.0,1.0,,0,0,0,0,0,0,0
14811f1e-ecdb-473f-9b34-6d42b6437c1e,33,3,69,70,0,120,5,0,49000,1.0,0,,3.0,4.0,3.0,,1,0,0,0,0,0,3
1700a7fe-a66d-4c56-b63d-e84d43a1a874,20,3,63,95,0,3,2,0,150000,0.0,,1.0,1.0,1.0,1.0,,0,0,1,0,0,0,0
1aa678bb-892d-45d6-81be-6a22478dbb92,23,4,64,137,0,3,1,0,50000,0.0,0,1.0,1.0,1.0,1.0,1.0,1,1,1,24,0,0,0
221dbda7-7f24-4078-b58d-f1d4c3b721d3,21,3,63,140,0,96,1,0,70000,1.0,0,1.0,1.0,2.0,2.0,,1,0,0,0,0,1,0
2ddbab6c-9d12-45ab-a703-b28482c3eca1,19,3,64,120,0,0,0,0,12000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0
2e052bbf-5857-442a-aad6-528a2f7e6539,24,4,66,165,0,17,2,0,175000,0.0,,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,1,0
30a273a8-9c1c-415e-9912-beba07565477,30,3,67,150,0,12,5,0,35000,0.0,0,1.0,1.0,6.0,1.0,1.0,1,1,3,0,0,0,0
341ede75-b588-4c99-b466-a452872d8ba4,21,3,65,160,0,0,0,0,35000,0.0,,1.0,3.0,2.0,1.0,,0,0,0,0,0,1,0
440fbf5c-b2a1-42b6-aefe-ecc720eeb1db,24,4,72,190,0,6,3,0,40000,1.0,90,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0
45eac06d-58ff-4f06-8a7f-c583b3906b68,26,4,63,117,0,60,3,0,40000,1.0,10,1.0,3.0,5.0,2.0,1.0,3,0,0,0,0,0,0
5b51901d-a06a-4c14-90de-99af4133ec97,23,4,65,110,0,0,0,0,10000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
78412476-d5fd-47a1-89a1-a4ac31a6304a,19,3,67,165,0,1,1,0,25000,0.0,,1.0,1.0,4.0,1.0,1.0,0,0,0,0,0,4,0
81e92b1b-cf88-4405-872a-37b98a3d2e50,40,4,65,113,0,24,5,0,80000,1.0,,1.0,1.0,3.0,1.0,1.0,0,1,0,0,0,2,1
82c711a4-7bdc-46cc-b7d4-03c845828753,18,3,64,116,0,24,3,0,15000,0.0,,1.0,1.0,3.0,1.0,,0,1,0,0,0,0,0
84847dde-e34c-47f0-a006-3c0bee25872f,26,3,67,127,0,10,1,0,60000,0.0,,1.0,1.0,4.0,2.0,1.0,2,0,0,200,0,0,0
