,NBHD,NBHDL,NBHN,NBHT,NBMEANLD,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,BITIHDSL,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTBETA,HLTRSKAV,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,KRBPCTP,LOGCONHD,LOGGBHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,motor_selective_stop_signal.SSRT.logTr,MOSHD,MOSHN,motor_selective_stop_signal.hddm_thresh.logTr,motor_selective_stop_signal.proactive_control_hddm_drift,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SHFTLTL,SHFTBETA,SHFTMDCY,SHFTMLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,stim_selective_stop_signal.reactive_control_hddm_drift,SSSSRTHI,SSSSRTLO,SSHD,SSHN,stop_signal.hddm_thresh.logTr,SSPASS,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD,32HD,32HN,32HT,32TSCHD,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,two_stage_decision.model_free.logTr,WRTNEUPR,WRTPOSPR
06acef2f-9e16-4a16-ac87-9e032feaa6dd,2.19890564143,-0.549090729001,0.07592253189300004,2.1468055322870003,2.0455000000000005,21.493236764547,8.441019786802004,16.665467103856002,6.9389172379360025,-0.5246232252519999,-0.978920437912,3.6822745466369997,0.3363757142860002,1.955683911488,-1.1362628599009996,-8.829581220968873,-6.717420834382591,-4.2128460621022015,3.5457476541290007,0.257371594475,1.451458136105,0.6166666666569998,0.284999999997,6.105416666661999,0.024333333332000003,1.04,-0.0020366666710000007,-1.1695833333330004,8.831106719367002,0.045799285681000015,0.82,-0.0030706707120000025,-1.3772027688549997,0.07599637329799998,0.6084382422070004,7.737000000000006,6.106999999999995,2.144132962419,0.4132662631929997,2.025020743970999,-0.17743869081,0.3927777777789999,-2.134738737102,-0.509827553841,-0.089147143504,3.858270924671998,2.7888985170740006,0.16736391268499987,1.838236982833001,-1.1066807647950003,3.539342947860998,181.88,8.921668206784998,0.3767523629570004,6.72,0.743916586277,0.0011938335209999995,0.911114420648,0.001223699439999999,0.5127777777759994,-5.085173787185167,-3.907858167320656,-2.980987363354844,0.3085185185279999,-1.0777520423460003,-0.025488935192000003,1.601470568872,0.4025294267179999,1.7206878216160002,-0.3973790102740003,5.742905802630607,2.2557824463689973,0.255709660155,0.4738141781519666,-0.5805846319319996,1.5112895095749996,0.3058363149000001,9.84,1.5440408306550004,0.454989309002,2.077341010909,-0.4656849464120003,2.8451748659019995,0.399137692042,1.7878010037430003,-1.3128347384710002,0.45223425397,0.041281641257000026,0.0004345080960000002,7.158132234807995,0.6176474177450001,0.16695302615600005,3.02349158151,0.25973454822500003,1.4305145775099997,-0.6072083776890004,311.2,6.373999999999999,6.127000000000002,293.483333333337,2.4858378467689994,0.321768331388,0.3772644519323039,-0.7041341969329998,264.56166666667195,297.593333333338,2.618210399310999,0.30578514564500003,0.4533433943720879,26.956666666670014,-0.038618866328999975,0.041552185071,2.4245291924170007,0.31085606984099995,1.8953647330889989,-1.075888227978,-0.09458410181800002,1.8274838313809996,0.3021341074430001,1.747492323996,-0.3047358421849998,1958.9363956280865,3.39,8.75,3343.023030303035,-0.21712293630000012,-2.649298197708072,0.5791723203820003,0.384632629429
08c9d27c-e51e-46e7-82f8-c3287d96b48a,2.2209101953630013,-0.528366619481,0.054136408120000035,2.0163497000880004,1.9015,20.235101356761987,8.404036130366997,17.265741443425,7.038101577121,-0.4905289060170002,-0.9968253493110002,3.464270645281,0.33660339380300003,1.8211778990439984,-0.9237854155789996,-8.606242369340514,-6.644527817894511,-4.210553491943792,3.445588328246,0.26157047222,1.4254228961550004,0.6349999999909997,0.2733333333290001,6.884583333321994,0.007583333340000006,0.57,-0.001035000003,-0.9579166666700004,9.309692028981,0.033467402292000015,0.53,-0.0019536286120000017,-1.2025488626169998,0.09157356567299996,0.5354139340860002,7.621000000000006,5.991999999999997,1.6214399488289999,0.3836119169779999,1.9669160491149995,-0.2755707736520001,0.363888888891,-2.0660214620930004,-0.5662340175990002,-0.12551295892099995,3.476612996284,2.6360839815540027,0.17911325812599985,1.823947814702001,-1.1010451124120002,3.3901867095479985,149.85,9.024010854206999,0.34889258390700034,7.14,0.7194625019980001,0.0012070571259999998,0.871003554224,0.0013658124839999995,0.4969444444449996,-4.940350762127133,-3.6357190136042816,-2.9829466346068023,0.2633333333349999,-1.1086580531300003,-0.049188287754,1.4397944408069996,0.3934032951570001,1.6310389207780005,-0.4016678231340001,5.745244454502668,2.1533273523059977,0.2688300685939999,0.4292799170609853,-0.5754026152280001,0.5124132339409999,0.3243718870520001,0.0,1.4487145858249997,0.45002755591700017,2.0893588874550004,-0.4641981257630004,2.646369996525999,0.3983703041329999,1.702431562160001,-1.1961965674400004,0.4469076956729999,0.03673252683100002,0.00015441412700000002,7.154421485148003,0.5811011698820001,0.1568369999630001,2.7033200710049994,0.2660849884249999,1.4212140403279998,-0.6150818301220002,315.94,6.258999999999998,5.6800000000000015,307.22833333333597,2.2957231298890006,0.31997883692999995,0.3940529065932437,-0.6664176957990001,280.4600000000111,310.433333333334,2.525413632492,0.2915990365320001,0.4731438544731882,38.760000000010024,-0.015541700357999975,0.033383374617000014,2.2023864188030013,0.3132697790949999,1.8586989062729984,-1.0357916178769997,-0.09442368116500004,1.6583332266459994,0.27518648236300003,1.7105090405999996,-0.3063421343479999,2007.3594202566771,3.16,8.3,3449.069545454549,-0.2785365369500001,-2.7634860585838386,0.5335161528850003,0.3801927431670001
s061,1.9710056693,-0.4746413717,0.0171516573,2.7098701545,2.4,26.426870686121998,8.491255504783004,19.156005712472005,6.8706927678110015,-0.5269658720900001,-1.0012859386040005,3.4118265826920013,0.34480775172500017,1.805510813945,-0.9428188343879994,-8.474781473913838,-6.6441343070849825,-4.317004336673148,3.461850597861002,0.2664156064529999,1.44752574157,0.7333333333239999,0.18999999999700004,7.275833333337004,0.034625000003000006,1.05,-0.0024400000030000003,-1.2687499999970004,8.900454545451,0.045254971121000014,0.75,-0.0018036119450000024,-1.303243601735,0.07800402875100003,0.5357288053300003,7.689,6.698999999999996,1.8464589815,0.4119498168,2.2664151936000003,-0.1789935112,0.3977777777739998,-1.9694923336,-0.3042585566,-0.23315151239999998,3.5345441135000004,2.6330835788,0.1881039569,1.742754453,-1.1436423387910004,3.4337864011149986,145.89,5.456084147774003,0.26190853083000026,5.15,0.7106370769690001,0.0012003162829999994,0.894814355372,0.0013401124749999993,0.5488888888919997,-5.229014296321379,-3.921519340101418,-3.370991372302058,0.3181481481509999,-1.6656935268000002,-0.07241030670999997,0.9854315464,0.3964572549,1.3942534887,-0.4920285104,5.752211201627323,2.347979825102999,0.2828264995209999,0.4495289784233084,-0.5868471260900002,-0.09681170258000027,0.37876668974,12.0,1.4737973024549995,0.4601168685360002,2.1404985512800003,-0.44759836424300026,2.71279435201,0.41638268612199997,1.7275656783029998,-1.2130106390490003,0.435328981109,0.041289324479000016,-0.0002838611320000001,6.556561481548995,0.565739242232,0.1568542897270001,2.5981556650999997,0.29022244199999997,1.2162459581,-0.7954544651000001,313.9,6.043000000000001,5.681000000000003,294.6766666666701,2.469543491743,0.3184319499680001,0.3733006059274706,-0.6289083573840003,281.95083333333804,307.3283333333401,2.639863586198999,0.2950741671390001,0.4348327918980985,29.06583333334001,-0.08886495755299995,0.029968345054999998,2.2111043887950017,0.32934747350200005,1.8469554118079992,-1.067552157369,-0.07995839374500002,1.7195523999019997,0.2816046989050001,1.7973288752169998,-0.3082614687879999,2166.180461211673,-8.0,7.0,5085.0,-0.26935943862600004,-2.83905503925562,0.4873199024310002,0.393106229081
s130,1.9081209506,-0.5104328604999999,0.0365528913,2.5945101876,1.9,34.111851233248004,10.153666764686001,23.020403928543004,7.005609051383003,-0.5842855774,-0.8997298243,3.8824599599,0.3376579507,1.9980711869,-1.4041804008,-8.280707049670951,-5.71541912865335,-4.446981908240684,4.100935916,0.2564180881,1.5906372387999999,0.8333333333,0.1666666667,4.1666666667,0.025,2.0,-0.0046666667000000005,-2.25,12.375,-0.0372,1.0,-0.003624,-1.7819999999999998,0.197947157693,0.6790543206649998,5.0,4.3,1.7226981361000002,0.4802860338,3.2183043992,-0.15839397060000002,0.7222222222,-3.4434779737,1.3579126091,0.0,5.320134937200001,6.027600690599999,0.19878060260000002,2.2273318639,-0.8893284576999999,4.1867508355,196.0,10.925098710999999,0.2565783653,8.0,0.6022460938,0.0004141259,1.0,0.0015774063,0.6666666667000001,-6.449609932071973,-6.449609932071973,-6.449609932071973,0.6666666667000001,-0.6947018684,-0.25602954489999996,1.9677960916,0.3981366664,1.9141527321370009,-0.6128580093,5.7515785834973325,2.6772635553,0.1984212659,1.0621151173188286,-0.4371088549,4.5937759497,0.46144958090000004,15.0,1.5838410098,0.5554272724,2.0699761151,-0.6376379529,3.3297517063,0.4335386248,2.4306029846,-1.4147685758,0.5514705882000001,0.11084250890000001,-0.0053249809999999995,6.509715984,0.4190288270000001,0.2581343747,4.4401763925,0.26043724420000003,1.4792618434,-0.559922421,305.5,6.0,5.3,363.8333333333,3.7561392595,0.3671240958,0.8085183708541773,-1.2399742284,304.5,296.3333333333,4.0220338586,0.31925719750000003,0.7191976123598579,-8.1666666667,0.2670191782,0.2554222805,2.9102816206999997,0.32315388829999997,1.9567543207,-0.9282797875,-0.1063577647,2.65177908,0.33731652640000004,2.1122079134000002,-0.3817320149,2866.7958333333004,-8.0,7.0,6982.5454545455,0.8965235323999999,-2.536154444465185,0.8066187305,0.409298362
s172,2.2808042080110003,-0.504978269425,0.11989100077100008,2.097352197748,2.421,31.885544803095,9.505102819018001,20.345232865913,6.376736365383001,-0.6576935351000001,-1.0143647576,3.9772605877999996,0.34604914950000004,1.7537403444000002,-2.0005000447,-9.157581080625606,-6.956840569612111,-3.839293632033737,3.5218412514999997,0.24199447510000002,1.4999788847,0.7233333333269998,0.19833333334399988,6.790000000005003,0.05804166667000001,1.66,-0.005298333330000001,-2.36208333333,8.953043478257994,0.09620993553,1.31,-0.004983028866999997,-2.0430144543530004,0.1880678065,0.6523494082,7.889000000000002,6.943,2.870205108,0.3155995646,2.0215149277,-0.32073689850000003,0.29527777777199965,-1.872969374,1.6226495574000002,0.3298219498,4.6604910377,3.1172452942,0.2317287839,1.5560439472,-0.9437793146,3.5708010963,131.0,10.925098710999999,0.2565783653,8.0,0.7407654063639998,0.0012416304439999994,0.9266450829429996,0.0014929111400000005,0.6944444444,-5.201062945131597,-4.402550582246583,-3.4528616327437214,0.3622222222200001,-0.9409689615490004,-0.04932017469799998,1.7789555282880003,0.38091439076800004,1.9222980550350008,-0.4003215628779999,5.7115693007719806,2.7663833381509977,0.2903225107109999,0.4427868968448175,-0.850847982747,1.5756064188119996,0.4364627854890001,13.23,1.5898617817579994,0.485529363649,2.0599793765310004,-0.4148049783350003,2.8982138821019983,0.40129049304099984,1.813708754082,-1.6266893019510005,0.4451147449839999,0.047052154325000005,-0.0004500680529999998,6.4437003603740015,0.5328465629470002,0.21718266925099988,1.8813754480000002,0.18348792579999998,1.4597500425,-0.7622396439,304.065,6.2,6.4,284.78500000000304,2.8462251996789996,0.315339917785,0.4351766350068987,-0.8103701373730001,263.1049999999969,280.7500000000041,2.811443526696999,0.312053075757,0.3982027716618575,10.831666666674009,-0.15330832882399995,0.051103283472999986,2.6666119119190013,0.3187574164789999,1.8704872888690007,-1.1006812545440003,-0.0032840520000000004,2.9255060483,0.3215425092,1.2434925189,-0.2216656518,1745.4027777777999,2.0,10.0,1900.0833333332998,-0.484851425,-2.3794408721337432,0.8684241622000001,0.2504469146
s192,3.3781018022000002,-0.63347708,0.2237773784,1.6007527235,2.7,32.326009447563,9.180589347999998,22.228369190144,6.443461353716001,-0.5996039377,-1.0700055284,3.0825045907999997,0.33468544910000003,1.3120470266,-1.9819539466,-9.25995507598518,-7.780528293065151,-7.040728770119783,2.7441022649,0.2582782413649998,1.9076782611,1.0,0.0,6.708333333300001,0.1625,3.0,-0.0051666667,-3.125,9.939673913044,0.07311273528700002,1.67,-0.004323903847,-1.7467399305919995,0.1513643633,0.8605018272,7.782000000000003,7.475000000000002,1.9488288986479991,0.3975347340709998,1.9940227932279992,-0.3479215565820001,0.3888888889,-2.603782603206999,-0.32689483827500004,-0.13674702474899994,3.903170088917,3.438919313470998,0.117195136281,1.997941435243001,-1.1349549266510006,3.4076234878929985,190.12,2.3916188301,0.3492235958,5.0,0.7374950429170001,0.00121866093,0.9418682877969996,0.0014902284600000002,0.7222222222,-6.380825454693494,-5.959231676316691,-5.465380178791831,0.5774074074059999,-1.1213379293,-0.1965066579,1.8967901805,0.3311816166,1.7545027326,-0.4213064458,5.67415057236896,2.80496252642,0.2818435281409999,0.3816175263460703,-0.949460409463,-0.4579199748769998,0.4440342093810002,13.82,1.7466681010659997,0.4737178294700001,2.146253815694,-0.446096241869,2.8061635046509994,0.40413079225599996,1.6005741949230003,-1.3936475626339997,0.47012234746299997,0.05658493483500001,0.0003465528659999998,7.198038990107997,0.5329155646260001,0.1810880091890001,3.6002672721,0.25728852080000003,1.1195009298,-0.5803462126,295.085,7.4,6.7,278.98666666666696,2.606616028531001,0.31285674188600004,0.3426875002841101,-0.7131114888970003,258.18666666667104,266.15000000000197,2.7767510524200003,0.300088526602,0.4002197290663193,16.362500000000004,-0.025316782554000012,0.08928411392399997,2.1215375881,0.2656396301,1.4872512222,-1.1542085538,-0.090677036961,2.0589030550990004,0.289040699178,1.7915591179469996,-0.3229883914430001,1826.825,5.0,10.0,4033.75,0.05330614833200005,-2.8670987050232184,0.6090427259010003,0.33940455815500026
s234,2.2163949726090006,-0.5451440632380001,0.07244264374000005,2.257674822616,2.2100000000000004,24.098988696232986,8.646218963473,19.088555571881002,7.141658488793001,-0.5598152453549999,-0.983253833024,3.746770429418998,0.33623565159100033,2.096088961953999,-1.3352986109209997,-8.997565998215178,-6.59438626219791,-4.247364571842603,3.6321500820840025,0.262346207722,1.4561648129690001,0.7366666666589998,0.261666666669,6.191666666663999,0.06995833333699995,1.72,-0.0031383333419999987,-1.366666666667,9.216940052701,0.05217577395600001,1.19,-0.003700234143000002,-1.614503335973,0.076666342089,0.655835741047,7.8190000000000035,6.6439999999999975,2.3189836059909985,0.4202680431879999,2.0228542986129985,-0.2066789751700001,0.39527777777799983,-2.3587281257259987,-0.3960846970659999,0.018347178272999986,4.060570808720999,3.0580439929430003,0.1694603544009998,1.937129248943001,-1.0992288341050007,3.5307466287069986,187.84,7.0521954374380025,0.3855187225170004,6.41,0.7493571025090001,0.0011467006529999994,0.9181680524309996,0.001273856173999999,0.5374999999979996,-5.231952242228748,-4.129333359815228,-3.259001552007048,0.29851851852299993,-1.053672936092,-0.0002456048260000021,1.7181876209480007,0.401638666334,1.7832688473910001,-0.4165547808090001,5.7356034208648845,1.5559618484,0.1997643397,0.458069159425063,-0.4993992171,1.2979979872689995,0.17434010449999998,11.81,1.5751278077380004,0.476362430207,2.082582388989,-0.479550629819,2.978967834394,0.3955416492549999,1.9228896341270008,-1.359610479777,0.4567150724539999,0.047407107858000036,0.000148977938,7.136257199502994,0.6056404403200001,0.19052522906100006,3.0955770046400004,0.25876993673699994,1.46821788405,-0.6121600536280002,306.855,7.7,7.2,286.95500000000305,2.686398073216,0.3270866176779999,0.3804648517425324,-0.7279278514750002,263.11666666667503,292.98333333333807,2.7307252673519997,0.3056301823090001,0.4427846863749394,21.476666666670003,-0.058550929780999975,0.051920757246,2.502472770702001,0.309507541582,1.9242919752079992,-1.0820761986240004,-0.09481136818299997,1.9155853279769997,0.3106213403930001,1.8233447221650008,-0.3100695194499997,2006.2760540434026,3.55,8.94,3458.4931439393945,-0.11547260565200003,-2.543196855999837,0.5926355539960005,0.3828581512970001
s251,1.9153994074,-0.4914808066,0.3031594121,1.4678341724000001,1.35,26.3636363636,7.8954203395,21.6666666667,6.2042528658,-0.5556833945,-0.9606647765,3.2174255592,0.39338085479999996,1.5715240425,-0.6899222134999999,-10.694128495181904,-5.909661838376107,-1.9073742028013791,3.3217303827999998,0.32021574550000004,1.2392187479,0.8333333333,0.0,4.5,7.285838599000001e-17,2.0,-2.1033522150000003e-17,-1.5,3.1666666667000003,0.044181213600000005,1.0,-0.0008528677999999999,-0.27514546970000003,-0.0470699433,0.4117202268,7.8,7.8,3.1579557745,0.6236587272999999,2.2178576103,-0.4544888577,0.1388888889,-1.5453715306,-0.5603839081,0.4847229195,4.3506890982,2.4850275559,0.2860873418,1.5546219606,-1.1195720593,3.7262636324,157.0,59.8991114415,0.8568707964000001,6.0,0.6792004107999999,0.0010228949,1.0,0.0021486854999999997,0.6944444444,-2.7483841522350163,-2.7483841522350163,-2.7483841522350163,0.22222222219999999,-1.2456093542,-0.1915131927,2.2483459356999997,0.453489055,2.0182660109,-0.4783813067,5.751513877477497,2.7063686150999997,0.35729585610000003,0.3731460587872703,-1.3397787639,0.5660375674,0.5444027915999999,10.0,1.8834331712999999,0.6651896756,1.8643227135,-0.4176643845,3.5729053493,0.5114917745,2.1328781317,-1.955144515,0.3965087282,0.06786964969999999,-0.0020688289000000003,5.880275981006999,0.5744258964,0.0937626645,2.5199764162,0.3329542413,1.4608153058000002,-0.5585034115999999,339.0,6.055000000000002,5.1,355.1666666667,3.0656476587,0.33935366100000003,0.637548948949556,-0.8701939422,304.8333333333,277.6666666667,2.8425385988,0.3689156889,0.4891459569131672,-27.1666666667,-0.0723911611,0.16447849949999999,3.1238026756,0.3645304218,2.6454737256,-0.9467348392,-0.0259026883,2.4650022838,0.4358240378,1.7116381350999998,-0.28556091149999996,2853.7583333333,5.0,6.0,3682.75,0.6334710296,-2.5053442914324564,0.1349080446,0.1822075693
s358,3.4766259388,-0.8461144017000001,0.049538677,3.1023299855,2.6,19.434782608699997,8.6435792615,28.0,4.8218253805,-0.4491043634,-1.0285281961,4.1995473447,0.4163437996,1.8837676418,-0.5719906164999999,-8.315749794564713,-6.685695674926553,-3.9186857774796335,3.0882893198000003,0.2641679206,1.5068828125,0.5,0.33333333330000003,4.7083333333,0.0375,2.0,-0.0035,-1.0416666667,5.791666666699999,0.0379039497,2.0,-0.0070125673000000005,-2.3460502693,0.016048144400000002,0.7191574723999999,6.5,4.8,1.330487695,0.4122634829,1.5630400236000002,-0.2753817229,0.75,-0.1876492457,-0.2213987944,0.1932209246,4.933693088,2.8805441366,0.21283009379999998,2.9636243308999997,-0.8308046694000001,3.7967503866,110.0,59.8991114415,0.8568707964000001,6.0,0.7619184970999999,0.0012825116,1.0,0.0016162291,0.5277777778,-6.459815398943088,-4.625581180301964,-3.6646748864517766,0.4814814815,-1.1722400213,-0.0367900108,1.5999740853,0.33702321979999994,2.0926065171,-0.4595003565,5.619192406355703,2.43181993,0.3107905191,0.14796894892496296,-0.9069860814,2.5307066547,0.4900558617,11.0,1.4901310455,0.4283289538,1.5692921103000002,-0.5331644479000001,2.9921712777,0.4101559661,1.6634448572,-1.8991350163,0.3980099502,0.0159606815,0.005898894799999999,6.190325203755998,0.6874046028,0.0222945617,2.1641566713,0.264462835,1.3141834506,-0.42327933520000005,345.5,6.0,5.4,286.6666666667,3.5053803824000003,0.2774581109,0.43831177215437206,-0.8661021206,250.6666666667,295.8333333333,2.9125416315,0.33906631020000005,0.30148388012893623,45.1666666667,-0.0047401862000000005,-0.058603347699999996,2.8663839495000003,0.34308633299999997,2.1800699984,-1.1135841873,-0.1078849417,1.5730689560000002,0.28554542990000004,1.7322344991999998,-0.3440115076,2728.1583333332997,-6.0,10.0,5790.083333333299,0.1062155898,-2.4354977578098325,0.8959030026000001,0.4431999285
s373,2.5689998036,-0.6183349461000001,0.0342413541,3.1363900829,2.45,21.428571428599998,14.3046963835,13.3913043478,8.5106304138,-1.0494009718000001,-0.8894088115000001,4.0339704927,0.30406567360000003,2.6415993682,-0.7357460747,-8.74490297665865,-6.8669609701293775,-4.270664924245743,3.6169033569,0.26897741137200004,1.5824780143000001,0.33333333330000003,0.6666666667000001,7.348333333332003,0.04754166666800001,1.58,-0.0033966666709999995,-1.5166666666659998,4.5,0.0029262345,1.0,-0.0032599065,-1.8100995733,-0.21026201519999999,1.1042743627,9.7,9.1,2.041825421939999,0.4477185335049998,2.056746195813,-0.251430176146,0.3536111111089997,-2.4950451603019994,-0.31862006524899994,0.013976335780000002,4.4281341086229995,3.047015564226998,0.15768395043099998,2.1891296454880016,-1.0339405417880003,3.5206635505239987,228.0,9.043780995399999,0.7676050061,8.0,0.7608623144609997,0.0011941019429999994,0.9331140236809996,0.0012977006259999994,0.5899999999979996,-5.174817187854263,-1.8444397271102144,-3.313086473484975,0.037037037,-1.0241554051190005,-0.03174355378199998,1.7800882935970006,0.4009242769579998,1.837790671409,-0.4265659377800002,5.7380419616712,2.71712403949,0.283716845256,0.4781395231304197,-0.9501342976150002,2.550382732191999,0.43031432823700005,8.0,1.60934591655,0.4840233358870002,2.154797481593,-0.4663348746230001,2.6818181759999997,0.43021548509999996,2.0037947434,-1.223710633,0.456733304456,0.05254796933100001,-0.0004040537619999998,7.269975707471996,0.5731564580740001,0.17700542670100006,2.9782511070970017,0.265993006698,1.4840367791369995,-0.5644955010810002,306.63,6.1279999999999974,6.004999999999999,296.623333333336,2.7261234308810005,0.331031323031,0.5040002671833842,-0.7073329233420002,276.0808333333289,294.34666666667204,2.80954953302,0.310018329134,0.4766263325790861,26.095000000002,-0.11791281746699996,0.09327395947100003,3.0892654377,0.411277891,2.1214403444,-1.105243736,-0.08918853182299998,2.0048980438840003,0.3066955357119999,1.8862256539109998,-0.31448515612499983,2064.2846176067983,2.27,8.81,3913.009659090913,-0.7399755666000001,-2.5416423482063157,0.8722340719,0.4027759495
