,NBHD,NBHDL,NBHN,NBHT,NBMEANLD,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,BITIHDSL,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTBETA,HLTRSKAV,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,KRBPCTP,LOGCONHD,LOGGBHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,motor_selective_stop_signal.SSRT.logTr,MOSHD,MOSHN,motor_selective_stop_signal.hddm_thresh.logTr,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SHFTLTL,SHFTBETA,SHFTMDCY,SHFTMLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,stim_selective_stop_signal.reactive_control_hddm_drift,SSSSRTHI,SSSSRTLO,SSHD,SSHN,stop_signal.hddm_thresh.logTr,SSPASS,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD,32HD,32HN,32HT,32TSCHD,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,two_stage_decision.model_free.logTr,WRTNEUPR,WRTPOSPR
06acef2f-9e16-4a16-ac87-9e032feaa6dd,2.266590520574,-0.5210238604140001,0.05546207722599998,2.217554735654,2.059722222222,22.269174668126997,8.827032897511005,18.81527148582201,6.505470343249002,-0.5204899503870002,-0.9874936548249998,3.528516510768,0.3296207807820001,1.8624903063849991,-1.103219797529,-8.882992191817287,-6.587432679973593,-3.955641138113609,3.4816516049230004,0.2635496403609999,1.4375523769539995,0.6666666666569995,0.17666666666700004,6.499583333324999,0.02708333333300001,1.27,-0.0021933333400000004,-1.2174999999960006,8.492101449277001,0.041781283353000034,0.89,-0.00208296809,-1.2942152189779994,0.06332987520000002,0.59133445085,7.738000000000004,6.692999999999995,2.038407331337999,0.3976778538579997,2.014175488184999,-0.19255063240100007,0.4083333333339997,-2.1590724447200005,-0.5239367618769998,-0.11047154485000003,3.924578436852,2.9732049282349986,0.15734440965799998,1.8602102764290016,-1.0653067243299998,3.439084685448,163.68,12.910010993907006,0.39141926815300027,6.95,0.7573920999769999,0.0012431570190000005,0.8803541099929997,0.0013708110740000001,0.5127777777829996,-5.2332845486974495,-3.855508838513361,-3.2628803803417328,0.2859259259229999,-1.1357120674119998,-0.016972788402000002,1.6158267653690006,0.3878259812029998,1.7483011663530001,-0.411773638331,5.714035738377287,2.3211765034620004,0.26350518069999995,0.4598985916419757,-0.6327676501819998,-0.3733220298230001,-0.4966222572459998,0.329699019065,11.1,1.501924655568,0.4535285282910001,2.1850716765870013,-0.4493022954930002,2.6369330310240002,0.4021854498549999,1.7417362730320003,-1.2805402262900003,0.4516362442409998,0.043401626700000015,0.000316308873,7.067483199326,0.5963336752739999,0.1834914306850001,2.972413019153,0.2606341835950001,1.4820676022450001,-0.6498785176300003,308.935,6.5820000000000025,6.292999999999998,288.51166666667,2.4872563391009987,0.3247477995989999,0.4082550209983362,-0.6895593719619998,264.6033333333401,288.20999999999907,2.593288416421,0.28925523363000005,0.4428775781691104,30.05916666667702,-0.004980241431999957,0.010551943809999995,2.4537908798920007,0.3085357323429999,1.8529644391660005,-1.0825929246689996,-0.097742774705,1.869580424151,0.3108277786520001,1.7004151124250009,-0.30897492990199993,2001.3071039283448,2.35,8.38,3506.1927272727303,-0.23301509704400006,-2.9250757911057503,0.5637091641500004,0.383249300626
08c9d27c-e51e-46e7-82f8-c3287d96b48a,2.2965829291000004,-0.538457604139,0.05931297614900001,1.929495759895,1.7291111111109998,21.07412790754799,9.291376259988,17.742352798069,6.4348510461050035,-0.5139979385500001,-0.9945364633060004,3.2582145302590013,0.3362473879400001,1.7709865661569986,-0.8478918045959998,-8.593548329149849,-6.540082375885805,-4.113504715952353,3.4103769343540002,0.268084990642,1.4019447137970005,0.6483333333289998,0.228333333332,8.351666666651994,0.011916666674000013,0.4,-0.0016583333380000007,-0.5912500000040002,10.463354743083,0.029275483925999993,0.33,-0.0012057080170000017,-0.7947688118729995,0.090503127056,0.4525742187829999,7.565000000000005,6.31,1.4441677033509996,0.38185836699999975,1.905856480189999,-0.3065839665440002,0.35666666666900004,-1.976968927062,-0.5630089673439997,-0.15605792406899993,3.2929790735630013,2.6122484343930013,0.1596914914579999,1.7861746172490016,-1.087701344254,3.3067817593200015,128.2,4.282629240292002,0.2954643444590003,4.94,0.7170889443109999,0.0012517832330000006,0.8296044316259996,0.0013790244920000002,0.5408333333389995,-4.968138890966953,-3.679543948651977,-3.4850539906561835,0.251851851854,-1.120299389315,-0.03354497239599995,1.2958145239629997,0.3730580890259996,1.665573361344,-0.3900622501480002,5.737277650202231,2.2546281671099995,0.27067757214199994,0.4428199138131052,-0.6406932015259998,-0.3210390981410001,-1.1861023112940003,0.37610097415299976,0.0,1.302869241269,0.4426701696430001,2.049951242493,-0.45022748234500015,2.428539413681,0.3989482225689999,1.6792902873150002,-1.1275736073420004,0.4342451906139996,0.04067247126900002,-0.00010065167299999996,7.0017101032239975,0.5451730944040001,0.1565522339760001,2.7195597752049987,0.2647662712900001,1.3701814516929998,-0.6269599610350004,316.87,6.142,5.6560000000000015,297.16833333333705,2.224279042554001,0.319830626087,0.36647635986550137,-0.6089391882680002,274.50833333334214,303.558333333334,2.4236217357320005,0.2805320570570002,0.41363119340972937,36.69916666667603,0.002263105664000012,0.026368236455000003,2.1198410821100007,0.30222781223499984,1.7752538722449989,-1.0661407062019992,-0.10020039372900008,1.6820232857349988,0.25424142255500004,1.6527751002579998,-0.30546330355599993,1982.12359234607,3.43,8.03,3531.0577651515196,-0.19479293930700006,-2.8689476542029886,0.46498816033699997,0.3737964396980001
s061,1.9710056693,-0.4746413717,0.0171516573,2.7098701545,2.4,24.283769232484,8.631573941863,19.429063010051998,6.250469149538,-0.5214208792630002,-0.982879453032,3.4316235732089995,0.3393028354210002,1.782472530354999,-0.8386041217059998,-8.678351472503568,-6.2801610087994515,-4.1282545125278185,3.4951865661220007,0.2719844005529999,1.4409369250330002,0.6999999999899998,0.22000000000500006,7.394583333325998,0.028041666670000014,0.9,-0.002189999999,-1.2445833333299998,8.963876811595,0.032472394432,0.86,-0.0019057673870000024,-1.319154327939999,0.07390545197299997,0.4826690258860002,7.803000000000001,6.7159999999999975,1.8464589815,0.4119498168,2.2664151936000003,-0.1789935112,0.4408333333349999,-1.9694923336,-0.3042585566,-0.23315151239999998,3.5345441135000004,2.6330835788,0.1881039569,1.742754453,-1.071946612107,3.3650048525519987,140.39,9.481455682488,0.3961260800660002,6.4,0.7277296352359999,0.0012008565110000005,0.895176212305,0.001352421813,0.5602777777809996,-5.188406409825687,-3.4914981901178,-3.4356514722204063,0.26296296296,-1.6656935268000002,-0.034382413431999964,0.9854315464,0.3964572549,1.3942534887,-0.4920285104,5.767015600724659,2.355376287222999,0.286993610515,0.42950056779968776,-0.604291447879,-0.3339382713260002,-0.04417016836500004,0.3853894657679998,12.0,1.411718640474,0.4558371543030001,2.159848186209,-0.4384276016220002,2.4359976291539995,0.4156937021999998,1.7563055571589998,-1.1863946185730003,0.4420254419009999,0.03915902656500001,-0.00019445424899999995,6.433656819050999,0.559047717248,0.16819787886500007,2.5981556650999997,0.29022244199999997,1.2162459581,-0.7954544651000001,315.18,5.961999999999998,5.856,304.428333333338,2.4628688807990007,0.321839702702,0.4101348862347841,-0.6502370481390003,283.2725000000051,305.143333333332,2.6823333176160014,0.29111356681300005,0.4219753825447827,28.145000000005002,-0.08912743423799997,0.03475943313,2.422066303741999,0.326497271197,1.8395423548339995,-1.081316012222,-0.09151161146000003,1.784920485798,0.265702366141,1.7024830214340003,-0.305413615268,2089.43817384176,-8.0,7.0,5085.0,-0.2351168988470001,-2.7824920542236398,0.4751214418650003,0.37087417789200017
s130,1.9081209506,-0.5104328604999999,0.0365528913,2.5945101876,1.9,32.542296834601004,10.524721947232004,24.736892164142013,7.6890840174319965,-0.5842855774,-0.8997298243,3.8824599599,0.3376579507,1.9980711869,-1.4041804008,-8.280707049670951,-5.71541912865335,-4.446981908240684,4.100935916,0.2564180881,1.5906372387999999,0.8333333333,0.1666666667,4.1666666667,0.025,2.0,-0.0046666667000000005,-2.25,12.375,-0.0372,1.0,-0.003624,-1.7819999999999998,0.16794206591100005,0.7139289535979999,5.0,4.3,1.7226981361000002,0.4802860338,3.2183043992,-0.15839397060000002,0.7222222222,-3.4434779737,1.3579126091,0.0,5.320134937200001,6.027600690599999,0.19878060260000002,2.2273318639,-0.8893284576999999,4.1867508355,196.0,10.925098710999999,0.2565783653,8.0,0.6022460938,0.0004141259,1.0,0.0015774063,0.6666666667000001,-6.449609932071973,-6.449609932071973,-6.449609932071973,0.6666666667000001,-0.6947018684,-0.25602954489999996,1.9677960916,0.3981366664,1.942226774927,-0.6128580093,5.729784715919889,2.6830448647000003,0.197517411,1.0659161777084696,-0.4377894368,-0.2666748901,4.5937759497,0.46144958090000004,15.0,1.5838410098,0.5554272724,2.0699761151,-0.6376379529,3.3297517063,0.4335386248,2.4306029846,-1.4147685758,0.5514705882000001,0.11084250890000001,-0.0053249809999999995,6.509715984,0.4190288270000001,0.2581343747,4.4401763925,0.26043724420000003,1.4792618434,-0.559922421,305.5,6.0,5.3,363.8333333333,3.7561392595,0.3671240958,0.8085183708541773,-1.2399742284,304.5,296.3333333333,4.0220338586,0.31925719750000003,0.7191976123598579,-8.1666666667,0.2670191782,0.2554222805,2.9102816206999997,0.32315388829999997,1.9567543207,-0.9282797875,-0.1063577647,2.65177908,0.33731652640000004,2.1122079134000002,-0.3817320149,2866.7958333333004,-8.0,7.0,6982.5454545455,0.8965235323999999,-2.489743705133113,0.8066187305,0.409298362
s172,2.258604161322,-0.5166410747569998,0.092967038826,2.19468198314,2.3061111111110004,29.93568335124501,10.329107522567996,22.640528133842007,7.037706815805999,-0.6576935351000001,-1.0143647576,3.9772605877999996,0.34604914950000004,1.7537403444000002,-2.0005000447,-8.767068964187992,-6.569453445910949,-3.839293632033737,3.5218412514999997,0.24199447510000002,1.4999788847,0.6383333333259997,0.193333333337,7.431666666669001,0.050166666673,1.63,-0.003475000001,-2.0958333333280006,9.604057971017005,0.06590337150299998,1.33,-0.003405957235,-1.797639348908001,0.1880678065,0.6523494082,7.825999999999999,7.1249999999999964,2.870205108,0.3155995646,2.0215149277,-0.32073689850000003,0.3672222222229999,-1.872969374,1.6226495574000002,0.3298219498,4.6604910377,3.1172452942,0.2317287839,1.5560439472,-0.9437793146,3.5708010963,131.0,10.925098710999999,0.2565783653,8.0,0.7432179236390001,0.0012318959760000002,0.9231703044139996,0.0014762396350000006,0.6944444444,-4.996066495422483,-4.360159340576237,-3.3813295686059552,0.30333333332999995,-0.9622892616710004,-0.048402059461999984,1.7613206487080006,0.38515217729,1.9617344486890016,-0.4115464428119997,5.698760883392758,2.8705292446249984,0.287506512295,0.39169749969615497,-0.8931876016110004,-0.3885869631450001,0.5679254504970005,0.4586763896410001,11.25,1.5617969933100002,0.477575167412,2.0868851082299997,-0.4278687688570001,2.9828517347449988,0.4009429751589998,1.773007781629,-1.608733407594999,0.4491763237329999,0.041256037697000016,0.000102508662,6.634744641064994,0.5329318519159999,0.20681406575,1.8813754480000002,0.18348792579999998,1.4597500425,-0.7622396439,305.9,6.2,6.4,275.20833333334014,2.721215432496,0.32202264876200004,0.3960077901054425,-0.8810492183340003,257.11916666666696,275.438333333336,2.73621436605,0.3033468108450001,0.4085289679672179,11.549166666672,-0.148161319674,0.04556021088599998,2.689277927145002,0.3324017372329999,1.887889291128,-1.088797768009,-0.0032840520000000004,2.9255060483,0.3215425092,1.2434925189,-0.2216656518,1745.4027777777999,2.0,10.0,1900.0833333332998,-0.484851425,-2.2685509476842607,0.8684241622000001,0.2504469146
s192,3.3781018022000002,-0.63347708,0.2237773784,1.6007527235,2.7,30.61512263110801,9.028296938553002,23.03575866100201,6.9648256303260005,-0.5996039377,-1.0700055284,3.0825045907999997,0.33468544910000003,1.3120470266,-1.9819539466,-9.25995507598518,-7.780528293065151,-7.040728770119783,2.7441022649,0.2581563767329999,1.9076782611,1.0,0.0,6.708333333300001,0.1625,3.0,-0.0051666667,-3.125,9.792248023706996,0.07904901649000001,1.57,-0.0046895490859999965,-1.88576065536,0.1513643633,0.8605018272,7.6560000000000015,7.394,2.17125406103,0.4067314903439999,1.9945137373149997,-0.36627369106299995,0.3888888889,-2.8206255256289983,-0.5092317800370002,-0.008691922036000005,4.314894924386003,3.4865274488190003,0.10508160322499993,2.1494209287940014,-1.118080965932,3.507925190718998,193.57,2.3916188301,0.3492235958,5.0,0.7490732932010001,0.001188063539,0.9471028504349998,0.001446555737,0.7222222222,-6.640521821469729,-5.9129917203969535,-5.7469909435515305,0.6040740740689996,-1.1213379293,-0.1965066579,1.8967901805,0.3311816166,1.7545027326,-0.4213064458,5.6433288386263305,3.0266732272570014,0.2856254085390001,0.3917470367901719,-1.0718740352549998,-0.4011707290319999,1.4731006408829999,0.4534081324649999,13.26,1.7159616020839987,0.4786738647320001,2.108125490762,-0.44772867251300014,2.8239351887289983,0.39381988466999984,1.6793676443320007,-1.4480501277549993,0.461622369337,0.05885246958099999,0.0004611414510000001,7.293419542611997,0.564707256328,0.196648501933,3.6002672721,0.25728852080000003,1.1195009298,-0.5803462126,288.28,7.4,6.7,270.826666666664,2.7843749164250005,0.3120661435989999,0.3147450596192901,-0.7375836580360002,263.960833333335,268.79833333333505,2.8737882611009997,0.2990315003200001,0.3892923173004459,12.321666666664994,0.02026088701,0.10589765987000004,2.1215375881,0.2656396301,1.4872512222,-1.1542085538,-0.08824741026499999,2.095118660373,0.28293922944299993,1.6694392170949994,-0.3179029352470001,1826.825,5.0,10.0,4033.75,-0.04410759576999999,-2.6615276865845523,0.6789795168359999,0.338216911061
s234,2.249502809629001,-0.5212589854199998,0.08422268613900004,2.2168453839790003,2.273111111110999,24.98673730644799,8.822987730885004,20.347169090236,6.977596864703,-0.532398434824,-0.988885131064,3.590906278148001,0.33148411512700016,1.939047186163,-1.1658726197830005,-8.924449759290301,-6.5842823018872085,-4.147219687490159,3.58631684393,0.26419158186899994,1.4518278303999999,0.7083333333239997,0.171666666667,7.739999999996997,0.05454166666800002,1.88,-0.004378333341,-1.4649999999980003,9.126666666665999,0.06459444733000001,1.49,-0.0032585638910000003,-1.5141849994999992,0.04273408701199998,0.6615779747869999,7.874000000000006,7.1199999999999966,2.3448549355829997,0.40002477622499977,2.0132685893689986,-0.192692596768,0.4599999999999998,-2.453894307916999,-0.4899387597680001,-0.03052938932800002,4.262762284391003,3.086908185847998,0.14530033474599996,1.9406926167520009,-1.053243026937,3.513792456012,197.05,12.112998329004006,0.38667542158400026,6.43,0.7452902991759999,0.001199446999,0.9272370461189996,0.0013611884179999994,0.5347222222279998,-5.23465606759971,-3.9913106652112753,-3.517916308449884,0.327777777777,-1.1014930959889997,-0.027092560190999992,1.6969421269840006,0.3905244004839998,1.76932164973,-0.4292445213079999,5.746358364705977,1.5569526982,0.1997138405,0.4585477040571441,-0.4975786531000001,-0.8148538295000001,0.3142511504389999,0.17434010449999998,12.16,1.546375372806,0.4584685627200002,2.115441522278,-0.4638325523770002,2.775308859694,0.398354427017,1.7452881488589995,-1.3092283786049999,0.4611172554519999,0.04629266928200002,-5.488635199999998e-05,7.22281981094,0.5804070918060001,0.19464707953900012,3.0937457707330003,0.26196848718200016,1.5016864239269991,-0.6133903727850002,302.815,7.7,7.2,290.275000000001,2.641821355815,0.3258107627189999,0.4353789427851457,-0.6853151994849997,251.860833333338,283.569999999999,2.6717285334440004,0.2952646757600001,0.4763724271483224,24.415000000006,0.0902585244,0.07276403972600001,2.5262323965849998,0.31196425362600005,1.8335138830620008,-1.0956450864479998,-0.09909608393600004,1.8785808392489995,0.300826802047,1.7236112971350008,-0.309432038693,1934.019755385555,2.39,8.51,3665.7527272727284,-0.18324647171100006,-2.7857918454022657,0.5655130041440003,0.3963439995590001
s251,1.9153994074,-0.4914808066,0.3031594121,1.4678341724000001,1.35,26.3636363636,7.8954203395,21.6666666667,6.2042528658,-0.5556833945,-0.9606647765,3.2174255592,0.39338085479999996,1.5715240425,-0.6899222134999999,-10.694128495181904,-5.909661838376107,-1.9073742028013791,3.3217303827999998,0.32021574550000004,1.2392187479,0.8333333333,0.0,4.5,7.285838599000001e-17,2.0,-2.1033522150000003e-17,-1.5,3.1666666667000003,0.044181213600000005,1.0,-0.0008528677999999999,-0.27514546970000003,-0.0470699433,0.4117202268,7.8,7.8,3.1579557745,0.6236587272999999,2.2178576103,-0.4544888577,0.1388888889,-1.5453715306,-0.5603839081,0.4847229195,4.3506890982,2.4850275559,0.2860873418,1.5546219606,-1.1195720593,3.7262636324,157.0,59.8991114415,0.8568707964000001,6.0,0.6792004107999999,0.0010228949,1.0,0.0021486854999999997,0.6944444444,-2.7483841522350163,-2.7483841522350163,-2.7483841522350163,0.22222222219999999,-1.2456093542,-0.1915131927,2.2483459356999997,0.453489055,2.0182660109,-0.4783813067,5.751513877477497,2.7069059041,0.3573121993,0.3731458294263575,-1.3405882358,-0.4316398503,0.5660375674,0.5444027915999999,10.0,1.8834331712999999,0.6651896756,1.8643227135,-0.4176643845,3.5729053493,0.5114917745,2.1328781317,-1.955144515,0.3965087282,0.06786964969999999,-0.0020688289000000003,7.125407812014995,0.5744258964,0.0937626645,2.5199764162,0.3329542413,1.4608153058000002,-0.5585034115999999,339.0,5.980999999999999,5.1,355.1666666667,3.0656476587,0.33935366100000003,0.637548948949556,-0.8701939422,304.8333333333,277.6666666667,2.8425385988,0.3689156889,0.4891459569131672,-27.1666666667,-0.0723911611,0.16447849949999999,3.1238026756,0.3645304218,2.6454737256,-0.9467348392,-0.0259026883,2.4650022838,0.4358240378,1.7116381350999998,-0.28556091149999996,2853.7583333333,5.0,6.0,3682.75,0.6334710296,-2.650404936178364,0.1349080446,0.1822075693
s358,3.4766259388,-0.8461144017000001,0.049538677,3.1023299855,2.6,19.434782608699997,8.6435792615,28.0,4.8218253805,-0.4491043634,-1.0285281961,4.1995473447,0.4163437996,1.8837676418,-0.5719906164999999,-8.315749794564713,-6.685695674926553,-3.9186857774796335,3.0882893198000003,0.2641679206,1.5068828125,0.5,0.33333333330000003,4.7083333333,0.0375,2.0,-0.0035,-1.0416666667,5.791666666699999,0.0379039497,2.0,-0.0070125673000000005,-2.3460502693,0.016048144400000002,0.7191574723999999,6.5,4.8,1.330487695,0.4122634829,1.5630400236000002,-0.2753817229,0.75,-0.1876492457,-0.2213987944,0.1932209246,4.933693088,2.8805441366,0.21283009379999998,2.9636243308999997,-0.8308046694000001,3.7967503866,110.0,59.8991114415,0.8568707964000001,6.0,0.7619184970999999,0.0012825116,1.0,0.0016162291,0.5277777778,-6.459815398943088,-4.625581180301964,-3.6646748864517766,0.4814814815,-1.1722400213,-0.0367900108,1.5999740853,0.33702321979999994,2.0926065171,-0.4595003565,5.619192406355703,2.4320150363999997,0.31075229800000004,0.1480249926283527,-0.9062267747,-0.26696585500000003,2.5307066547,0.4900558617,11.0,1.4901310455,0.4283289538,1.5692921103000002,-0.5331644479000001,2.9921712777,0.4101559661,1.6634448572,-1.8991350163,0.3980099502,0.0159606815,0.005898894799999999,6.546780595706997,0.6874046028,0.0222945617,2.1641566713,0.264462835,1.3141834506,-0.42327933520000005,345.5,6.0,5.4,286.6666666667,3.5053803824000003,0.2774581109,0.43831177215437206,-0.8661021206,250.6666666667,295.8333333333,2.9125416315,0.33906631020000005,0.30148388012893623,45.1666666667,-0.0047401862000000005,-0.058603347699999996,2.8663839495000003,0.34308633299999997,2.1800699984,-1.1135841873,-0.1078849417,1.5730689560000002,0.28554542990000004,1.7322344991999998,-0.3440115076,2728.1583333332997,-6.0,10.0,5790.083333333299,0.1062155898,-2.4613291721837567,0.8959030026000001,0.4431999285
s373,2.5689998036,-0.6183349461000001,0.0342413541,3.1363900829,2.45,21.428571428599998,14.3046963835,13.3913043478,8.5106304138,-1.0494009718000001,-0.8894088115000001,4.0339704927,0.30406567360000003,2.6415993682,-0.7357460747,-8.315142763539741,-6.522347518237996,-4.3034949282734845,3.6169033569,0.271029957608,1.5824780143000001,0.33333333330000003,0.6666666667000001,6.617083333342005,0.04220833333300002,1.83,-0.003535000000999999,-1.5474999999990002,4.5,0.0029262345,1.0,-0.0032599065,-1.8100995733,-0.21026201519999999,1.1042743627,9.7,9.1,2.1023302730129987,0.45212468512500004,2.0757870101650004,-0.25907229607500004,0.4249999999969997,-2.556614067286,-0.3250683205150002,0.031269145640999994,4.412001936177004,3.2560312558200013,0.14561419668199993,2.042206628424002,-1.0273922595159997,3.544365214481999,228.0,9.043780995399999,0.7676050061,8.0,0.7393450188649997,0.0012373403189999998,0.8903025253969998,0.0013230765639999998,0.5699999999979998,-5.270776172962568,-1.8444397271102144,-3.6654323399471287,0.037037037,-1.0662046340239997,-0.026677842719999997,1.734611017381,0.39759456262599996,1.8397773323540003,-0.440464502292,5.729597847509942,2.8396276801140017,0.28674808567300003,0.43988354657251416,-0.9234395467370008,-0.3640937314779999,1.3420670190829995,0.4467731290829999,8.0,1.5996513991599988,0.4800387120330001,2.239175685308,-0.4567270064710002,2.6818181759999997,0.43021548509999996,2.0037947434,-1.223710633,0.472465516356,0.05244452465500002,-0.00028936929999999987,7.408870404949997,0.5798074910529999,0.200147955668,2.9825087241509998,0.2700451913220001,1.5511971004600007,-0.5814320741450001,316.915,6.131000000000001,6.084,280.6700000000021,2.64537186259,0.325052229139,0.4979319786840976,-0.6978845416280001,271.163333333333,286.2900000000041,2.9167117389230004,0.3059348853350001,0.5383322968297699,27.876666666672012,-0.049346752721,0.11775708226099996,3.0892654377,0.411277891,2.1214403444,-1.105243736,-0.10018928056000004,1.955459172018,0.31073110889999994,1.887091728804,-0.30762148658599997,2084.957561059178,2.48,8.44,3828.2475000000018,-0.7399755666000001,-2.4489029309512107,0.8722340719,0.4027759495
