,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_drift_load,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,bickel_titrator.hyp_discount_rate_small.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,kirby.percent_patient,local_global_letter.conflict_hddm_drift,local_global_letter.global_bias_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT.logTr,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh.logTr,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stim_selective_stop_signal.reactive_control_hddm_drift,stop_signal.SSRT_high,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh.logTr,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free.logTr,writing_task.neutral_probability,writing_task.positive_probability
06acef2f-9e16-4a16-ac87-9e032feaa6dd,2.2665905205740002,-0.5210238604140001,0.05546207722599998,2.217554735654,2.059722222222,22.269174668126993,8.827032897511005,18.815271485822006,6.505470343249002,-0.5204899503870002,-0.9874936548249998,3.528516510768,0.3296207807820001,1.8624903063849991,-1.1032197975290001,-8.882992191817287,-6.587432679973592,-3.9556411381136085,3.4816516049230004,0.2635496403609999,1.4375523769539997,0.6666666666569995,0.17666666666700004,6.499583333324999,0.02708333333300001,1.27,-0.0021933333400000004,-1.2174999999960006,8.492101449277001,0.04178128335300003,0.89,-0.0020829680900000002,-1.2942152189779994,0.06332987520000002,0.59133445085,7.738000000000004,6.692999999999995,2.038407331337999,0.3976778538579997,2.014175488184999,-0.19255063240100007,0.4083333333339997,-2.1590724447200005,-0.5239367618769998,-0.11047154485000003,3.9245784368519994,2.9732049282349986,0.15734440965799998,1.8602102764290016,-1.0653067243299998,3.439084685448,163.68,12.910010993907003,0.39141926815300027,6.95,0.7573920999769999,0.0012431570190000003,0.8803541099929997,0.001370811074,0.5127777777829996,-5.2332845486974495,-3.8555088385133613,-3.2628803803417328,0.2859259259229999,-1.1357120674119998,-0.016972788402000005,1.6158267653690006,0.3878259812029998,1.748301166353,-0.411773638331,5.714035738377287,2.3211765034620004,0.26350518069999995,0.45989859164197566,-0.6327676501819998,-0.3733220298230001,-0.49662225724599984,0.329699019065,11.1,1.5019246555680001,0.4535285282910001,2.185071676587001,-0.4493022954930002,2.636933031024,0.40218544985499993,1.7417362730320005,-1.2805402262900003,0.4516362442409998,0.04340162670000001,0.000316308873,7.067483199326,0.5963336752739999,0.1834914306850001,2.9724130191529996,0.2606341835950001,1.482067602245,-0.6498785176300003,308.935,6.582000000000002,6.292999999999999,288.51166666667,2.487256339100999,0.3247477995989999,0.4082550209983362,-0.6895593719619998,264.60333333334006,2.5932884164209997,0.28925523363000005,0.4428775781691104,2.4537908798920007,0.3085357323429999,1.8529644391660005,-1.0825929246689996,-0.09774277470500001,1.8695804241510001,0.31082777865200006,1.7004151124250007,-0.30897492990199993,2001.3071039283448,2.35,8.38,3506.19272727273,-0.23301509704400003,-2.9250757911057503,0.5637091641500004,0.38324930062600004
08c9d27c-e51e-46e7-82f8-c3287d96b48a,2.2965829291000004,-0.538457604139,0.05931297614900001,1.9294957598949996,1.729111111111,21.07412790754799,9.291376259987999,17.742352798069,6.434851046105003,-0.5139979385500001,-0.9945364633060003,3.258214530259001,0.3362473879400001,1.7709865661569986,-0.8478918045959998,-8.59354832914985,-6.540082375885805,-4.113504715952353,3.410376934354,0.268084990642,1.4019447137970005,0.6483333333289998,0.22833333333199998,8.351666666651994,0.011916666674000013,0.4,-0.0016583333380000007,-0.5912500000040002,10.463354743083,0.029275483925999993,0.33,-0.0012057080170000017,-0.7947688118729995,0.09050312705599999,0.4525742187829999,7.565000000000005,6.31,1.4441677033509996,0.38185836699999975,1.905856480189999,-0.3065839665440002,0.35666666666900004,-1.9769689270620001,-0.5630089673439997,-0.15605792406899993,3.2929790735630013,2.6122484343930013,0.1596914914579999,1.7861746172490016,-1.087701344254,3.306781759320001,128.2,4.282629240292002,0.2954643444590003,4.94,0.7170889443109999,0.0012517832330000004,0.8296044316259996,0.0013790244920000002,0.5408333333389995,-4.968138890966953,-3.679543948651977,-3.485053990656184,0.251851851854,-1.120299389315,-0.03354497239599995,1.2958145239629995,0.37305808902599963,1.665573361344,-0.3900622501480002,5.7372776502022305,2.2546281671099995,0.27067757214199994,0.4428199138131052,-0.6406932015259998,-0.3210390981410001,-1.1861023112940003,0.37610097415299976,0.0,1.302869241269,0.4426701696430001,2.049951242493,-0.45022748234500015,2.428539413681,0.3989482225689999,1.6792902873150002,-1.1275736073420004,0.43424519061399963,0.04067247126900002,-0.00010065167299999996,7.001710103223998,0.5451730944040001,0.1565522339760001,2.719559775204999,0.2647662712900001,1.3701814516929998,-0.6269599610350004,316.87,6.142,5.656000000000001,297.16833333333705,2.224279042554001,0.31983062608699997,0.36647635986550137,-0.6089391882680002,274.50833333334214,2.4236217357320005,0.2805320570570002,0.41363119340972937,2.119841082110001,0.30222781223499984,1.7752538722449989,-1.0661407062019992,-0.10020039372900007,1.682023285734999,0.25424142255500004,1.6527751002579998,-0.30546330355599993,1982.12359234607,3.43,8.03,3531.0577651515196,-0.19479293930700003,-2.868947654202989,0.464988160337,0.3737964396980001
s061,1.9710056693,-0.47464137170000004,0.0171516573,2.7098701545,2.4,24.283769232483998,8.631573941863,19.429063010051994,6.250469149538,-0.5214208792630002,-0.9828794530319999,3.4316235732089995,0.3393028354210002,1.782472530354999,-0.8386041217059998,-8.678351472503568,-6.280161008799452,-4.1282545125278185,3.4951865661220007,0.2719844005529999,1.440936925033,0.6999999999899998,0.22000000000500003,7.394583333325998,0.028041666670000014,0.9,-0.002189999999,-1.24458333333,8.963876811595,0.032472394432,0.86,-0.0019057673870000022,-1.3191543279399993,0.07390545197299998,0.4826690258860002,7.803000000000001,6.715999999999997,1.8464589815,0.41194981680000003,2.2664151936,-0.1789935112,0.44083333333499986,-1.9694923336,-0.3042585566,-0.2331515124,3.5345441135,2.6330835788,0.1881039569,1.742754453,-1.071946612107,3.365004852551999,140.39,9.481455682488,0.3961260800660002,6.4,0.7277296352359999,0.0012008565110000003,0.895176212305,0.001352421813,0.5602777777809996,-5.188406409825686,-3.4914981901177997,-3.435651472220406,0.26296296296,-1.6656935268000002,-0.034382413431999964,0.9854315464000001,0.3964572549,1.3942534887,-0.4920285104,5.767015600724659,2.355376287222999,0.286993610515,0.42950056779968776,-0.604291447879,-0.3339382713260002,-0.04417016836500004,0.3853894657679998,12.0,1.4117186404739999,0.4558371543030001,2.159848186209,-0.4384276016220002,2.4359976291539995,0.4156937021999998,1.7563055571589998,-1.1863946185730005,0.4420254419009999,0.03915902656500001,-0.00019445424899999995,6.433656819050999,0.559047717248,0.16819787886500007,2.5981556651,0.290222442,1.2162459581,-0.7954544651000001,315.18,5.961999999999998,5.856,304.428333333338,2.4628688807990007,0.321839702702,0.4101348862347841,-0.6502370481390003,283.27250000000504,2.6823333176160014,0.29111356681300005,0.4219753825447827,2.422066303741999,0.326497271197,1.8395423548339993,-1.081316012222,-0.09151161146000002,1.7849204857980001,0.265702366141,1.7024830214340005,-0.305413615268,2089.4381738417596,-8.0,7.0,5085.0,-0.23511689884700007,-2.78249205422364,0.4751214418650003,0.37087417789200017
s130,1.9081209506,-0.5104328605,0.0365528913,2.5945101876,1.9,32.542296834601004,10.524721947232003,24.73689216414201,7.6890840174319965,-0.5842855774,-0.8997298243,3.8824599599000003,0.3376579507,1.9980711869,-1.4041804008,-8.280707049670951,-5.71541912865335,-4.446981908240684,4.100935916,0.2564180881,1.5906372388,0.8333333333,0.1666666667,4.1666666667,0.025,2.0,-0.0046666667000000005,-2.25,12.375,-0.037200000000000004,1.0,-0.003624,-1.782,0.16794206591100003,0.7139289535979999,5.0,4.3,1.7226981361,0.4802860338,3.2183043992,-0.15839397060000002,0.7222222222,-3.4434779737,1.3579126091,0.0,5.3201349372,6.0276006906,0.1987806026,2.2273318639,-0.8893284577,4.1867508355,196.0,10.925098711,0.2565783653,8.0,0.6022460938,0.00041412590000000003,1.0,0.0015774063,0.6666666667000001,-6.449609932071972,-6.449609932071972,-6.449609932071972,0.6666666667000001,-0.6947018684,-0.2560295449,1.9677960916,0.3981366664,1.9422267749269997,-0.6128580093,5.72978471591989,2.6830448647000003,0.197517411,1.0659161777084696,-0.43778943680000004,-0.2666748901,4.5937759497,0.4614495809,15.0,1.5838410098,0.5554272724,2.0699761151,-0.6376379529,3.3297517063,0.4335386248,2.4306029846,-1.4147685758000001,0.5514705882000001,0.1108425089,-0.005324981,6.509715984,0.41902882700000005,0.2581343747,4.4401763925,0.26043724420000003,1.4792618434,-0.559922421,305.5,6.0,5.3,363.8333333333,3.7561392595000003,0.3671240958,0.8085183708541773,-1.2399742284,304.5,4.0220338586,0.31925719750000003,0.7191976123598579,2.9102816207,0.3231538883,1.9567543207,-0.9282797875000001,-0.10635776470000001,2.65177908,0.33731652640000004,2.1122079134,-0.3817320149,2866.7958333333,-8.0,7.0,6982.5454545455,0.8965235324,-2.4897437051331135,0.8066187305,0.409298362
s172,2.2586041613219994,-0.5166410747569998,0.09296703882599999,2.1946819831399997,2.3061111111110004,29.935683351245014,10.329107522567996,22.640528133842004,7.037706815805999,-0.6576935351000001,-1.0143647576,3.9772605878,0.3460491495,1.7537403444000002,-2.0005000447,-8.767068964187992,-6.569453445910949,-3.8392936320337365,3.5218412515,0.2419944751,1.4999788847,0.6383333333259997,0.193333333337,7.431666666669,0.050166666673,1.63,-0.0034750000010000002,-2.0958333333280006,9.604057971017003,0.06590337150299998,1.33,-0.003405957235,-1.797639348908001,0.18806780650000002,0.6523494082,7.825999999999999,7.1249999999999964,2.870205108,0.3155995646,2.0215149277,-0.32073689850000003,0.3672222222229999,-1.8729693740000002,1.6226495574,0.3298219498,4.6604910377,3.1172452942,0.2317287839,1.5560439472,-0.9437793146000001,3.5708010963,131.0,10.925098711,0.2565783653,8.0,0.743217923639,0.0012318959760000002,0.9231703044139996,0.0014762396350000003,0.6944444444,-4.996066495422483,-4.360159340576237,-3.3813295686059552,0.30333333332999995,-0.9622892616710004,-0.04840205946199999,1.7613206487080006,0.38515217728999995,1.9617344486890016,-0.4115464428119997,5.698760883392757,2.8705292446249984,0.28750651229499996,0.39169749969615497,-0.8931876016110004,-0.3885869631450001,0.5679254504970005,0.45867638964100005,11.25,1.5617969933100002,0.477575167412,2.08688510823,-0.4278687688570001,2.982851734744999,0.4009429751589998,1.773007781629,-1.608733407594999,0.44917632373299987,0.04125603769700001,0.00010250866200000001,6.634744641064994,0.5329318519159999,0.20681406575,1.881375448,0.1834879258,1.4597500425,-0.7622396439,305.9,6.2,6.4,275.2083333333401,2.721215432496,0.322022648762,0.39600779010544246,-0.8810492183340003,257.119166666667,2.73621436605,0.30334681084500015,0.40852896796721794,2.689277927145002,0.33240173723299987,1.8878892911279999,-1.088797768009,-0.0032840520000000004,2.9255060483,0.3215425092,1.2434925189000001,-0.2216656518,1745.4027777778,2.0,10.0,1900.0833333333,-0.484851425,-2.2685509476842607,0.8684241622000001,0.2504469146
s192,3.3781018022,-0.63347708,0.2237773784,1.6007527234999999,2.7,30.61512263110801,9.028296938553002,23.035758661002014,6.964825630326001,-0.5996039377,-1.0700055284,3.0825045908,0.33468544910000003,1.3120470266,-1.9819539466,-9.259955075985179,-7.780528293065151,-7.040728770119783,2.7441022649,0.2581563767329999,1.9076782611,1.0,0.0,6.7083333333,0.1625,3.0,-0.0051666667,-3.125,9.792248023706996,0.07904901649000001,1.57,-0.004689549085999997,-1.8857606553600001,0.1513643633,0.8605018272,7.6560000000000015,7.394,2.17125406103,0.4067314903439999,1.9945137373149995,-0.366273691063,0.3888888889,-2.820625525628999,-0.5092317800370002,-0.008691922036000005,4.314894924386003,3.486527448819,0.10508160322499992,2.1494209287940014,-1.1180809659320001,3.507925190718998,193.57,2.3916188301,0.3492235958,5.0,0.7490732932010001,0.001188063539,0.9471028504349998,0.0014465557369999999,0.7222222222,-6.640521821469729,-5.9129917203969535,-5.74699094355153,0.6040740740689996,-1.1213379293,-0.19650665790000002,1.8967901805,0.3311816166,1.7545027326,-0.42130644580000004,5.6433288386263305,3.026673227257001,0.2856254085390001,0.3917470367901719,-1.0718740352549998,-0.4011707290319999,1.473100640883,0.4534081324649999,13.26,1.7159616020839987,0.4786738647320001,2.108125490762,-0.44772867251300014,2.8239351887289983,0.39381988466999984,1.6793676443320007,-1.4480501277549993,0.46162236933699996,0.05885246958099999,0.00046114145100000013,7.293419542611997,0.564707256328,0.19664850193300001,3.6002672721,0.25728852080000003,1.1195009298,-0.5803462126,288.28,7.4,6.7,270.826666666664,2.7843749164250005,0.3120661435989999,0.3147450596192901,-0.7375836580360002,263.960833333335,2.873788261101,0.2990315003200001,0.3892923173004459,2.1215375881,0.2656396301,1.4872512222,-1.1542085538,-0.08824741026499999,2.095118660373,0.28293922944299993,1.6694392170949994,-0.31790293524700014,1826.825,5.0,10.0,4033.75,-0.04410759576999999,-2.6615276865845523,0.678979516836,0.338216911061
s234,2.249502809629001,-0.5212589854199998,0.08422268613900004,2.2168453839790003,2.273111111110999,24.98673730644799,8.822987730885004,20.347169090236,6.977596864703,-0.532398434824,-0.988885131064,3.5909062781480015,0.33148411512700016,1.9390471861629999,-1.1658726197830003,-8.9244497592903,-6.5842823018872085,-4.147219687490159,3.58631684393,0.26419158186899994,1.4518278304,0.7083333333239997,0.171666666667,7.739999999996997,0.05454166666800002,1.88,-0.004378333341,-1.4649999999980003,9.126666666666,0.06459444733000001,1.49,-0.0032585638910000003,-1.5141849994999992,0.04273408701199998,0.6615779747869999,7.874000000000006,7.119999999999996,2.3448549355829993,0.40002477622499977,2.0132685893689986,-0.19269259676800002,0.4599999999999998,-2.453894307916999,-0.4899387597680001,-0.03052938932800002,4.262762284391003,3.086908185847999,0.14530033474599996,1.9406926167520007,-1.0532430269370001,3.5137924560119997,197.05,12.112998329004004,0.38667542158400026,6.43,0.7452902991759999,0.001199446999,0.9272370461189997,0.0013611884179999994,0.5347222222279998,-5.23465606759971,-3.9913106652112753,-3.517916308449884,0.327777777777,-1.1014930959889997,-0.027092560190999992,1.6969421269840006,0.3905244004839998,1.76932164973,-0.4292445213079999,5.746358364705978,1.5569526982,0.19971384050000002,0.4585477040571441,-0.49757865310000005,-0.8148538295000001,0.31425115043899987,0.1743401045,12.16,1.5463753728060001,0.4584685627200002,2.115441522278,-0.4638325523770002,2.775308859694,0.39835442701699997,1.7452881488589997,-1.309228378605,0.4611172554519999,0.046292669282000015,-5.488635199999998e-05,7.22281981094,0.5804070918060001,0.19464707953900015,3.0937457707330003,0.26196848718200016,1.5016864239269991,-0.6133903727850002,302.815,7.7,7.2,290.275000000001,2.641821355815,0.3258107627189999,0.43537894278514566,-0.6853151994849997,251.860833333338,2.6717285334440004,0.2952646757600001,0.47637242714832234,2.526232396585,0.31196425362600005,1.8335138830620006,-1.0956450864479998,-0.09909608393600003,1.8785808392489995,0.300826802047,1.7236112971350008,-0.30943203869299996,1934.019755385555,2.39,8.51,3665.7527272727275,-0.18324647171100003,-2.7857918454022657,0.5655130041440003,0.3963439995590001
s251,1.9153994074,-0.49148080660000004,0.3031594121,1.4678341724,1.35,26.3636363636,7.8954203395,21.6666666667,6.2042528658,-0.5556833945,-0.9606647765,3.2174255592,0.3933808548,1.5715240425,-0.6899222135,-10.694128495181904,-5.909661838376108,-1.9073742028013791,3.3217303828,0.32021574550000004,1.2392187479,0.8333333333,0.0,4.5,7.285838599000001e-17,2.0,-2.1033522150000003e-17,-1.5,3.1666666667,0.044181213600000005,1.0,-0.0008528678,-0.27514546970000003,-0.0470699433,0.41172022680000003,7.8,7.8,3.1579557745,0.6236587273,2.2178576103,-0.4544888577,0.1388888889,-1.5453715306,-0.5603839081,0.4847229195,4.3506890982,2.4850275559,0.2860873418,1.5546219606,-1.1195720593,3.7262636324000002,157.0,59.8991114415,0.8568707964000001,6.0,0.6792004108,0.0010228949,1.0,0.0021486855,0.6944444444,-2.748384152235016,-2.748384152235016,-2.748384152235016,0.2222222222,-1.2456093542,-0.1915131927,2.2483459357,0.45348905500000003,2.0182660109,-0.4783813067,5.751513877477497,2.7069059041,0.3573121993,0.3731458294263575,-1.3405882358,-0.4316398503,0.5660375674,0.5444027916,10.0,1.8834331713,0.6651896756,1.8643227135,-0.41766438450000004,3.5729053493,0.5114917745,2.1328781317,-1.9551445150000002,0.3965087282,0.0678696497,-0.0020688289,7.125407812014994,0.5744258964,0.09376266450000001,2.5199764162,0.3329542413,1.4608153058,-0.5585034116,339.0,5.980999999999999,5.1,355.1666666667,3.0656476587,0.33935366100000003,0.637548948949556,-0.8701939422,304.8333333333,2.8425385988,0.36891568890000004,0.4891459569131672,3.1238026756,0.3645304218,2.6454737256,-0.9467348392,-0.0259026883,2.4650022838,0.4358240378,1.7116381351,-0.2855609115,2853.7583333333,5.0,6.0,3682.75,0.6334710296,-2.650404936178364,0.1349080446,0.1822075693
s358,3.4766259388,-0.8461144017000001,0.049538677,3.1023299855,2.6,19.4347826087,8.6435792615,28.0,4.8218253805,-0.44910436340000004,-1.0285281961,4.1995473447,0.4163437996,1.8837676418,-0.5719906165,-8.315749794564713,-6.685695674926552,-3.9186857774796344,3.0882893198,0.2641679206,1.5068828125,0.5,0.33333333330000003,4.7083333333,0.0375,2.0,-0.0035,-1.0416666667,5.7916666667,0.0379039497,2.0,-0.0070125673000000005,-2.3460502693,0.016048144400000002,0.7191574724,6.5,4.8,1.330487695,0.41226348290000003,1.5630400236000002,-0.2753817229,0.75,-0.1876492457,-0.22139879440000002,0.1932209246,4.933693088,2.8805441366,0.2128300938,2.9636243309,-0.8308046694000001,3.7967503866000003,110.0,59.8991114415,0.8568707964000001,6.0,0.7619184971,0.0012825116,1.0,0.0016162291,0.5277777778,-6.459815398943087,-4.625581180301964,-3.664674886451777,0.48148148150000003,-1.1722400213,-0.0367900108,1.5999740853,0.3370232198,2.0926065171,-0.45950035650000004,5.619192406355703,2.4320150364,0.31075229800000004,0.1480249926283527,-0.9062267747,-0.26696585500000003,2.5307066547,0.49005586170000004,11.0,1.4901310455,0.4283289538,1.5692921103000002,-0.5331644479000001,2.9921712777,0.4101559661,1.6634448572,-1.8991350163,0.3980099502,0.0159606815,0.0058988948,6.546780595706997,0.6874046028,0.0222945617,2.1641566713,0.264462835,1.3141834506,-0.4232793352,345.5,6.0,5.4,286.6666666667,3.5053803824000003,0.2774581109,0.438311772154372,-0.8661021206,250.6666666667,2.9125416315,0.3390663102,0.30148388012893623,2.8663839495000003,0.343086333,2.1800699984,-1.1135841873,-0.1078849417,1.5730689560000002,0.28554542990000004,1.7322344992,-0.3440115076,2728.1583333333,-6.0,10.0,5790.0833333333,0.10621558980000001,-2.4613291721837567,0.8959030026,0.4431999285
s373,2.5689998036,-0.6183349461000001,0.0342413541,3.1363900829,2.45,21.4285714286,14.3046963835,13.3913043478,8.5106304138,-1.0494009718,-0.8894088115000001,4.0339704927,0.30406567360000003,2.6415993682,-0.7357460747,-8.315142763539741,-6.522347518237996,-4.303494928273484,3.6169033569,0.271029957608,1.5824780143,0.33333333330000003,0.6666666667000001,6.617083333342005,0.04220833333300002,1.83,-0.0035350000009999995,-1.5474999999990002,4.5,0.0029262345,1.0,-0.0032599065,-1.8100995733,-0.2102620152,1.1042743627,9.7,9.1,2.1023302730129987,0.452124685125,2.0757870101650004,-0.25907229607500004,0.42499999999699967,-2.5566140672859996,-0.3250683205150002,0.031269145640999994,4.4120019361770035,3.256031255820001,0.14561419668199993,2.042206628424002,-1.0273922595159997,3.544365214481999,228.0,9.0437809954,0.7676050061,8.0,0.7393450188649997,0.0012373403189999998,0.8903025253969998,0.0013230765639999998,0.5699999999979998,-5.270776172962569,-1.8444397271102142,-3.665432339947129,0.037037037,-1.0662046340239997,-0.02667784272,1.7346110173809999,0.397594562626,1.8397773323540003,-0.44046450229199996,5.729597847509943,2.839627680114001,0.28674808567300003,0.43988354657251416,-0.9234395467370008,-0.3640937314779999,1.3420670190829997,0.44677312908299993,8.0,1.5996513991599988,0.4800387120330001,2.239175685308,-0.45672700647100023,2.681818176,0.4302154851,2.0037947434,-1.223710633,0.472465516356,0.05244452465500002,-0.0002893692999999999,7.408870404949998,0.5798074910529999,0.20014795566799998,2.9825087241509993,0.27004519132200006,1.5511971004600007,-0.5814320741450001,316.915,6.131000000000001,6.084,280.67000000000206,2.6453718625899993,0.325052229139,0.49793197868409755,-0.6978845416280001,271.163333333333,2.9167117389230004,0.30593488533500013,0.5383322968297699,3.0892654377,0.411277891,2.1214403444,-1.105243736,-0.10018928056000004,1.955459172018,0.31073110889999994,1.8870917288040001,-0.307621486586,2084.957561059178,2.48,8.44,3828.247500000002,-0.7399755666000001,-2.4489029309512107,0.8722340719,0.4027759495
