"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-SelfConceptWorker","UPDATE-SelfConceptWorker","CURRENT-SelfConceptTester","UPDATE-SelfConceptTester","CURRENT-RetestWorkerB5","UPDATE-RetestWorkerB5","CURRENT-RetestWorkerB4","UPDATE-RetestWorkerB4","CURRENT-RetestWorkerB3","UPDATE-RetestWorkerB3","CURRENT-RetestWorkerB2","UPDATE-RetestWorkerB2","CURRENT-RetestWorker","UPDATE-RetestWorker","CURRENT-Pilot_EMA","UPDATE-Pilot_EMA","CURRENT-LifetimeWorker","UPDATE-LifetimeWorker","CURRENT-F/U","UPDATE-F/U","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A03922113RU44GENR8ATX","https://requester.mturk.com/workers/A03922113RU44GENR8ATX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A04612451X3K1REKZJHOT","https://requester.mturk.com/workers/A04612451X3K1REKZJHOT","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A07375212LC8D25XBGZ1J","https://requester.mturk.com/workers/A07375212LC8D25XBGZ1J","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A100VV1V2XDQI7","https://requester.mturk.com/workers/A100VV1V2XDQI7","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A100Y89FZO4J0B","https://requester.mturk.com/workers/A100Y89FZO4J0B","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A10BH9PYCYUKDJ","https://requester.mturk.com/workers/A10BH9PYCYUKDJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A10LLZZHZVGWRW","https://requester.mturk.com/workers/A10LLZZHZVGWRW","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A10LQ8RUWDUI5U","https://requester.mturk.com/workers/A10LQ8RUWDUI5U","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A110JYKWR9T6H8","https://requester.mturk.com/workers/A110JYKWR9T6H8","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A110KENBXU7SUJ","https://requester.mturk.com/workers/A110KENBXU7SUJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A11NPNK8885N99","https://requester.mturk.com/workers/A11NPNK8885N99","2","2","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","3","","1","","","","Never Blocked","",""
"A11S8IAAVDXCUS","https://requester.mturk.com/workers/A11S8IAAVDXCUS","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A11TREGDHSUSJW","https://requester.mturk.com/workers/A11TREGDHSUSJW","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A11UQWFUDNIHIL","https://requester.mturk.com/workers/A11UQWFUDNIHIL","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A11YS0T8MV3Q7C","https://requester.mturk.com/workers/A11YS0T8MV3Q7C","2","2","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","3","","1","","","","Never Blocked","",""
"A127F80LLYOQ22","https://requester.mturk.com/workers/A127F80LLYOQ22","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1295RHU5X5GTX","https://requester.mturk.com/workers/A1295RHU5X5GTX","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A12A5GVJX5RZC4","https://requester.mturk.com/workers/A12A5GVJX5RZC4","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A12AS0DCQ7OCR3","https://requester.mturk.com/workers/A12AS0DCQ7OCR3","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A12DBV9FNAOFEM","https://requester.mturk.com/workers/A12DBV9FNAOFEM","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A12FCLCVIM2CL3","https://requester.mturk.com/workers/A12FCLCVIM2CL3","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A12HZGOZQD5YK7","https://requester.mturk.com/workers/A12HZGOZQD5YK7","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
