,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDL,BITIHDM,BITIHDS,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,dot_pattern_expectancy.bias,DPEDPRIM,DPEHD,DPEHN,DPEHT,go_nogo.bias,GNGDRPIM,HIRSCOR,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,WRTNEUPR,WRTPOSPR
A12DBV9FNAOFEM,0.7261287414,0.1596024922,1.6120762438,1.7000000000000002,,,,,,,-1.0013341728,-0.2035245731,3.4825225556,0.4596348517,2.2403011042,-0.4041380879,0.00026945830000000003,4.60525e-05,0.012355468799999998,2.2444231144,0.33031401600000004,1.4796053638,0.5,0.1666666667,9.2916666667,0.0625,1,0.0011666667,-4.0416666667,5.375,0.1244135058,2,0.0015536067,-2.0833150625,-0.006407782000000001,0.8924830799000001,7.9,6.7,0.9438312443000001,0.1679582155,2.4756244777000003,-0.5612389299,0.30555555560000003,-1.1958849217,0.31494977960000003,0.4902031417,4.3397286539,1.589125224,0.20307703629999999,2.140937171,-1.2890129855,3.38738178,112.0,8,0.7183218001999999,0.0018236276000000002,0.8291753769,0.0018624389000000002,0.4166666667,0.0038729833,0.009797959,0.1265219767,-1.5126279188999998,1.4408423736000002,0.6475179806,1.5940765009,-0.08594118630000001,313.3333333333,1.5336294812,0.4264812411,1.4226376665,8.5,51.0,,,0.5635854124,3,1.0631129781,0.7564344198999999,1.6778694461,0.2595137923,2.1594478521,0.4959340393,1.6194122984000001,-1.0227058296,0.3706467662,0.0396434954,2.143681098,0.2790687517,1.7449798377,-0.0242482197,367.0,5.1,4.6,288.1666666667,2.1464263543,0.46841184939999997,1.5646357118,280.1666666667,284.8333333333,1.7172526087,0.3976671493,1.5479504511000002,4.6666666667,148.7908249158,2.0288349359,0.3980479778,1.7509738000000001,-1.4094451027000001,3077.45,3,6,3319.5833333333003,0.3915040617,-0.7897280086,0.7316597906000001,0.22994138670000003
A24Z8V5IV2VJ8F,0.7730781483,0.2174257684,1.4089351408000002,1.75,32.25,0.0666666667,876.0,16.7307692308,0.1333333333,410.0,-0.33355430680000003,-1.1327882797,3.7226677454000003,0.2853919271,2.4453298509,-1.6241167576,,,,5.0791097621,0.16125112090000002,2.8592105568,0.8333333333,0.1666666667,9.75,0.025,0,-0.002,3.3306690739999997e-16,29.0476190476,-0.018450704199999998,0,0.0022816901,-0.5704225352000001,-0.005890530400000001,0.9388091704000001,7.2,6.9,1.9120154375,0.36339391090000006,2.2479779114,-0.7822795515000001,0.30555555560000003,-0.19617400420000003,-0.3658378469,-0.0658959303,1.1093446829,0.8130743173999999,0.117345774,1.5532467955000002,-1.1195720593,3.7262636324,112.0,5,0.6919198990000001,0.0015943219,0.6936035156,0.0014199634,0.5,0.0256124969,0.009797959,0.06403124240000001,-1.0683474777,1.9105280423,0.3962406972,2.1106648536000003,-0.5116687672,,,,,,,,,0.5767231572,14,1.7853712885,0.4491298512,2.1091508572,-0.044866341399999995,3.2897196368,0.35229876450000003,2.0899670837,-0.74844797,0.4004975124,0.0719089257,4.0290145755,0.3159503032,1.6461775439,-0.7988586626999999,315.0,5.9,6.6,,,,,,,,,,,,2.6137317876,0.3618287827,2.052163906,-1.0809407747,2032.125,2,8,5065.75,0.5353897739,-0.4454704427,0.7955531836,0.2185438797
A3HHDPKL3O3O7Y,1.3100981809,0.33857930540000003,1.6064829653,2.65,,,,,,,-0.8131526825000001,-1.1765502864,2.8893456117,0.3821418104,1.6112889964,-0.9314930229,0.0014726307,0.0028360901,0.0147753906,5.629245889500001,0.29786295079999997,1.6752021769999998,0.5,0.1666666667,10.0,0.1416666667,3,-0.016,-4.5833333333,21.7083333333,0.1211976568,2,-0.0062963767,-2.8720980689999998,-0.328543201,0.6288246213,7.7,6.7,2.3238713034000003,0.3333745949,1.7097438521000001,0.0386157586,0.6388888889000001,-0.8220056255,0.6281783173000001,0.0,5.320134937200001,3.9244127719999997,0.28949660039999997,1.4662990201,-0.2949503543,4.3943337001,164.0,6,0.8346435547000001,0.0016607908000000002,1.0,0.0011572567,0.6944444444,0.009797959,0.0038729833,0.009797959,-1.191844776,1.6228209112,0.36620099850000004,1.4793731541,-0.3772981876,302.0,4.1577760305,0.2939501174,1.8625932691,58.5,47.5,-5.737415415,4.6336677001,0.5817838705,13,1.6820662735,0.3210107337,1.7517224465,-0.2908099471,4.7552202196,0.4063322753,1.8206334303,-0.9874786033,0.4498777506,0.0314921466,4.6571370143,0.3218047646,1.8174684195,-0.5364406788,334.0,6.1,5.7,284.6666666667,3.8031016706,0.2842556242,1.9211965079,306.1666666667,310.8333333333,4.7030797868,0.2808631459,3.0747730408,4.6666666667,57.76805555560001,2.7215976202,0.283769765,2.0762738506,-0.3710858783,2632.9351851851998,1,8,5370.9166666667,-1.0416174349,2.1564025828,0.7290167327,0.5655658709
AFXE92S04IYHY,2.3535209394,0.1942262555,1.4191646969999998,4.05,,,,,,,-0.28118132290000003,-1.1075059346,3.0956449749,0.31864837100000004,1.4179131293,-1.3050526616,0.00016512099999999998,0.0008153381,0.0090273438,3.3894555902,0.2169047792,1.6472671517,1.0,0.0,11.25,0.0666666667,2,-0.0043333333000000005,-3.75,11.0,0.17681429510000002,3,-0.0088620916,-5.8579258934,0.2866756393,0.9416186292,7.0,6.8,2.276763697,0.3338791405,1.6313421405,-0.4906584589,0.5,-1.652074869,2.1413008945,-0.5629734621,4.194188013,2.8307311923,0.1702557402,1.5684259378999998,-0.5402436899,4.8849203713,307.0,8,0.7028138161,0.0017377439999999998,0.9654296875,0.003307944,0.6388888889000001,0.0015811388,0.0038729833,0.009797959,-1.0524492363,1.7694237899,0.3465441439,2.0110622273,-0.2646683586,247.0,2.0019274816,0.2749051078,1.189395415,24.5,2.5,-2.3893597141000003,15.0635490803,0.364965493,13,1.4828153934,0.4420152607,1.6157923193,-0.7492362478,2.9036631111,0.35261510960000003,1.3096238115,-3.385310202,0.5777777778000001,0.0695017296,3.9516092637,0.2672094118,1.6712133243,-0.2602992427,278.0,7.5,7.2,311.0,3.2483736887,0.3109680005,1.0372664303,223.3333333333,254.5,2.7591342597,0.3129180885,1.0387599976000002,31.1666666667,48.268435351499996,2.6511638841,0.2805224799,1.7886045304,-1.016302158,1223.7287878788,23,8,2171.9166666667,3.624139232,-1.6035381903,0.8058212105,0.2838313534
AKSJ3C5O3V9RB,1.0654997551,0.3008746276,1.6117195421000001,2.1,22.4,0.1666666667,535.0,25.5454545455,0.2666666667,534.0,-0.2632731995,-0.7820745445,3.5692100362,0.37680077729999994,2.3370951319,-0.8925060462000001,0.0031509551,0.0091338806,0.025780273399999998,2.4270471936,0.2711335105,1.3609456372,1.0,0.0,4.4583333333,0.1041666667,3,-0.006500000000000001,-3.2083333332999997,13.791666666700001,0.041502463100000005,0,-0.0006256158,-1.0201149425,0.2668709757,0.5652086429000001,7.2,7.5,1.8496105572,0.3891606326,2.0533794365999998,-0.8772193095999999,0.2777777778,-1.0375616293,0.19003978719999998,-0.6932395302000001,3.1607721784,1.9781926817,0.2869925424,1.5334175313,-0.8075379761,4.3503317988,202.0,9,0.6650108576,0.0007856365,0.8120579243000001,0.0009199542,0.6944444444,0.009797959,0.0256124969,0.06403124240000001,-0.7243796475000001,1.9443876838,0.4554693346,1.969840529,-0.2150050498,352.5,2.1549024307,0.34967113710000003,1.345436258,4.5,130.0,15.9832693424,-10.3132084134,0.3731253503,13,1.6326318486000002,0.5104640716000001,1.8514044505,-0.7587279683,2.7873768532999996,0.4223978497,1.8277703876,-3.2137885929000003,0.5461346632999999,0.030980207599999997,3.747064141,0.2951167361,1.1262063334,-1.326901328,,6.2,5.5,295.0,3.2565617627999996,0.3359500707,1.3820974373,264.1666666667,225.8333333333,3.0958807075,0.3291087694,1.6302724891999998,-38.3333333333,33.956223176,2.4966663668,0.42785068509999996,1.6145851229,-1.2959560088,3011.8541666666997,8,6,4517.3333333333,0.1482006743,0.4054651081,0.1718704859,0.29299772300000004
AZ9BZONG644TU,,,,,29.090909090900002,0.2666666667,610.0,26.565217391300003,0.23333333329999997,580.0,-0.1839391726,-1.5965800857,2.5342823208,0.3911862702,1.5195949983,-0.9989047612999999,9.11917e-05,0.007297637900000001,0.0126035156,3.2873272766,0.26458419769999997,1.3825373108,0.1666666667,0.33333333330000003,14.958333333299999,0.1625,2,-0.0031666666999999996,-3.375,13.166666666700001,0.0608333333,1,-0.0029,-1.6916666666999998,0.15937007520000002,0.6457734909,8.7,6.1,0.6876469192,0.2612866021,1.6834795445,-1.0314335236,0.33333333330000003,-1.5280204274,0.364636051,0.0,5.320134937200001,2.8318595399,0.0285913955,2.8823117857,-1.1195720593,3.7262636324,221.0,7,0.6412079214999999,0.0016730231,0.7213916779,0.0019438672,0.5,0.0004,0.0038729833,0.0038729833,-0.7965947614000001,1.6187161036000002,0.4136255617,2.0049265097,-0.06989813760000001,361.5,2.6315521434,0.3127723251,1.7140309274,58.0,126.5,,,0.5700085364999999,7,,,,,3.3794640563,0.35903057450000003,2.0452031676,-1.9636814927,0.570719603,0.1320977562,2.7106850813000003,0.24842557199999998,1.6832525384,-0.31383028690000003,334.5,5.5,5.7,334.5,4.3621200629,0.27986832850000004,2.465102091,308.3333333333,464.3333333333,2.5301008795,0.32081386570000003,1.6125412162000001,156.0,-86.7671294223,1.9389149648,0.3069818744,2.1164357567,-0.9765364409,1574.1208333333,-1,7,6936.583333333299,1.5214260351000002,0.15665381,0.8237506081999999,0.7231050189
s001,0.7545950211,0.0357677753,1.3919249162,1.6,11.76,0.1666666667,288.0,12.75,0.0666666667,357.0,-0.2250347344,-1.2403217767,3.3924086712,0.37031393310000005,1.6705344966999998,-0.10991771199999999,0.0005559224000000001,0.0647773438,0.0263359375,3.1287009226999998,0.2727622376,1.5283302805,0.33333333330000003,0.6666666667000001,11.333333333299999,0.0916666667,0,-0.0016666667,-1.8333333333,6.166666666699999,0.2503735326,3,-0.0100149413,-2.4951974386,-0.0027181657,0.6590894145,6.9,6.3,1.1543982234,0.3962405964,1.5258870774000002,-1.5129649653,0.0,0.08288711259999999,-1.5225008222999998,-1.4200399192,2.4800550988,1.7146932791,0.08635975359999999,1.8616064805,-0.8005189753,3.0881574643,125.0,6,0.6273424149,0.00134547,0.7109272003,0.0018064547,0.4722222222,0.25,0.25,0.06403124240000001,-0.9523988651,1.7949176518,0.48396104759999997,1.3690989412,0.1346917369,,,,,,,,,0.2698720297,1,1.4290455104,0.3926099888,1.9315354198,-0.14759756270000002,1.5452031927,0.2107008602,2.2809740506,-0.4271113546,0.3656716418,-0.0051969601,2.4568522282,0.3047359618,1.6089396559,-0.5853220835,349.0,6.5,4.9,389.0,2.8017652782,0.36298225729999994,1.3041062035,321.3333333333,336.3333333333,1.7877080421,0.21788962329999997,1.6682330975,15.0,32.2303225806,2.8919962643,0.39778915909999996,1.6819728013000002,-1.8873225972,2717.1904761905,16,5,4030.0833333333003,,,0.4370257158,0.34132697230000003
s002,2.0621365634,0.33500822199999997,1.6504198337,2.9,45.368421052600006,0.3666666667,824.0,28.125,0.4666666667,423.0,-0.92931219,-0.6176758843,3.0131243127999996,0.3294141816,1.4616720665,-0.8429294240999999,2.8298200000000003e-05,0.0003321705,0.0015712891,4.6787679845,0.2803039436,1.3026575833,0.8333333333,0.1666666667,13.75,0.1333333333,3,-0.0143333333,-5.1666666667,9.2083333333,0.2743702771,3,-0.0108161209,-4.064231738,0.17222618620000002,0.450588655,9.1,8.6,2.9708016988,0.6011709521,1.9913977303,0.0071432056999999995,1.0,-2.2294395524,4.0002200431,0.1910395678,4.9380558016,3.6835772051,0.2863391471,1.7120928796,-1.1195720593,3.7262636324,224.0,5,0.8190433502000001,0.0015751381,0.9998046875,0.0021372092,0.7222222222,0.0002011893,0.0002011893,0.0006324555,-1.1256361044,1.9124422204,0.5180551172,1.3938640057,-0.4758435417,376.1666666667,3.327832723,0.33750577,1.1831785540000002,-6.0,82.5,13.2140760082,7.5241767658,0.3635486638,13,1.6469425709,0.6798577592,1.9298289306999998,-0.4174902252,3.5063826217000003,0.466057416,1.3407473521,-2.486435516,0.4950980392,0.006496472099999999,4.234922491,0.3094450681,1.2337803771,-0.8320362537,386.5,6.8,7.0,,,,,,,,,,,,2.3861244781,0.34842655079999996,1.2877077231999998,-1.2427968748,2250.7533333333,4,7,4215.25,1.270781474,-0.1541506798,0.8781447599000001,0.264771988
s003,1.1409360086,0.27781871140000003,1.6948636928999998,2.2,39.9090909091,0.2666666667,832.0,13.8095238095,0.30000000000000004,274.0,-0.2749669098,-1.0617913129,3.8445465205000002,0.3749382363,2.4854732226,-0.2955774637,0.00012237389999999998,0.0007080383,0.0008139648,3.5213774624000003,0.31613784110000004,1.6688155369,0.6666666667000001,0.33333333330000003,18.7916666667,-0.0625,1,0.0008333333,-6.791666666699999,23.5,0.0614764141,1,-0.0011325301,-4.6355932203,-0.0758848617,0.9060378039,7.7,5.7,1.9012990631,0.46346980159999995,2.7346438095,-0.4305601218,0.6666666667000001,-1.8187368500999999,-1.2821980753,-0.7962484724000001,3.7276379925,2.0865998873,0.13130671500000002,2.9948205525,-0.6807759697,4.096807786,190.0,6,0.8790130615,0.0015840798,1.0,0.0015111806,0.5,0.0038729833,0.009797959,0.0038729833,-0.6204711789,2.4800908875,0.3710325042,2.615175572,-0.4488763943,486.6666666667,2.5879464106,0.34278614620000003,1.7332998828,68.0,54.5,,,0.6830312686000001,9,1.5174600511,0.7122917644,2.55348854,-0.3056019876,2.33518252,0.3798869939,2.1146794276,-1.2186225724,0.5351758794,0.0752233766,2.6393310295,0.3065669485,2.3998257128,-0.6838125570999999,345.5,6.3,6.8,532.0,3.9660024941,0.3437174685,2.0923746557,,,,,,,,2.5084786325,0.29732829720000004,3.3916344872,-0.2947472646,3024.8958333333003,6,6,4755.0909090909,-0.5041470247000001,0.9490805547,0.29900124920000004,0.1994789565
s005,2.1001565941,0.1912926405,1.619350206,2.65,36.8181818182,0.2666666667,773.0,18.863636363599998,0.2666666667,400.0,-0.7108618595,-0.9718845758,3.906162947,0.3241982659,2.0771307230000002,-1.0649852252,0.00029330800000000005,0.006815795899999999,0.0816015625,5.624947349099999,0.2495627636,2.1772823334,0.8333333333,0.0,5.708333333300001,0.0291666667,1,-0.0021666667,-1.875,3.25,0.0041962175,2,-0.0068345154,-1.2919621748999999,0.29550928800000004,0.7944050145999999,8.2,5.9,2.9398688032,0.437898279,2.1474993536,-0.7835675857000001,0.11111111109999999,-0.9716757418,-0.22026246579999997,0.0,5.320134937200001,3.7465358968,0.0110169075,4.2116052544,-0.7017421781000001,4.5619233948,209.0,9,0.8108306885000001,0.0019553837,0.9811523437999999,0.0022369199000000003,0.6944444444,0.0038729833,0.009797959,0.0256124969,-0.6349705715,2.1380844463999997,0.3070351779,2.8277179437999997,-0.3564824083,259.1666666667,3.8202559329000003,0.311226104,1.8112002953,3.0,51.5,12.9506471232,-3.1371728041000004,0.6762551069,15,1.6326006497999999,0.47252085299999996,2.3947035061,-0.5875117232,2.7915297524000002,0.3730569649,1.97351974,-2.7264140973,0.4888888889,0.0492278647,5.0995082168,0.3097815773,1.8203441009,-1.3173311031000001,251.0,6.2,5.5,290.8333333333,4.5101924789,0.3291019932,1.7022559134000002,218.3333333333,260.6666666667,3.5359027982,0.3063759461,1.6934873758000002,42.3333333333,58.2717476489,4.0221201145,0.3472781022,2.5264542107,-0.9304276795,2702.787037037,-1,7,5343.25,0.7182121504000001,0.0953101798,0.4725999708,0.31401691800000003
