,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s005,1.5149785492999999,0.25710109740000003,1.1149028291,1.9,23.2692307692,0.1333333333,22.2222222222,0.4,-0.5674115695,-1.4575916634000001,3.5135536385,0.4028122203,1.5347124607,-0.3367020255,-6.8899584855557645,-6.342435901765761,4.6490054005,0.2978459318,1.2785640638,1.0,0.0,16.0833333333,0.2916666667,3,-0.028,-2.6666666667000003,16.9583333333,0.7415789474000001,3,-0.0172555431,-2.8244120941,0.33946628430000003,1.0081751988,9.1,7.1,3.4282686704,0.46022771910000004,1.8281426571,0.2862497392,0.33333333330000003,-1.041359638,1.2422898261,0.33223158610000003,4.6556717651,3.0619218546,0.2297625056,1.5339164899000002,-0.7717910818,3.4406522452,143.0,6,0.7236789465,0.0009836497,0.9180419922,0.0013364966000000002,0.5833333333,-6.449609932071972,-6.449609932071972,-5.553730190361736,-1.0038869857,2.205440608,0.528762394,2.4788150189,0.0480272686,308.8333333333,3.3905437987,0.27452857880000003,1.4815754524,27.0,100.5,26.1234717334,0.6566922334,15,1.8080335275000001,0.4157972197,2.1930962787,-0.3220268585,2.9286324028,0.4113826065,2.6529511043,-2.0755921932,0.5597014925,0.057405125200000004,4.8271482622,0.3237460237,1.6828727744,-0.7927689852,275.0,6.7,6.1,365.3333333333,4.2578537261000005,0.37334228810000003,0.2999261254149331,242.0,242.3333333333,5.7865756237,0.3478640655,1.8367608606,0.33333333330000003,62.0768386656,3.5899431818,0.291501532,2.3156176312,-1.0026456539,-0.7327881653,-1.1328489549,2.4041951371,0.33590310300000004,1.9256310497,0.49850753950000004,0.7558040573,1994.5166666667,4,10,3262.0833333333,-0.16558597930000002,-0.008465544,-0.2237996945,0.2725698113,0.3393247426
s007,0.9261826172000001,0.2700283558,1.3893152391,1.9500000000000002,30.8636363636,0.2666666667,35.9523809524,0.30000000000000004,-0.1077735751,-1.0083102636,3.9440578938,0.4001567954,2.3401470581,-1.0255755963,-5.128688168030713,-4.744922062913907,2.3108496533,0.31820371750000004,1.5429385387,0.5,0.1666666667,15.9166666667,-0.0083333333,1,0.0013333333,2.5,16.75,0.15,1,-0.0016666667,-0.4166666667,0.1917215995,0.8057487034,8.1,4.3,,,,,0.0833333333,,,,,,,,-1.0816155204,3.2951286846,195.0,6,0.6941823959,0.00130253,0.8349777222,0.0010820387,0.6111111111,-2.748384152235016,-2.067339257049917,-2.7545573065347257,-1.4103851288,1.1196045761,0.4412814648,1.6111856345,-0.6685945235,,,,,,,,0.538500946,11,,,,,2.8451072342,0.48791952250000004,2.5371543517,-1.480897976,0.442408377,0.0253945218,3.6121400660000003,0.322599004,2.0764326292,-0.1837925676,396.5,5.5,4.4,401.1666666667,2.0394406798,0.4106287306,0.6192042013018394,356.5,356.8333333333,1.4906303044,0.4405726857,1.3102825995,0.33333333330000003,13.2490016831,1.9587693638,0.6301093879,1.7367122383,-0.2490337225,-0.1786411333,-0.19959853090000002,0.6485741989,0.1426268805,2.0821307781,-0.21240977490000001,-0.6363630581,2120.49,3,8,5704.1666666667,,,,0.445484729,0.4101464269
s009,1.2522063226,0.13289991580000002,1.5732403284,2.55,48.1818181818,0.2666666667,30.5555555556,0.4,-0.5797612445,-0.7262673783,3.7155442785,0.31481932900000004,1.3631776581000001,-1.6933672444,-8.708832019487865,-7.178001968294995,5.2791974638,0.225871451,1.6932918951,0.6666666667000001,0.1666666667,7.2916666667,0.2041666667,3,-0.0188333333,-3.7916666667000003,7.0833333333,0.1957525084,2,-0.0231973244,-3.9424749164,-0.0287443268,0.40015128590000004,7.7,4.9,1.9002879955,0.36721842060000004,1.4160796376,-1.0283573139,0.8611111111,-1.004795788,0.6313913174,0.0,5.3201349372,2.8976312801,0.1911859061,1.5516495358,-0.5402436899,4.8849203713,266.0,9,0.6760320663,0.0023875259,0.8853013992000001,0.0027768546000000002,0.5833333333,-5.553730190361736,-3.664674886451777,-5.553730190361736,-1.0442101619,1.9758797315,0.3140159545,2.024673813,-0.1639937119,204.1666666667,3.7289222452,0.2924531709,2.0221979251,40.0,130.5,-0.7816201197,0.4760700667,13,1.0078302718,0.519610109,2.0433622403,-0.3118997402,3.010531528,0.33208764900000004,1.5416627611,-1.3365022486,0.6185819071,0.0972984279,3.2872353496,0.2258580519,1.4889918596,-0.0912544649,254.5,6.2,5.3,256.3333333333,4.3098002986,0.2407879471,0.35538722393309913,160.3333333333,231.6666666667,3.768527645,0.2571141592,2.8067688305000003,71.3333333333,63.8797848029,2.6910891459,0.3422346322,1.5234077096,-2.2401880509,-0.3713550681,-0.0103161426,1.2776439605,0.2979209426,1.8152628071999999,-0.2059162745,-1.3573954878,1241.8333333333,6,10,5413.0833333333,-0.23300909220000002,0.3935681948,0.8722135,0.1314693092,0.1842408366
s011,1.8196248366,0.1908550313,1.6528661744000002,3.0,24.3043478261,0.2333333333,15.7692307692,0.1333333333,0.33835963820000003,-0.7202507057,2.8872609327000003,0.35703230480000003,1.5968835683,-0.6302209125,-10.3341074050011,-8.134286283710965,3.9648943225,0.2507609878,1.5927556551,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1,-0.0038333333,-2.2916666667,10.4166666667,0.2562656642,3,-0.0083308271,-2.9235588972,-0.2170173919,0.35044167,9.3,9.0,1.5992807126000002,0.4840465601,2.3145209559,-0.6516130307,0.4166666667,-1.1682333928,0.2469680284,0.0,5.3201349372,2.8020995017,0.1064507553,2.6105903115,-1.0170844173,3.9312389163,290.0,9,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.9562711925,2.2348227386,0.39055587350000004,1.639908229,-0.2413995551,244.1666666667,2.4102853716,0.1953075581,1.4142425570000001,17.0,32.0,-13.7549484415,0.3168698411,10,1.8491764856000001,0.6122939192,1.8875677996,0.0161442738,3.2509856026,0.43576983480000003,1.3375792278,-2.4676148627,0.5147783251,0.054783886100000005,3.7098330749,0.3094492394,1.2675171729999999,-1.9523401112,387.0,6.3,7.9,301.6666666667,2.989517448,0.3329012597,-0.15131339361659762,255.0,237.1666666667,3.6782901018,0.3067549516,1.2060969024000001,-17.8333333333,-15.1229235042,2.4394120559,0.3474219712,1.5918603079,-1.0903405441,0.3345205276,0.16922770210000002,2.61917799,0.3431289319,1.249195603,-1.0357290257,-0.2406315176,1686.3416666667,19,4,2352.0,1.1402387713,-0.0382940986,1.8353643014,0.17973338400000002,0.4510978966
s012,2.1048389172,0.2767907216,1.517997215,3.65,30.0769230769,0.1333333333,30.5454545455,0.2666666667,-0.18225422100000002,-0.2489505294,3.4103359679,0.3276226628,2.2294583381,-0.6977118906,-6.888655741933243,-4.544551305364608,2.5811507824,0.2491341072,1.1998013725,1.0,0.0,8.625,0.2791666667,2,-0.0261666667,-4.7916666667,4.4166666667,0.2052600473,1,-0.0134751773,-2.2192671395,-0.18120101700000002,0.9406044403,9.0,6.5,2.0872066932,0.4664942172,1.8853172216,-0.48135020380000004,0.25,-0.0747221691,-0.5205748849,-0.9092231175000001,3.5016887022,1.8435890714,0.1601722717,1.9918154846,-1.0816155204,3.2951286846,217.0,8,0.5907514930000001,0.0013580401,0.9707031250000001,0.0020802717,0.7222222222,-3.664674886451777,-3.664674886451777,-3.664674886451777,-0.28846301,1.6324806305,0.2936818235,2.4436395087,-0.4396707596,348.5,2.4762281319,0.2861623963,1.2795036859,6.0,112.0,-20.5666405171,0.5749289078,12,1.0372823078,0.4386984783,1.7380325168000001,-0.8185430682,3.0911329891,0.4024319739,1.8660644454000002,-1.3029148282,0.3665835411,0.0693478387,2.5802823013,0.2602925028,1.7083377378,0.0439716961,296.0,6.5,5.2,295.3333333333,3.8485813412,0.28673029980000003,0.43317995538690474,297.1666666667,306.0,2.1531610523999998,0.3102976078,1.3819257723,8.8333333333,9.3470426632,1.5461868508999999,0.341017473,1.7012219093,-1.0590671067,0.0364247065,-0.11177734040000001,1.3583968886,0.3094349972,1.6791631374,-0.0109755724,-0.1899411473,1787.9242424242,1,11,3688.25,1.4224324521,-0.6066962679,1.0577051998,0.8229371665,0.3778537623
s014,0.7554185790000001,0.0357763824,1.3931094403,1.6,11.76,0.1666666667,12.75,0.0666666667,-0.2198702254,-1.2363830212,3.3884105498,0.3702695117,1.6711934359,-0.12041323420000001,-7.494881841799583,-2.736799369475726,3.1290236149,0.2729110191,1.5258783491,0.33333333330000003,0.6666666667000001,11.3333333333,0.09166666670000001,0,-0.0016666667,-1.8333333333000001,6.1666666667,0.2503735326,3,-0.0100149413,-2.4951974386,-0.0027181657,0.6590894145,6.9,6.3,1.1510962336000001,0.396230956,1.5226916904999999,-1.5057907035,0.0,0.07940383620000001,-1.5238072619,-1.4200399192,2.4800550988,1.71277377,0.08635282550000001,1.8608530143,-0.8005189753,3.0881574643,125.0,6,0.6273424149,0.00134547,0.7109272003,0.0018064547000000001,0.47222222220000004,-1.3862943611198906,-1.3862943611198906,-2.748384152235016,-0.9464493270000001,1.7948889371,0.48400180410000004,1.370045494,0.143817326,,,,,,,,0.2698720297,1,1.4351577634,0.3918938416,1.9380002463000001,-0.147987094,1.5454330798,0.2109632873,2.2801217185000002,-0.428559059,0.3656716418,-0.0051969601,2.4643430767,0.3045504555,1.6109402367999999,-0.5786092951,349.0,6.5,4.9,389.0,2.8020803504,0.3629883486,0.26602620276425853,321.3333333333,336.3333333333,1.7855284229000001,0.2178954965,1.6687618979,15.0,32.2303225806,2.8855381705000003,0.39765368830000003,1.6825229816,-1.8900654132999999,-0.17132987260000002,0.26741594700000004,1.3236150614,0.3844669457,1.3373601611,-0.1479692691,-0.1831150826,2717.1904761905,16,5,4030.0833333333,,,,0.4370257158,0.34132697230000003
s015,1.5739070061,0.1889603806,1.3496140912,2.4,41.2352941176,0.4333333333,35.4666666667,0.5,-0.8106177199,-0.8309500009,3.9369460377000003,0.328537109,1.8463193206000001,-2.2079549411,-7.55314234950583,-4.209769386895026,2.4800198148,0.27476990030000004,1.3761036406,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1,-0.00016666670000000001,-5.375,10.2916666667,0.2323529412,2,0.0006176471000000001,-6.3455882353,-0.0259313203,0.8086626636,9.8,5.8,2.6734272877,0.3817155297,1.7581063654,-0.9277570868,0.0277777778,-0.182446497,0.1898480687,0.0,5.3201349372,3.2593324668,0.17678102480000002,2.7649349191,-1.327315884,3.310775983,167.0,8,0.7067575455,0.0015690091000000001,0.9937500000000001,0.0018166595000000002,0.8055555556,-2.748384152235016,-2.067339257049917,-2.748384152235016,-1.4471802987,1.7197323830000002,0.4067018504,1.5437206613,-0.8884152439,,,,,,,6.3976894787,0.4968135329,13,1.6611901779,0.5556329134,1.4131965764,-0.6638974461,3.4956707704,0.3700660042,1.5180911394,-1.5629742271,0.4536585366,0.034782254000000006,3.0225651865,0.2760717596,1.1831718787,-1.080903548,299.5,6.7,5.4,309.1666666667,2.7421107647,0.3249473325,0.13334699776233486,261.8333333333,276.0,3.1918012725000002,0.36922581200000004,1.2127059459,14.1666666667,11.6861494402,2.2108574109,0.4471004866,1.5648569192,-1.2507623015,-0.4046925798,-0.6128630677,1.7345697225999999,0.31868883340000004,1.4000143528,0.0481120364,0.4402053282,1923.8316666667,9,9,3099.75,-0.180486052,0.1636969872,0.17284088250000001,0.8784731181000001,0.3737064444
s017,0.9035930796,0.17583966110000002,1.947865568,2.2,23.6363636364,0.2666666667,10.0,0.2,-0.8843826283,-0.6079817447,3.5688542012,0.41555176060000004,2.3034025238,-0.3178636228,-9.45756147506945,-8.1552620853318,2.227620762,0.2780536658,1.7222406897,0.6666666667000001,0.33333333330000003,5.0,0.075,0,-0.0033333333,-0.75,6.5,0.1383333333,1,-0.0122,-0.7833333333,-0.020950155800000002,0.8359813084000001,8.0,7.4,2.0341423493,0.4438565675,2.1709949929,-0.8242449072,0.8333333333,-0.35896170120000004,-0.1619228724,-0.5542288687,2.8827508555,1.8196859803,0.23814027040000002,1.848632215,-0.9575666758,4.0502743994,235.0,6,0.8563354492,0.0019972663000000002,1.0,0.0020916368000000003,0.47222222220000004,-8.511264302067358,-8.511264302067358,-7.365900695568905,-1.4807318021,1.8485932658,0.3619115873,2.1745947748,-0.6223736234,320.0,2.5667203001,0.3811599867,1.8435771939,-43.5,56.0,26.4892180955,0.5339308097000001,10,1.7257479621,0.5043140375,2.1597229406,-0.6815805692,2.0870488927,0.40117720290000003,1.8289249249,-1.3562636877,0.469816273,0.045888794000000004,2.485002223,0.3032046016,1.7592985066,-0.4665360213,359.0,5.0,6.4,294.6666666667,3.3457844035,0.3354279508,0.6205390577235408,302.3333333333,281.0,3.1445915921,0.2274012327,3.3024776137,-21.3333333333,-37.4745762712,2.178323327,0.3740848096,2.1241415053,-0.6539529988,-0.1891673851,0.4185569237,1.8074046375,0.3143696891,1.9033785544000001,-0.26907878490000003,-0.4744788058,1567.3343253968,5,10,4024.0,0.110909884,0.0352478575,-0.6299552291,0.1271461984,0.2921138351
s026,1.3707917501,0.2333545059,1.0411526356,2.1,43.0869565217,0.2333333333,23.9130434783,0.2333333333,-0.6024452825000001,0.0166304044,3.3238383351,0.3193909836,1.9492921359,-0.0807254328,-9.789667916336668,-6.341435044729682,4.1350861852,0.284350513,1.191994566,1.0,0.0,10.0,1.665334537e-16,1,-1.474514955e-17,0.0,6.0416666667,-0.0035714286,0,-0.0001428571,0.0357142857,-0.4397196371,0.7318736961000001,7.5,6.8,2.6900801678,0.3428847527,2.3041825313,-0.16645327240000002,0.2777777778,-0.4911601916,-0.0742470366,0.1976700244,4.9247948884,3.6811880963,0.053999431,5.64070204,-1.1652624446,3.6348828618,175.0,9,0.7183802605,0.0023475321000000003,0.9771484375,0.0028280387,0.5,-4.625581180301964,-3.664674886451777,-3.664674886451777,-0.9741660023000001,2.1095928395,0.41665448730000004,1.9079145218,0.17882446470000002,232.3333333333,3.0421216719,0.3489668905,1.107867188,-10.0,21.0,,0.7593680811,14,1.4980936176,0.5268036517,1.8081173640000001,-0.2987474697,3.1822955964,0.4118425409,1.7346202008,-3.6379463487,0.3842364532,0.045183084500000005,2.4184584321,0.3000564146,1.3368519148,-1.0888780922,304.0,7.5,6.3,263.3333333333,3.3903109970000003,0.3712426486,0.2164991948653905,241.5,288.1666666667,3.3537061009,0.31868668040000003,1.2919354873,46.6666666667,73.9608305446,2.3030457983,0.38759873100000003,1.5493751457,-0.6826218628,-1.0880295149,-1.4875607892,1.4393288384,0.33622139770000004,1.472023332,0.2970776341,0.3671899947,1956.6166666667,7,8,2455.1666666667,-1.0555880909,0.0121449133,-0.9940551986,0.2006291395,0.14992088480000001
s027,1.5871746707,0.2201131019,1.6132337279,2.4,13.2,0.1666666667,33.125,0.4666666667,-1.1911789781,-0.5996800560000001,3.4449652095,0.3783488231,1.5451986267,-1.1915564128,-6.889865263876853,-3.268015933761146,3.7932612538,0.2507319767,1.6933890119,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1,-0.019,0.25,8.5833333333,0.1848201136,2,0.00040311380000000003,-1.3611403324,-0.10806032460000001,1.1609934819,8.3,6.5,2.2823327462,0.30253949480000003,2.0215070866,-0.30941831470000003,0.0277777778,-0.3046930125,-0.1347980393,-0.3884511935,3.7790742791,2.4524590806,0.0711503263,3.4582372382,-1.0170844173,3.9312389163,155.0,4,0.6938799858,0.0019379015,0.6649845123,0.0024244932000000003,0.7222222222,-3.664674886451777,-3.664674886451777,-2.748384152235016,-1.9236663863,2.3059839564,0.4330715867,1.4243351427,-0.2934372591,236.1666666667,3.1663781737,0.2153264369,2.6501231861,0.5,144.5,,0.3102803725,9,1.5865931164,0.4157073905,2.456794944,-0.2487502893,1.9805486128,0.3824023755,2.0200742696,-1.3103754015,,,3.1735342322,0.2579584938,1.8354687572000001,-0.2240918365,278.5,6.2,6.6,214.3333333333,3.9831691095,0.158541815,1.0876049154381087,168.0,201.5,3.4865006705,0.2190604217,2.1713233636,33.5,116.3699367387,2.6013963572,0.2970047752,1.7255208556000001,-0.3098838474,-0.1747577411,-0.10008379740000001,1.8850288516,0.29909151910000004,1.6089068923,-0.9111020408,-0.5685471228,1350.6296296296,23,5,2417.5833333333,,,,0.1688114436,0.1809482422
