,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTRCLCK,ARTRLPC,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPTEEB,DPTFEB,dospert_eb_survey.health_safety.logTr,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGBIAS,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,LCATACTL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,mpq_control_survey.control.ReflogTr,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SOCSCOM,SOCSELSE,SOCSLBSE,selection_optimization_compensation_survey.optimization.ReflogTr,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s005,1.5154030549000002,0.2569574428,1.1152802705,1.9,23.2692307692,0.1333333333,22.2222222222,0.4,-0.5717980713,-1.4564181732,3.5247862513,0.4023855783,1.5406258942000002,-0.3411871286,-6.8899584855557645,-6.342435901765762,3.0,3.25,3.6,3.0,3.0,3.6,2.1428571429,43,4.6463749579,0.2977936295,1.2791114947,1.0,0.0,16.0833333333,0.2916666667,3,-0.027999999999999997,-2.6666666667000003,16.9583333333,0.7415789474000001,3,-0.0172555431,-2.8244120941000004,1.5454545455000002,0.33946628430000003,1.0081751988,9.1,7.1,3.42099275,0.460189792,1.8268559202,0.27251159410000003,0.33333333330000003,2.0,2.3333333333,0.4054651081081644,1.6666666666999999,3.6666666667,5.3333333333,6.166666666699999,6.166666666699999,6.5,4.1666666667,2.3333333333,1.8333333333,3.0,1.5,4.6666666667,-1.0302126064,1.2483350201,0.33223158610000003,4.6556717651,3.0571913929,0.22958470239999998,1.5341694912,22.2222222222,0.0,29.6296296296,5.833333333300001,6.0,4.5,4.0,3.125,4.2857142857,4.625,49,-0.7717910818000001,3.4406522452,30,143.0,6,1.5333333333,0.7236789465000001,0.0009836497,0.9180419921999999,0.0013364966000000002,0.5833333333,-6.449609932071973,-6.449609932071973,-5.553730190361736,5,-0.9900263761,2.2040380047999997,0.5291271979000001,2.4784694738999997,0.04252947519999999,5.466666666699999,308.8333333333,3.390760761,0.2746381466,1.4811023322,27.0,100.5,1.791759469228055,26.123471733400002,0.6566922334,15,1.8090959959000001,0.41536882729999997,2.1957132311,-0.32348249879999996,0.6666666667000001,0.5833333333,0.75,0.22314355131420974,137.0,0.0,0.6000000000000001,0.7000000000000001,0.4,2.9251737654000003,0.4126306085,2.6404947518,-2.089830395,0.5597014925,0.0574051252,4.8096407399,0.324287237,1.6728667038999998,-0.7979203726,275.0,6.7,6.1,365.3333333333,4.2597753606,0.37343253579999997,0.30002279406790466,242.0,242.3333333333,5.7825286506,0.34779211730000004,1.8371906755,0.33333333330000003,62.07683866560001,3.5856964799,0.2918052444,2.3095752744999998,-0.9940604324,6.5,5.5,7.0,3.5,5.5,29,-0.7284709114,-1.130629345,2.4071755582,0.335757042,1.9280027481,0.1042224339,-0.0136395895,3.8461538462,3.2,3.3333333332999997,2.1111111111,3.2666666667000004,1994.5166666667,4,10,3262.0833333333003,1.4,1.4545454544999998,1.75,1.2857142857,2.75,0.27256981129999996,0.3393247426
s007,0.9270454441,0.26999394449999997,1.3900786895,1.95,30.8636363636,0.2666666667,35.9523809524,0.30000000000000004,-0.1148967225,-1.0003845155,3.9253609602,0.40122864189999996,2.3193784802,-1.0068776276,-5.128688168030712,-4.744922062913907,4.0666666667,3.3928571429,3.8666666667,2.75,2.5,4.0,3.4285714286,42,2.3102321327,0.31828799879999997,1.5419630409,0.5,0.1666666667,15.916666666700001,-0.008333333299999999,1,0.0013333332999999998,2.5,16.75,0.15,1,-0.0016666667,-0.4166666667,1.2727272726999999,0.1917215995,0.8057487034,8.1,4.3,,,,,0.0833333333,2.6666666667000003,5.5,0.9808292530242264,4.5,5.1666666667,3.8333333332999997,4.6666666667,4.0,5.0,1.8333333333,3.3333333332999997,4.1666666667,4.3333333333,4.0,6.5,,,,,,,,50.0,0.0,11.1111111111,5.3333333333,5.5,3.125,3.125,3.125,3.1428571429,3.25,57,-1.0816155204,3.2951286846,23,195.0,6,1.6,0.6941823959000001,0.00130253,0.8349777222,0.0010820387,0.6111111111,-2.7483841522350163,-2.067339257049917,-2.7545573065347257,2,-1.4151806356999999,1.1197314631,0.4416782687,1.6085626678,-0.6688285902000001,4.0,,,,,,,1.6094379124341005,,0.538500946,11,,,,,0.4166666667,,,0.2876820724267809,113.0,0.2,0.30000000000000004,0.8,0.9,2.8398522117,0.48861067869999997,2.5292969166,-1.465329419,0.442408377,0.0253945218,3.6054832885000003,0.32291792269999997,2.0711265351,-0.1773383453,396.5,5.5,4.4,401.1666666667,2.0373819092,0.41049923689999995,0.6182749609743061,356.5,356.8333333333,1.4901408253,0.4404947721,1.3106224364,0.33333333330000003,13.2490016831,1.9584756943,0.6298219375,1.7382283187,-0.237217714,3.5,6.0,4.0,4.0,5.0,38,-0.1796955022,-0.2009764893,0.6500099864000001,0.14262732590000002,2.0826444362,-0.5425232517,-0.8525108626000001,3.7692307692,4.3,2.7777777778,3.0,3.0,2120.49,3,8,5704.166666666701,2.1,1.5454545455000002,3.1666666667000003,1.5714285713999998,3.25,0.44548472899999997,0.41014642689999997
s009,1.2541045756,0.13272213130000002,1.5749085473000002,2.55,48.181818181800004,0.2666666667,30.555555555599998,0.4,-0.5766787647,-0.732065535,3.7115606820999996,0.3148976303,1.3630176712,-1.6943840469999998,-8.708832019487865,-7.1780019682949945,4.4666666667,4.3928571429000005,6.0,2.25,2.75,3.2,3.1428571429,25,5.2688180277,0.226204001,1.6873748091,0.6666666667000001,0.1666666667,7.291666666699999,0.20416666670000003,3,-0.0188333333,-3.7916666667,7.083333333300001,0.1957525084,2,-0.0231973244,-3.9424749163999997,1.0,-0.0287443268,0.4001512859,7.7,4.9,1.902119927,0.3669384885,1.4172084288,-1.0437975626,0.8611111111,3.8333333332999997,2.0,0.847297860372918,2.3333333333,3.5,3.0,4.5,3.5,3.5,2.6666666667000003,2.8333333332999997,1.5,3.5,2.8333333332999997,5.0,-1.0037700607,0.6340681215999999,0.0,5.320134937200001,2.8971091860000002,0.1915751442,1.5482464265,77.7777777778,44.4444444444,48.148148148100006,5.0,5.0,2.75,1.75,3.625,2.7142857143,3.375,34,-0.5402436899,4.8849203713,14,266.0,9,1.4,0.6760320662999999,0.0023875259,0.8853013992000001,0.0027768546,0.5833333333,-5.553730190361736,-3.6646748864517766,-5.553730190361736,3,-1.0487953531999998,1.9793665644999998,0.3141004463,2.025236819,-0.1552041366,3.7333333332999996,204.1666666667,3.7527054913,0.2909140765,2.0480923276,40.0,130.5,2.772588722239781,-0.7816201197,0.4760700667,13,1.010534676,0.5194388471,2.0435071753,-0.7554564862,0.1666666667,0.4166666667,0.4166666667,0.6931471805599453,78.0,0.7000000000000001,0.9,0.8,0.4,3.0117729157,0.33210945350000004,1.5400730194,-1.3295019901,0.6185819071,0.0972984279,3.292967182,0.2257660994,1.4922280125,-0.0889044492,254.5,6.2,5.3,256.3333333333,4.3150242778,0.24056566489999998,0.35853302083420796,160.3333333333,231.6666666667,3.7736947517000003,0.25712351580000004,2.8086171307999996,71.3333333333,63.8797848029,2.6907719979,0.34219266940000004,1.5249975457,-2.2433189359,2.5,3.5,2.5,2.0,4.0,60,-0.37592046079999997,-0.0053028625,1.2760573677,0.29793627510000004,1.8157713607,-0.29336409760000004,-1.264696532,3.0769230769,2.7,3.3333333332999997,3.2222222222,3.6666666667,1241.8333333333,6,10,5413.0833333333,2.4,2.0909090909,2.9166666667000003,2.9285714286,2.3333333333,0.1314693092,0.1842408366
s011,1.8122140006,0.1909091396,1.6508608848000002,3.0,24.304347826100003,0.23333333329999997,15.7692307692,0.1333333333,0.3478742557,-0.7248067631999999,2.8835741608000003,0.35697962130000005,1.5940020164000002,-0.6289439984,-10.334107405001099,-8.134286283710965,2.0,2.4285714286,2.2,2.5,2.5,3.2,2.8571428571,59,3.9686788278,0.2506836884,1.5954754775,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1,-0.0038333333,-2.2916666667,10.4166666667,0.2562656642,3,-0.0083308271,-2.9235588972000004,1.1818181818,-0.21701739190000002,0.35044167,9.3,9.0,1.593057626,0.48424855079999995,2.3104595734999998,-0.6595451086999999,0.4166666667,2.0,1.0,0.9162907318741552,1.0,5.1666666667,7.0,7.0,5.0,7.0,1.0,2.0,1.0,3.0,1.0,7.0,-1.1608493275,0.2531436837,0.0,5.320134937200001,2.8075228222,0.1061562501,2.6140091315,72.2222222222,22.2222222222,7.4074074074,7.0,1.0,4.875,5.0,5.0,3.5714285714000003,1.0,52,-1.0170844173,3.9312389163,40,290.0,9,1.2,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,2,-0.9445445709,2.2350674461,0.3906836724,1.6402784549,-0.2362074373,6.0,244.1666666667,2.413258242,0.1952990605,1.4158443713,17.0,32.0,0.0,-13.754948441500002,0.3168698411,10,1.8494452726,0.6125460097000001,1.8843329568,0.019942161,1.0,1.0,1.0,0.1541506798558296,150.0,0.1,0.2,,0.0,3.2516392172,0.43571616259999996,1.3383194622,-2.4678405364,0.5147783251,0.054783886100000005,3.7123567214,0.3092102216,1.2710102323,-1.9512639271,387.0,6.3,7.9,301.6666666667,2.9934951776,0.3328737342,-0.15110831069582928,255.0,237.1666666667,3.675700525,0.30675872260000003,1.2063527447,-17.8333333333,-15.122923504200001,2.4365252638,0.3473717274,1.5912476194,-1.0839347384,7.0,7.0,7.0,7.0,6.5,72,0.3335432662,0.17135950579999998,2.6145667096,0.34309792110000004,1.2486027115,-0.7353393804,-0.054950975000000006,4.5384615385,1.9,1.6666666666999999,1.0,2.1333333333,1686.3416666667001,19,4,2352.0,1.0,1.3636363636000002,1.1666666667,1.1428571429,1.25,0.17973338400000002,0.45109789659999994
s012,2.1000459082,0.27784042130000003,1.5149706009000001,3.65,30.0769230769,0.1333333333,30.5454545455,0.2666666667,-0.1752935335,-0.2454089361,3.4161486264,0.3274076475,2.2325024222,-0.6856102970000001,-6.888655741933242,-4.5445513053646085,4.3333333333,3.3571428571,4.8,2.5,2.0,3.6,2.5714285714000003,40,2.5752542578,0.24910800789999998,1.2007364348,1.0,0.0,8.625,0.2791666667,2,-0.0261666667,-4.7916666667,4.4166666667,0.2052600473,1,-0.0134751773,-2.2192671395,1.2727272726999999,-0.181201017,0.9406044403,9.0,6.5,2.0871485262,0.4664541912,1.8862788475,-0.4826691627,0.25,3.5,3.1666666667000003,0.1541506798558298,2.5,4.0,4.3333333333,5.3333333333,4.8333333333,5.0,3.3333333332999997,4.3333333333,2.0,4.0,2.1666666667,5.0,-0.07813383780000001,-0.5197064557000001,-0.9092231175,3.5016887022000005,1.8413706906,0.1602251261,1.9911073242,38.8888888889,66.6666666667,62.962962963,3.5,4.75,4.0,3.625,3.25,2.5714285714000003,1.5,38,-1.0816155204,3.2951286846,20,217.0,8,1.0,0.5907514930000001,0.0013580401,0.970703125,0.0020802717,0.7222222222,-3.6646748864517766,-3.6646748864517766,-3.6646748864517766,3,-0.2959556486,1.627070376,0.2941370809,2.4396858924,-0.4394060762,3.5333333333,348.5,2.4815832144,0.2862079967,1.2794269226000001,6.0,112.0,1.0986122886681098,-20.5666405171,0.5749289078,12,1.0422507054,0.4378931239,1.7387217438,-0.8175400429999999,0.25,0.4166666667,0.75,0.4595323293573874,114.0,0.5,0.8,0.5,0.0,3.0892050388,0.4026810182,1.8631473644999998,-1.2915524444,0.3665835411,0.0693478387,2.5801564359,0.2601167862,1.7094219628999998,0.0366372815,296.0,6.5,5.2,295.3333333333,3.8581927123,0.2864239507,0.4353472070804521,297.1666666667,306.0,2.1516463891999997,0.3102299697,1.3819123206,8.8333333333,9.3470426632,1.5481898088,0.3409856739,1.7004133224000002,-1.0682644469,3.0,5.5,4.0,2.0,2.5,36,0.026735933000000003,-0.11411587029999999,1.3577981615,0.30937610039999996,1.6782525762,0.0643260021,-0.3888174399,4.3076923077,3.1,2.4444444444,1.7777777778,2.2666666667,1787.9242424242002,1,11,3688.25,2.1,1.8181818182,2.1666666667,1.0714285714,1.3333333333,0.8229371665,0.37785376229999995
s014,0.7548682283,0.0358415273,1.3921789221,1.6,11.76,0.1666666667,12.75,0.0666666667,-0.21431263190000002,-1.2275151249,3.3883965831,0.3702667394,1.6707478862,-0.1222513559,-7.494881841799582,-2.736799369475726,3.0,3.5714285714000003,4.8,3.0,2.25,2.8,2.8571428571,48,3.1271472257,0.2728727399,1.5251407597000002,0.33333333330000003,0.6666666667000001,11.333333333299999,0.0916666667,0,-0.0016666667,-1.8333333333,6.166666666699999,0.2503735326,3,-0.0100149413,-2.4951974386,1.4545454544999998,-0.0027181657,0.6590894145,6.9,6.3,1.1532725586,0.39591398270000006,1.5266421581999998,-1.5048080708000002,0.0,2.5,2.3333333333,0.6061358035521338,2.3333333333,3.5,5.3333333333,5.5,4.5,5.1666666667,3.6666666667,1.6666666666999999,2.0,2.5,2.0,2.8333333332999997,0.0763968543,-1.5217542731,-1.4200399192,2.4800550988,1.7110218978999998,0.08653550580000001,1.8587138669,44.4444444444,33.3333333333,29.6296296296,4.0,4.0,4.0,3.125,4.0,2.4285714286,2.375,36,-0.8005189753,3.0881574643,29,125.0,6,1.2,0.6273424149,0.00134547,0.7109272003,0.0018064547,0.4722222222,-1.3862943611198906,-1.3862943611198906,-2.7483841522350163,1,-0.949332217,1.7970357956,0.4838724627,1.3688498258000001,0.1455399329,5.0666666667,,,,,,,1.6094379124341005,,0.2698720297,1,1.4288745618,0.3914689486,1.9389163194999999,-0.14311902440000002,0.5833333333,0.75,0.33333333330000003,0.34830669429174504,103.0,0.2,0.2,0.30000000000000004,0.0,1.5462959438,0.210916627,2.2802110482,-0.42916880119999995,0.3656716418,-0.0051969601,2.4657545153,0.30454423140000003,1.6108047475,-0.5848693988,349.0,6.5,4.9,389.0,2.8023489130000003,0.3628625032,0.266588554117673,321.3333333333,336.3333333333,1.7867956315,0.217884275,1.6681959332,15.0,32.2303225806,2.892290968,0.39807630270000005,1.6795332938999998,-1.8883218309,5.0,4.5,4.5,3.5,3.5,46,-0.1740517707,0.2736285408,1.320913663,0.38450319439999997,1.3369966772,-0.2185962842,-0.1180531389,2.9230769231,3.0,3.1111111111,3.0,2.8666666667,2717.1904761905,16,5,4030.0833333333003,2.1,2.2727272727,2.25,2.0,2.0833333333,0.4370257158,0.34132697230000003
s015,1.5739322546,0.1886930584,1.3499905797,2.4,41.2352941176,0.43333333329999996,35.4666666667,0.5,-0.8057557115,-0.8299806563000001,3.9366027797,0.328674177,1.842909926,-2.2084026659,-7.55314234950583,-4.209769386895027,2.5333333333000003,4.0357142857,3.6333333333,2.75,3.25,3.4,1.0,64,2.4818191762,0.2747832161,1.3758998461,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1,-0.0001666667,-5.375,10.2916666667,0.23235294120000002,2,0.0006176471000000001,-6.3455882353,2.0,-0.025931320299999998,0.8086626635999999,9.8,5.8,2.67048371,0.3816609927,1.7595714338,-0.9388434097,0.027777777799999997,1.3333333333,1.3333333333,0.0,4.0,4.5,6.333333333300001,7.0,6.666666666699999,4.5,4.0,1.0,1.0,1.0,4.3333333333,5.3333333333,-0.17849837470000002,0.1883814539,0.0,5.320134937200001,3.2722010539,0.17428077990000002,2.7942053596000003,38.8888888889,11.1111111111,3.7037037037,6.666666666699999,3.75,5.0,5.0,4.25,4.7142857143,3.125,53,-1.3273158840000001,3.310775983,40,167.0,8,1.8666666666999998,0.7067575454999999,0.0015690091,0.99375,0.0018166595,0.8055555556,-2.7483841522350163,-2.067339257049917,-2.7483841522350163,4,-1.4581174085,1.7150064132,0.4067964709,1.5443334758,-0.8941671330000001,5.8666666667000005,,,,,,,1.6094379124341005,6.3976894787,0.49681353289999997,13,1.6576103891,0.5555645656,1.4121332653,-0.6574410202000001,0.75,0.75,0.5833333333,0.08004270764276712,150.0,0.1,0.2,0.6000000000000001,1.0,3.4990177732,0.369985051,1.5196118162,-1.5573195299,0.45365853659999994,0.034782254000000006,3.0209428231,0.2762085509,1.181423756,-1.0823949293000001,299.5,6.7,5.4,309.1666666667,2.7473849862,0.32486845340000003,0.1344073398706923,261.8333333333,276.0,3.1955526545999997,0.3691803586,1.2131231123000001,14.166666666700001,11.6861494402,2.2105345366,0.44718982170000005,1.5642044874,-1.2482497132,7.0,7.0,7.0,7.0,7.0,18,-0.40760067299999997,-0.6218351594,1.7361076056,0.3186585864,1.4009708419999998,-0.14104583710000002,0.16199307289999998,3.8461538462,2.0,3.6666666667,1.8888888889,3.2,1923.8316666667001,9,9,3099.75,1.2,2.0909090909,1.0833333333,1.0,3.25,0.8784731181000001,0.37370644439999995
s017,0.9035826595,0.1757294278,1.9488805586000002,2.2,23.6363636364,0.2666666667,10.0,0.2,-0.8896154115,-0.6201996205,3.5686714155000003,0.4149875893,2.3082791341,-0.3200608585,-9.457561475069449,-8.1552620853318,5.2666666667,3.4285714286,3.6,3.5,2.5,3.6,3.8571428571,46,2.2304271444999997,0.2782933466,1.7206466196999999,0.6666666667000001,0.33333333330000003,5.0,0.075,0,-0.0033333333,-0.75,6.5,0.1383333333,1,-0.0122,-0.7833333333,1.0,-0.0209501558,0.8359813084000001,8.0,7.4,2.0305874378,0.4446728894,2.1629635754,-0.8241721188000001,0.8333333333,3.1666666667000003,2.3333333333,0.6931471805599453,3.5,3.0,2.8333333332999997,4.3333333333,3.6666666667,3.6666666667,2.6666666667000003,1.6666666666999999,1.8333333333,2.0,3.3333333332999997,4.0,-0.3527251685,-0.1627094281,-0.5542288687,2.8827508555000003,1.8181948648,0.2382802969,1.8486074756,83.3333333333,66.6666666667,66.6666666667,4.6666666667,6.0,1.875,2.375,3.5,2.5714285714000003,2.875,45,-0.9575666758,4.0502743994,23,235.0,6,1.5333333333,0.8563354492,0.0019972663,1.0,0.0020916368000000003,0.4722222222,-8.511264302067357,-8.511264302067357,-7.365900695568905,5,-1.4783153596,1.8468851874,0.3621156578,2.1744459854,-0.6299809836,2.8666666667,320.0,2.5789246202,0.3808041785,1.8511480428,-43.5,56.0,1.6094379124341005,26.489218095500004,0.5339308097000001,10,1.7273107698,0.5041301432,2.1604889109,-0.6744356850000001,0.6666666667000001,0.5,0.8333333333,0.1541506798558296,124.0,0.2,0.9,0.6000000000000001,0.8,2.0855832518,0.40146367159999996,1.8270564222999999,-1.3586937369,0.46981627299999995,0.045888794,2.4888219672,0.30319870060000004,1.7574582579,-0.4710636282,359.0,5.0,6.4,294.6666666667,3.3478329843,0.33535972080000004,0.6217771779521015,302.3333333333,281.0,3.1431516414,0.2273394113,3.3007807712,-21.3333333333,-37.4745762712,2.1770872714,0.3735969563,2.1253131187,-0.6531089807,6.5,6.5,4.5,2.0,4.5,38,-0.1842462721,0.4138981446,1.8079374846,0.31455930379999997,1.9022059541999998,-0.42465538399999997,-0.1932790938,4.6153846154,3.9,4.0,2.0,2.5333333333000003,1567.3343253967998,5,10,4024.0,1.9,1.0,2.0833333333,1.7142857143,2.6666666667000003,0.1271461984,0.2921138351
s026,1.3697468806,0.2334004848,1.0401973049,2.1,43.0869565217,0.23333333329999997,23.9130434783,0.23333333329999997,-0.5987070801000001,0.019115049,3.3155864921,0.31946044970000004,1.9438088487,-0.0812110973,-9.789667916336667,-6.341435044729682,2.8,3.1785714286,3.9333333333,3.5,1.75,3.4,2.1428571429,49,4.1356878649,0.284309046,1.1931383506,1.0,0.0,10.0,1.6653345369999998e-16,1,-1.474514955e-17,0.0,6.041666666699999,-0.0035714286,0,-0.00014285709999999998,0.0357142857,1.0,-0.4397196371,0.7318736961000001,7.5,6.8,2.6836058413,0.34267257,2.3045464035,-0.15313413850000002,0.2777777778,2.6666666667000003,4.0,0.2876820724267811,1.8333333333,2.3333333333,4.0,4.8333333333,4.0,3.6666666667,2.6666666667000003,2.0,1.5,1.6666666666999999,1.1666666667,4.0,-0.4885349175,-0.0681713467,0.1976700244,4.9247948884,3.6808312001999997,0.0539146247,5.642164985499999,38.8888888889,33.3333333333,22.2222222222,6.0,4.5,4.0,3.375,4.875,3.1428571429,2.75,41,-1.1652624446,3.6348828618,30,175.0,9,1.0,0.7183802604999999,0.0023475321000000003,0.9771484375,0.0028280387,0.5,-4.625581180301964,-3.6646748864517766,-3.6646748864517766,3,-0.9709826056,2.1140768609,0.4167234081,1.9082493884,0.1809132759,5.1333333332999995,232.3333333333,3.0432311998,0.34893477370000003,1.1082927264,-10.0,21.0,1.0986122886681098,,0.7593680811,14,1.4919455894,0.526905711,1.8058668993,-0.2809049112,,0.9166666667,0.8333333333,0.22314355131420974,133.0,0.0,0.2,0.30000000000000004,0.0,3.186702664,0.41166996969999997,1.7379991472999998,-3.6370590643000003,0.3842364532,0.045183084500000005,2.4212339121,0.3000543962,1.3359116976,-1.077371557,304.0,7.5,6.3,263.3333333333,3.393284079,0.371109508,0.2183175670424971,241.5,288.1666666667,3.3465852662,0.3187883939,1.2895684109999999,46.6666666667,73.9608305446,2.2989260053,0.38774432719999996,1.5462316824000002,-0.6871639547,5.5,6.0,6.0,3.5,4.0,36,-1.0848732534999999,-1.4893270905000002,1.4402912001,0.33622926020000005,1.4718946987000001,-0.8016289171000001,-0.5813795408,3.9230769231,2.4,4.0,2.1111111111,2.4666666666999997,1956.6166666667002,7,8,2455.1666666667,1.2,1.0909090909,1.4166666666999999,1.2142857143,1.25,0.2006291395,0.1499208848
s027,1.5876261237,0.22016732579999998,1.6139465343,2.4,13.2,0.1666666667,33.125,0.4666666667,-1.1982739582,-0.6012311442,3.4386560856,0.3784769473,1.5427901971,-1.1912679056,-6.889865263876853,-3.2680159337611467,4.2,3.7142857143,4.2,1.75,3.5,3.2,3.2857142857,38,3.7792828462,0.2510939816,1.6845307321,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1,-0.019,0.25,8.5833333333,0.1848201136,2,0.0004031138,-1.3611403324,1.3636363636000002,-0.1080603246,1.1609934819,8.3,6.5,2.2848105553,0.3028370111,2.0218388723,-0.30590548149999996,0.027777777799999997,1.0,3.3333333332999997,0.1541506798558298,3.5,3.6666666667,6.0,3.6666666667,6.5,4.8333333333,2.5,1.1666666667,3.5,1.8333333333,2.3333333333,5.1666666667,-0.3199908226,-0.1519549144,-0.3884511935,3.7790742791,2.4488167101,0.0716396138,3.4547931599,61.111111111099994,33.3333333333,33.3333333333,4.0,7.0,3.875,3.0,3.125,3.0,2.625,45,-1.0170844173,3.9312389163,25,155.0,4,1.2666666667,0.6938799858,0.0019379014999999999,0.6649845123,0.0024244932000000003,0.7222222222,-3.6646748864517766,-3.6646748864517766,-2.7483841522350163,3,-1.9246303006999999,2.3075324749,0.4329321335,1.4246166841999999,-0.2955632744,4.7333333333,236.1666666667,3.1975200326,0.2124743764,2.6943142767,0.5,144.5,2.079441541679836,,0.3102803725,9,1.5832557225,0.4157053018,2.4577792897,-0.24973772989999998,0.4166666667,0.5833333333,0.9166666667,0.08004270764276712,89.0,0.30000000000000004,0.2,0.6000000000000001,0.1,1.9834421531,0.3822039605,2.0210516213,-1.3092861429,,,3.1780003910000003,0.25777975340000003,1.8404246222,-0.21468423469999998,278.5,6.2,6.6,214.3333333333,3.9821451681,0.15869262720000002,1.087235695946867,168.0,201.5,3.4795482409,0.2194809734,2.1650035361,33.5,116.3699367387,2.5980807936000003,0.2974400951,1.7222211893000001,-0.304191666,6.5,5.0,4.5,2.0,6.0,48,-0.17105935719999998,-0.0958947856,1.8863698992,0.2991460769,1.609290834,-0.8159639307000001,-0.8071986389,3.5384615385000004,4.0,1.5555555556,2.2222222222,2.9333333333,1350.6296296296,23,5,2417.5833333333,2.3,1.7272727273,2.1666666667,1.5,2.4166666667,0.1688114436,0.1809482422
