"X","adaptive_n_back.hddm_drift","adaptive_n_back.hddm_non_decision","adaptive_n_back.hddm_thresh","adaptive_n_back.mean_load","angling_risk_task_always_sunny.keep_adjusted_clicks","angling_risk_task_always_sunny.keep_loss_percent","angling_risk_task_always_sunny.release_adjusted_clicks","angling_risk_task_always_sunny.release_loss_percent","attention_network_task.alerting_hddm_drift","attention_network_task.conflict_hddm_drift","attention_network_task.hddm_drift","attention_network_task.hddm_non_decision","attention_network_task.hddm_thresh","attention_network_task.orienting_hddm_drift","bickel_titrator.auc_large","bickel_titrator.auc_medium.logTr","bickel_titrator.auc_small.logTr","bickel_titrator.hyp_discount_rate_large.logTr","bickel_titrator.hyp_discount_rate_medium.logTr","choice_reaction_time.hddm_drift","choice_reaction_time.hddm_non_decision","choice_reaction_time.hddm_thresh","cognitive_reflection_survey.correct_proportion","cognitive_reflection_survey.intuitive_proportion","columbia_card_task_cold.avg_cards_chosen","columbia_card_task_cold.gain_sensitivity","columbia_card_task_cold.information_use","columbia_card_task_cold.loss_sensitivity","columbia_card_task_cold.probability_sensitivity","columbia_card_task_hot.avg_cards_chosen","columbia_card_task_hot.gain_sensitivity","columbia_card_task_hot.information_use","columbia_card_task_hot.loss_sensitivity","columbia_card_task_hot.probability_sensitivity","dietary_decision.health_sensitivity","dietary_decision.prop_healthy_choice","dietary_decision.taste_sensitivity","digit_span.forward_span","digit_span.reverse_span","directed_forgetting.hddm_drift","directed_forgetting.hddm_non_decision","directed_forgetting.hddm_thresh","directed_forgetting.proactive_interference_hddm_drift","discount_titrate.hyp_discount_rate_glm.logTr","discount_titrate.hyp_discount_rate_nm","discount_titrate.percent_patient","dot_pattern_expectancy.AY.BY_hddm_drift","dot_pattern_expectancy.BX.BY_hddm_drift","dot_pattern_expectancy.bias","dot_pattern_expectancy.dprime","dot_pattern_expectancy.hddm_drift","dot_pattern_expectancy.hddm_non_decision","dot_pattern_expectancy.hddm_thresh","go_nogo.bias","go_nogo.commission_errors","go_nogo.dprime","hierarchical_rule.score","holt_laury_survey.beta","holt_laury_survey.risk_aversion","holt_laury_survey.safe_choices","information_sampling_task.Decreasing_Win_P_correct","information_sampling_task.Decreasing_Win_motivation","information_sampling_task.Fixed_Win_P_correct","information_sampling_task.Fixed_Win_motivation","keep_track.score","kirby.percent_patient","local_global_letter.conflict_hddm_drift","local_global_letter.global_error_cost","local_global_letter.global_incongruent_errors","local_global_letter.hddm_drift","local_global_letter.hddm_non_decision","local_global_letter.hddm_thresh","local_global_letter.local_error_cost","local_global_letter.local_incongruent_errors","local_global_letter.switch_cost_hddm_drift","motor_selective_stop_signal.SSRT","motor_selective_stop_signal.hddm_drift","motor_selective_stop_signal.hddm_non_decision","motor_selective_stop_signal.hddm_thresh","motor_selective_stop_signal.reactive_control","motor_selective_stop_signal.selective_proactive_control","probabilistic_selection.positive_learning_bias","psychological_refractory_period_two_choices.PRP_slope","ravens.score","recent_probes.hddm_drift","recent_probes.hddm_non_decision","recent_probes.hddm_thresh","recent_probes.proactive_interference_hddm_drift","shape_matching.hddm_drift","shape_matching.hddm_non_decision","shape_matching.hddm_thresh","shape_matching.negative_priming","shape_matching.prime_trials","shape_matching.stimulus_interference_hddm_drift","shift_task.conceptual_responses","shift_task.learning_rate","shift_task.learning_to_learn","shift_task.num_cat_achieved.ReflogTr","shift_task.perseverative_errors","shift_task.perseverative_responses","shift_task.trials_pre_first_cat","simon.hddm_drift","simon.hddm_non_decision","simon.hddm_thresh","simon.simon_hddm_drift","spatial_span.forward_span","spatial_span.reverse_span","stim_selective_stop_signal.SSRT","stim_selective_stop_signal.hddm_drift","stim_selective_stop_signal.hddm_non_decision","stim_selective_stop_signal.hddm_thresh.logTr","stop_signal.SSRT","stop_signal.commission_errors","stop_signal.hddm_drift","stop_signal.hddm_non_decision","stop_signal.hddm_thresh","stop_signal.inhibition_slope","stop_signal.omission_errors","stop_signal.proactive_SSRT_speeding","stop_signal.proactive_slowing","stroop.congruent_errors","stroop.hddm_drift","stroop.hddm_non_decision","stroop.hddm_thresh","stroop.stroop_hddm_drift","threebytwo.cue_switch_cost_hddm_drift_100.0","threebytwo.cue_switch_cost_hddm_drift_900.0","threebytwo.hddm_drift","threebytwo.hddm_non_decision","threebytwo.hddm_thresh","threebytwo.task_switch_cost_hddm_drift_100.0","threebytwo.task_switch_cost_hddm_drift_900.0","tower_of_london.avg_move_time","tower_of_london.num_extra_moves","tower_of_london.num_optimal_solutions","tower_of_london.planning_time","writing_task.neutral_probability","writing_task.positive_probability"
"s005",0.6653063958,0.281757109,1.3886569479,1.65,36.3636363636,0.2666666667,30.5,0.3333333333,0.1868631866,-0.8447480288,4.3007563094,0.3260515929,2.5133083069,-0.4119993112,0.326817637,-1.84490017914256,-2.09295712467415,-7.55021885097517,-5.48118350359891,4.7833985939,0.2839007625,1.9674996435,0.8333333333,0.1666666667,13.4166666667,0.275,3,-0.008163333333,-2.9166666667,13.0416666667,0.156353601681,3,-0.005209617358,-3.7905236908,0.2518581217,0.1956521739,1.2169609029,9.2,8,0.8437032059,0.5099937987,1.459672553,-1.4349785779,-3.37842620311274,0.024579341,0.1666666667,0.9373184381,1.1805719877,-0.3884511935,3.7790742791,2.6168264774,0.2802044727,1.2920921228,-0.5306698657,0.1714285714,2.958409813,174,59.8991114415,0.8568707964,6,0.7475608826,0.0009119887,0.9208297729,0.001067059,0.5555555556,0.2962962963,-0.7578950213,-587,0.1,2.3398975334,0.4493564582,1.9887343705,-122.8,0,-0.5649681888,344.1666666667,2.8315244151,0.3394881524,1.2548215133,7,114,0.463140539914,0.6320956121,14,1.8394285042,0.4911390304,1.9105228738,-0.594270272,3.6491933737,0.2962728677,1.942031289131,-14.5,0.0902527076,-0.7827853239,138,0.0445575732,-0.1403508772,0,77,123,24,3.3829594947,0.2737740259,2.1431400564,-0.1008525638,6.5,5.1,432.6666666667,2.9020265184,0.3067676549,0.548345993693172,276.0833333333,0.5222222222,3.2716055237,0.3660444007,1.5034064744,0.0070891151,0.0476190476,52.8333333333,61.5610543303,0,4.2647972817,0.293706123,2.4911224911,-0.6674632348,-0.0766649737,0.1862088153,1.4077135869,0.347773861,1.4301597076,-0.857491415,-0.8591499678,1915.6111111111,19,7,2585.75,0.8868519986,0.4059011843
"s007",0.85141405748,0.135230852458,1.679148509384,1.694,19.0769230769,0.1333333333,14.8,0.1666666667,0.0237196834,-0.6736436204,1.9474079284,0.3591533512,1.8328115313,-0.2818472417,0.3999657534,-0.818663810743201,-2.38939723710459,-7.46093827674933,-7.0738052588364,2.1429858502,0.275809191655,2.5812498919,0.1666666667,0.6666666667,4.8333333333,0.0333333333,0,0.0013333333,-0.4166666667,13.0416666667,0.2115478865,1,-0.0035254237,0.8082499489,0.429502064,0.1875,0.5991357069,9.6,6.4,1.261066048956,0.448553750964,2.031324249102,-0.810633738949,-2.15899017975919,0.0117891706,0.3611111111,-0.668764816,-0.7675970973,-0.5694639092,2.4879073189,1.5341519038,0.0083886329,2.3767937768,-0.7539398563,0.2857142857,2.6397773564,98,25.7627506452,0.3968411315,9,0.8018417358,0.0007886168,0.8767990112,0.0012070223,0.7777777778,0.2592592593,-1.7058438721,-316.5,0.7692307692,0.8669088672,0.4257036751,1.5383093675,-91,0.380952381,-0.0316890764,375.478333333332,2.21312209317,0.331261093961,1.542310522668,26.245,55.155,8.6329234757,0.5112262406,10,1.0800232668,0.6263703069,2.3159294187,-0.499986994,2.0157643227,0.5196551655,1.7611968985,27.5,0.1146953405,-1.5334381938,86,0.006016204,-0.1228070175,0.693147180559945,69,89,17,3.0508488857,0.34146928,1.4971291503,-0.5583740731,5.1,5.4,395.8333333333,1.6834343328,0.356221172154,0.385677657144824,398.0833333333,0.5555555556,1.8882726173,0.3970941033,1.4467723667,0.0041042882,0.1142857143,81.8333333333,26.4811435343,2,1.8115134241,0.5147782752,1.9867070723,-0.4969583752,-0.088467905,0.0060007829,0.301653603,0.0126594072,2.0244779398,-0.458790474,-0.7320709654,2282.5555555556,-5,8,6112.1666666667,0.8621573749,0.6821860019
"s009",1.9901749109,0.2242162629,1.2333973452,2.7,28.2608695652,0.2333333333,19.1304347826,0.2333333333,0.0891006032,0.1646508999,3.2147234963,0.2917885545,1.7338164211,-0.6642422242,0.4287517123,-1.36553865598985,-2.87459110850881,-7.57231461396333,-6.21923071627597,3.1102526697,0.2596551036,1.186642605,0.8333333333,0,13.7083333333,0.068833333337,2,-0.0118333333,-6.4583333333,5.25,0.1141843972,2,-0.0049527187,-2.4048463357,0.1593423691,0.170212766,1.1747285803,6.8,4.8,2.3121865143,0.439073927,1.8449419609,0.3697397748,-5.31144092496662,0.0043246982,0.7222222222,-3.6002830978,-1.4592425499,-0.5814270014,3.384397236,2.693461919,0.188176057,1.2184527242,-0.7017421781,0.0571428571,4.5619233948,222,25.7627506452,0.3968411315,9,0.6171309948,0.0017705286,0.985546875,0.0028862039,0.7222222222,0.5925925926,-1.6418432992,-10.5,0.0714285714,2.2392002651,0.3894841872,1.9120875126,-146.5,0,0.1393476949,199.3333333333,2.5254188887,0.3402057771,1.6468474244,-8.5,73,-8.3796570589,0.6676807246,6,1.2412154845,0.4875572938,1.976991123,-0.873055653,3.42628039,0.3502389307,1.7412488376,-8,0.0964285714,-1.5210155634,209,0.1462449228,-0.098245614,0,83,145,24,5.1025279855,0.250090251,1.5537084505,-0.1518606417,6.8,6.4,225.1666666667,1.2679696939,0.3611774483,0.407056284581844,196.5,0.5277777778,3.3043643963,0.3146146522,2.7011088355,0.0088475104,0.019047619,20,-35.1317225628,0,2.8559236878,0.3536203125,2.606645235,-0.6891327459,-0.835749737,-0.5951905821,1.9700975841,0.3189726311,1.5997180928,-0.3985436703,-0.2503301707,1251.3159722222,5,11,3222.6666666667,0.1779068063,0.4556380051
"s011",1.4236172954,0.0979423514,1.4608552829,3.2,40.5555555556,0.4,18.3333333333,0.3,-0.7036745994,-1.2773634332,3.5129195049,0.3551980826,1.8657941492,-1.1746085079,0.0405325342,-2.0693827129504,-1.42210609672546,-6.89710611555658,-5.2771501609086,4.5663118712,0.2586607756,1.3824439948,0.3333333333,0.3333333333,5.3333333333,0.0583333333,1,-0.0026666667,-1.75,6.9130434783,0.130866426,3,-0.0025487365,-3.7931923672,0.1939300298,0.1428571429,0.9515309845,7.9,9.8,2.0920299616,0.3227650681,2.3500991767,-1.0076009563,-1.53994240202459,-0.0099401964,0,-4.4150579055,-2.9641580145,-0.7548590441,3.810416849,3.4719481975,0.2189620189,1.5240929269,-0.7625664513,0.1142857143,3.9332268227,265,1.2928725743,0.0438060331,4,0.7708899498,0.0016033788,0.8675750732,0.0018161934,0.5833333333,0,-0.9816870967,-127.335,0,2.6686655233,0.3572493873,2.5310587915,-113.205,0,-0.5373239888,259.5,3.8231744736,0.3036288241,1.6947284412,-8,84,1.0782063195,0.2325498095,12,1.6710064062,0.3774073242,2.421460752,-0.7243682006,3.3476136293,0.4242283442,1.5635940589,7,0.1035714286,-2.5259039541,177,0.0917039711,0.1385964912,0,89,162,23,3.5714446363,0.3208583085,1.1885198853,-1.7751402303,5.7,6.3,193.3333333333,3.6851132797,0.3518033272,0.756627290293351,243.8333333333,0.5277777778,3.8633792039,0.318563423,1.9595088387,0.0069876687,0.0095238095,7.6666666667,96.7917874738,0,2.9409288431,0.3477657211,1.768908881,-1.8922339491,0.0082601971,-0.0110101067,2.7439454075,0.3477161427,1.2988064738,-0.4949530141,-0.0409569494,1371.7153679654,11,8,2094.9166666667,0.1925341667,0.2404360379
"s012",2.1533503267,0.3177321036,1.4810090871,3.25,44.1578947368,0.3666666667,24.5652173913,0.2333333333,-0.7267599584,-0.9139577362,3.1956818011,0.2964819985,2.2769690276,-1.561937866,0.166817637,-2.36767170990867,-2.34836011582405,-6.74499250421704,-4.59119963024749,3.1037352116,0.2621982607,1.4809104215,0.8333333333,0.1666666667,5.6666666667,0.0583333333,2,-0.0086666667,-2.9166666667,3.9583333333,0.1687969925,3,-0.0115213033,-1.9323308271,-0.3553490939,0.0208333333,0.7137797811,8.4,8.6,2.0160752455,0.497742059,1.8904292561,-0.3507232196,-3.37817876649714,0.0228475268,0.1666666667,0.0770524825,0.3403154805,0,5.3201349372,3.7890039937,0.0620240635,2.141090910267,-1.0820225484,0.3714285714,2.8201893119,190,10.925098711,0.2565783653,8,0.6499261856,0.0010140799,1,0.0020015881,0.6666666667,0.1851851852,-0.551058722,-95.5,0.3571428571,1.4617441325,0.3635144302,1.9236417477,-552,0,-0.4335588442,347.1666666667,2.4267166895,0.2864833731,1.4887863119,-7.5,81,27.3376402867,0.6264483412,15,1.5349512975,0.5095222685,1.5484092715,-0.1540319601,2.9219187698,0.3956995445,2.3426039863,76,0.1035714286,-1.481237893,128,0.0590870111,0.5005159959,0.693147180559945,101,151,18,2.4034570106,0.2847408006,1.5379539663,-0.6404945781,5.9,6,303,3.2102822132,0.3160440288,0.322478590892707,285.6666666667,0.5055555556,2.1827436165,0.3162921085,1.4157706096,0.0045768279,0.0785714286,20,20.8802469136,1,2.3064804964,0.3683992696,2.2985731428,-0.9588942866,0.4416795193,0.2017831137,1.9699718904,0.3138444877,1.6118937457,-0.6078250773,0.2661280612,2230.165,3,8,4731.5,0.2365442544,0.1860625235
"s014",0.7800571518,0.0431136379,1.4060747811,1.5,16.1481481481,0.1,12.1538461538,0.1333333333,0.2900029652,-1.7317149473,0.7716491912,0.351841883223,1.9106477994,0.0256937921,0.1895907534,-2.615233788607,-3.37082430714678,-6.67541891137926,-4.76695696004767,2.1445031679,0.244752067449,2.485207759,0.3333333333,0.5,8.0416666667,0.0291666667,1,-0.0078333333,-3.125,4.25,0.1512254902,3,-0.0077058824,-2.6666666667,-0.1140992804,0.125,0.7487803391,7.2,5.7,1.6266148451,0.3381627983,1.8888021191,-1.0343827912,-1.53960258091628,-0.0119043982,0,-1.3226542048,-0.7318510933,-0.3446865999,2.6242163319,1.6530892671,0.0661645348,1.9796120327,-0.3258414813,0.1142857143,3.0597768827,168,46.0626954627,0.8291899447,10,0.7172293186,0.0011741687,0.5847579479,0.0008385868,0.5277777778,0.037037037,-1.1272186111,-171,0.0588235294,1.2315929603,0.3545034432,1.5701517213,27,0.188914109097,-0.295105306,348.1666666667,2.1583779157,0.226258243,1.3984306575,46.5,24,0.198183062432,0.2956460299,6,1.0258920057,0.3994322673,2.0234245461,-0.4845252473,0.8916383454,0.393643428551,2.4917727268,-72,0.1484375,-0.5002365857,34,-0.02260803,-0.4485294118,0.484296216702965,88,113,19.52,1.8389339586,0.3198033631,1.7239141892,-0.9090729695,6,4.7,334.334999999998,2.660364958177,0.319961082181,0.516014106512266,237.6666666667,0.5333333333,2.9050178344,0.273900338,2.0309532539,0.0060708372,0.0595238095,25.6666666667,15.6246753247,1,2.3497586548,0.3382032394,1.876368455,-1.0683998679,-0.4131019741,0.3533945844,0.7180483669,0.0852431643,2.0120521507,-0.140940876,-1.0926942045,2810.0145833333,9,5,4402.6666666667,0.7998899836,0.3405855003
"s015",1.6880969831,0.2162035965,1.2876186982,2.55,44.0666666667,0.5,24.5,0.3333333333,-0.8436920275,-0.7806072847,3.9805695141,0.3105244329,2.2578946125,-1.3567438021,0.2033672945,-2.89290063822025,-2.91115822577281,-6.76135109737498,-4.7762888580882,3.4890295141,0.284854142,1.4101439477,0.5,0.3333333333,8.375,0.1625,2,-0.0025,-7.2083333333,6.25,0.1385714286,1,-0.0017428571,-3.6142857143,0.0795053811,0.2040816327,0.7646721157,6,5.5,1.3872616587,0.3889150836,1.7773432319,0.086841761,-3.12016593744256,-0.023774899,0.1111111111,-1.1475669853,-0.4272954131,-0.6385366708,4.0430615957,2.8036686964,0.0265057134,2.7085700505,-0.9928100529,0.2285714286,3.4727396196,218,7.6113128603,0.3752535483,7,0.6677876472,0.0014048019,0.9998046875,0.0016761451,0.5833333333,0.1481481481,-1.3077812218,-54.5,0.3076923077,1.7955743024,0.3768396606,1.5426839725,-132.5,0.1428571429,-0.4601414463,298,3.4670632457,0.3154394254,1.4331773438,0,84,5.193081253131,0.5386307889,8,1.2588082767,0.4504771484,1.9841418579,0.0426876651,2.9377885814,0.4136323994,1.5069937808,14.5,0.0866425993,-1.3789482375,166,0.0608536658,0.1859649123,0,81,149,19,1.7440370436,0.2756832954,1.326948913,-0.5925543728,6.8,6.6,287.5,3.1970984254,0.359141044,0.0762116126995912,236.4166666667,0.5333333333,3.3388446765,0.3218221473,1.4366044421,0.0150193543,0.0404761905,11.5,34.7606433777,2,2.0191601559,0.3158818619,1.9112075958,-0.7052229735,-0.391437532,-0.0526025959,1.2245853212,0.3265413266,1.4778869655,-0.7926086909,-0.2279756515,1979.000617284,21,7,3214.75,0.185847204,0.3486871557
"s017",1.0616877026,0.0273020576,1.7035901003,2,37.5,0.2666666667,21.3333333333,0.1,-1.014674367,-0.3790029319,3.5373997371,0.3303273681,2.0684437529,-1.7357226793,0.4447148973,-0.421195200405008,-2.31261987408771,-9.09292629326493,-8.53418676779281,5.8184264545,0.2321926164,2.5047891661,0.6666666667,0.1666666667,9.7083333333,0.1041666667,3,-0.0111666667,-2.125,7.9583333333,0.1894025605,3,-0.0077980085,-1.8536882747,0.1836432283,0.0208333333,1.3700064956,9.3,7.6,2.3461603511,0.4446371607,1.9891592173,-0.5675844809,-5.97285192170092,0.0018730624,0.8333333333,-0.2503284686,0.0109947156,-0.7548590441,3.810416849,1.8181558599,0.1262890559,2.3750659981,-0.7625664513,0.1142857143,3.9332268227,246,0.0331595576,-0.6040336065,3,0.767848587,0.0024491452,0.98984375,0.0027049545,0.5833333333,0.962962963,-0.8720203599,-219.5,0.1666666667,1.6844076246,0.4359214029,1.9058040693,-142.295,0,-0.343170238,282.6666666667,3.0212148086,0.2136222191,2.2761317853,-14.5,160,7.228056023867,0.58484855,10,2.0709244946,0.5227037386,2.0188232501,-0.6032485502,2.7861588275,0.4232271701,1.6599587305,-15,0.1374045802,-2.041110711,136,0.0676643665,-0.0701754386,0,100,158,23,3.3876564532,0.2909042138,1.7022650082,-0.3850560542,6.5,5.6,251,3.7696179525,0.2966614521,0.998368444602691,270.9166666667,0.5166666667,3.0426350253,0.3317619489,1.6607965515,0.0041655484,0.0285714286,48.1666666667,98.0324196876,1,2.4440337291,0.416276361,1.8061372682,-1.7703160586,-0.0866073927,0.5844345789,2.0724096014,0.3402477274,1.7941695465,-0.3054997292,-0.1104894772,1481.6893939394,1,10,3958.5,0.185612246,0.1743021071
"s026",1.1546766673,0.2348209312,1.0822845053,2,11.375,0.2,21.2083333333,0.2,-0.0317433277,-0.3445163197,3.9592166079,0.3266621765,2.0989673752,-0.5682299764,0.6562517123,-1.75006881101737,-3.04245778877867,-8.68637071079016,-6.90505054008841,5.8668831518,0.2919440338,1.3785225484,0.6666666667,0.1666666667,13.25,0.025,1,0.001,-2.75,10.0833333333,0.0009003215,0,-0.0002593783,-0.0739549839,-0.2888881723,0.0416666667,0.9523625263,9.8,7.1,2.0732068877,0.4066714533,2.0030592353,-0.2692762968,-5.81172759419356,0.0010238974,0.8888888889,-0.4918408761,-0.4336819925,0.1910395678,4.9380558016,4.945659818,0.4075117067,3.924041763,-0.6433888409,0.1714285714,3.1838477634,206,10.925098711,0.2565783653,8,0.5657946467,0.0019503946,1,0.0027379268,0.4444444444,0.7407407407,-0.9453546695,140.5,0.0769230769,2.062719768,0.3740741605,1.5972638841,25.5,0.1428571429,-0.0773307868,322.873333333335,3.185066362556,0.31396905154,1.524782612204,15.025,74.3,1.9133373883,0.57614781,13,1.2773173414,0.4815953652,1.7059301021,-0.1581913903,2.4851144015,0.4274992579,2.0310603094,1.145,0.071942446,-1.7559547295,153,0.0421807819,0.1350877193,0,86,148,19,4.1882946905,0.280266586,1.3215483473,-1.193135244,6.1,4.5,324.1666666667,3.5703846714,0.3221989042,0.0820640448405585,214.4166666667,0.5111111111,3.2933833238,0.3371138463,1.4521192359,0.0055472448,0.0285714286,46.5,27.3855207639,1,2.8592644367,0.3203355889,1.7927453064,-0.5932936066,-0.1041368673,-0.4494917582,1.4832400568,0.3309343587,1.6526615332,-0.7505007991,-0.6415676385,1949.3041666667,15,7,2732.1666666667,0.1857878768,0.1482208463
"s027",1.251448764104,0.2513960273,1.5054199959,3.25,31.1904761905,0.3,24.4444444444,0.4,-0.2766212702,-0.8479516921,4.0842729582,0.3304495381,2.2987081431,-0.8795270338,0.0536849315,-3.3245931402826,-3.31377940809412,-5.10629544413302,-4.6734171375302,5.0316662333,0.269301725,1.671537804,0.6666666667,0.1666666667,15.9583333333,0.049708333339,2,-0.005575000003,-1.2083333333,12.0416666667,0.1848506401,1,-0.0021463117,0.1062792115,-0.1627840879,0,0.6051033191,8.3,7.1,1.8495819955,0.4122623487,1.8792901242,-0.5632905943,-2.05266328662772,-0.020498311,0.0277777778,-0.0216414833,0.1652520707,0.2022392566,4.9156564241,3.0660032865,0.0877258603,2.191705898097,-0.8075379761,0.0857142857,4.3503317988,162,59.8991114415,0.8568707964,6,0.6397562981,0.0015567866,0.712187767,0.0018455326,0.6111111111,0.1481481481,-0.8474055182,-306.5,0.1176470588,2.0772338138,0.3454810699,2.1879304665,-168.455,0,-0.2682107077,232.6666666667,2.213138947,0.1982276223,2.2066397131,-37,129,11.5278362607,0.3198007084,10,1.6808858813,0.5593678934,1.8818676492,-0.2351052331,2.2638123538,0.3497221885,2.5336339537,5.39,0.0869565217,-2.1116002309,150,0.1228237996,0.2631578947,0,76,143,17,2.6022801952,0.2869448717,1.4555714542,-0.4120696692,6.5,5.5,267.006666666665,3.592954662384,0.312338287694,0.729841865727704,253.941250000008,0.524000000001,3.322803323571,0.299307569295,1.861751792535,0.009737303829,0.038095238095,15.745,27.156119009402,1,2.6851874756,0.3016910152,2.0272192957,-1.0373010694,-0.5202030473,-0.4176088997,1.3884728721,0.2389209531,1.9450833184,-0.6017899723,0.0457784091,1881.7376190476,15,6,2627.5,0.1994604062,0.3939701676
