,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,writing_task.neutral_probability,writing_task.positive_probability
s005,1.5154030549000002,0.2569574428,1.1152802705,1.9,23.2692307692,0.1333333333,22.2222222222,0.4,-0.5717980713,-1.4564181731999999,3.5247862513,0.4023855783,1.5406258942000002,-0.3411871286,-6.8899584855557645,-6.342435901765761,4.6463749579,0.2977936295,1.2791114947,1.0,0.0,16.0833333333,0.2916666667,3,-0.028,-2.6666666667000003,16.9583333333,0.7415789474000001,3,-0.0172555431,-2.8244120941,0.33946628430000003,1.0081751988,9.1,7.1,3.42099275,0.46018979200000004,1.8268559201999999,0.27251159410000003,0.33333333330000003,-1.0302126064,1.2483350201,0.33223158610000003,4.6556717651,3.0571913929,0.2295847024,1.5341694912000001,-0.7717910818,3.4406522452,143.0,6,0.7236789465,0.0009836497,0.9180419922,0.0013364966000000002,0.5833333333,-6.449609932071972,-6.449609932071972,-5.553730190361736,-0.9900263761,2.2040380048,0.5291271979000001,2.4784694739,0.0425294752,308.8333333333,3.390760761,0.2746381466,1.4811023322,27.0,100.5,26.1234717334,0.6566922334,15,1.8090959959,0.4153688273,2.1957132311,-0.3234824988,2.9251737654000003,0.4126306085,2.6404947518,-2.089830395,0.5597014925,0.057405125200000004,4.8096407399,0.324287237,1.6728667039,-0.7979203726,275.0,6.7,6.1,365.3333333333,4.2597753606,0.3734325358,0.30002279406790466,242.0,242.3333333333,5.7825286506,0.34779211730000004,1.8371906755,0.33333333330000003,62.0768386656,3.5856964799,0.2918052444,2.3095752745,-0.9940604324000001,-0.7284709114,-1.130629345,2.4071755582,0.335757042,1.9280027481,0.10422243390000001,-0.0136395895,1994.5166666667,4,10,3262.0833333333,0.2725698113,0.3393247426
s007,0.9270454441,0.2699939445,1.3900786895000001,1.9500000000000002,30.8636363636,0.2666666667,35.9523809524,0.30000000000000004,-0.1148967225,-1.0003845155,3.9253609602,0.4012286419,2.3193784802,-1.0068776276,-5.128688168030713,-4.744922062913907,2.3102321327,0.3182879988,1.5419630409,0.5,0.1666666667,15.9166666667,-0.0083333333,1,0.0013333333,2.5,16.75,0.15,1,-0.0016666667,-0.4166666667,0.1917215995,0.8057487034,8.1,4.3,,,,,0.0833333333,,,,,,,,-1.0816155204,3.2951286846,195.0,6,0.6941823959,0.00130253,0.8349777222,0.0010820387,0.6111111111,-2.748384152235016,-2.067339257049917,-2.7545573065347257,-1.4151806357,1.1197314631,0.44167826870000004,1.6085626678,-0.6688285902000001,,,,,,,,0.538500946,11,,,,,2.8398522117000002,0.4886106787,2.5292969166,-1.4653294190000001,0.442408377,0.0253945218,3.6054832885,0.3229179227,2.0711265351,-0.1773383453,396.5,5.5,4.4,401.1666666667,2.0373819092,0.4104992369,0.6182749609743061,356.5,356.8333333333,1.4901408253000001,0.44049477210000004,1.3106224364,0.33333333330000003,13.2490016831,1.9584756943000001,0.6298219375,1.7382283187,-0.23721771400000002,-0.1796955022,-0.2009764893,0.6500099864000001,0.14262732590000002,2.0826444362,-0.5425232517,-0.8525108626000001,2120.49,3,8,5704.1666666667,0.445484729,0.4101464269
s009,1.2541045756,0.13272213130000002,1.5749085473000002,2.55,48.1818181818,0.2666666667,30.5555555556,0.4,-0.5766787647,-0.732065535,3.7115606821,0.3148976303,1.3630176712,-1.694384047,-8.708832019487865,-7.178001968294995,5.2688180277,0.22620400100000002,1.6873748091,0.6666666667000001,0.1666666667,7.2916666667,0.2041666667,3,-0.0188333333,-3.7916666667000003,7.0833333333,0.1957525084,2,-0.0231973244,-3.9424749164,-0.0287443268,0.40015128590000004,7.7,4.9,1.9021199270000002,0.3669384885,1.4172084288,-1.0437975626,0.8611111111,-1.0037700607,0.6340681216,0.0,5.3201349372,2.897109186,0.19157514420000002,1.5482464265,-0.5402436899,4.8849203713,266.0,9,0.6760320663,0.0023875259,0.8853013992000001,0.0027768546000000002,0.5833333333,-5.553730190361736,-3.664674886451777,-5.553730190361736,-1.0487953532,1.9793665645,0.3141004463,2.025236819,-0.15520413660000001,204.1666666667,3.7527054913,0.2909140765,2.0480923276,40.0,130.5,-0.7816201197,0.4760700667,13,1.010534676,0.5194388471,2.0435071753,-0.7554564862,3.0117729157,0.3321094535,1.5400730193999999,-1.3295019901,0.6185819071,0.0972984279,3.292967182,0.2257660994,1.4922280125,-0.0889044492,254.5,6.2,5.3,256.3333333333,4.3150242778,0.2405656649,0.358533020834208,160.3333333333,231.6666666667,3.7736947517,0.25712351580000004,2.8086171308,71.3333333333,63.8797848029,2.6907719978999998,0.34219266940000004,1.5249975457,-2.2433189359,-0.3759204608,-0.0053028625,1.2760573677,0.29793627510000004,1.8157713607,-0.2933640976,-1.264696532,1241.8333333333,6,10,5413.0833333333,0.1314693092,0.1842408366
s011,1.8122140006,0.1909091396,1.6508608848000002,3.0,24.3043478261,0.2333333333,15.7692307692,0.1333333333,0.3478742557,-0.7248067632,2.8835741608000003,0.3569796213,1.5940020164000002,-0.6289439984,-10.3341074050011,-8.134286283710965,3.9686788278,0.2506836884,1.5954754775,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1,-0.0038333333,-2.2916666667,10.4166666667,0.2562656642,3,-0.0083308271,-2.9235588972,-0.2170173919,0.35044167,9.3,9.0,1.593057626,0.4842485508,2.3104595735,-0.6595451087,0.4166666667,-1.1608493275,0.2531436837,0.0,5.3201349372,2.8075228222,0.1061562501,2.6140091315,-1.0170844173,3.9312389163,290.0,9,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.9445445709,2.2350674461,0.3906836724,1.6402784549,-0.23620743730000002,244.1666666667,2.413258242,0.1952990605,1.4158443713,17.0,32.0,-13.7549484415,0.3168698411,10,1.8494452726000001,0.6125460097000001,1.8843329568,0.019942161,3.2516392172,0.4357161626,1.3383194622,-2.4678405364,0.5147783251,0.054783886100000005,3.7123567214,0.3092102216,1.2710102323,-1.9512639271,387.0,6.3,7.9,301.6666666667,2.9934951776,0.3328737342,-0.15110831069582928,255.0,237.1666666667,3.675700525,0.30675872260000003,1.2063527447,-17.8333333333,-15.1229235042,2.4365252638,0.3473717274,1.5912476194,-1.0839347384,0.3335432662,0.1713595058,2.6145667096,0.34309792110000004,1.2486027115,-0.7353393804,-0.054950975000000006,1686.3416666667,19,4,2352.0,0.17973338400000002,0.4510978966
s012,2.1000459082,0.27784042130000003,1.5149706009,3.65,30.0769230769,0.1333333333,30.5454545455,0.2666666667,-0.17529353350000001,-0.2454089361,3.4161486264,0.3274076475,2.2325024222,-0.6856102970000001,-6.888655741933243,-4.544551305364608,2.5752542578,0.2491080079,1.2007364348,1.0,0.0,8.625,0.2791666667,2,-0.0261666667,-4.7916666667,4.4166666667,0.2052600473,1,-0.0134751773,-2.2192671395,-0.18120101700000002,0.9406044403,9.0,6.5,2.0871485262,0.46645419120000003,1.8862788475,-0.48266916270000004,0.25,-0.07813383780000001,-0.5197064557000001,-0.9092231175000001,3.5016887022,1.8413706906,0.1602251261,1.9911073242000001,-1.0816155204,3.2951286846,217.0,8,0.5907514930000001,0.0013580401,0.9707031250000001,0.0020802717,0.7222222222,-3.664674886451777,-3.664674886451777,-3.664674886451777,-0.2959556486,1.627070376,0.2941370809,2.4396858924,-0.4394060762,348.5,2.4815832144,0.2862079967,1.2794269226,6.0,112.0,-20.5666405171,0.5749289078,12,1.0422507054,0.4378931239,1.7387217438,-0.817540043,3.0892050388,0.4026810182,1.8631473645,-1.2915524444,0.3665835411,0.0693478387,2.5801564359,0.2601167862,1.7094219629,0.0366372815,296.0,6.5,5.2,295.3333333333,3.8581927123,0.2864239507,0.4353472070804521,297.1666666667,306.0,2.1516463892,0.3102299697,1.3819123206000001,8.8333333333,9.3470426632,1.5481898088000001,0.3409856739,1.7004133224,-1.0682644469,0.026735933000000003,-0.1141158703,1.3577981614999999,0.3093761004,1.6782525762,0.0643260021,-0.3888174399,1787.9242424242,1,11,3688.25,0.8229371665,0.3778537623
s014,0.7548682283,0.0358415273,1.3921789221,1.6,11.76,0.1666666667,12.75,0.0666666667,-0.2143126319,-1.2275151249,3.3883965831,0.3702667394,1.6707478862,-0.12225135590000001,-7.494881841799583,-2.736799369475726,3.1271472257,0.2728727399,1.5251407597000002,0.33333333330000003,0.6666666667000001,11.3333333333,0.09166666670000001,0,-0.0016666667,-1.8333333333000001,6.1666666667,0.2503735326,3,-0.0100149413,-2.4951974386,-0.0027181657,0.6590894145,6.9,6.3,1.1532725585999999,0.3959139827,1.5266421582,-1.5048080708,0.0,0.0763968543,-1.5217542731,-1.4200399192,2.4800550988,1.7110218979,0.08653550580000001,1.8587138669,-0.8005189753,3.0881574643,125.0,6,0.6273424149,0.00134547,0.7109272003,0.0018064547000000001,0.47222222220000004,-1.3862943611198906,-1.3862943611198906,-2.748384152235016,-0.949332217,1.7970357956,0.4838724627,1.3688498258,0.1455399329,,,,,,,,0.2698720297,1,1.4288745618,0.39146894860000003,1.9389163195,-0.14311902440000002,1.5462959438000001,0.21091662700000002,2.2802110482,-0.4291688012,0.3656716418,-0.0051969601,2.4657545153,0.30454423140000003,1.6108047475,-0.5848693988,349.0,6.5,4.9,389.0,2.802348913,0.3628625032,0.266588554117673,321.3333333333,336.3333333333,1.7867956315,0.21788427500000002,1.6681959332,15.0,32.2303225806,2.892290968,0.3980763027,1.6795332939,-1.8883218309,-0.1740517707,0.2736285408,1.320913663,0.3845031944,1.3369966772000001,-0.21859628420000002,-0.11805313890000001,2717.1904761905,16,5,4030.0833333333,0.4370257158,0.34132697230000003
s015,1.5739322545999999,0.1886930584,1.3499905797,2.4,41.2352941176,0.4333333333,35.4666666667,0.5,-0.8057557115,-0.8299806563000001,3.9366027797000003,0.328674177,1.842909926,-2.2084026659,-7.55314234950583,-4.209769386895026,2.4818191762,0.2747832161,1.3758998461,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1,-0.00016666670000000001,-5.375,10.2916666667,0.2323529412,2,0.0006176471000000001,-6.3455882353,-0.0259313203,0.8086626636,9.8,5.8,2.67048371,0.38166099270000003,1.7595714338000001,-0.9388434097,0.0277777778,-0.17849837470000002,0.1883814539,0.0,5.3201349372,3.2722010539,0.17428077990000002,2.7942053596000003,-1.327315884,3.310775983,167.0,8,0.7067575455,0.0015690091000000001,0.9937500000000001,0.0018166595000000002,0.8055555556,-2.748384152235016,-2.067339257049917,-2.748384152235016,-1.4581174085,1.7150064132,0.40679647090000004,1.5443334758,-0.8941671330000001,,,,,,,6.3976894787,0.4968135329,13,1.6576103891,0.5555645656,1.4121332653,-0.6574410202000001,3.4990177732,0.369985051,1.5196118161999999,-1.5573195299,0.4536585366,0.034782254000000006,3.0209428231,0.2762085509,1.181423756,-1.0823949293,299.5,6.7,5.4,309.1666666667,2.7473849862,0.32486845340000003,0.1344073398706923,261.8333333333,276.0,3.1955526546,0.36918035860000004,1.2131231123,14.1666666667,11.6861494402,2.2105345366,0.4471898217,1.5642044874,-1.2482497131999999,-0.407600673,-0.6218351594,1.7361076056,0.3186585864,1.400970842,-0.14104583710000002,0.1619930729,1923.8316666667,9,9,3099.75,0.8784731181000001,0.3737064444
s017,0.9035826595,0.1757294278,1.9488805586,2.2,23.6363636364,0.2666666667,10.0,0.2,-0.8896154115,-0.6201996205,3.5686714155,0.4149875893,2.3082791341,-0.3200608585,-9.45756147506945,-8.1552620853318,2.2304271445,0.2782933466,1.7206466197,0.6666666667000001,0.33333333330000003,5.0,0.075,0,-0.0033333333,-0.75,6.5,0.1383333333,1,-0.0122,-0.7833333333,-0.020950155800000002,0.8359813084000001,8.0,7.4,2.0305874378,0.4446728894,2.1629635754,-0.8241721188000001,0.8333333333,-0.3527251685,-0.1627094281,-0.5542288687,2.8827508555,1.8181948648000001,0.23828029690000002,1.8486074756000002,-0.9575666758,4.0502743994,235.0,6,0.8563354492,0.0019972663000000002,1.0,0.0020916368000000003,0.47222222220000004,-8.511264302067358,-8.511264302067358,-7.365900695568905,-1.4783153596,1.8468851874,0.3621156578,2.1744459854000002,-0.6299809836,320.0,2.5789246202,0.38080417850000003,1.8511480428,-43.5,56.0,26.4892180955,0.5339308097000001,10,1.7273107697999999,0.5041301432,2.1604889109,-0.6744356850000001,2.0855832518,0.4014636716,1.8270564223,-1.3586937369,0.469816273,0.045888794000000004,2.4888219672,0.30319870060000004,1.7574582579,-0.47106362820000003,359.0,5.0,6.4,294.6666666667,3.3478329843,0.33535972080000004,0.6217771779521015,302.3333333333,281.0,3.1431516414,0.22733941130000002,3.3007807712,-21.3333333333,-37.4745762712,2.1770872714,0.3735969563,2.1253131187,-0.6531089807,-0.1842462721,0.4138981446,1.8079374846,0.3145593038,1.9022059542,-0.424655384,-0.1932790938,1567.3343253968,5,10,4024.0,0.1271461984,0.2921138351
s026,1.3697468806,0.2334004848,1.0401973049,2.1,43.0869565217,0.2333333333,23.9130434783,0.2333333333,-0.5987070801000001,0.019115049000000002,3.3155864921,0.31946044970000004,1.9438088487,-0.0812110973,-9.789667916336668,-6.341435044729682,4.1356878649,0.284309046,1.1931383506,1.0,0.0,10.0,1.665334537e-16,1,-1.474514955e-17,0.0,6.0416666667,-0.0035714286,0,-0.0001428571,0.0357142857,-0.4397196371,0.7318736961000001,7.5,6.8,2.6836058413,0.34267257,2.3045464035,-0.15313413850000002,0.2777777778,-0.4885349175,-0.0681713467,0.1976700244,4.9247948884,3.6808312002,0.053914624700000004,5.6421649855,-1.1652624446,3.6348828618,175.0,9,0.7183802605,0.0023475321000000003,0.9771484375,0.0028280387,0.5,-4.625581180301964,-3.664674886451777,-3.664674886451777,-0.9709826056,2.1140768609,0.4167234081,1.9082493884,0.1809132759,232.3333333333,3.0432311998,0.34893477370000003,1.1082927264,-10.0,21.0,,0.7593680811,14,1.4919455894,0.526905711,1.8058668993,-0.2809049112,3.1867026640000002,0.4116699697,1.7379991473,-3.6370590643,0.3842364532,0.045183084500000005,2.4212339121,0.3000543962,1.3359116976,-1.077371557,304.0,7.5,6.3,263.3333333333,3.393284079,0.37110950800000003,0.2183175670424971,241.5,288.1666666667,3.3465852662,0.3187883939,1.289568411,46.6666666667,73.9608305446,2.2989260053000002,0.3877443272,1.5462316824,-0.6871639547,-1.0848732535,-1.4893270905,1.4402912001,0.3362292602,1.4718946987,-0.8016289171000001,-0.5813795408,1956.6166666667,7,8,2455.1666666667,0.2006291395,0.14992088480000001
s027,1.5876261237,0.2201673258,1.6139465343000001,2.4,13.2,0.1666666667,33.125,0.4666666667,-1.1982739582,-0.6012311442,3.4386560856,0.37847694730000003,1.5427901971,-1.1912679056,-6.889865263876853,-3.268015933761146,3.7792828462,0.2510939816,1.6845307321,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1,-0.019,0.25,8.5833333333,0.1848201136,2,0.00040311380000000003,-1.3611403324,-0.10806032460000001,1.1609934819,8.3,6.5,2.2848105553,0.3028370111,2.0218388723,-0.3059054815,0.0277777778,-0.3199908226,-0.1519549144,-0.3884511935,3.7790742791,2.4488167101,0.0716396138,3.4547931599,-1.0170844173,3.9312389163,155.0,4,0.6938799858,0.0019379015,0.6649845123,0.0024244932000000003,0.7222222222,-3.664674886451777,-3.664674886451777,-2.748384152235016,-1.9246303007,2.3075324749,0.43293213350000004,1.4246166842,-0.2955632744,236.1666666667,3.1975200326,0.2124743764,2.6943142767,0.5,144.5,,0.3102803725,9,1.5832557225000001,0.41570530180000004,2.4577792897,-0.2497377299,1.9834421531,0.3822039605,2.0210516213,-1.3092861429,,,3.178000391,0.25777975340000003,1.8404246222,-0.2146842347,278.5,6.2,6.6,214.3333333333,3.9821451681,0.15869262720000002,1.087235695946867,168.0,201.5,3.4795482409,0.2194809734,2.1650035361,33.5,116.3699367387,2.5980807936,0.2974400951,1.7222211893,-0.304191666,-0.1710593572,-0.0958947856,1.8863698992,0.2991460769,1.609290834,-0.8159639307000001,-0.8071986389,1350.6296296296,23,5,2417.5833333333,0.1688114436,0.1809482422
