"X","Sex","Age","Race","OtherRace","HispanicLatino","HighestEducation","HeightInches","WeightPounds","RelationshipStatus","DivorceCount","LongestRelationship","RelationshipNumber","ChildrenNumber","HouseholdIncome","RetirementAccount","RetirementPercentStocks","RentOwn","MortgageDebt","CarDebt","EducationDebt","CreditCardDebt","OtherDebtSources","OtherDebtAmount","CoffeeCupsPerDay","TeaCupsPerDay","CaffienatedSodaCansPerDay","CaffieneOtherSourcesDayMG","GamblingProblem","TrafficTicketsLastYearCount","TrafficAccidentsLifeCount","ArrestedChargedLifeCount","MotivationForParticipation","MotivationOther"
"s005",0,36," Black or African American","",0,3,76,175,1,0,18,5,0,36000,0,NA,0,1,1,1,1,"",NA,0,0,0,0,1,0,3,5,"money",""
"s007",1,32," Black or African American","",0,3,64,130,1,0,84,3,3,98000,0,NA,1,1,1,1,3,"",NA,0,0,0,0,0,0,3,0,"money",""
"s009",0,26,"White","",0,4,72,244,3,0,17,3,0,8000,0,NA,0,1,1,4,1,"",1,1,2,0,0,0,0,0,0,"money",""
"s011",1,27,"White","",0,3,72,320,3,1,65,3,0,25000,0,0,0,NA,NA,4,1,"Medical bills ",5,0,0,2,160,0,0,0,0,"money",""
"s012",1,36,"White","",0,3,68,268,2,0,144,4,4,40000,0,NA,0,1,1,4,1,"",NA,1,0,0,200,0,0,2,0,"money",""
"s014",0,28,"White","",0,1,68,240,2,0,100,2,1,15000,0,0,0,NA,NA,NA,NA,"",NA,0,0,4,120,0,0,0,0,"money",""
"s015",0,27,"White","",0,2,75,200,1,0,36,3,0,24000,1,0,1,1,1,1,1,"",NA,0,1,1,400,0,0,0,0,"money",""
"s017",0,31,"White","",0,4,69,180,1,0,36,5,0,45000,1,90,0,1,4,1,1,"",NA,3,1,0,0,0,0,0,0,"money",""
"s026",0,38,"White","",0,4,71,195,1,0,48,5,0,30000,0,0,1,1,7,1,1,"N/A",1,0,0,0,0,0,0,2,0,"money",""
"s027",0,30,"White","",0,3,73,210,1,0,60,2,0,15000,0,NA,0,1,1,1,1,"N/A",1,2,1,0,0,0,0,2,0,"money",""
"s028",0,31,"White","",0,4,66,20,1,0,48,5,4,35000,1,NA,0,1,4,4,3,"",NA,2,0,0,0,0,0,2,0,"money",""
"s032",0,38,"White","",0,3,73,240,2,1,146,6,1,78000,1,25,1,7,1,1,1,"",NA,2,0,2,0,0,0,2,0,"money",""
"s034",1,28,"White","",0,3,61,199,2,0,88,5,1,35000,1,0,0,1,1,3,1,"0",NA,1,0,0,0,0,0,1,0,"money",""
"s042",0,28,"White","",0,4,65,125,1,0,36,2,0,49000,0,NA,0,1,1,1,1,"MEDICAL",2,0,0,0,0,0,0,1,0,"money",""
"s049",1,59,"White","",0,2,66,175,2,0,300,1,2,98000,0,NA,0,NA,4,1,2,"",NA,2,0,1,0,0,0,0,0,"money",""
"s060",1,49,"Japanese","",0,4,64,145,1,0,24,3,0,25000,0,NA,0,1,1,1,2,"",NA,0,4,1,0,0,0,2,0,"money",""
"s062",1,26," Asian Indian","",0,6,66,132,1,0,12,2,0,70000,0,NA,0,1,1,8,2,"n/a",NA,2,2,4,0,0,0,0,0,"money","Given my profession. academic background, and research interests, I find participation in a study like this piques my curiosity and a great way to learn about the latest neuro/cognitive research and delve deeper on my own."
"s063",1,40,"White","",0,3,63,190,3,0,48,3,4,28000,0,NA,0,1,1,3,2,"",NA,1,1,1,0,0,0,2,0,"money",""
"s065",1,28,"White","",0,4,50,114,1,0,0,0,0,50000,0,NA,0,1,1,4,1,"",NA,1,0,2,0,0,0,0,0,"money",""
"s066",1,27," Black or African American","",0,4,66,167,3,0,65,3,2,66000,1,3,0,2,6,4,2,"",NA,0,0,0,0,0,0,2,0,"money",""
"s071",1,40,"White","",0,3,64,200,2,1,140,5,1,99000,1,30,1,6,1,1,1,"mortgage",6,5,1,0,0,0,1,1,0,"money",""
"s081",1,42," Black or African American","",0,4,69,180,1,0,36,3,0,43800,0,NA,0,1,3,1,2,"",NA,0,0,6,0,0,0,0,0,"money",""
"s082",0,29,"White","",0,2,70,220,1,0,0,0,0,30000,0,NA,0,1,1,1,1,"",1,0,0,2,0,0,0,0,0,"money",""
"s083",0,50,"White","",0,3,68,265,1,0,36,6,0,14000,0,NA,0,1,1,1,1,"none",NA,0,0,5,0,2,0,5,4,"money",""
"s084",0,46,"White","",0,3,72,280,2,0,216,4,3,79000,1,20,0,2,1,1,1,"",NA,2,1,3,0,0,0,1,0,"money",""
