"X","adaptive_n_back.hddm_drift","adaptive_n_back.hddm_drift_load","adaptive_n_back.hddm_non_decision","adaptive_n_back.hddm_thresh","adaptive_n_back.mean_load.logTr","angling_risk_task_always_sunny.keep_adjusted_clicks","angling_risk_task_always_sunny.keep_coef_of_variation","angling_risk_task_always_sunny.release_adjusted_clicks","angling_risk_task_always_sunny.release_coef_of_variation.logTr","attention_network_task.alerting_hddm_drift","attention_network_task.conflict_hddm_drift.ReflogTr","attention_network_task.hddm_drift","attention_network_task.hddm_non_decision.ReflogTr","attention_network_task.hddm_thresh","attention_network_task.orienting_hddm_drift","bickel_titrator.hyp_discount_rate_large.logTr","bickel_titrator.hyp_discount_rate_medium.logTr","bickel_titrator.hyp_discount_rate_small.logTr","choice_reaction_time.hddm_drift","choice_reaction_time.hddm_non_decision.logTr","choice_reaction_time.hddm_thresh","cognitive_reflection_survey.correct_proportion","cognitive_reflection_survey.intuitive_proportion","columbia_card_task_cold.avg_cards_chosen","columbia_card_task_cold.gain_sensitivity.logTr","columbia_card_task_cold.information_use","columbia_card_task_cold.loss_sensitivity","columbia_card_task_cold.probability_sensitivity","columbia_card_task_hot.avg_cards_chosen","columbia_card_task_hot.gain_sensitivity.logTr","columbia_card_task_hot.information_use","columbia_card_task_hot.loss_sensitivity.ReflogTr","columbia_card_task_hot.probability_sensitivity","dietary_decision.health_sensitivity","dietary_decision.taste_sensitivity","digit_span.forward_span","digit_span.reverse_span","directed_forgetting.hddm_drift","directed_forgetting.hddm_non_decision","directed_forgetting.hddm_thresh","directed_forgetting.proactive_interference_hddm_drift.logTr","discount_titrate.percent_patient","dot_pattern_expectancy.AY.BY_hddm_drift","dot_pattern_expectancy.BX.BY_hddm_drift","dot_pattern_expectancy.bias","dot_pattern_expectancy.dprime","dot_pattern_expectancy.hddm_drift","dot_pattern_expectancy.hddm_non_decision","dot_pattern_expectancy.hddm_thresh.logTr","go_nogo.bias","go_nogo.dprime","hierarchical_rule.score","holt_laury_survey.beta.logTr","holt_laury_survey.risk_aversion","holt_laury_survey.safe_choices","information_sampling_task.Decreasing_Win_P_correct","information_sampling_task.Decreasing_Win_motivation","information_sampling_task.Fixed_Win_P_correct","information_sampling_task.Fixed_Win_motivation","keep_track.score","kirby.hyp_discount_rate_large.logTr","kirby.hyp_discount_rate_small.logTr","local_global_letter.conflict_hddm_drift","local_global_letter.global_bias_hddm_drift","local_global_letter.hddm_drift","local_global_letter.hddm_non_decision","local_global_letter.hddm_thresh","local_global_letter.switch_cost_hddm_drift","motor_selective_stop_signal.SSRT","motor_selective_stop_signal.hddm_drift","motor_selective_stop_signal.hddm_non_decision.ReflogTr","motor_selective_stop_signal.hddm_thresh.logTr","motor_selective_stop_signal.proactive_control_hddm_drift","motor_selective_stop_signal.reactive_control_hddm_drift","probabilistic_selection.positive_learning_bias","psychological_refractory_period_two_choices.PRP_slope","ravens.score","recent_probes.hddm_drift","recent_probes.hddm_non_decision","recent_probes.hddm_thresh","recent_probes.proactive_interference_hddm_drift","shape_matching.hddm_drift","shape_matching.hddm_non_decision.ReflogTr","shape_matching.hddm_thresh.logTr","shape_matching.stimulus_interference_hddm_drift","shift_task.acc","shift_task.learning_rate","shift_task.learning_to_learn","shift_task.model_beta.logTr","shift_task.model_decay.ReflogTr","shift_task.model_learning_rate","simon.hddm_drift","simon.hddm_non_decision","simon.hddm_thresh","simon.simon_hddm_drift","simple_reaction_time.avg_rt.logTr","spatial_span.forward_span","spatial_span.reverse_span","stim_selective_stop_signal.SSRT","stim_selective_stop_signal.hddm_drift","stim_selective_stop_signal.hddm_non_decision.ReflogTr","stim_selective_stop_signal.hddm_thresh.logTr","stim_selective_stop_signal.reactive_control_hddm_drift","stop_signal.SSRT_high.logTr","stop_signal.SSRT_low","stop_signal.hddm_drift","stop_signal.hddm_non_decision.ReflogTr","stop_signal.hddm_thresh.logTr","stop_signal.proactive_SSRT_speeding","stop_signal.proactive_slowing_hddm_drift","stop_signal.proactive_slowing_hddm_thresh","stroop.hddm_drift","stroop.hddm_non_decision","stroop.hddm_thresh.logTr","stroop.stroop_hddm_drift","threebytwo.cue_switch_cost_hddm_drift","threebytwo.hddm_drift","threebytwo.hddm_non_decision","threebytwo.hddm_thresh.logTr","threebytwo.task_switch_cost_hddm_drift","tower_of_london.avg_move_time.logTr","tower_of_london.num_extra_moves","tower_of_london.num_optimal_solutions","tower_of_london.planning_time","two_stage_decision.model_based","two_stage_decision.model_free","two_stage_decision.perseverance","writing_task.neutral_probability","writing_task.positive_probability"
"s005",3.2219459607,-1.2353535205,0.2858001018,1.5802757936,0.500775287912489,36.3636363636,13.1458682792,30.5,2.45317459621231,-0.2386050452,0.460090918138686,4.6880815201,0.169279387746323,2.8005005807,-0.6367930052,-7.55021885097517,-5.48118350359891,-3.58783291870248,4.6432531832,-1.23830436395903,1.8530296186,0.8333333333,0.1666666667,13.4166666667,0.405465108108164,3,-0.007330000004,-2.9166666667,13.0416666667,0.511116659490985,3,0.0158649517217805,-3.7905236908,0.2518581217,1.2169609029,9.2,8,0.9225084846,0.508567431,1.4877112641,0.080359803239577,0.1666666667,0.823035159,1.3286853978,-0.3884511935,3.7790742791,2.2421697068,0.2772592012,0.342058857781106,-0.5306698657,2.958409813,174,6.36753929103068,0.8568707964,6,0.7475608826,0.0009119887,0.9208297729,0.001067059,0.5555555556,-3.66467488645178,-2.74838415223502,-1.0230279236,-0.3427065898,2.6380349743,0.4417713786,2.2031196901,-0.4071852548,344.1666666667,3.1627641757,0.131628176281734,0.274385433356168,-1.6652451629,-0.3459042065,3.599412520248,0.6320956121,14,1.8841434459,0.4898497802,1.9390455588,-0.4071405012,3.4031935044,0.265676369463989,1.22203086466149,-0.7920240361,0.4711779449,0.0444949349,-0.0003892653,1.3225178824342,0.30003687223145,0.3390780764,3.4125995319,0.2732492438,2.1606167319,-0.3263593706,5.7120812774709,6.5,5.1,432.6666666667,2.5455063204,0.189815355928048,0.503775640350149,-0.6135537459,5.52012669484924,302.5,3.3537088563,0.123264364355522,0.43989033995278,52.8333333333,-0.5274789548,0.2012714635,4.6454388612,0.2855291085,1.01236009270035,-0.861271144,-0.1833372782,1.8635204883,0.3476234429,0.412297399095064,-0.4059441784,7.55779196878109,19,7,2585.75,0.6655376583,0.1035568902,1.3551677416,0.8868519986,0.4059011843
"s007",2.085362676011,-0.552663702569,0.101191212038,2.33093890824,0.516596166139786,19.0769230769,6.3240687974,14.8,2.1617779673506,-0.1569554055,0.37103792969426,1.9849355572,0.132527244423925,1.8619335275,-0.3276179807,-7.46093827674933,-7.0738052588364,-4.81581888658634,2.957418047,-1.08896741594768,1.5006737105,0.1666666667,0.6666666667,4.8333333333,0.229788094006388,0,0.0013333333,-0.4166666667,13.0416666667,0.378533630380253,1,0.0132124021323514,0.8082499489,0.429502064,0.5991357069,9.6,6.4,1.310911916403,0.469121437417,1.965272200289,0.358957286878381,0.3611111111,-0.7224910561,-0.6916750664,-0.5694639092,2.4879073189,1.4183035434,0.0073039587,0.898043030775809,-0.7539398563,2.6397773564,98,6.30716182555049,0.3968411315,9,0.8018417358,0.0007886168,0.8767990112,0.0012070223,0.7777777778,-2.74838415223502,-3.66467488645178,-1.2969105727,-0.0654630269,1.0036962042,0.4219556757,1.6280367989,-0.2494007905,379.735000000006,2.38998814944,0.130979251754458,0.418332023091409,-0.631634770958,-0.377068650012,8.6329234757,0.5112262406,10,1.1088650771,0.6256111094,2.3448289382,-0.3709801145,2.1878737224,0.146357381008887,0.572418542654995,-1.4090511478,0.3291457286,0.0048551336,0.0016277797,2.06057886660549,0.506070958940571,0.017106545,3.099471623,0.3406360844,1.519400982,-0.6504755013,6.24804287450843,5.1,5.4,395.8333333333,1.5043430639,0.146891675068141,0.427332416991437,-0.3857202127,5.87820252624562,439,1.8862597221,0.0961889306805622,0.373742124938216,81.8333333333,-0.0651687148,0.0390432528,1.8524860688,0.5140717127,0.705164582212849,-0.6720965806,-0.1601749503,0.4417057924,0.0123059416,0.715959975497277,-0.3478739364,7.73305095195631,-5,8,6112.1666666667,-0.313372695441,-0.035155293851,-0.298001622824,0.8621573749,0.6821860019
"s009",3.0970605446,-0.5486772344,0.2299023514,1.3427282396,0.993251773010283,28.2608695652,5.1364773152,19.1304347826,1.58922176080172,-0.2779446461,0.247977403256664,3.3015766522,0.188247201266529,1.7459494047,-0.7537080181,-7.57231461396333,-6.21923071627597,-4.59062799802441,3.1284280599,-1.34793657633607,1.189790614,0.8333333333,0,13.7083333333,0.253326689831083,2,-0.0118333333,-6.4583333333,5.25,0.309525572954635,2,0.0146199720781699,-2.4048463357,0.1593423691,1.1747285803,6.8,4.8,2.293007241,0.4373571403,1.8944338549,0.624981989718705,0.7222222222,-3.5513894085,-1.6405406377,-0.5814270014,3.384397236,3.163338477,0.1864257216,0.264589074663955,-0.7017421781,4.5619233948,222,6.30716182555049,0.3968411315,9,0.6171309948,0.0017705286,0.985546875,0.0028862039,0.7222222222,-5.55373019036174,-4.62558118030196,-1.2292233558,0.1387597893,2.478378635,0.3817798647,2.1013699178,-0.2050791238,199.3333333333,2.5874751119,0.131476430122144,0.514239071040483,-0.5938594967,-0.1102776459,-8.3796570589,0.6676807246,6,1.2948427386,0.4862638407,2.01770054,-0.5137264593,3.300868631,0.276178839002023,0.469077192798484,-1.3978101498,0.6073170732,0.1462469851,-1.30054e-05,1.93694502496897,0.264311289936484,0.2420927697,5.1818480578,0.2494191042,1.5807747326,-0.4686010787,5.59098698051086,6.8,6.4,225.1666666667,1.1274627297,0.146010679851296,0.412547186815855,-0.3631147912,5.22843123908387,206.5,3.347957322,0.168519064724899,0.999961260676643,20,0.1853209948,-0.0784144692,3.1034274968,0.3401108224,1.05374194197134,-0.8221880878,-0.2985729378,2.5852188173,0.3182228233,0.556679351164713,-0.3411334832,7.13195105429222,5,11,3222.6666666667,-0.8205932872,0.1293611142,-0.4664523296,0.1779068063,0.4556380051
"s011",1.6352025531,-0.0568993132,0.0921451162,1.5034728373,1.16315080980568,40.5555555556,4.161761819,18.3333333333,1.74682904551271,-0.5195280193,0.617748698672011,4.0051822669,0.140269385430238,2.0902480367,-1.0811644297,-3.12249290247619,-5.2771501609086,-8.78617127907425,4.5490469247,-1.34988940580223,1.3708681514,0.3333333333,0.3333333333,5.3333333333,0.249460859605609,1,-0.0026666667,-1.75,6.9130434783,0.321692444891268,3,0.0122480696224814,-3.7931923672,0.1939300298,0.9515309845,7.9,9.8,2.1911026072,0.3178231849,2.4823382877,0.294996447620344,0.41527777778,-4.6298022586,-3.2555459986,-0.7548590441,3.810416849,4.2544761131,0.2158525689,0.549563196090921,-0.7625664513,3.9332268227,265,6.26152252448937,0.0438060331,4,0.7708899498,0.0016033788,0.8675750732,0.0018161934,0.5833333333,-1.38629436111989,-1.38629436111989,-1.0157548629,-0.0165419054,3.0535484848,0.3451473786,2.8744329676,-0.4007144205,259.5,4.2688756544,0.165330023253792,0.618923292542085,-1.4678164807,-0.3380210834,1.0782063195,0.2325498095,12,1.7204366773,0.3767910015,2.4647612029,-0.4583250792,3.8941944104,0.223354689343007,0.451619439552379,-2.0534656912,0.539408867,0.0906142665,0.0006971993,1.87745067513352,0.389394908708803,0.2339434556,3.8319011279,0.3195805826,1.2419639643,-1.2912564443,5.75574221358691,5.7,6.3,193.3333333333,3.591950742,0.175748494893249,0.859267822758909,-0.4457807703,5.48063892334199,247.6666666667,4.2277519395,0.159678748745158,0.760675997334962,7.6666666667,-0.1371744593,0.7301968434,3.4694053618,0.3405149925,0.69875085361599,-1.579930104,-0.1616499476,3.5986378192,0.3461173554,0.382141637222056,-0.3120095954,7.22381732901233,11,8,2094.9166666667,-0.1869713624,-0.697036806,-0.5990588585,0.1925341667,0.2404360379
"s012",2.5648458999,-0.3556323376,0.2442352326,2.410488954,1.17865499634165,44.1578947368,6.1487411349,24.5652173913,2.14578943680711,-0.5759323524,0.553307450549407,3.7746984739,0.192136558853631,2.6320223541,-1.4140814244,-6.74499250421704,-4.59119963024749,-2.8292748205324,3.1001139172,-1.33518265761897,1.4723011738,0.8333333333,0.1666666667,5.6666666667,0.249460859605609,2,-0.0086666667,-2.9166666667,3.9583333333,0.348817869783982,3,0.021072361234908,-1.9323308271,-0.3553490939,0.7137797811,8.4,8.6,2.0294991603,0.4980838417,1.9007781359,0.417373433050441,0.1666666667,-0.0322700361,0.3472228413,0,5.3201349372,3.8606987847,0.0461279477,1.84033640274481,-1.0820225484,2.8201893119,190,6.27973717008941,0.2565783653,8,0.6499261856,0.0010140799,1,0.0020015881,0.6666666667,-1.38629436111989,-2.74838415223502,-0.8258457159,-0.2864298291,1.5045668181,0.3616912997,1.9943143119,-0.3529055515,347.1666666667,2.5469233164,0.176779350434805,0.417811908038383,-0.9301095336,-0.3222516991,27.3376402867,0.6264483412,15,1.6912145367,0.5060721869,1.6264422517,-0.2979546896,3.217508828,0.194323694617145,0.793608285768501,-1.6656109169,0.4617283951,0.0663494216,-0.0025325419,2.43831307816301,0.253856978137644,0.175437976,2.4540620736,0.2844571863,1.5534267475,-0.6845615609,5.82304589548302,5.9,6,303,2.9907453766,0.190201919926215,0.37882951270194,-0.6959054875,5.6191924063557,295.6666666667,2.1724389472,0.166918213994703,0.348691270803297,20,-0.3250218167,-0.0565604632,2.5147206809,0.365503314,0.894594495429706,-0.9946418625,-0.0700734492,2.1542748575,0.3139852058,0.501157610333109,-0.1103625304,7.70983085274835,3,8,4731.5,-0.0919935404,-0.1003198587,-0.1073000616,0.2365442544,0.1860625235
"s014",2.6823143969,-0.9140736568,0.0497211325,2.3813001651,0.405465108108164,16.1481481481,9.493737627,12.1538461538,2.26715485305584,0.0532525388,0.735319237383831,0.9505425072,0.136232779589952,2.1204276863,-0.1114031876,-6.67541891137926,-4.76695696004767,-1.12177197046748,2.9980456922,-1.16339019877693,1.33518981,0.3333333333,0.5,8.0416666667,0.226471341433462,1,-0.0078333333,-3.125,4.25,0.336343310310573,3,0.0173295033112448,-2.6666666667,-0.1140992804,0.7487803391,7.2,5.7,1.6373662967,0.3350488213,1.945578279,0.292996626831567,0.285833333335,-1.3547708466,-0.6869358149,-0.3446865999,2.6242163319,1.6830017792,0.0650863438,0.703990517366561,-0.3258414813,3.0597768827,168,6.34350423575537,0.8291899447,10,0.7172293186,0.0011741687,0.5847579479,0.0008385868,0.5277777778,-1.84443972711021,-1.38629436111989,-1.0694978013,0.4931824886,1.3094434755,0.3507378949,1.6498064145,-0.3224034506,348.1666666667,2.2063299368,0.226190192865081,0.348382610610027,-0.8033978303,-0.3362689994,0.422748222297,0.2956460299,6,1.0482283428,0.3992553642,2.0402497582,-0.3751815184,0.8224128196,0.206299690058408,0.529376205874731,-0.7189824996,0.3282828283,-0.022379082,-0.0005876646,3.20928716080363,0.511610090031855,0.0099754924,1.9393576759,0.3187141422,1.7693211198,-0.8659533693,5.75415868198127,6,4.7,324.611666666665,2.195777171782,0.190303619861827,0.56688421672203,-0.617609687889,5.41535938697955,250.5,2.9449342238,0.201225346187722,0.720902668000468,25.6666666667,0.2935131246,0.2726999378,2.5584888106,0.335603041,0.682467169431865,-1.0720477616,-0.1667390594,0.8570701789,0.0851349918,0.708480481308074,-0.2917386578,7.94094495211265,9,5,4402.6666666667,-0.5053968396,-0.2140226029,-0.7849978324,0.7998899836,0.3405855003
"s015",2.6684115662,-0.575550655,0.0837123978,2.2040498984,0.936093359170335,44.0666666667,6.0529410404,24.5,2.25848779872872,-0.6102391887,0.455543344324757,4.4932150488,0.180278551946698,2.5530471355,-1.2556574172,-6.76135109737498,-4.7762888580882,-3.53104138336217,3.4938112692,-1.25428666798608,1.4059313375,0.5,0.3333333333,8.375,0.327503566638453,2,-0.0025,-7.2083333333,6.25,0.327262422754792,1,0.0114516834571324,-3.6142857143,0.0795053811,0.7646721157,6,5.5,1.3836953595,0.3895570682,1.7777862035,0.490462792935508,0.1111111111,-1.2141491289,-0.3972294725,-0.6385366708,4.0430615957,2.7479383582,0.0205818697,1.09754952209839,-0.9928100529,3.4727396196,218,6.27350812957895,0.3752535483,7,0.6677876472,0.0014048019,0.9998046875,0.0016761451,0.5833333333,-2.74838415223502,-1.84443972711021,-1.221292514,-0.4643658168,1.9913234464,0.3732107239,1.6665590856,-0.3644057561,298,4.1025781786,0.156886380298319,0.497156636970363,-2.0001594449,-0.4686333186,5.479334218184,0.5386307889,8,1.2673114453,0.449363332,1.9965959121,-0.1396429958,3.1698983906,0.231173040194435,0.433743437755318,-1.3360103779,0.512254902,0.0757545751,-0.0039892364,2.0049275076403,0.293032083710484,0.2210203987,1.8011813172,0.2759115679,1.334443884,-0.6495698478,5.66469508594815,6.8,6.6,287.5,3.1708918868,0.152108326786265,0.192077105642036,-0.7291960219,5.4409736669497,242.1666666667,3.4149056331,0.160770410894696,0.390064287474552,11.5,0.1752637835,0.3164851212,2.1223584749,0.3154242528,0.671275613460067,-0.8213758903,-0.2245791628,1.4695143696,0.3264845785,0.407558877309494,-0.344978086,7.59034725751965,21,7,3214.75,0.2061693243,0.6995693651,-0.4913984703,0.185847204,0.3486871557
"s017",2.5150619015,-0.6861022303,0.0305980239,2.4538931059,0.693147180559945,37.5,6.6744002763,21.3333333333,1.9214640335349,-0.7829517895,0.431913704300414,4.1351727494,0.160243651915764,2.3293010204,-1.5459861748,-9.09292629326493,-8.53418676779281,-7.26624544086112,5.4899196032,-1.40846810189314,2.2259081635,0.6666666667,0.1666666667,9.7083333333,0.284552179467932,3,-0.0111666667,-2.125,7.9583333333,0.363250884539429,3,0.017420042566597,-1.8536882747,0.1836432283,1.3700064956,9.3,7.6,2.376438607,0.4437598449,2.0158039548,0.363765717469039,0.8333333333,-0.3234661455,0.0568083574,-0.7548590441,3.810416849,1.731368265,0.1242157686,0.878377146869331,-0.7625664513,3.9332268227,246,6.25911567200734,-0.6040336065,3,0.767848587,0.0024491452,0.98984375,0.0027049545,0.5833333333,-8.51126430206736,-5.48489811638284,-0.9256563694,0.192103516,1.8203911163,0.4337782148,1.9892642171,-0.2817044012,282.6666666667,3.5199080253,0.238353250539812,0.93538605465809,-1.4980613218,-0.204679891,2.631734793825,0.58484855,10,2.1278965136,0.5215742733,2.0519751304,-0.431513435,3.213385385,0.22315041713064,0.529698573693113,-1.7929572448,0.4513715711,0.0684406925,0.0022073499,2.04491864770497,0.431419006179253,0.2211130595,3.4380124575,0.2901340895,1.7275534541,-0.5386650206,5.73657229747919,6.5,5.6,251,3.4464522071,0.199950895531963,1.01325717789385,-0.8268537956,5.50871334503961,295,3.2594139201,0.148924680334517,0.578312876954342,48.1666666667,-0.1988326132,0.5963395283,2.8754247073,0.4142243153,0.680841924131372,-1.5089069025,-0.063121043,2.5524576196,0.3389625792,0.67115528482348,-0.1903024672,7.30093819815398,1,10,3958.5,1.2207520206,-0.1697443685,0.8160758892,0.185612246,0.1743021071
"s026",2.54905278,-0.5814408779,0.0758642148,2.2340419904,0.693147180559945,11.375,2.9900196306,21.2083333333,2.09130743118344,-0.2059321111,0.379377874277182,4.1114747082,0.160144394038565,2.1537347517,-0.5935874987,-8.68637071079016,-6.90505054008841,-3.76658764821934,5.8130493965,-1.23058467660079,1.367221419,0.6666666667,0.1666666667,13.25,0.22314355131421,1,0.001,-2.75,10.0833333333,0.222738946352661,0,0.00998401959262687,-0.0739549839,-0.2888881723,0.9523625263,9.8,7.1,2.08039672,0.4070692169,2.0238878988,0.465434708040676,0.8888888889,-0.7592488054,-0.5151992825,0.1910395678,4.9380558016,5.1563495069,0.4038723739,1.43199941054638,-0.6433888409,3.1838477634,206,6.27973717008941,0.2565783653,8,0.5657946467,0.0019503946,1,0.0027379268,0.4444444444,-7.3659006955689,-6.44960993207197,-0.9224298773,-0.1962309249,2.1253426823,0.3727987333,1.6453479135,-0.2387689533,305.193333333336,3.261445486334,0.160353284998196,0.403543104102028,-1.244062701646,-0.382921974603,1.9133373883,0.57614781,13,1.2792134494,0.480176833,1.7246488418,-0.2507047458,2.7531093576,0.217425353377964,0.621234650067246,-1.4551522484,0.4791154791,0.0409216468,0.000895127,1.78423880276159,0.19105453294507,0.2572453449,4.3575659429,0.279458516,1.3646151089,-1.0008217899,5.6076386141033,6.1,4.5,324.1666666667,3.0723163063,0.183748999762309,0.15778016159674,-1.2052412675,5.25314564790149,237.6666666667,3.4422423066,0.149650423016029,0.413790350110531,46.5,-1.3791147822,-0.3864050546,2.9799179546,0.3189273806,0.613566589298337,-0.7870600608,-0.2465459213,1.9532359005,0.3317311904,0.549552321721548,-0.457783852,7.57522775026928,15,7,2732.1666666667,0.233660593,-0.0859267864,0.215783027,0.1857878768,0.1482208463
"s027",3.1133139564,-0.4751292383,0.2401609812,1.6040867137,1.17865499634165,31.1904761905,9.3414080717,24.4444444444,1.68556192459994,-0.342719247,0.534401126689933,4.4991392511,0.162303294200155,2.54573902,-0.8995664706,-5.10629544413302,-1.91433105121896,-0.162278838792443,4.9164151825,-1.29732676467582,1.5932298217,0.6666666667,0.1666666667,15.9583333333,0.230034268281153,2,-0.00547166667,-1.2083333333,12.0416666667,0.360080404061524,1,0.0118504646530077,0.1062792115,-0.1627840879,0.6051033191,8.3,7.1,1.8662358462,0.4119379467,1.8944654836,0.364726332972302,0.24916666667,-0.1603298942,0.1642908686,0.2022392566,4.9156564241,3.211620336,0.0809584949,1.54463283489886,-0.8075379761,4.3503317988,162,6.36753929103068,0.8568707964,6,0.6397562981,0.0015567866,0.712187767,0.0018455326,0.6111111111,-2.06733925704992,-1.84443972711021,-1.0713147352,-0.2734022129,2.408898064,0.3394453685,2.4419025367,-0.3258218933,232.6666666667,2.4560041806,0.251692064434064,0.868731820579713,-1.0772327719,-0.1757385996,11.5278362607,0.3198007084,10,1.690129554,0.5580540955,1.9030610555,-0.278486894,2.8234619457,0.236811735605078,0.782486468286594,-1.9816866948,0.5195121951,0.1219484205,0.0003666032,1.44533472546291,0.45198804081153,0.3095563608,2.6357543694,0.2867529114,1.4658111685,-0.552433107,5.7120812774709,6.5,5.5,266.401666666669,2.839597446762,0.186763408746647,0.763980266111112,-0.689743717135,5.51758979369067,263.006666666667,3.138718794747,0.17072839457155,0.645215180245289,14.823333333336,-0.187825616457,0.172019731175,2.9436440904,0.2976529285,0.77282269579582,-1.0592360656,-0.2630544668,1.6167529924,0.2387700701,0.685844621259843,-0.2963273722,7.53995089440454,15,6,2627.5,-0.7785218353,0.2722093521,-0.5017748945,0.1994604062,0.3939701676
