,subj_idx,response,rt
adaptive_n_back_0_067,0,1.0,0.403
adaptive_n_back_0_069,0,1.0,1.054
adaptive_n_back_0_071,0,1.0,0.621
adaptive_n_back_0_073,0,0.0,0.509
adaptive_n_back_0_075,0,0.0,0.482
adaptive_n_back_0_077,0,1.0,0.542
adaptive_n_back_0_079,0,1.0,0.621
adaptive_n_back_0_081,0,1.0,0.825
adaptive_n_back_0_083,0,1.0,0.651
adaptive_n_back_0_085,0,1.0,0.575
adaptive_n_back_0_087,0,1.0,0.461
adaptive_n_back_0_089,0,1.0,0.676
adaptive_n_back_0_091,0,1.0,0.441
adaptive_n_back_0_093,0,0.0,0.539
adaptive_n_back_0_095,0,0.0,0.4
adaptive_n_back_0_097,0,1.0,0.378
adaptive_n_back_0_099,0,0.0,0.686
adaptive_n_back_0_101,0,1.0,0.788
adaptive_n_back_0_103,0,1.0,0.772
adaptive_n_back_0_105,0,1.0,0.577
adaptive_n_back_0_107,0,1.0,0.72
adaptive_n_back_0_109,0,0.0,0.693
adaptive_n_back_0_157,0,1.0,0.473
adaptive_n_back_0_159,0,1.0,0.408
adaptive_n_back_0_161,0,1.0,0.636
adaptive_n_back_0_163,0,0.0,0.594
adaptive_n_back_0_165,0,0.0,0.879
adaptive_n_back_0_167,0,0.0,0.868
adaptive_n_back_0_169,0,0.0,0.436
adaptive_n_back_0_171,0,1.0,0.785
adaptive_n_back_0_173,0,1.0,0.718
adaptive_n_back_0_175,0,1.0,0.703
adaptive_n_back_0_177,0,1.0,0.699
adaptive_n_back_0_179,0,1.0,0.812
adaptive_n_back_0_181,0,1.0,0.816
adaptive_n_back_0_183,0,1.0,0.759
adaptive_n_back_0_185,0,1.0,0.542
adaptive_n_back_0_187,0,1.0,0.644
adaptive_n_back_0_189,0,1.0,0.698
adaptive_n_back_0_191,0,1.0,0.671
adaptive_n_back_0_193,0,1.0,0.563
adaptive_n_back_0_195,0,1.0,1.05
adaptive_n_back_0_197,0,0.0,1.52
adaptive_n_back_0_199,0,1.0,0.737
adaptive_n_back_0_203,0,1.0,0.336
adaptive_n_back_0_205,0,1.0,0.291
adaptive_n_back_0_207,0,1.0,0.77
adaptive_n_back_0_209,0,1.0,0.612
adaptive_n_back_0_211,0,1.0,0.608
adaptive_n_back_0_213,0,1.0,0.52
adaptive_n_back_0_215,0,1.0,0.733
adaptive_n_back_0_217,0,1.0,0.457
adaptive_n_back_0_219,0,1.0,0.416
adaptive_n_back_0_221,0,1.0,0.739
adaptive_n_back_0_223,0,1.0,0.839
adaptive_n_back_0_225,0,0.0,0.622
adaptive_n_back_0_227,0,1.0,0.553
adaptive_n_back_0_229,0,0.0,0.634
adaptive_n_back_0_231,0,1.0,0.574
adaptive_n_back_0_233,0,1.0,0.499
adaptive_n_back_0_235,0,1.0,0.422
adaptive_n_back_0_237,0,0.0,0.487
adaptive_n_back_0_239,0,1.0,0.458
adaptive_n_back_0_241,0,1.0,0.512
adaptive_n_back_0_243,0,1.0,0.523
adaptive_n_back_0_245,0,0.0,0.701
adaptive_n_back_0_249,0,1.0,0.752
adaptive_n_back_0_251,0,1.0,0.287
adaptive_n_back_0_253,0,1.0,0.458
adaptive_n_back_0_255,0,1.0,0.398
adaptive_n_back_0_257,0,1.0,0.465
adaptive_n_back_0_259,0,0.0,0.764
adaptive_n_back_0_261,0,0.0,0.775
adaptive_n_back_0_263,0,1.0,0.739
adaptive_n_back_0_265,0,1.0,0.613
adaptive_n_back_0_267,0,1.0,0.472
adaptive_n_back_0_269,0,1.0,0.488
adaptive_n_back_0_271,0,1.0,0.557
adaptive_n_back_0_273,0,1.0,0.544
adaptive_n_back_0_275,0,1.0,0.595
adaptive_n_back_0_277,0,1.0,0.92
adaptive_n_back_0_279,0,0.0,0.899
adaptive_n_back_0_281,0,1.0,0.634
adaptive_n_back_0_283,0,1.0,0.478
adaptive_n_back_0_285,0,1.0,0.414
adaptive_n_back_0_287,0,0.0,0.544
adaptive_n_back_0_289,0,1.0,0.632
adaptive_n_back_0_291,0,1.0,0.52
adaptive_n_back_0_295,0,1.0,0.52
adaptive_n_back_0_297,0,1.0,0.407
adaptive_n_back_0_299,0,1.0,0.907
adaptive_n_back_0_301,0,1.0,0.86
adaptive_n_back_0_303,0,1.0,1.054
adaptive_n_back_0_305,0,1.0,0.858
adaptive_n_back_0_307,0,1.0,0.861
adaptive_n_back_0_309,0,1.0,0.616
adaptive_n_back_0_311,0,1.0,0.818
adaptive_n_back_0_313,0,0.0,0.727
adaptive_n_back_0_315,0,1.0,0.392
adaptive_n_back_0_317,0,1.0,0.387
adaptive_n_back_0_319,0,1.0,0.469
adaptive_n_back_0_321,0,1.0,1.117
adaptive_n_back_0_323,0,1.0,0.695
adaptive_n_back_0_325,0,1.0,0.786
adaptive_n_back_0_327,0,0.0,0.699
adaptive_n_back_0_329,0,0.0,0.763
adaptive_n_back_0_331,0,1.0,0.637
adaptive_n_back_0_333,0,1.0,0.639
adaptive_n_back_0_335,0,1.0,0.693
adaptive_n_back_0_337,0,1.0,0.529
adaptive_n_back_0_341,0,1.0,0.713
adaptive_n_back_0_343,0,1.0,0.67
adaptive_n_back_0_345,0,1.0,0.569
adaptive_n_back_0_347,0,1.0,0.538
adaptive_n_back_0_349,0,1.0,0.468
adaptive_n_back_0_351,0,0.0,0.678
adaptive_n_back_0_353,0,1.0,0.714
adaptive_n_back_0_355,0,1.0,0.467
adaptive_n_back_0_357,0,1.0,0.78
adaptive_n_back_0_359,0,1.0,0.53
adaptive_n_back_0_361,0,1.0,0.477
adaptive_n_back_0_363,0,0.0,0.783
adaptive_n_back_0_365,0,1.0,0.875
adaptive_n_back_0_367,0,1.0,1.112
adaptive_n_back_0_369,0,1.0,0.827
adaptive_n_back_0_371,0,1.0,0.66
adaptive_n_back_0_373,0,0.0,0.676
adaptive_n_back_0_375,0,1.0,0.855
adaptive_n_back_0_377,0,1.0,0.826
adaptive_n_back_0_379,0,1.0,0.789
adaptive_n_back_0_381,0,1.0,0.687
adaptive_n_back_0_383,0,1.0,0.752
adaptive_n_back_0_387,0,1.0,0.526
adaptive_n_back_0_389,0,1.0,0.553
adaptive_n_back_0_391,0,1.0,0.458
adaptive_n_back_0_393,0,1.0,0.601
adaptive_n_back_0_395,0,1.0,0.713
adaptive_n_back_0_397,0,1.0,0.623
adaptive_n_back_0_399,0,1.0,0.856
adaptive_n_back_0_401,0,0.0,0.385
adaptive_n_back_0_403,0,1.0,0.455
adaptive_n_back_0_405,0,1.0,0.796
adaptive_n_back_0_407,0,1.0,0.456
adaptive_n_back_0_409,0,1.0,0.574
adaptive_n_back_0_411,0,0.0,0.732
adaptive_n_back_0_413,0,0.0,0.745
adaptive_n_back_0_415,0,1.0,0.843
adaptive_n_back_0_417,0,1.0,0.944
adaptive_n_back_0_419,0,1.0,0.642
adaptive_n_back_0_421,0,1.0,0.647
adaptive_n_back_0_423,0,1.0,0.616
adaptive_n_back_0_425,0,1.0,0.66
adaptive_n_back_0_427,0,1.0,0.55
adaptive_n_back_0_429,0,1.0,0.467
adaptive_n_back_0_433,0,1.0,0.54
adaptive_n_back_0_435,0,1.0,0.373
adaptive_n_back_0_437,0,1.0,0.472
adaptive_n_back_0_439,0,1.0,0.583
adaptive_n_back_0_441,0,1.0,0.559
adaptive_n_back_0_443,0,1.0,0.625
adaptive_n_back_0_445,0,1.0,0.733
adaptive_n_back_0_447,0,0.0,0.509
adaptive_n_back_0_449,0,0.0,0.691
adaptive_n_back_0_451,0,1.0,0.511
adaptive_n_back_0_453,0,1.0,0.456
adaptive_n_back_0_455,0,1.0,0.373
adaptive_n_back_0_457,0,1.0,0.343
adaptive_n_back_0_459,0,1.0,0.435
adaptive_n_back_0_461,0,1.0,1.14
adaptive_n_back_0_463,0,1.0,1.412
adaptive_n_back_0_465,0,0.0,0.978
adaptive_n_back_0_467,0,0.0,0.783
adaptive_n_back_0_469,0,1.0,0.662
adaptive_n_back_0_471,0,1.0,0.792
adaptive_n_back_0_473,0,1.0,0.478
adaptive_n_back_0_475,0,1.0,0.542
adaptive_n_back_0_479,0,1.0,0.959
adaptive_n_back_0_481,0,1.0,0.449
adaptive_n_back_0_483,0,1.0,0.329
adaptive_n_back_0_485,0,1.0,0.577
adaptive_n_back_0_487,0,1.0,0.77
adaptive_n_back_0_489,0,1.0,0.674
adaptive_n_back_0_491,0,1.0,0.674
adaptive_n_back_0_493,0,0.0,0.67
adaptive_n_back_0_495,0,1.0,0.465
adaptive_n_back_0_497,0,0.0,0.388
adaptive_n_back_0_499,0,1.0,0.461
adaptive_n_back_0_501,0,1.0,0.384
adaptive_n_back_0_503,0,1.0,0.457
adaptive_n_back_0_505,0,1.0,0.437
adaptive_n_back_0_507,0,1.0,0.728
adaptive_n_back_0_509,0,1.0,0.549
adaptive_n_back_0_511,0,1.0,0.752
adaptive_n_back_0_513,0,0.0,0.896
adaptive_n_back_0_515,0,1.0,0.642
adaptive_n_back_0_517,0,1.0,0.523
adaptive_n_back_0_519,0,1.0,0.354
adaptive_n_back_0_521,0,1.0,0.494
adaptive_n_back_0_525,0,1.0,0.534
adaptive_n_back_0_527,0,1.0,0.438
adaptive_n_back_0_529,0,1.0,0.499
adaptive_n_back_0_531,0,1.0,0.504
adaptive_n_back_0_533,0,1.0,0.741
adaptive_n_back_0_535,0,0.0,1.069
adaptive_n_back_0_537,0,0.0,0.892
adaptive_n_back_0_539,0,1.0,0.784
adaptive_n_back_0_541,0,1.0,0.617
adaptive_n_back_0_543,0,1.0,0.422
adaptive_n_back_0_545,0,1.0,0.438
adaptive_n_back_0_547,0,1.0,0.453
adaptive_n_back_0_549,0,1.0,0.566
adaptive_n_back_0_551,0,1.0,0.877
adaptive_n_back_0_553,0,0.0,0.82
adaptive_n_back_0_555,0,0.0,0.624
adaptive_n_back_0_557,0,1.0,0.555
adaptive_n_back_0_559,0,1.0,0.838
adaptive_n_back_0_561,0,1.0,0.366
adaptive_n_back_0_563,0,1.0,0.43
adaptive_n_back_0_565,0,1.0,0.453
adaptive_n_back_0_567,0,0.0,0.784
adaptive_n_back_0_571,0,1.0,0.447
adaptive_n_back_0_573,0,1.0,0.423
adaptive_n_back_0_575,0,0.0,0.494
adaptive_n_back_0_577,0,1.0,0.612
adaptive_n_back_0_579,0,1.0,0.641
adaptive_n_back_0_581,0,1.0,0.49
adaptive_n_back_0_583,0,1.0,0.689
adaptive_n_back_0_585,0,1.0,0.707
adaptive_n_back_0_587,0,1.0,0.611
adaptive_n_back_0_589,0,0.0,0.514
adaptive_n_back_0_591,0,0.0,0.523
adaptive_n_back_0_593,0,1.0,0.659
adaptive_n_back_0_595,0,1.0,0.567
adaptive_n_back_0_597,0,1.0,0.453
adaptive_n_back_0_599,0,1.0,0.734
adaptive_n_back_0_601,0,1.0,0.496
adaptive_n_back_0_603,0,1.0,0.463
adaptive_n_back_0_605,0,1.0,0.39
adaptive_n_back_0_607,0,0.0,0.493
adaptive_n_back_0_609,0,1.0,0.54
adaptive_n_back_0_613,0,1.0,0.474
