adaptive_n_back.hddm_drift,NBHD
adaptive_n_back.hddm_non_decision,NBHN
adaptive_n_back.hddm_thresh,NBHT
adaptive_n_back.mean_load,NBMEANLD
angling_risk_task_always_sunny.keep_adjusted_clicks,ARTKCLCK
angling_risk_task_always_sunny.keep_loss_percent,ARTKLPC
angling_risk_task_always_sunny.keep_score,ARTKSCOR
angling_risk_task_always_sunny.release_adjusted_clicks,ARTRCLCK
angling_risk_task_always_sunny.release_loss_percent,ARTRLPC
angling_risk_task_always_sunny.release_score,ARTRSCOR
attention_network_task.alerting_hddm_drift,ANTALTHD
attention_network_task.conflict_hddm_drift,ANTCONHD
attention_network_task.hddm_drift,ANTZHD
attention_network_task.hddm_non_decision,ANTZHN
attention_network_task.hddm_thresh,ANTZHT
attention_network_task.orienting_hddm_drift,ANTORTHD
bickel_titrator.hyp_discount_rate_large,BITIHDL
bickel_titrator.hyp_discount_rate_medium,BITIHDM
bickel_titrator.hyp_discount_rate_small,BITIHDS
bis11_survey.Attentional,BISATTII
bis11_survey.Motor,BISMOTII
bis11_survey.Nonplanning,BISNPLII
bis_bas_survey.BAS_drive,BBASDRIV
bis_bas_survey.BAS_fun_seeking,BBASFUNS
bis_bas_survey.BAS_reward_responsiveness,BBASRWRD
bis_bas_survey.BIS,BBASBIS
brief_self_control_survey.self_control,BSCSSCON
choice_reaction_time.hddm_drift,CRTHD
choice_reaction_time.hddm_non_decision,CRTHN
choice_reaction_time.hddm_thresh,CRTHT
cognitive_reflection_survey.correct_proportion,CGRSCRP
cognitive_reflection_survey.intuitive_proportion,CGRSINTP
columbia_card_task_cold.avg_cards_chosen,CCTCAVCC
columbia_card_task_cold.gain_sensitivity,CCTCGAIN
columbia_card_task_cold.information_use,CCTCINFO
columbia_card_task_cold.loss_sensitivity,CCTCLOSS
columbia_card_task_cold.probability_sensitivity,CCTCPROB
columbia_card_task_hot.avg_cards_chosen,CCTHAVCC
columbia_card_task_hot.gain_sensitivity,CCTHGAIN
columbia_card_task_hot.information_use,CCTHINFO
columbia_card_task_hot.loss_sensitivity,CCTHLOSS
columbia_card_task_hot.probability_sensitivity,CCTHPROB
dickman_survey.dysfunctional,DIIDYSF
dickman_survey.functional,DIIFUNC
dietary_decision.health_sensitivity,DDTHEALT
dietary_decision.taste_sensitivity,DDTTASTE
digit_span.forward_span,DGSFORWD
digit_span.reverse_span,DGSREVRS
directed_forgetting.hddm_drift,DRFHD
directed_forgetting.hddm_non_decision,DRFHN
directed_forgetting.hddm_thresh,DRFHT
directed_forgetting.proactive_interference_hddm_drift,DRFPINHD
discount_titrate.percent_patient,DSTPCTP
dospert_eb_survey.ethical,DPTEEB
dospert_eb_survey.financial,DPTFEB
dospert_eb_survey.health_safety,DPTHEB
dospert_eb_survey.recreational,DPTREB
dospert_eb_survey.social,DPTSEB
dospert_rp_survey.ethical,DPTERP
dospert_rp_survey.financial,DPTFRP
dospert_rp_survey.health_safety,DPTHRP
dospert_rp_survey.recreational,DPTRRP
dospert_rp_survey.social,DPTSRP
dospert_rt_survey.ethical,DPTERT
dospert_rt_survey.financial,DPTFRT
dospert_rt_survey.health_safety,DPTHRT
dospert_rt_survey.recreational,DPTRRT
dospert_rt_survey.social,DPTSRT
dot_pattern_expectancy.AY-BY_hddm_drift,DPEAYBHD
dot_pattern_expectancy.BX-BY_hddm_drift,DPEBXBHD
dot_pattern_expectancy.dprime,DPEDPRIM
dot_pattern_expectancy.hddm_drift,DPEHD
dot_pattern_expectancy.hddm_non_decision,DPEHN
dot_pattern_expectancy.hddm_thresh,DPEHT
eating_survey.cognitive_restraint,TFEQCGRS
eating_survey.emotional_eating,TFEQEEAT
eating_survey.uncontrolled_eating,TFEQUEAT
erq_survey.reappraisal,ERQREAP
erq_survey.suppression,ERQSUPP
five_facet_mindfulness_survey.act_with_awareness,FFMQAWAR
five_facet_mindfulness_survey.describe,FFMQDESC
five_facet_mindfulness_survey.nonjudge,FFMQNJUD
five_facet_mindfulness_survey.nonreact,FFMQNREA
five_facet_mindfulness_survey.observe,FFMQOBSV
future_time_perspective_survey.future_time_perspective,FTPSFTP
go_nogo.dprime,GNGDRPIM
grit_scale_survey.grit,GRTSGRIT
hierarchical_rule.score,HIRSCOR
holt_laury_survey.safe_choices,HLTSFCH
impulsive_venture_survey.impulsiveness,IMVIMPLS
impulsive_venture_survey.venturesomeness,IMVVNTUR
information_sampling_task.Decreasing_Win_P_correct,ISTDECPC
information_sampling_task.Decreasing_Win_motivation,ISTDECMV
information_sampling_task.Fixed_Win_P_correct,ISTFXDPC
information_sampling_task.Fixed_Win_motivation,ISTFXDMV
keep_track.score,KTTSCOR
kirby.hyp_discount_rate_large,KRBHDRL
kirby.hyp_discount_rate_medium,KRBHDRM
kirby.hyp_discount_rate_small,KRBHDRS
leisure_time_activity_survey.activity_level,LCATACTL
local_global_letter.conflict_hddm_drift,LOGCONHD
local_global_letter.hddm_drift,LOGHD
local_global_letter.hddm_non_decision,LOGHN
local_global_letter.hddm_thresh,LOGHT
local_global_letter.switch_cost_hddm_drift,LOGSWCHD
mindful_attention_awareness_survey.mindfulness,MAASMIND
motor_selective_stop_signal.SSRT,MOSSSRT
motor_selective_stop_signal.hddm_drift,MOSHD
motor_selective_stop_signal.hddm_non_decision,MOSHN
motor_selective_stop_signal.hddm_thresh,MOSHT
motor_selective_stop_signal.reactive_control,MOSREC
motor_selective_stop_signal.selective_proactive_control,MOSSPC
mpq_control_survey.control,MPQCOTR
probabilistic_selection.positive_learning_bias,PRSPLB
probabilistic_selection.value_sensitivity,PRSRVS
psychological_refractory_period_two_choices.PRP_slope,PRPSLOPE
ravens.score,RPMSCOR
recent_probes.hddm_drift,REPHD
recent_probes.hddm_non_decision,REPHN
recent_probes.hddm_thresh,REPHT
recent_probes.proactive_interference_hddm_drift,REPPINHD
selection_optimization_compensation_survey.compensation,SOCSCOM
selection_optimization_compensation_survey.elective_selection,SOCSELSE
selection_optimization_compensation_survey.loss_based_selection,SOCSLBSE
selection_optimization_compensation_survey.optimization,SOCSOPT
self_regulation_survey.control,SSRQCOTR
sensation_seeking_survey.boredom_susceptibility,SSSBORED
sensation_seeking_survey.disinhibition,SSSDISIN
sensation_seeking_survey.experience_seeking,SSSEXPSK
sensation_seeking_survey.thrill_adventure_seeking,SSSTHRIL
shape_matching.hddm_drift,SMHD
shape_matching.hddm_non_decision,SMHN
shape_matching.hddm_thresh,SMHT
shape_matching.stimulus_interference_hddm_drift,SMSIHD
shift_task.acc,SHFTAC
shift_task.learning_rate,SHFTLR
simon.hddm_drift,SIMHD
simon.hddm_non_decision,SIMHN
simon.hddm_thresh,SIMHT
simon.simon_hddm_drift,SIMSIMHD
simple_reaction_time.avg_rt,SRTAVRT
spatial_span.forward_span,SPSFORWD
spatial_span.reverse_span,SPSREVRS
stop_signal.SSRT_high,SSSSRTHI
stop_signal.SSRT_low,SSSSRTLO
stop_signal.hddm_drift,SSHD
stop_signal.hddm_non_decision,SSHN
stop_signal.hddm_thresh,SSHT
stop_signal.proactive_SSRT_speeding,SSPASS
stop_signal.proactive_slowing,SSPAS
stroop.hddm_drift,STRHD
stroop.hddm_non_decision,STRHN
stroop.hddm_thresh,STRHT
stroop.stroop_hddm_drift,STRSTRHD
ten_item_personality_survey.agreeableness,TIPIAGRE
ten_item_personality_survey.conscientiousness,TIPICONS
ten_item_personality_survey.emotional_stability,TIPIEMST
ten_item_personality_survey.extraversion,TIPIEXTR
ten_item_personality_survey.openness,TIPIOPEN
theories_of_willpower_survey.endorse_limited_resource,TWILLELR
threebytwo.cue_switch_cost_hddm_drift_100.0,32CSCHD1
threebytwo.cue_switch_cost_hddm_drift_900.0,32CSCHD9
threebytwo.hddm_drift,32HD
threebytwo.hddm_non_decision,32HN
threebytwo.hddm_thresh,32HT
threebytwo.task_switch_cost_hddm_drift_100.0,32TSCHD1
threebytwo.task_switch_cost_hddm_drift_900.0,32TSCHD9
time_perspective_survey.past_negative,ZTPIPNEG
time_perspective_survey.past_positive,ZTPIPPOS
time_perspective_survey.present_fatalistic,ZTPIPRFA
time_perspective_survey.present_hedonistic,ZTPIPRHE
tower_of_london.avg_move_time,TOLAVGMT
tower_of_london.num_extra_moves,TOLNEM
tower_of_london.num_optimal_solutions,TOLOPTSL
tower_of_london.planning_time,TOLPLNTM
two_stage_decision.model_based,TSTMODBA
two_stage_decision.model_free,TSTMODFR
upps_impulsivity_survey.lack_of_perseverance,UPPLPERS
upps_impulsivity_survey.lack_of_premeditation,UPPLPREM
upps_impulsivity_survey.negative_urgency,UPPNEGUR
upps_impulsivity_survey.positive_urgency,UPPPOSUR
upps_impulsivity_survey.sensation_seeking,UPPSENSE
writing_task.neutral_probability,WRTNEUPR
writing_task.positive_probability,WRTPOSPR
DROPPED FOR TASK SELECTION,"stop_signal.SSRT_low, stop_signal.proactive_SSRT_speeding, stop_signal.proactive_slowing"
