Mplus_Name,Scale/Task,Variable_Name
,,adaptive_n_back.EZ_drift
,,adaptive_n_back.EZ_non_decision
,,adaptive_n_back.EZ_thresh
,,adaptive_n_back.acc
,,adaptive_n_back.avg_rt
,,adaptive_n_back.avg_rt_error
NBMEANLD,"Adaptive-N-Back Task, Mean Load",adaptive_n_back.mean_load
,,adaptive_n_back.missed_percent
,,adaptive_n_back.post_error_slowing
,,adaptive_n_back.proactive_interference
,,adaptive_n_back.std_rt
,,adaptive_n_back.std_rt_error
,,angling_risk_task_always_sunny.keep_adjusted_clicks
,,angling_risk_task_always_sunny.keep_loss_percent
,,angling_risk_task_always_sunny.keep_score
,,angling_risk_task_always_sunny.release_adjusted_clicks
,,angling_risk_task_always_sunny.release_loss_percent
,,angling_risk_task_always_sunny.release_score
ANTZDRFT,"Attention Network Task (ANT), EZ Drift",attention_network_task.EZ_drift
ANTZNDEC,"Attention Network Task (ANT), EZ Non-Decision",attention_network_task.EZ_non_decision
ANTZTHRS,"Attention Network Task (ANT), EZ Threshold",attention_network_task.EZ_thresh
,,attention_network_task.acc
,,attention_network_task.alerting_acc
ANTALTRT,"Attention Network Task (ANT), Alerting Reaction Time",attention_network_task.alerting_rt
ANTAVGRT,"Attention Network Task (ANT), Average Reaction Time",attention_network_task.avg_rt
,,attention_network_task.avg_rt_error
,,attention_network_task.conflict_acc
ANTCONRT,"Attention Network Task (ANT), Conflict Reaction Time",attention_network_task.conflict_rt
,,attention_network_task.congruency_seq_acc
,,attention_network_task.congruency_seq_rt
ANTMSPRC,"Attention Network Task (ANT), Missed Percentage",attention_network_task.missed_percent
,,attention_network_task.orienting_acc
ANTORTRT,"Attention Network Task (ANT), Orienting Reaction Time",attention_network_task.orienting_rt
,,attention_network_task.post_error_slowing
ANTSTDRT,"Attention Network Task (ANT), Standard Deviation of Reaction Time",attention_network_task.std_rt
,,attention_network_task.std_rt_error
BISATTII,"Barratt Impulsivity Scale (BIS-11), Attentional (Second-Order Factor)",bis11_survey.Attentional
BISMOTII,"Barratt Impulsivity Scale (BIS-11), Motor (Second-Order Factor)",bis11_survey.Motor
BISNPLII,"Barratt Impulsivity Scale (BIS-11), Nonplanning (Second-Order Factor)",bis11_survey.Nonplanning
BISATTNI,"Barratt Impulsivity Scale (BIS-11), Attention (First-Order Factor)",bis11_survey.first_order_attention
BISCGCXI,"Barratt Impulsivity Scale (BIS-11), Cognitive Complexity (First-Order Factor)",bis11_survey.first_order_cognitive_complexity
BISCGSTI,"Barratt Impulsivity Scale (BIS-11), Cognitive Stability (First-Order Factor)",bis11_survey.first_order_cognitive_stability
BISMOTOI,"Barratt Impulsivity Scale (BIS-11), Motor (First-Order Factor)",bis11_survey.first_order_motor
BISPERSI,"Barratt Impulsivity Scale (BIS-11), Perseverance (First-Order Factor)",bis11_survey.first_order_perseverance
,,bis11_survey.first_order_self-control
BBASDRIV,"Behavioral Inhibition System/Behavioral Activation System (BIS/BAS), BAS Drive",bis_bas_survey.BAS_drive
BBASFUNS,"Behavioral Inhibition System/Behavioral Activation System (BIS/BAS), BAS Fun Seeking",bis_bas_survey.BAS_fun_seeking
